Ticker,Date,Title,Source,Link
ADANIENSOL.NS,2021-01-18 08:00:00,Total to acquire 20 % stake in Adani Green Energy - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQR1lObnRPTXR4dGswNjBabEM1QWRfRnJXQ1RJb1FERzBxYnIzanZpMVBWbWF1Z2tlXzdiOTRxb0pwNnk1bmhPU3VfQjVobEdCSkNabjU0VzJmQzFvU01sMHZCOG52Ujh0S2RTajQwMld1eVhYeUhVTkRtdDk3d3N5NkRvRXoyNnZsLU5kZnVBbjNqd04wVTJLQnlqVVk0RzgtQUZwSGQ3cThubjjSAbABQVVfeXFMTU5SYmpqYUFQTTlmWkl0d05XMHM5bGZhYTg5c0M0cWIwRnMxTW44UE9zU19EV0xLYTdKWTBSTUxXYXJLd1F5Y3d3YlRBSE9HZ1lXZk5rS1NJbHcyS1EyVTd2Z0JxWWZxOXNuenViR2JpQ3NfakRLa2FBRE0tMkdGQlplM003cG5MeDhENE9SZ2tVTVBUNDdUNkcxX0VjZ3ZOeVVzTDlub1FVZWFJUHNQbG0?oc=5
ADANIENSOL.NS,2021-01-28 08:00:00,KKR’s big bet on India credit turned from windfall to wipeout - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxPb0NoeTBUTG5WZzdFM2pMaVdKU2lUYVJhRV9RbHJWOE5NSHFUTERJM2RobElSUzlkelozTzMwcHgtNWI3YWFCZ2NubjJVVlM2TG9XSXBTVnBHUDJTOTVEbFZQNkg0OHFhQ2RBUkZWdEZ0TG5KMlFrdGMzZUhGMjFzbXJTRFZUMkVGQmdTYVprd3M5Y0hsb2lTTHU4aURENlBrMFZiNjhDSkJJeDZmSi1EVEpfaWpKalVQOEtWMW52RVU1SEtEQ0pVTGgwMzFxd9IB0wFBVV95cUxNdDFiMjNvZG1hLWpMYVpjQ3c5d2FtYk13SnBjb0xsanBGTkdmVWpMZEZ0b1NzTFlXSzFIWVV5X0g4VzByUEZ4SUdZZi1ydnpOT3B1alpxSXBBc0h2dklDb3QxQzBoaEdsNlNsNVVPMUFiVHFxTkVsbFN3TC1GTGJ2ek81aXFBdF9CSmR2UUwySmVpeWk1MDAteHM1RVNuZnFDTnNWb3JLNG1iZUxCN1Z0THM1UlZjd0ZxenBKa3BmRm5IR2pWY1RnMlRtai1uTjZXT0JZ?oc=5
ADANIENSOL.NS,2021-01-16 08:00:00,This week in Auto: Here’s why Tesla's India entry should mean more than just flashy electric cars - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNQnpfUDN6Q2xDNFE1empRTFctclFJLWtaWlIyQzRWSzN5VlFXX0JONlNCVkdPYWozMDhZSVpXV3lOU3BKVi1WQTJWekh0cUhMOURXVC1COFB1TlVTSnVvQllMWFBiMVUySFZRWnAwTFdCU2RFOC1LaW9UUkd6NnpNaDhBbVpSbG03aDBTdFhVVlJMRERValFhdFB6RnJqaHFuaV96Y1YybXNCbzB5ZzVrbV9ua05kdFBoaG1CbExmN2J1RmMwVy1iMmZ5bE14eTFmQlNnNVZON0VFMVhjN2ZUOEk3RGo3SmMwLXFEM1Z30gHzAUFVX3lxTE41UU1kVVZBcjMzM3g2REZVV3VrRTRRR3o0OVJpUWF4SUc0Vnk2RmxoQnowUndqMW1zaTl4ZXpnaDFxZDZPT2hhREtLWk9MMTdPa2hsZmM3V2ZrRXEyOHZudTQ1WWRSa2l0Y1JPN0tFTmpuWU5QR2tFYjVyTEg4cjRNWkVYaDhGcVh2VFVWQWs0RGhxV29UUElZM1BCUWg5R2V0QldDYjZiZFF6cFRKRldpTHNfWVNOY3VzRWZCMnRINkdRMHV6bl82c21UQVdaWEpHZzZoeFJleDhISC1TRDVVTm8yVTQtV25WQmtXaVJvWEZSOA?oc=5
ADANIENSOL.NS,2021-01-20 08:00:00,NSE-BSE bulk deal: Nexpact Limited buys stake in Kellton Tech Solutions Ltd. - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOb1hPX2Z1Rkk2ZVpCLXhZN1Zubk1abmhkNzlVMTdzVEdUY2ZtOVJyYy1iX29rbVlJakFBX3FUR21zWFBhWUtreVc2cmstUm0yT3lTZC15Q2V2SDVDVnlkNkw4U0ZaS0hGYjNYazN3N1dkS2dxVFBoZDdUaTY0S1ZVZVlVTURRQTVuUWVISGw5VDY0R3dCRFZZcE0zQnRSeGtabmV4VW5QNkl6N0NNczlTbW9uaEhNeDRyeFRwSmpjaWwtX1lZZ3pLb0Q4QUpKbE9oNGdfcDNuaFI5R1RUOHZDRkRwYUNycl91MDVZ0gHwAUFVX3lxTE15ZlNoNUJHSXAzY2I0WlQtZUV5bXJnRjE3ZGtrMmdicUlVdTlzUnBtSHNfWW02SUViYUxBcFdBMUoxaVk1SkxsZVVRazFFVzFUc3owOFdHN3NtT3IzM044QmhqU2N5YUtISHVvbTBnUnRRYm5SUlhhVHZpQXFtbHJQc3ZZOXp6ak5kYWJJdmU5WFdGUTRrOFNsNnRTQjVXV25oZWc2MWdCUXBhdm9DbjJFVVMzSTVRVmN3T25CbUNsd3lSY3NFVTZNOGpSZHA1NWVIbzd2R0VQNlRreTN3Qmg0MENIVkNQWTgyM3FXSXduRg?oc=5
ADANIENSOL.NS,2021-02-23 08:00:00,"AdaniConneX, a new Data Center Joint Venture formed Between Adani Enterprises and EdgeConneX, to Empower Digital India - PR Newswire",PR Newswire,https://news.google.com/rss/articles/CBMihgJBVV95cUxORzdRcm0zN2xzNXFnMVROeGJ3R09QWkdIQ1lldERBcVhpLU5tY3NKaklQTFlIT1o4NEQ3SjZRcFBSMzB6Mkt6b1JGeTE3bmh2R1JpVzI2dk1Nb1k3bGVJS214UFEwbXowTF9fdDNUcjJfU1dwNkpWbUducFJpMjVSOGRlMGZHSUR2MFFlYWF5Yi1oX3JwS18zQmllN3MzYUd2dkFSVjZGNU9SdXE5RkotTnFGdzhqRHM4Q1VIY2wxTXhlNGh2YlNVZWhDakhkbFM4dF9YVkJqMGtpVnRRLTR6b2xQajdkRlpwWFZrLXgxNWM1b2RCRjJEVnlPNTEtNVJhQ0ZsREN3?oc=5
ADANIENSOL.NS,2021-02-16 08:00:00,Xchanging Technology Services India settles case with Sebi - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiywFBVV95cUxPVHVvVzNNRkVVUkc2cWRxSmoyMThBc21OakpZX0hFNVZMYzlGWDlIMzVjT1hvV1diQkEteUtZb0VzNGVsZ3RsV2prbnFZNE1lMWdCa1A3cFZQOEJOVkhEN2dCMG9wWC0yZWlfRHp3ZFBGUnhNUm0tTVAtV2pDY0dDbV9OYWxiWmpxSlF5a1hPcGltZURzQm5wZzN4NHNqZlkxRVhnb3RNODBUbGVIS2NwMEs0bWg2WXRmMHdXUURzVkxDeU8tZWFaUW9sY9IB0AFBVV95cUxNMGlsWmZRNVFicWNYdGFzTWNSZ3NpTFZtZ1JGeDduSUtZVE4yZHdNOGdtQTlkR09pU0R2UlFhblRkNTlGSTNjRDJTWXAtdUZpYlJkZGRDS0tyZ2Jwc3F1UHpaVU1GYkEwR0REMFhXNmxaN2JaVnhBb0huMHA2UFVpTVNRSTZabEZkenhfWjBnbVRVQ3l5SS1FRDBGQi1VNWhHOGotenk4S2RkazdPV2xqNWNiTFcwel8wMnYxci1pWVUwd19iUDA0SC12eFhxX1Ft?oc=5
ADANIENSOL.NS,2021-01-28 08:00:00,KKR’s big bet on India credit turned from windfall to wipeout - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxPb0NoeTBUTG5WZzdFM2pMaVdKU2lUYVJhRV9RbHJWOE5NSHFUTERJM2RobElSUzlkelozTzMwcHgtNWI3YWFCZ2NubjJVVlM2TG9XSXBTVnBHUDJTOTVEbFZQNkg0OHFhQ2RBUkZWdEZ0TG5KMlFrdGMzZUhGMjFzbXJTRFZUMkVGQmdTYVprd3M5Y0hsb2lTTHU4aURENlBrMFZiNjhDSkJJeDZmSi1EVEpfaWpKalVQOEtWMW52RVU1SEtEQ0pVTGgwMzFxd9IB0wFBVV95cUxNdDFiMjNvZG1hLWpMYVpjQ3c5d2FtYk13SnBjb0xsanBGTkdmVWpMZEZ0b1NzTFlXSzFIWVV5X0g4VzByUEZ4SUdZZi1ydnpOT3B1alpxSXBBc0h2dklDb3QxQzBoaEdsNlNsNVVPMUFiVHFxTkVsbFN3TC1GTGJ2ek81aXFBdF9CSmR2UUwySmVpeWk1MDAteHM1RVNuZnFDTnNWb3JLNG1iZUxCN1Z0THM1UlZjd0ZxenBKa3BmRm5IR2pWY1RnMlRtai1uTjZXT0JZ?oc=5
ADANIENSOL.NS,2021-03-22 07:00:00,Maire Tecnimont S.p.A Signed MOU with ADANI ENTERPRISES LTD TO DEVELOP GREEN HYDROGEN PROJECTS IN INDIA - Energetica India Magazine,Energetica India Magazine,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNT1p4OTBqVk5iQk5HN0pYS2Exb3ZfUVZQTmNPaHVXSkM0RGFGbU5RLUpQQm9rSWhBNGp3d0Nnb3NSNGJZek50alN4UkdpNU8wV2VrakE0Y2x2NjJGcnB6QzJnZ2lnd0xhY2VWMWl0VjV2TkV0QU90UFZWaFFvUi1DcFpRcDZqQTl6WHo4eFJNQXpHTExnODgzbXdWVkN5bk1SOUQxTm4tZ09sRVN5WTZBbTZUSHllejVIWFFaTXV2VEg1RVpJM09XY29ZWXBQZGxmSVNpcjB3?oc=5
ADANIENSOL.NS,2021-03-23 07:00:00,Sebi disposes of proceedings against BPSL in GDR manipulation case - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWlpNVS1HOWE2WlhOQS0xWGJVWWdOcGd1elk0Q0JZdWpCM2I3XzNqb0ZBTzRjRFRURDNXTlVVU3ZOaU1TYS1VQXFzRnpjM2RnMFdUNFh5QWFQTHBkcDRWVzNtNHk0UlN0c195ZV9wZW9ySnpBVzZVanNOWi1TNVA5ZFB2RnJ4STk1cVNMazM4V2JfVlpHRXlXV2U0bGFfMmo3QkZ2eW9MU1RZczh1N0pvQmdpdmV1V2ViX1daMkdicEl5Zkc10gHKAUFVX3lxTE9oNElNb0liejh4c2ZNRGZLWDl0dWZoNWJPeXpqOVpKZ1pQXzZKQnI4V3pENTMzbzhjb3ZHZURnVjV1VVNDUklWSUlQMlJfa0JuTzYwdWFoOTVKOXE1bDBvUDdwY2ZCMG9DQ0lqdkc4V09NeHFpam11ZUdaVms1Qk0teHI3VnE5aFU4VFJwTndsanNBazVZel9vbm5uRmpndGJxdGZmd0x1VHZvREpaYXUwX09CalBFVE9mUUZBVXNSNHB2UDEtM0hkNlE?oc=5
ADANIENSOL.NS,2021-03-24 07:00:00,In case you missed them! 10 stocks that surged 22 times amid pandemic - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNanUzR3VxM0NQZ3A2b3J0cmZSYW9YN3N5UzY2QzREcktpdm5NQUtnNXVCY2FpbTNjSG1qek5ZTUVfUjFXQlhlV3FNM0ZiUkZGdnhFblNTcEgzNkY5NFF2UjZ0QjYwN1ZYc0FnVXFWSkxRMFBZd1lLanZYNENNV1hKSlNJSzh5RFdlTjRhNUx0dDd1NjE1X3hQblZEVlk1MWxZRDlsaExSZUZXVlRGSmJ3MzFBQ2lNWXJfZjYtNnhYcE11akt1bjlDMDNwMjhSTTBibHV4QVhzeE_SAd4BQVVfeXFMUGFZTDZIM25zVDBFM3ZtT1FhcDRCVVFCbmlUQ3QwRkhtQWNaN3BXbGF2ZjA2cmZLemxIajZzd1prUzRuMFZuS05aR1hJazlnSVRlVzBWamFuTHZXeHNGZUJyNUxJTGlSbzN4UE91aWs0Ti1QN0NnZ21CdFhja2hVWHJlajdzYTlzY3lUSU5CVEc2VU5hMEJyUzlfQjF6Zlcydk9YTUtPZEFJWnNxdklKREN1blRrb0pNWTZncVlaWW1NZ0ZNYlJpek1pVjV6V1VQM29tODBsMWs0ZG1JX2h3?oc=5
ADANIENSOL.NS,2021-05-06 07:00:00,"Auto, metal, IT stocks lift market; Sensex gains 272 pts; Nifty ends above 14700 - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi_gFBVV95cUxPZVZsX0pUWnljenJBdWNDNnNuRGpibU9EclFKdlpIWmpIMGhoUGc5WU52WlpQNS1uOU1nTVRkQUo2LURrS01SZm5RSVBRcG9wTHR0UFFlZXJGdlA3bzRwQmkzcjJPR1JmdTNfNEpaTF9QRXBjNG1TU2RfczJvUnFpeHZlODRCdUFYcFlycUhTSE1WT1psZzlYRmlEcW8wdHU1TXdvSlluUzVvNFgxVUFDcUZUQjVfMGktSjZRc3hNTkFzWmJ3Y1JkWGVKVF9qa19yRFpnY0p0aGNGRzZFcG1EMi16NDN2Z1pQdFgwMDJuTnRCNWNYdkF6WWpmalVKUdIBgwJBVV95cUxQZnM5WElkSVZidzIwdVJzZXBGRjV2T2pSd1FEcFR5bFJlY2NtU2FiRG9ELTkyOXpQbF9JdVRsaHFKNlQyazhUYi1va1E2SFRZTnFTb2xjR1lrZ1lBcS1aVVZFbXZEUTYtcDRqXzM5OGNTekliQ2lhTjlCRDNOc29KWEhOem11YnpNWlNyb0t2ekV5SWZKeXlWZjJBeU8tdXBkVTlFUHBaYks4QjR6bFVLWHowUzJaeU1lV19HdVpOajYwdnFkREN4U2MwRDFLcWQ0OVBiYnJGcmpYNlJvajhxcE5aRkRfcDh2eHhOdzAxbnlabDlma3JjekdGZ0ExbEd6cTNv?oc=5
ADANIENSOL.NS,2021-05-05 07:00:00,"Adani Enterprises FY21 profit rises 26% to Rs 1,182 cr; revenue down 20% - Business Today",Business Today,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOeHFoNjh0ZUhHX2U3TGNSZDlBMXJWV2doV2huczcyc05TUDNwaGVZal9wMjlWNjZtallLOW5YYXU0azVqYlI1ckNUU3pFSnNCZEk5TnZ5U3BCWGZPOFFRVVhtckFlMGRzMldMQ1k3TFJ4MTVhMHB3QndJUlBmeXFFcHdtbGJ1MnlDNVpaZ3o5aTNid080RTdsVW02NHlxc3hBV1VRUlptTWt3Ukp3YkxMUWQ0QXBoZnRrdlhTaG4wYWtWNlltMDNmZWhpYkh2SGxCbENRdtIB2gFBVV95cUxQV0V2ck1LeXZlUHpwMFRpeGRlR0M0UWVQbGdOYWpMYUlsdkYyQk5hTkxObUpJbC1FSXlRczNETnJlaXVVRERMZTVLNl9UVXVTTDhLTVJjRlB0YzJ3d0xaWTA5SGVwa1JhLXBYMnJqVUJfWEV4Xy1KUnRDUWlVb3VfZVIyd182R0paTHQ4aEVxOXByMVVGRFVPYlRQM0VNTkdIWjF2Q3pWY3VqTjBRZmo4YnJIaV9iZTV5MmkxVmZZTjRfX05HVTBIdERDd05TUEhscGtGeDgtOEhLdw?oc=5
ADANIENSOL.NS,2021-06-15 07:00:00,Barred or Not? Adani Investors Fret Over Three Mauritius Funds - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZVBnamdqZk8xMHE2eEtiX2RWSWg2ZFdGdVVhbzBpZlBWVXhzRDk4MWJMUWIyZFNMT29LYXI5VzVzaTN4dGtYVkU0V3VyNUJWT1R6U0pCcEpmeTFlUG1ObUJtaUN2Z0dMSjdpQnd2emI4WDJlUU5SeGVqM29adWUzU0NpWmJYckwyM2FRNFctemtMLTdjOFBveDR1aVhubDFkWkxRaTZNS1kyZWx3MUxpcGhpSQ?oc=5
ADANIENSOL.NS,2021-06-17 07:00:00,"$3.9 billion of domestic, global funds riding on six Adani Group stocks - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMizgFBVV95cUxPMzA2eEpuSl81OFhJZWs5QVljQXpEUzhYVE5fZ29Vd0ZOZ3k4QVJhSldMT2tLZ1dmM1ZwNnRjaEl6Y0NlQXJ5LTF4ZFBoV0s4RThCS0FJclVqQm1xd0dMWURQc2lNOVBlYjFvY05RSS1hUllUNWdxdDhQWlJ4eHlVcVNzUEdPRGM5UGY4bTdpMHAyV1hCLWt4WmE4cDdZM3JYODNzdUc0d1ltNEFQR0hJbmdZQWQxOEZyWEd4S0tOcmVZT2psSTZ3V090TjFUd9IB0wFBVV95cUxNYUZNdzFsajF6ZGxkWHl5bHZNN3BhVWMzLUJPdkZtbUdlYXoxd3NsQ0ZZTGJNTHFIeUxDWVZ5ZjdvWDNuVmpMalB0QThfd3JZa0JzQUdKcWFzMVoyR1VIWXJLdm5udko0SkFqeXA0UmpwbW9TcFV2N2xwZTJ2QTZrLW4xUDJGUVdnN2dRdmxZcl9DaVVJZlFaN1RMSDlzLXI2ZEZGaElPWU9RT3cwbEFCMHB6ZHNUUlFwc2V3cFB4Nm1CcVRjUjd3T3ZIbXRWcFZaeGhF?oc=5
ADANIENSOL.NS,2021-06-24 07:00:00,Asia’s richest man Mukesh Ambani unveils $10bn green energy push - Al Jazeera,Al Jazeera,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNakN5UnFvMUhuaHNpeFBGaENySk9PNm9JQjhHbHBLOHpvN1Y2ZGtzSXZneHlraXhfQ0NQaDBxZnA3U0dWa3dEcy1CRVE1OVFUYVVvaFRzT2RSRmxhYXpibl9uZ3FLTTF6ekFyZFZjMFRyeG8yT1R0aXVXT2s3cUU3d21TazI5RjZWeDRGcXBMWmVrMUtjaWtnTnhiNjFVUVlXVHFKeE9ZQ1TSAa4BQVVfeXFMTng3VnRyTW54VWJTb2thamI3TEZoODNxdDhTdHl4SE5PeXJRb3FvckY1QjNxVjdFWTFTYTA0RHk3Nm1xcnhyRFRPSXZ1UUNnT1loN0d4ejhtbndpU1hKcVA4TlQ0ODhyMnBLcXY1b2FITGcwcUFaYXJUT3BianNKdzNIa3RSSHV2d0xjWHdQZDJONG1wTmlpcmZPTEFuQVQ3TmxwWk1iMWRrVUN3U0JB?oc=5
