Ticker,Date,Title,Source,Link
ADANIPOWER.NS,2021-01-14 08:00:00,Adani Green stock price up 4% after ACME Trade and Investment buys stake - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMizwFBVV95cUxPM3FQZncxN2hWMDhBQ0pwTlhfeERPaHp0Z2VWcE1QcHI4T0cwbkw5NG5NVFJVWkM3SDhXQXM4d2lWT1ZRSXh0RTZqSnk2VFY1eXNuSkEzSnNVaTR3aGxGTHlaTmRYdVlqOHRneUVyMVgxTE1QLXFQNkxMSDRtS19FNlo4UnJiSVdEN0RiOTZkWWUzSHJLdGF4MlpLTzFoU09na0QyRmtra0tGZHphUm10YjdHMmRqM2FlMzNvM0VuMEduZGxZXzFwY2x4b1hvN03SAdQBQVVfeXFMTnBxN0tpYkRIN2RJQ1FwTm9qd3duZEVXYkNNYUhVNE4zZUltTWotQmRVV08tbHFUWDZGU0Vqb0NVMlc2aUFTVWY4MWktcVliNGpmdWtRMnNIWlFsZkNPTjZSX19rQWFTN1d0ZG5GRlRSRnNmeE00LUh3UkN5ajVhQXNYaWwxTmdOMUxmelgtaUZSOHd5RUZJcHpHWjRJVkRiU0RvUHRTNW95QU9XVzNGVXIwM2tvSkdVdzBRU0poN2RfQ0hueUs5MDEzcXhnaXV5dmEwbHo?oc=5
ADANIPOWER.NS,2020-12-30 08:00:00,Stock analysis Adani Green Energy Ltd: Worth a long-term bet? - freefincal,freefincal,https://news.google.com/rss/articles/CBMibkFVX3lxTE51aDVSRXBaRlBLU3BFcmVmWUJsekp5bWxjY19INnBHMjl1N2VlbDVmS3JqN0tGWVlfSEV1eEJoUWNOWkNfdG94cHFWNU5hbDlJTkhwZ3VmaEFJcVg3bVdpeTZ1WlVoaTJWZVcwT1hB?oc=5
ADANIPOWER.NS,2021-01-19 08:00:00,TOTAL France to acquire 20% stake in Adani Green Energy for $2.5 bn - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxObl84QVFCYjRKT0dQYlVzdUUtT2VWQWhqaHNkTlh1QW5ZZ1ZxMHFZYnl3dGlWY1U3WUNkTm5zM0dxOU8wZmdveU9Sb2hxU3pBdk1icmFHUnB3MDdkNS05T1NrMF9FSFltRWQycjJEdzJzR2dON1M3VlFrNm1TTUxRRVVjaWE2aExGbmpXUEZTclhpenZ3LVd0M0VYMUZSUnVLb3ZnNTRSZGRhQ0gxaTRvMmg4MkZXZHgtdXZ4YklhZENmSldBeU1zS3F0R2ZHb0U1VFVZ0gHYAUFVX3lxTFBIZ2JGWmltbzZTeU9EVWwyakhVRlBmWWl5U2xGTFhjMFZhNjEyS0lqLWNTcy1ncS02a3liNUhTelRPME1abFllMmlhclZGVVN5Uk52T212bDdxVG5VWTFIVW82MWJ5dGptSkhKRmV1amExMXNsQW1GTjVxVnZuWWljSTdublloVG0wYVEyTENicEFfMDh5UjNTXzVWMmp2dGkwZjhoSFVmUkltODc2U2Zpc1ZUV0o0X0h0cVVfc2RuWDFUbm95MnppSlBjN0ZaMjJxRU1nRk40dw?oc=5
ADANIPOWER.NS,2020-12-31 08:00:00,"Shining stars of 2020: Stocks that surged up to 2,300% after selloff - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQV1dJTThJRmpOQ1ZIdjJ0a2tKZEszYWZPeERCUU0yMmJzdTI1MXlkOWVHQUFfR1pEMm5vbUJxTDlIUFhTWmFlNDZlU3JuS0Z1LXJXbDJvVW52dm9SdnJoZHZNYk1pc0tLMnRzREVVWFFsNzJlOVZZMnBSOTBMLWxHQkV3Q3BwbTIwdG00OEZ1czJuT0p3QkpnZTU2MXB0c21kaWR1MUJ3NERQT25BeGNhTHRNV3dBclRjU2dNS1dlbUhBRjB6UXhPczF3Z2VvM0JvenBBRdIB2gFBVV95cUxNemxOWk5NUmRKTG9RQ0EwMm96YWl4YzhtNWVORTJVeW82c1hnTC05U3BFVFdfaC00VmJOSmF1QURSSjAwSm9ZWFhxaXJnaG5yN2ViVkdTX2IwaEUxSk1ubVdkVVJXVlJ5WTRBbnFrdG5WVU1mU0YxblBMdUZUNUlyX004bW5hdW9ybkZPQzNLSDU1S3dNRFBGYlVMTXJRclBoZGU2WDQ1Zk9hSUV4bTBGZnd6dWxNMUt1cWxUeFNjdjNONWdiczhOOW9WdVFXc3lfUC1zdk1YTXFOZw?oc=5
ADANIPOWER.NS,2021-01-18 08:00:00,"Total in $2.5 billion deal to buy 20% in Adani green arm, 50% of 2 GW operating solar projects - Times of India",Times of India,https://news.google.com/rss/articles/CBMihgJBVV95cUxQRUc0aXlNOG51UlVWeEllazI2OGJCTmJ0YWViTi1Xd2g4dVVNZEtIeTM0YXNtMWpRZHlmcmc0R21CWVFReTNBRTVjME5hRzFyVXQ3WFVfTVZhcVgwLVJMd2RKX1JhOVo5RmxMMmYweDlRNVV0QkppTnN0TzRfcDM5UHpuSEp5Z2dGM0t1RGdZVUlaa2h0SXFLVUJDb1UxTjJWd19kVEdnT3EwYS11amUtN3BUckZHdTlIS1BHVHlyZ2xvZlliWmF3X0J3eEViM3RwWHBLc0d3NklaSG85eE5EYUJHWDV2bjFMTVFudllSZDVObWVKal9wdzBpRlNIdzBTdFBvcmJB0gGLAkFVX3lxTFBTT284bzJkMHRkUmt5eGlaNVo1dUZzNkl4b0VfeER3NDRpcnZVQzdFWGdhU2VISkpUZjVTaHJkWUI5RzdCcDAxamFLT3k0NWNfYnFFVjY3cjRhU1BLVENLbFg0ZVB6Mi1GNWpXX1RzcWJPVVlWTEpyMGZvamJiTms2dnJ6LUhFTlotX3lGd1Y0ZHBsNV95c3g5VXBiQlp4czBBMHNrZkVYZVFBLWhSazVvVWozSzlXdGtGX0RfSm96djl4eU9nNEpMWDl4cUdVanp5MFVTODVCQjJPWTRBSGttRF90QUc2UmtJMnA4ZGpKcVREMlJ5VTZMSk5kUk5uNVRHUUZ1eS11RkJzYw?oc=5
ADANIPOWER.NS,2021-01-18 08:00:00,Total to acquire 20 % stake in Adani Green Energy - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQR1lObnRPTXR4dGswNjBabEM1QWRfRnJXQ1RJb1FERzBxYnIzanZpMVBWbWF1Z2tlXzdiOTRxb0pwNnk1bmhPU3VfQjVobEdCSkNabjU0VzJmQzFvU01sMHZCOG52Ujh0S2RTajQwMld1eVhYeUhVTkRtdDk3d3N5NkRvRXoyNnZsLU5kZnVBbjNqd04wVTJLQnlqVVk0RzgtQUZwSGQ3cThubjjSAbABQVVfeXFMTU5SYmpqYUFQTTlmWkl0d05XMHM5bGZhYTg5c0M0cWIwRnMxTW44UE9zU19EV0xLYTdKWTBSTUxXYXJLd1F5Y3d3YlRBSE9HZ1lXZk5rS1NJbHcyS1EyVTd2Z0JxWWZxOXNuenViR2JpQ3NfakRLa2FBRE0tMkdGQlplM003cG5MeDhENE9SZ2tVTVBUNDdUNkcxX0VjZ3ZOeVVzTDlub1FVZWFJUHNQbG0?oc=5
ADANIPOWER.NS,2021-01-20 08:00:00,Adani Solar Energy commissions 150 MW solar power project in Kutchh - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPWHBHZ1ZnTHZkMDVIUWExR1REd2I4NVhjd1BmRnl0RmsyY2NNRjNqSlRyMnBscE9xR0hUUUdiVVFGd2QxYUNHaFdhVVdxODBlR2UxTTQ2VktmVFIzM2F6SFo4WkcyaVQxY0dIVVpkN1VyM2d6LWY5NE9mTk9FUk5NNGlidmhwUEJOZjJUNVZaaTI5Q2FSTW0wODBTWUsta0FJSU5jT0FHWHVoTWJFbUlTOHY2V0VqdlBWRG5NcDFURHV3bENHRjF6a1B1TFpNdG0tVXdjc09B0gHbAUFVX3lxTE5sdGdQUXhHdnJmdW1hOTVITVhsWXZjX0lBbm9IaHJJTnEyMlJ2d19zZEwxZnAwSks1alY4SnJxNG41WHV6a1BJY1R1d1NzcEw5RDdMOXlmS05iM0NuUTdiM1JBQVR4R3VnN3dxYks0ZXoteS1wWUx6aEJ5ZzZ6d2RsTGtfY0k1Y0dIUTFyaTg0QmpPbzhDUnY0UFk1dDJ4dnp1TjVwdklpdXVSejFqV0ljZ2l1MUdVcEh3WVNtbkxMM0VVc2dwUVFMX19rNkgwNU1CdVVXVnlfZzhnRQ?oc=5
ADANIPOWER.NS,2021-01-19 08:00:00,"Adani Green sells 20% stake, 50% in solar projects to Total - Times of India",Times of India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNYUxQQTF5R3VRMWcwRWo4R01NR1UtUXdmX3BmOU53MHFFUnZCcnZuVkhwUldMZmloemhJZnYwYnh6VXU2MGNuOEkwVGlUUnYzcHVOUEdOWXhtYVN5a0daWnA4VmxVTHYzQjB3eHNudE1HOHdmN250LV9XX2R6SUUyRG5jOHBtbnlTdnN2UTRzdlFaNjc1TTBTbm9pcFBFRTFOMjhmRG5QN0czbGJSc04xTnRMaDhVOGFhdDk3LW4tc1RILTNaR19CZDZUUkp2dURFZDdVTl9ETzbSAd4BQVVfeXFMT25SMlNZY3NLVHBad1RoRjBYNFVjLWNvLVlhcDlfQ2wzRWFkcWowM20yOHNJSk1tUFpCNFFUVExWb25NRnNPbFlrUVpzalh2ZmtoRnM1cnBlZE9fNkdMUk02bVYyNFowcnBqa19fOXlrdk9zUEJaeXdnYzNUMkljbkNqNUMyWHZMV1RZNWpLT2lMbFpWVDFILUc2REdRbTZ3WnRzMzRnc09HaTliWkFmeWt4bjBuWVFIVXlxNERKVFp5Z1NFdGRiaTRYTXJTVzFOUzFmeW1iOGRLUUFxa2ln?oc=5
ADANIPOWER.NS,2021-01-11 08:00:00,"Sensex ends above 49k for the first time, Nifty at 14,485; IT, auto stocks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxOODhQdTg0ZFBSZnFyUVJlMEt5Vzdid3hOVHMzVE53dm8wOVBsODk4LXpvMXBtWWxFTmIzclAwSGZnbnYtOHhiaHFMUjBiSzd3TVVodWFCdG9Ic0xwZHpiMFdKdVJJMVpzcXFqMjUzTHpyMTZWNUFfTS1qSjlvVEYzX2g3SjdsbmV2cllaOFo1THJiX3hIYXduWTV4dEZOZTJJeGNMV1F4cTVYS1Jpd3VseGl0TTJqT0NIZ0p5dtIBwgFBVV95cUxOdTQzOTZWRTBMRm5tbEJWSzJFck04ZURHbjlybndsX0ZVckU5blFYazF3dkVOM2pyZmNfNmxqdTVwdkxOQnNlcVVvUndNMWUwSGZWWWtxRjBwdHU2dkVTcnNNZEV1Tnc1aGRVVUlnalY1NTdyWmNFVExJNnJZUzB3Z3lVcXlfZ0JEc2stdzZvbGJJMVUzdnd3OUpSbkw5dmxHeGJmV29ybEgwbUR3eHhNc01faTBMdVdBSWFQS2IzVlhyUQ?oc=5
ADANIPOWER.NS,2020-12-30 08:00:00,7 stocks that analysts recommend buying for handsome short-term gains - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMipgJBVV95cUxQRDV2MEFqTkI5WjBqamt4TlhBaEZ1S00xUUpaZFZJbzVRaVAtLU93SUd1UkVkVnlTZWJtb25hb3RELV9FRm8xenN6WC1GbmhtZkZZM0VqYmdtd1U5MzdkYXZ3ZkhpelpSRnQ0d3F6aTY1MTJCajFtNzYzMGJnOXUwR0Q2T0xHemN5UkdYVnN4eHVQeV8wc1o0Z25KYmo4TWU1LVZmS01aUlV2OWxmTUJaTU9VUmU5TE1TLU9DRmNrc2Q3a3dySFFqMGpkZnFlX2hyamlhb0xjd1VnckdSVDFBd0I0Q1RLeFJFelM1SzlzZFhQcS1oOWdqUkFWbmEzeUpUU05sXzZSTU8xTjIyQThQdDVGdjVEQkZESkJ3OGhydlNnRXRlZEE?oc=5
