Ticker,Date,Title,Source,Link
AFFLE.NS,2020-12-31 08:00:00,"Shining stars of 2020: Stocks that surged up to 2,300% after selloff - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQV1dJTThJRmpOQ1ZIdjJ0a2tKZEszYWZPeERCUU0yMmJzdTI1MXlkOWVHQUFfR1pEMm5vbUJxTDlIUFhTWmFlNDZlU3JuS0Z1LXJXbDJvVW52dm9SdnJoZHZNYk1pc0tLMnRzREVVWFFsNzJlOVZZMnBSOTBMLWxHQkV3Q3BwbTIwdG00OEZ1czJuT0p3QkpnZTU2MXB0c21kaWR1MUJ3NERQT25BeGNhTHRNV3dBclRjU2dNS1dlbUhBRjB6UXhPczF3Z2VvM0JvenBBRdIB2gFBVV95cUxNemxOWk5NUmRKTG9RQ0EwMm96YWl4YzhtNWVORTJVeW82c1hnTC05U3BFVFdfaC00VmJOSmF1QURSSjAwSm9ZWFhxaXJnaG5yN2ViVkdTX2IwaEUxSk1ubVdkVVJXVlJ5WTRBbnFrdG5WVU1mU0YxblBMdUZUNUlyX004bW5hdW9ybkZPQzNLSDU1S3dNRFBGYlVMTXJRclBoZGU2WDQ1Zk9hSUV4bTBGZnd6dWxNMUt1cWxUeFNjdjNONWdiczhOOW9WdVFXc3lfUC1zdk1YTXFOZw?oc=5
AFFLE.NS,2020-12-30 08:00:00,Stocks that performed well in 2020 in India - The Hans India,The Hans India,https://news.google.com/rss/articles/CBMikgFBVV95cUxQa3JwQTRKYnFKOUxYam5tSWRvTjRHVHJvaW0zQ0ZYLWk4RHQ0TDY3MXFWTGljU2MzUFMzTm9DZmRCTTZRWm9IYzJmejZGbk55ODh2eTkxbnQ0MFJQQk02cEc2azRuQ0hHbnowS2RfUDFKM1pIN1lPcTZYOGJYb3FGVjVIdVhMbzhSYU5zUURRZUNhZ9IBlwFBVV95cUxQSmNjaTRaZ241a0I3V1lURVNLU0hqNWlrVXhFNkg3c3NGWmdRNU9zbzJHR3lENzlsc3l2cFNsZWllWGlFRkt2TnN1RHhzVXA1Ukhyd0tKc3E0UnhpSHNZYUpGT2UwRVhEcUF3LV9iODZITHFHczc4X1JUTTlpOWZ6TmYxZm4xTHR5TXVaUF9SUnhFSDU3SkU4?oc=5
AFFLE.NS,2020-12-31 08:00:00,Time to bet on low beta? Nearly 30 stocks with Beta less than 1 more than doubled in 2020 - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi5wFBVV95cUxONmhHSUNxZWY2ekpnMVpnZXZMQkRQVUlSUGRSTk9vcEtWd3BEek9jR0Rwd1NuT3c4aFZIVGVZeDk2TlpkQWROYW1aeVJXYU51X3pPOTAyMEJfbkl5dnB2MXY3bXhOYnhvYWI2X1VIV3NVb2M4OW1US0gwaEo2UG94akVCeC1hUGRGX2FRWUk2ZE9Ldmc1NXg1aGpPQW5DZDlnVUNuZFVSUHE5WGRtWEJFNWx3SXN3MFVvc0ZTMXNBMmNXR0UzY1FTZVl3ZEEwZUZjLWo4VHVwNWk3Y3I3U0lqOTVfSEtlOWvSAewBQVVfeXFMUDJlQUFZU1BUYm9hNkZoM0ZtUFFrbVRiSHpOOXNGcDhnSnJKOG5uWFgzUThjUHpveVVTc2tFTXlULWw0a2hkZHJ5UW4wdHZpd0JWclh0OHllckpUazlrYi0wQldaMFBjemMyR2IwY21kVzNZdFhEbGlVRXEtR0duR3VxenNZczJMMzlnaXlfekljNEJSUkp0S2cxZllmal9tRTN6V1JUeHE3Nnl1Z21iNDduNkhzY2VNYk02dkk5R3p4NEFOU2k2Z1JQaXJ2OGd0anRCTDhwRjc3RXNLXzh5ZHBSLVdMYjFRaE1md18?oc=5
AFFLE.NS,2021-02-25 08:00:00,"Closing Bell: Nifty ends Feb series near 15,100, Sensex jumps 257 pts led by metal, energy stocks - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi9AJBVV95cUxPaU4xdVVYZ0VzWktxUTE4Q2c5czZzd2lBRlh3TVRKX2hGbmgtb3djUnNpdVA1WGVCNlktczNzSFI5UVFNcXlSb1lkOFhTUWtsdTl0dG5xN0EwZmQtQ1ZVMUdrVVpzTklzeU5uWWN5dVFiRTg1NHlEU1Atdl9VNHhYb0VVRXZJSTFDRWZrTkVNSnh0am9vLVBVSHBzS2NmRW5TTk1Ec0cwci04ZGJDNVA0X0hFTExmUWtnUUJaeTNteU5WX29Xc2poWjBHZ0RpUzVoSmwwVEExZUtqREdnT1RvSmN0bDJRellhM2VmSVZZMzJmU3BYUTEtZWdtN3dBMjhtaGdrNXR3RmRBTEhvRE9QbldUWjl3YkpWS3J6TnVxZkM2aHc0bTdnZFAyZTNzeFN2YkFZT3ZWZmF0UG5LZmJieHhzcHRrTE9EaVA2eEdiX2FQZmp3MUZSVDdmRkZQS195cnV6bGpjVXNIeFN0M3Z1dzRHRy3SAfoCQVVfeXFMTmIzajFuZ0NxTEVIa01UbU5DVWV0dGZqU21jTFlySzY2b25nY28xVkJuRTl2Y0hCTVVfWmR5RjlVM0lkNWZfRXF5SE9GZ1V1RmdZWHU1VkVYTUsyN3JBZld4ZkZNZGZqUl9PbHl0NXhxNTk5LTRZeU5WWW44dk9rc1h6bUo4UVZnYnFtWDZmMzVxUEJmcFVGd3ZRQUNQbUtmaTdhUTN5YW1KRWNrLVVqMllkT25fQVZERWlXZDFXcllPVGRUZjhvdUVxTzZnU2xfM1FSdFBWNzgwYUoyQ2VSbU90eHVmU0JLX0JBeFY5clJXZFVuWmNUWnRJa01BRzhTLWV0Mkl0UHM4eFdsT0piNUJRX3IwNEFyQlRMYi1tdWtzbGFzdmxFYnNFMWVVYnpBd2Nwb1VnMHVQSHFrRURCdEt1QmtPdU5yZVVUVlRCa0szajNwQXVpejhkS1lsVzIwbEVWRGJCNEhad3U1ZXZidnRNeEJvVDJHdXFR?oc=5
AFFLE.NS,2021-03-29 07:00:00,Unique listed companies: Part 1 - Value Research,Value Research,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaFprM09ReXNqdkMyTjRPNjRuX3J5VDFuREwybnlsZUlvdE9rLTU4SmpmOThKWlh3S3dWS1JTZEliM3VyVEhVQTQxakFzcDZPWG8yMmo3M21SYloxVGFhRGphOXZkZEx1bjBTN2JqeWV3U2lzZWZSZmRnTG15eXlseU9td3kyS2lO?oc=5
AFFLE.NS,2021-04-12 07:00:00,Prabhat Dairy to be delisted from BSE and NSE on April 30 - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMixgFBVV95cUxQRWVnU21lNXI4Z2didTBOLUdoeHFkRHh1eUxqZng2dWIxUmJZeDlYaWdPakxLVlpLSXV0YjVHSmh5Z0F3ZGlrb3A1bERyWXhQeE5ZVm1GbEptLUJLZDVRUzhwMVhNQnBZODRXTUFDeF8tb19wQVRjUDZvYnk0NTBFdlNBell1NDZXclEtczlUNUxlQ3E2eFU2Q3RpbFZ3OS15WHgxUzh3UW9yU1dhMEVpUWlYbV9zZGZWOTFOR2F5YWgzcmp5X1HSAcsBQVVfeXFMUDc4SGFFdUUzR2VJS3paZi1WNk1lRmc1c05EOU1pRXVtVVFwX19lNVA0MkUyelQ5SnBmSU1CRFZpNEFTVjN4MXhSSlJVM21rcmdqM1FwYlFTYUVSOHVSRzdGb3NCMFFNd2o5YXhvRW5saVIyZXppclZLSkYyU0hPOUI5ZG1vOVF5QjRtMHR0c2VvZDl0TGdHV0d4VDI2N0FZZkVuUk52M1JnVGZxejEwNkdmZjYwbU13WkFwM0ZUS3VLS1ViTEdOUzBQOWM?oc=5
AFFLE.NS,2021-04-01 07:00:00,InMobi to list on Nasdaq by December at $15 billion valuation - Times of India,Times of India,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOaWZjaFdjbjZyWVdTb21TcEx0OG9sWWVqajE4Wi1vR2dmN2dBMWtjVEJiR252V3lvcjRHcFZfTF9WZWlRckVEdFhXd1VneU9VOHdHMl9iOUxNckE1ZUJmcFdtUXIxYVFGMTF6S2ZBTDdZUzFLNHNZal9YWXY1OS1VdWdWU3A2aTVCNVRDY2taWUdwOXRnUzk1SHNIRndGa0R6TUNaRFg2UHl2eVRpNHlOX0hhSTZmdzBpSmJXMTN6d05ac05RMjZSeTF6OUZXRWdfbFRyS2F4Z3k2dERSZUHSAeMBQVVfeXFMTzg3TEdDdDRLdXdod1VfcWJhZUN4RDYxNjNRM1o2MUdfcWZGdUFfQnYzTjhPT2FjdE1HdGZiUndDX2FYRnFIcTJXZmxLU0ZSWDdlMjZkOF9Tc2pfZDRBQ2dOaVEtaDJEZ0E0aVY5eFgzYld3UF9WaTFPT1ZTWUlMRUtEeF9sS1hBT3gyTWp6NHA5U2dob2lqVzFNbEQwOEVWbVdmX05YakR5LS1BTUVlMkJPYzRzWjE5LWhpR1YxYUlTbU4wTkJmZjBQeHoxSUM1dFFnMm5mYTVaaE9NMWhEbVNPLUk?oc=5
AFFLE.NS,2021-05-24 07:00:00,ETtech Exclusive: PhonePe's Indus OS deal in a legal tangle - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi6AFBVV95cUxONVVzVEV5NEVoVWxlNm1iNV9hRXA1azhRSmZBSnlrM19XdllHOFJMdDVFbndYcHlmTlcyVVFPVHVBWTRnaFVGR0ZTRjJXSGVKOWVHQXlKQVVIQzhFeWYtMmJEZjdNbE52QV9DeGxJM19PNEpsbV9Ba2ZJb252ano3Q2V4ZkUzdVFZczVEUGJtOXZLZTZrejMxS09XQ2Jsa0dCX092THEyYzRiN3VQLUdydzRnUzF2MjdGeHotRnJ1cTdaZlk0TS00aVByWXQ0WUh0M0JfVmpCVTNfSko5TklrRnRnTFNUUERf0gHuAUFVX3lxTE1kVl9fU29NY2xPX3pjbVJlNkRJSElsZHVWdERmOVBwdzJwcHY0OHdhQWt4Sjg0dlU4SXMyU2pVRnpHX0lWQ3o2bFlQb1dpV1dYa3dxSF9JYlRRWGRKaTNrcXFRNmZMSW1Ra1BRVERvV3NId1c2Um44a2lkSDdOM1dJYmtaa0Y2REM5WVhRZ3BlS0Z0THJCeGFHQ2ptNDR1THU4QnJTeGFvZ0g5Ymh0aXZZX25MSkIwX1RzeE5uUHh4SWNuSjV1bnVsOUxsbzZrZ05kcTcyTzJmZUNWMmY4WHdFdEhZTDZrZnM2TDg4Y0E?oc=5
AFFLE.NS,2021-05-03 07:00:00,Ten years ago: Ferryhill ex-miner hits gold in lottery win - The Northern Echo,The Northern Echo,https://news.google.com/rss/articles/CBMipgFBVV95cUxPRTBFODJRbGJ0TVJ0YU9mWmhES1B4TlJIcDJHczlULWZja0hNM1NHdjVNLXA1VTMyZEMxZzJhd1hLNHdPbXBJc3hQTVJidkpTVVRrZ3gyOVAxUEI2alZXTjdFQlRydGllLVVCRXp1aDlvcXNrdjViWGxYWTd5Vk80eEw1ZG02QVVQNHRtSFpDejQzS1NLS0RuejV4dkRJamZMbWIxRUZn?oc=5
AFFLE.NS,2021-06-27 07:00:00,"Affle Global claims victory in IndusOS lawsuit, PhonePe refutes - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxNRnFLQ2UyVjFzWGU4cm02dmNIc0ZwRUtLQW9vZnlKTnU0bi0wMHJGcC04cnJWaUM5TTJSR0FxVTFSeTFMMTJid2xFdGhsMU9wQmxBUlJ3aGVUX0tNMmVOZ0F2VERROUNPUHpQNkVYMk1WWnltczloTDVnOUwwU2VJSjUyQjVfMzhoMnotbnZRS0s2LWNOTkVNVmUxS2NGaDd6ZTdTUHVhWU1iZUx5THZmVm1NM09GTVJkLVZnYUdSb9IBxAFBVV95cUxNaG43b2FrN0s4SE9hNVVXWlZ6VnV3NlcxM0VESU1rcEprT003WkZfRjJocUJMazBJU1MzSnJ6M0RXa0UyVTBveE93SmozMFR5T2dBSmFrQW5IT041Xy1VOXNDdHZ6TXlKZEVLT3laTzZ4S3BYUzlVNFZhSDEyNWYySTlVZVVNaTh0YnIzOHlhTEhtSVhYdXJOQjFtRmlOOWRobWNCWkxwZUpaekkwbUJNOVpLOHlFWnROYWZQRE5rWFh6ck8w?oc=5
