Ticker,Date,Title,Source,Link
AIAENG.NS,2021-07-27 07:00:00,Bhadresh Shah - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYzhMMHdQd3QzSm1sVXhlSW9oOG9ObTlfSkFEWkZVSk9GYzBlSFA3bUJ4YWQ0bENhU3hsZjBxX0wtOWhtVGFpWVhLT05PVWJyUzU0MTloaGpsTzk0TnBScHNreFhrTlZhN2hQZWxUVmJUd3hVVklQUWVrbVR5VkpTVTZQVFFEMXU1ZGV3eTl3M3ZNVG4xeFZmRVdkSElfZ0NoTy1EMg?oc=5
AIAENG.NS,2021-07-27 07:00:00,Bhadresh Shah - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYzhMMHdQd3QzSm1sVXhlSW9oOG9ObTlfSkFEWkZVSk9GYzBlSFA3bUJ4YWQ0bENhU3hsZjBxX0wtOWhtVGFpWVhLT05PVWJyUzU0MTloaGpsTzk0TnBScHNreFhrTlZhN2hQZWxUVmJUd3hVVklQUWVrbVR5VkpTVTZQVFFEMXU1ZGV3eTl3M3ZNVG4xeFZmRVdkSElfZ0NoTy1EMg?oc=5
AIAENG.NS,2021-12-21 08:00:00,Indian Oil Corporation acquires 5% stake of Indian Energy Exchange's subsidiary - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPVDAtWll0MG1oNi1DcWtFbGhZTWZlVU16S1IydjUwcFF5WC01QTB2Nm1lVFRDUU1hS0xNMGlZX2d6eU5ZVGlNSUY1MlJ3WEVXODRqb3FjaThGN3o2QVhrZlVmNGJpWUNVLUZES082eVdYaFBmZndDMVMzajB6dWdiejF1d3M1VTRqZXZyZkdIYkFhQkluNjFrTExpRHgtaGtKQWNYX2FSLUtJNXhVM0h3M2dkdW1VSXByQWNjTmxQdDJvY1dMVVROWVA5WF9Fa3lKR0pwdm9aRTNtbUxpbTNhVmJB0gHnAUFVX3lxTE1uQi1RODBmWjZ3WG4zVXY0NzMtbnZfS2xnTENsVTVzdmpXNl9USmwzX2ctdU85bHFnM19sVWxaU29QZTAtSHBsQTVMMkNkY1JoUjk5aE5RLTlNUVZILWIzcWRwT0xJTUxyWWJYM0F5RHZYWmV2Y3RoRlpUSmI4X2N1d3N4LURNaFY1ZTZNS3Y0cHQ0V1JHRnFTNnAwcVA2OTBZVHo1MTk1ejZaX21samxLN1g5bU40VXFfUzZLcXpUalpaVHBNOXRqSjdNVTd4eDhRRmlzX2ttay1XV3BlWXRHUnF3Tks2dw?oc=5
AIAENG.NS,2021-12-01 08:00:00,Tega Industries IPO Fully Subscribed Within 1 Hour. Know Brokerage Houses View - Outlook India,Outlook India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxORHB6V1FGcFFSXzBhN0Faaml4eUgyYUtNQU1TNDQ4SG1QVmRsUW1ZZmVwdVZuU2hDUHg0bWVadUlYclBuQXBiMW1zZ2dzdkxIUmVnNEtUb3E5c2ZUUjhoU05GbENqNVNlMnpfbElFNGo0eG1XQmdLTHJ4UTVINjJOX3hmVGQ0YTZrdXduTmYyNl90Tm1MQ2txSkN3MUwxRHc1bm40YXBiMXZOQ1VOdlQyaG9nZ1F3dzFDSndHOWRMWjVSallfc0VueHI3UTRULS05ckROVHBKWk7SAeYBQVVfeXFMUDBCSl9CNmRacXFGUE9TZ3hjVXNkbmM0N28xcF9obGF0QWs4ZjhKMjc5NWpPQzkzdldva2NieTJuWTQ0Q0djQTZxYmlVaE1sZG11bC02Q0hiWnNKRGF6SXhGZjlPaUgycl95c0NQZXN2MXZSYkdFQS1memxEYjhXVzNiREFyWERiX1E1LTdzZGc0V01TTjd3WUlLV1pBVlZtOEc0UWxKUVFNZ3Y0NlpEVjA2VDkxNU43S3c5UEV5cE4wYllMcVJVZVFtMFNHVk5ybEdZZTdEcElyQnp2RVJzVjVhTUJicHc?oc=5
AIAENG.NS,2022-01-28 08:00:00,"AIA Engineering Standalone December 2021 Net Sales at Rs 836.39 crore, up 27.65% Y-o-Y - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOV3ZpNFF3djgtWlYyY1QwMXg1Y3YxWURSQ08wUkR2Vk9HNkpXNXlWRVE0WE9FVTE5WVBTZDJrR3N4ekNMSk1uMmxadlJna2lPNlpNRlRZZnV3U3lPSjVsRHBaek5ZNGNhNTRDMHNGLXRiTmh3R19tX1ItcklZdEZpU0xJdjVISlNtMUlNWVFGQzhmXzlBczBaSWRVYWF2ZUtBVjNSR2NXUF8wOS1VeldsMVphTTFacG9NRmJfWk1OZ1BDTGR1ZGlUaU1nUFRfak9wai1tbFo1YTZPWmNHVDhRUUlQWdIB6AFBVV95cUxQRVBtczlVNXpwWU1CaXBNYUk5MjZuN1BEeEl5M2c4dnNackQyTXFDMVlFbVVjaWtFNjNibm1oc2VhQU5rZDUzNHFYLVR4MzhTd3RkbVFwRUMwX2ZMM0VKd2poM2I0aFVwNDl4ck4wdDRwV0dEREpySWk0UTBqazVRYThNaVZ0aXRtaU5kUlFrSjZfYjF5dXBCcURsSURCQVBXVWNidEhrY3A0LTJteV84d3h0SC1UMWdvandzQ1BVUDZtVGg3OUxEdVd4V3RyMzZsSnRpNi1SYm4wal92QkVaVVViLTQwbXRl?oc=5
AIAENG.NS,2022-05-10 07:00:00,Ahmedabad: Engineering firm employee booked for ‘corporate espionage’ - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMitwFBVV95cUxOblpxdjNPNnRHOFh4eGxXOE9KVXhwdkY0Zkw5OWxseGgxREZXa2N0NTM5N2VndHFHVG9wd1FCdEw5aUZPSmZFX0h4UG9mZGtQaWkwaFlwZVhkUGlLRGhMZ25GSGdkTU5PbXpTa0Rnb0xCR0RNYlFUbGxPQ3dPcHVFb2RMZHVQZklOOG9zUlM5LVRwNVlhRk9LRjlOMkFlRUM4YlhCZ1ktLVlMdHBOejhvQ1A0OUwyNVnSAb4BQVVfeXFMUFREbzNPVy1BVkV6RWhRZFJyZlZ0NWp4Sll4TnZzNkdCVmZsdVFmc1VIWWRtX0FSV0kya0lNWDRWV1R2WDhmMlktS1J5TkpNQ0ZWejhrS0wxOHFZOS1ub2xjdWw1RExnWkdFSXlLemJtdFhfYkNoZWpVYS02R2xJbTh2M2hoV2c5MzVzNEdNekdGc3M4T1JsRjFrNVlxdmZJWWtxVVJZeGVQcUlWQUVBTFpTOFAxaTNsOTdpdHUxQQ?oc=5
AIAENG.NS,2022-05-26 07:00:00,AIA Engineering gains 6% post March quarter results - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMivAFBVV95cUxOT0hRdGs2ZFZfQWdSeWh5TmdyOWsxQ3BveUdPbDRKNVhkSy0wWlZNR1MydEFDajF2N19MdFJOLXRGdHpIM1lRUG9waVZpSzU0UzlZQ2JPV00wZ2V4UXpfWjJtTjhiRzNqZUtoZFJ2SFZZbm9PdGRKZkNNaXdpMjdyNWtwbkM3NzJoSnZIQWRtQjljLWw2QmpROXc1eDYwM1BzNUU5YzZaejFId2sycjJKdHN0UldFb3pfRm1Cb9IBwgFBVV95cUxQVHFpVkQ4aTd0bGpabzRINWNEeWpCN2NkRVNxYjZxd1VqbzJzYlFaM2gteGhlS0JZQU04dXFKZ1I3ZzN5YW5LWUhQX0dpY1o4WVh5VE9lZi1CdXVySTFrdklkaTVnUkc1ODVQZDVfLWlJcTJFMGdjbXpqU09LdTRIYU02YzQwNm9UQXRya3RQQjlMdE1haWJ0TW50cDUtTWxSbklIS1NRY1kzYldfaVVoc1J4cEYwdlZvZnVOTEFwclE4Zw?oc=5
AIAENG.NS,2022-05-31 07:00:00,Stock market update: Nifty IT index falls 0.25% - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQVEswSVgtdFFBV2hHLTc3bjVRRU9tQ2xXajZUNGkweDkyVEdFcWsyMWFHd0F2VlBfM0k5NlFhYllXaThlanU3UW9rTzk3TnJCTlRpV1NtTEtlRTJOdGdSTF9hajBrZnFuaF9BUEpHSE5ydE9uY194dDVvaURoZWhSLTc3Y2pDOXR4MTMyMW9CYjdqTFJmY3N4R3NYMWEyVVN5WGwxQkpFZnRYOUE0aVBVT1FURDFYSTY0UW5pT0lDR01QNjDSAcgBQVVfeXFMTVBpc2Fjam83a1ppb0plUlp5cmkzU1A1c181VkJCYWgxYnpJMk1jUTlMb1VuTEFHU2lfdzBab1o0clprMVczVWZNNkI4UDQ3a0FFeDRTZGptNjJyZkxpUEV2S0V5ZEN4NDBZTjc4VGh0X3JnU1cwcGpiS2FIWkgwcE9pd2ZTZ05kSnAzRVVJeTFiNHU1S2RSZ3FLb2UzSDhIbDFXVlA2NS1TWkc1Um92WDhwU2ZxeU9FUDU0WW9qX2l2NnhEQVVMV2k?oc=5
AIAENG.NS,2022-07-21 07:00:00,Stocks of five Gujarat companies hit all-time high - Times of India,Times of India,https://news.google.com/rss/articles/CBMixAFBVV95cUxPN1FSOExZN1czcllSZVBZNzV2TllBd0RPVTlmdUFFQXAxell5VGhOWDBlZ3k3dVhmZlFIVzFKOW9yVGJhVU82YVUzRVZZWnctU09xQXVMcXlLSmx5OGJSVHlTcEY0elg3V2pWMmRoczY2R1hVeGZBYkhMWWJiaTJxSUxoV0M5R1ozaFNDZnlkenVmSUNXTnNhR1RqdlJ0N242NUJ3SGNzUjRTVXpmdnBYXzNyZlBZallVVFFBX1NpNzRLM3Rk0gHKAUFVX3lxTE9CQlNnaUJJdjVwTm11anpFZFl1NS1CcDBxaER2c25JMU0tdnFleGRMMzBYQ1g0Nld3M2d6YXFNVEJYYndOYzVrdTJybTFVX0ZYU3ZmZ25XcXV1eXJfZGRBUmdsYXlLcEJZM1hDQW1KMUJuNjdKY0tIYnluOFBwYWJEU1l3Qy0wa2VMc2RYLUNPWlExNGhtNkV6S1Y1YXBkSkk1d2Q5bVhSQU1wOGU0S05qczNfNTN4dkM2M01GdDJIdU5xZmpVQS1DNWc?oc=5
AIAENG.NS,2022-08-09 07:00:00,Momentum Mid-caps | Some ULIP mid-cap funds deliver up to 20% returns through 10 years - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi-wFBVV95cUxNUmFMeGNkOHUySE0wbjhNVVdIVldfSmhwOHdneHFobDYzSnJLVURKLXBndFljSTNYNzdsVkJ1YUtpV0V6T0c2TUM5QlBLZUtza3k0SXRDaTJiYk83T3phbkU4dVpQNENxSWhoUDZtWTZsbUFhaUhFNUNLNS1Nakk4SURYZ1FWbVY5Q0liNWtsb2pfWFlqME5USU0tcmVaem5yd3NDbE83NmZxaTN4MjF3NjNpWmdlanRhWl91MnN4Vi1PQk9kdnRHUFF6NWI5MExfZGtZcDV6V2tkQmszVUU5ODd5OFVzck5tdG9KYnBwTUpOMFR3STBaWnM2d9IBgAJBVV95cUxPOGJoTmZVU0FqVjVSOVFIb0JUb1luaG1kT0FzTnM5elR3Nm5mMXppVGV6UWhkSld5OERTLWxMUmZQcFVCYjc2a1pPV3YyZC0zYkVmZGFSZ3BHMTMzV01uQW5Eb2pFblFfNzM0YzZuV1lfUUlERkVkZFlrdVozWUF0amsxS3hudXpzVzdNWVZmcko1THd6bUVpeXZlM0hLdDkzM2tfS3FfN25jVGRncHoxN04xS0wzRjk4dExUVzFOVmtXUEN3QjNwR3BXWGpHMkFUMFJvaDFZdHYwV1hKUUFWUlRQbHdiRTI5TE9uYkNTekhiOVNkTmNxQ0NkSFhrS2tj?oc=5
