Ticker,Date,Title,Source,Link
ALIVUS.NS,2023-09-23 07:00:00,Nirma's acquisition of majority stake in Glenmark Life Sciences to make Glenmark Pharma debt-free - Business Today,Business Today,https://news.google.com/rss/articles/CBMi-gFBVV95cUxNU0VrQ2FHRDl1N3B3cG4xZTd3ZlZoc1d1NmpCQzF4SWFKWkFfb0FsUWNYOFduWUJIRmRiZm5yV0JZVnVRM2tFbHpsWVI1WGNBU2JCQ1NFYU9PbVVPNVVmN0puMFBZZVVnSkF4Qi03LUdwZGg5dlFfbHJtdkVaTWpSZnZJN0kyZHJ3U3haREY2YmRwZ0ZSVmZVZWNyazYtTHZHWEYxb0lVLUFSTU5OMDdXOHFlaTh3QXJuOWRSbksydjFIdEVjN0kzMFpDQTdwUXhoNERMc2M1cldBSnRsR1dBUW0xV0tBVFYyR0NwdHZaMThNWjRPZnQzcVN30gH_AUFVX3lxTE5HVF9ETXp2d2lBLXpFMlpUa3ZjdHkyZTRnS1prX19yS3o2aHRUeVpIanI1WkdhcTFXcUk4ZVd3MmtvT2M0VXNQMEdndkFteTc4N01wN3l2NzlpSF9pVmpmdU4zYWdvWFg0UDRGQkd3WTRqa1lWcXVrOVNvY3hHdjJwS1JIT3doZUxyT1BySERweko0U29kVWROWmxCVG11LTFFN0FLSy1QdlFNUjRsOEg5WmZTZUg4dU51cWNDa2hpejJIbm5jbHk4UHl5dTFXZnNEOTlNMnhzUkVNdENib2VMWmVEeWU2N1Y2eXAyd2kyUWlUb2htNlptUHBzNFpIOA?oc=5
ALIVUS.NS,2023-12-19 08:00:00,CCI approves Nirma's acquisition of Glenmark Life Sciences - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiywFBVV95cUxOdGdBbFo0dHpzVGJraDA2VEJ3eThmZEZWdEdlWW90Z1BMWXhfNG15c29MTG8xazYyRDhUem1BN3hWZFh6eENQbVRvcVJNVUNlaTdNVmRjQTAwTHVPSS1iYi1tbEpqdUw1T1FCNWFVaDZjVEhpVjJPZk93NGZweEUwQkRJX3dQREtKYU5mMUY3U1BfdlBBTzVFUzljLWF3bXFiQ3dnY0VVaGdMVUtkMmhxLVg5eEtwY1BBQ1k3NHFFbmVOczlxSlRvMEtFQdIB0AFBVV95cUxOeTczZThmSE85T2ZhTlpUM29LNVU2QnctUHFkVm1uajhENGNaVzk2LVVfdUtwZ2VFUkt1dGtrSGhYb2RjWmxOTFR5LXpOOW8wQVRUa2FDQ3hQOG9TLUN0WkN4eTUtSnA2ZVpad2Q0TGRsNDlNcjhvMU9fTHR5ZFoxQVJZUTZkdlhqeEswemhBTTM2X01PMVFEM202RTUyZFZNOHlXeEk4bGVPazV1TXdILVNqS0VBM3JjLW83YmIxelBnR2xoTjR4Z2ZGRUYxV09P?oc=5
ALIVUS.NS,2024-02-21 08:00:00,"Nirma to raise Rs 3,500 cr via bonds, pay upto 8.5% - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMitwFBVV95cUxPeWlsZHZsbDBnRnZNWG9GZVI3LURqYk1FeC1ZenF2ekNkdG0wSGlZMGd0dXd4X3NXdE9MNEVVSXNEUk54WW5SWGFIS3ByZWhIWUZ6eWFSRjMzYzgwWEliLVlPUHlHTjgwVEhPaXJsemYtZmFnR1B0VTlnX0ItSk9nUUxmaUxCakVBUU1nbzEtdG9pajh0ako4ZWlleldzeHRUajRpNV92Yklqc3U0YVJoRXNobFQ0NTTSAbwBQVVfeXFMTkdsWnlJQUdoYmJILWt2UzR5LVpWekZUNDFqX0tIRFVCcmp4R2I1cDgxZHRlWWNNV2trdV91Z00tVDN4U2plTWREamRGUUxVU2FjcnRIQkxUUHJpZlhxZC1Vem1fQ0RVRUdFRjBkOW1WcTBnc0NwZ202RUpmX3lJQXN5Wmp6UlYzUlN6YlRSaXZfbC1mQ0J2THlJMUxkM2ZlcTZnWDRJb0gxS01WSTRfcm9OOVVBejB0LVVkLW8?oc=5
ALIVUS.NS,2024-03-12 07:00:00,Nirma completes acquisition of 75% stake in Glenmark Life Sciences - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxQMkVpNHo2U042bzB2ZjJOYmJfRlBHVUxFdXdiY0VqVWVQNTk4ajVxNHBPOHlHaUZ4ZUJibmQxN3NfZ2NTTjhadnU2aU1MQzdUR0xaMnQzRGVrN3k5SG05cEVEOEpjd0FaU3N3WlYyYjFfeTFGNG11R1c1dWVxSnZkcEtSQ2xXWTJRYjNWWDg3ejRQQ3hvVXhTTDl2aExyUFZZeEdFeXpVTmZ6RWJUd291TWIyUF9Eenhmd3ZnV09lSFVNOGVmNGNUSnZpaVcyYjDSAdQBQVVfeXFMTTZlZ0l1UmNOQVRlMEdmZ1dwRzFneW5KTEtQX2hzSjhvNE5NcGRQcFB0cVM2UzZuUEt4NG9ycXN2TkdSNzZja0V6MUVMNXQtWVRzUU1KMjFlNkxpVjJJQTdCay1ocGpwalZjOXo5N2d0dVdNXzZyOW13TzJqdTNfTnNNT1pWYlpwaXJqdUdYbnFhT0lCTlpkX2NtUG04YUdkR2xiaGZOb0pEV081SGZVOHJfLU40aEpNdjFfczhucWlUQ3BoYzd2UzFkRzFvMi1SeHVUOEI?oc=5
ALIVUS.NS,2024-07-29 07:00:00,Glenmark Life Sciences shares in focus after closure notice issued to Ankleshwar facility - Upstox,Upstox,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVkxBdUJGb3JSc2cyQWctUFJzSGVxaTkzczAyVDdmMHVzdWpndVQtWDc4UTRXOHkyZVJtdldhV094Y0hxUXVRRGp0OUxvWFlNX1JGSVNabHFtdWpHck4zV0FaTkt6eGJHS1RUcFB3VVdCanRBSWdueGcxSWxZRU0taVJqQ3VBX0VCS0RUN0JzOEdRb3R1NXdyUkJVWjg4NG9GbGk0RVNBRGg1WEFkQ3RMR0dwcXpIX1FMNXFGX1JXbzdubml5NzV4ZEdVRFRPLWhfT1E5VWFLbUlLM0JaU1RVMnNFZmk?oc=5
ALIVUS.NS,2024-10-09 07:00:00,"Glenmark Life Sciences to rebrand as Alivus Life Sciences, shares in green - BusinessLine",BusinessLine,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNdG5XTi1UTEpQWHU4cTNwc1pibzk4YzBZTDJ2SlFzczI4T2o2TlgzT0twckJ6cFAyLVlBRExRRmxlOVNQUnN0ZWVFMzh0dWd6SkdfZ0RmUkNZelZUeTNEeTZiVjlITXN1a05LN3NZZ2Y4RXlPSHBDRDlHbjdvU0hXejl6WDd1YjNWVUNGNkdmM3FYclBQUTJVU1pYU2Fudng4Ymw4VW1EV2RscTMyTUY3NUNvdUlDNDZNdkc2YTdselZrc2hyYXBxNEh3cWtXbGxyM0pYZ21hQldZRDg5Wm9jT0ZkdVVBTGvSAe4BQVVfeXFMTVZNR0dLbUpBWEVuT1VSN2xJdXpaVjFpYk1DQ3FkN1NUaVJGT1ZYcDU1Y1pYRVZrc3QyVmFzYzFha3VMLVdTSmlpVmZoYlZMdU9zOThySW4xQVVoX0xIbXM1Z1l4V0pPeDZfMDhKZ1VZRm5BbEhYY0lPX25kY2owbDR5ZktYaS1TaG0tQXFWcDRlSUpEV1E2UEtDZGRuNUUzZlVrQ1VrczIyZ3ZYcGVBeXNTRGJKck44bk82ZnAzZlZwTUFNenk5dWt0YTRKemdKejlNc1N4cVVLNGdfbUt3dEE1YW1rSVUzaEFzeVlidw?oc=5
ALIVUS.NS,2024-10-09 07:00:00,"Glenmark Life Sciences to rebrand as Alivus Life Sciences, shares in green - BusinessLine",BusinessLine,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNdG5XTi1UTEpQWHU4cTNwc1pibzk4YzBZTDJ2SlFzczI4T2o2TlgzT0twckJ6cFAyLVlBRExRRmxlOVNQUnN0ZWVFMzh0dWd6SkdfZ0RmUkNZelZUeTNEeTZiVjlITXN1a05LN3NZZ2Y4RXlPSHBDRDlHbjdvU0hXejl6WDd1YjNWVUNGNkdmM3FYclBQUTJVU1pYU2Fudng4Ymw4VW1EV2RscTMyTUY3NUNvdUlDNDZNdkc2YTdselZrc2hyYXBxNEh3cWtXbGxyM0pYZ21hQldZRDg5Wm9jT0ZkdVVBTGvSAe4BQVVfeXFMTVZNR0dLbUpBWEVuT1VSN2xJdXpaVjFpYk1DQ3FkN1NUaVJGT1ZYcDU1Y1pYRVZrc3QyVmFzYzFha3VMLVdTSmlpVmZoYlZMdU9zOThySW4xQVVoX0xIbXM1Z1l4V0pPeDZfMDhKZ1VZRm5BbEhYY0lPX25kY2owbDR5ZktYaS1TaG0tQXFWcDRlSUpEV1E2UEtDZGRuNUUzZlVrQ1VrczIyZ3ZYcGVBeXNTRGJKck44bk82ZnAzZlZwTUFNenk5dWt0YTRKemdKejlNc1N4cVVLNGdfbUt3dEE1YW1rSVUzaEFzeVlidw?oc=5
ALIVUS.NS,2025-01-23 08:00:00,Alivus Life Sciences Reports Strong Q3 FY24-25 Results Amid Income Sustainability Concerns - Markets Mojo,Markets Mojo,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNMzZTMmtJNGltcWhsME9NSDg1clh4YUV1SmhPWlhzeGdxZmJmNWthdmxCVmZhYkMtVEdsZE00M3BHdWR0bWkxaFpxZTc0UHhhbzNRc1BDX0EwUWszcVotb3FHcTBITkRIckRwaWRHYmVkai1ZeGREdVRELXItU3QzVmRJZ3RxcF9Db3FSTDZRNHViUU9YdFhJQlFWb3hfQW9KbWRhc2NZWmhIM2hMV1YtYWhQRTFJUUdZY3ktMW9DWUMzYnhNZ2M4aTRQNEg2UUVXNl9nT1poay1MUzl5RzRjSXRXMA?oc=5
ALIVUS.NS,2025-01-22 08:00:00,Glenmark Life Sciences rebrands as Alivus Life Sciences - Medical Dialogues,Medical Dialogues,https://news.google.com/rss/articles/CBMisAFBVV95cUxNWnNxbDZRazJOcFhZUzFfaEtfVDR2Zjh5bkEtRWx0MmFaVUlRdXI0bV9hODI3bkNVQzlOOVVsT2NaMDBDc1M4QmpvTm0zNzZQVVBBT0FDYjctckpTQnRSYzB1dXBlTmh1SldObi03YXdhVzA5YVlFaGVJZEZxeENBc0FXX1V1RjZZZlNqS3dJRkFIVFNpRm9wYjhteUczazlYU3phQjAydWlWZlR0bi0zRNIBtgFBVV95cUxQZ0c1Z1NLMEIyX1ZvMXJ2T21zTlRla3J3aWQ4eEg3WUVuTmpOczZBR0VzSU05MlI0d09KaG1OS01JallFUWF0ZmxsRllMRGpXeEZuTlhoZ01CR252RlF2bmM0blFVVWkwN3RuRy1ZczR6Smp6Wkl1b2t5QnBSN1V5WEdtRkswUjdZa3NXSlVfNWU4VzhHd1hJZ0RBV0c3SG9ra01xRFZlcnE3RTN6NHZwNS1hRUhMQQ?oc=5
ALIVUS.NS,2025-01-20 08:00:00,Glenmark Life Sciences renamed as Alivus Life Sciences - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOdnphb09sRHNMVU0tYTJPMm5XalVjdzFoamV4dlVJNkZXRnU5V0FxWXdXVm9ReUdjZml2WkhUeFhCT0FENjY2cmx5U0tHOS1zMkVxVkpyd3dtUVNDRDdkSDdMOWZNNjRQSkFpSnFDUkhkMmVKaDFKb2dJbUxNREQwbU9kTmF6MllELVpES0laOVZ5WV81ZzVpWDFqZjF3eUhGdFA4QmtOMXhiNWZ5eFk4UVBoUndwMkpxYTYxUkt1aVRLUzNScXg5V1NLLS1zM28tMHfSAdcBQVVfeXFMTVdVeFp6RE12UXZpTlN1dHZvVWRoU2R0R0wtY0pjSGg1dUhadGlobFFMSFhQWXVSTENmQk9JNlhhYW1IcmZlQ3ZWMEN4M0N3aW85Rm1md0htN1dvZEdURmtmZ3VVRllmSEtkcVVleXB5U214SDNyQVFuU1MtWmh2VWRDUE1SOVdnWTUxZjJGRGpGYVF3UkRwdzVYUmpuVS1qRHByODh4ZVJkNzFlYWdnMWRHejhRVUZHcmNZLVVnSWRCWFE2TVEySEVtNjh0MGF1UkttcURxMUE?oc=5
