Ticker,Date,Title,Source,Link
ALLCARGO.NS,2021-01-25 08:00:00,Allcargo Logistics brings on board Vodafone Idea's Suresh Kumar as CEO - India - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMigwJBVV95cUxNTmpVY2dPMm9hVEx0NEFVRXctRGpsY2ZMeGY2dTVGa1VwdnZKRVpoNG9uWHdEblIxRHNGN2RYTF92bWlON3ByM3J2TkVrUUd3NnlTX0F5VlpOakEzTGQweG9udTdrbHZsNFZDM0t6bGRYeEgyVGFiRjluVmd1dVduTzhnM0NmaVg5UXJqcHNmS2d4RGFXZTdYMW1PNnZfSDdHbHZJVjBCMmVsR2RpN1plaU1vVF9wNjFOcm1ROFlEQUJBVGpXaUwyaUliemtvRmJBNnlJLVN6Z0ZGOUdxU0kydXhqR1I2ZHl4NUhORzAyWnU5SWtFYmZEcFFnWDFhVVBNQU440gGIAkFVX3lxTE9abFNmSUxPR0pXUHpua1FUeTdYT1FLY0sxZVRab2lKcjA3YnB2cExlTDZ6R0lIVElFVFFoN0dIa0RrTVdmZHI1NVp1LV9VNWtrZnBWMDVBN2JtdHpzMDNodk9yQjNqazVDRUMzWnNUX2lhakQyaFQzMGlTUHpQLWxHMlhONXRGV3dZTFh3MmVxZmJXTDVaMFliOHBYVHdtdFlfakxiUl8wZlMyVXlrckhIZ1QtQm5uZHhMYWM4X1Zpck5GQ1B0ZjJXV0NrRFZ0WEtpRnBmTnBaa3VvcW5ZanpDc2RHcURhRlhtLWVURmppMkFYQ0VYRGlGVjVzWFFBODJWUXFjVzB3MA?oc=5
ALLCARGO.NS,2021-02-23 08:00:00,"Gati-KWE to set up 150,000 sq ft surface transhipment centre in Delhi - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOWVNwZDBna0xZRFlTUW9QM0N0VjA2N1Fma05hMjRxYkdWbG16YTZGbnJobGRzdS1OVWptT3ZkTjl6NmVhLUlDZFFvdmUwSFM4Q0x0RXN0RW5iVHdMeTNLS1VXVGgya3RSLWNOUlVwQXR2ci1hX2tSRjUzVURRdzRhaG9jd2tGM3ZEczNnSHlQQXhWUVpFQTJleXpveEs5NHNDbjAwQ3Z2UlpPOWF6emdLMVVfMWtrYXlvS2ctSTNqMFpiUW5lb09LVFM0YWU4cG9tcVg1RVJOLWjSAd4BQVVfeXFMTV9NX2Z6ZEdxcmZKNExmbnRuNU9MeFVrVjdFbWVkaUx5dEpIaDRIb3FmVzU3SElDQ2dzcTlaQ25RU2N3dmF6eDRQTjhtaGdlUktsZXlOV0dRM1FvTFVmVk81ZDJ4b0E0WlpybmE1WldTZDJhdzkwZVZwRjdCUW9jRkFMMXRvblhMUHBuaVJwZlJ4Z0liYTZQc2pTWUFkNkRKVTlLdXM3NUlPMW54MEN1TG5ySHpsUkFlbmlZYzNDdF9aeVpKamt0MkhPaXR4YVdId2VaMnB6cFZaei03aV93?oc=5
ALLCARGO.NS,2021-02-23 08:00:00,Gati-KWE to process cargo loads of 100 trucks a day at new Delhi facility - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPSXRwdTNoMjNEZFNaU2tPQkV1UUd2c3VUSVJIREZQZkRVZm9HejdCakJaY3d1THoybFlhNV8yQV9BRWJXOThId2VBZVJTeTVTY0dVdTlnSk5ZVkFtYXU1MEViUTRpQURlWW5jZVBGQW96TUpMTG13U3hpMk5ld01LNXI0Znl1OEtJcklnVGRDR0VhTXNxdlh6bEQ4WHNNX05CNHBNNnY1d1F3Q2wxNWhoU2dzbjBKbm1GYkhaS2ZYU1NEUHhLUjVSLdIBzgFBVV95cUxQaWNlYWFVUWhsN3pRUGJMbkxCTTdLSDhDMlVTRWZrWDVGWG1ab1VUbXZTYnE3UnJKWmpyaFphcmZPeElWam80S0p4dFdnVFJpckJuaWlFTHhpckpsNFFmV3g3UXdoTkM4R29INWVPOHF1LUR4Sl9mTFhmVlpCaHF0a2RyRDhpdE04UzBZbkpDSmZoYzBVQ1VRRUdzTTRVTG43d0doTURJVG14ZkdQa1N2RFNfRTNGM2NRN2RQMENudHU5a2pVbDBJRTQxYk5QQQ?oc=5
ALLCARGO.NS,2021-03-18 07:00:00,"Exclusive | Concor privatisation draws interest from DP World, Adani and Vedanta - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMizgFBVV95cUxQYlV1Q05vVVRwX3o4MG41LTFkWXg5SWRrNm1neW13VGRyWlFRQkJnNEozemtQblNITnI4SkhUTHVvZElvbE5xQVhCdUN6VWhIdy04WGViY05Za1BUNVdncGNzT0Y2WlIzRnhKbGltU3Y5c1FfbW9LOUx1Q0wyenFnR2JXQ2ZLaEFvUE10NW92T01VNnNad2F0Z3ltbkJQY0xUU2FKRURYTkpVenZUOEFJU1BnM3kwUjRnLURaYnkzdEY5VGh3REhnUk5nVl93Z9IB0wFBVV95cUxNcFlUOThUa1V1T0JhcDhJaHdjTG5UQ3hsLVJZQmxoal96YUNrTUYyV1YweUg2a1RlRzFwU25ZYjNvVnZsbjU3ZUg5c3Vfam84aXpDNWVGM1RmMXhnQlhBUWNSZjlYSzUwRFo4eGs2WEx2ajVrbGhqOFE3c2pyLTZYVXUzOGFvRl8tSVlDZUlBUVpKamRNQVZSdjdoSEFaYW5WM2QtazEyRVdPRExvUkdMeHVSOWY0M19MQ1VhWlRwOTgyVklIYzdORnZBY0tULWhlQlJv?oc=5
ALLCARGO.NS,2021-03-31 07:00:00,Hackers threaten shipping firm ECU Worldwide with data leak - FreightWaves,FreightWaves,https://news.google.com/rss/articles/CBMimAFBVV95cUxQUlJhR3BtMUdMa0g0WTliSFNkQUVSLVR6aENaUUQwYVJMcWFYQnNVSUNLNTg0dFo3eFh2cmZhX0paeUlabVljMWgyb0hlOG5VUVFSWnVyZXBsTzlBRHZRSjNvdDgxUHhOT19hRThpaGh5bXFhc3BUR285YzhTMXRSTkRQYnRYaG13WVp1NUtrNk1MUzlXd1RfQQ?oc=5
ALLCARGO.NS,2021-05-12 07:00:00,Allcargo Logistics appoints two new independent directors - Logistics Insider,Logistics Insider,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVUhsWk5qVno2dUJOUVd3aGp0cVNMSHZTYnctbVpjQ0psUUQwelZxRDFGUWJmRXU5akJHVjA5bC1ObWpvSFI1cGNTcm9weERyeXoxZEJ5aVVoblQ5QThVV3RBS0E5S25qRzVUM2h0QmJIanNkYWkzdzhMTnhBOEJiZUlZcVRuMmFqUTZRUDNLVXZWRFZ0?oc=5
ALLCARGO.NS,2021-06-10 07:00:00,Pandemic enhanced our operational efficiencies: Shashi Kiran Shetty - India Shipping News,India Shipping News,https://news.google.com/rss/articles/CBMingFBVV95cUxONkpIUWVUX3NGeS1RTmE5OUxXbUV4bUVXeDlJTUJIYWp1eHZ6M0RPLWZBQWNQQ0Z1TERTcE9CZy1URVllR2tiMmV0b2F2NkZER1BFR0drcHFDbXFZemNQRXA0dWM0V2dTR3drWm5lQ2NURkhMYThEWUVPQVQ5anZQNDItTmFKSWttWVRIaUhHS0xrQXNvYVV2aDREMi12dw?oc=5
ALLCARGO.NS,2021-06-11 07:00:00,"Eastern Air Logistics (EAL), a subsidiary of China Eastern Airlines Group, officially landed in A-share market - PR Newswire",PR Newswire,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQY0hrWndRQ1EwdnUtUmtaTDRieHI3WjA1MHNRTTVpX3d4d3FLMEMzXzk0dWxSSjJwR0owb3BYTENHeXIxY0NOb0RKTkZvRWVObnBxVVlvbXd1dnZ4enkyRVVSTmxVRWx6VXoyM1hKZU9mTXBEY2tZOXFUVm8wNmVpZ21MSjVHZGE3blRBTUdPMFRsQm1OdWhLQkdVNEdKRkdVWU5BVmxES2FadmRBVkc3Wk5hTXM0ZU84QTBoakE1djJ0d3lfc3gxRUNYYmZxRmVRNlpGb0t1VlRNeWo3V0sxU21TT3JpZDhkamw0SUZOcGdxWDc5?oc=5
ALLCARGO.NS,2021-07-16 07:00:00,Mandala Capital buys Gati Kausar - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNeFowV3NTQ1p3OWw1NVBrTFB0V2hPQ0FCM1QxN3h0OWdGVVlaLUxiSVpiaVZZOXpHS0RPNEVNUTljT2JzTHBNdUowRjFhNTB2RV9MZW9Td1pRdEE1SnlUSXE0RkF6QkgtUHgyek1xRFBLM1FmcWlkMGlDdl8yV0FWVGlCQ1JYdXp2cUVBVlc2WHJHZzU1SVhyTEZJYmpMVmZNbEFCWlJoMXU2NzNtSEFWU1ljQ1dvOVNKX0NUX3lmWk3SAcYBQVVfeXFMTXM1NHVBSm4xYTNFbjlJaWttOUtMeXBqMkMwVlRCV283WDYyXzEySy1rLW9yT0hmVTlHNlh6SWRSYkI0cEVRTzBITWgzZmFlYlhCbUNvZGpDOE5WOUpGZkk0emVqOWZWYlR2TkhwQllobUctVng3cjdURW83eHpkcDBTSERXZTNMdTlwQWhHUTBJcHh2b19kQUtUeDV2czNMdTRJc2N6TlRhUXU3MDlzNUtVbjlTZm1hX21xNmlTeENSZUhFMWxR?oc=5
ALLCARGO.NS,2021-07-21 07:00:00,Adani Airports appoints Rajeev Jain as CEO of airport biz - Construction World,Construction World,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOZVFtM3h5TXZmQjlNU3A4ZkR2a3hBaUdVRVdxWG5QNlk3RTJSOGo5STEwTVdiQzM0eW1UaldrX3p6RHRjVUZ2UUlnbXBFc0ZBaVQtX240T1hjOGZYTElWWU95QUN2dGRRLWtvUXNsdlBneHRBY2d2ckw5S2VRNDMtOG10ZEV1U2YzcnBMSDdmd2p1R1puejh4S3lGRWNFSmdPSFVKVWNZNEttVVVuNWFnalBfa0x6dmMzbmc3cUtZMWJyREtUWUY4eWt6WDlYdEQzYTFfV04wTFVpcmlrX1J6dXc2VQ?oc=5
