Ticker,Date,Title,Source,Link
ASIANPAINT.NS,2021-01-24 08:00:00,"Before rejoicing about Asian Paints volumes, note  the  rising  input costs - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNeERuNjZ6aHBPTWQyRWhxakZ0bTlPV2RLS2JYZU52b3Y1eXZyeE10amRKTENwa3RJb0kwQl9nTkphLVBjRUFSMmhrZVlFWVZET1NIV2hiQjFtc1ZrbVBIUGpkNGozby1xYnM5WEdQWmZ5dlBUY3R4b0NKUmJjVnJpSWRHTEhNVXhSYTZ5TjVtSW9ybFpFVnJIS0c4dk8xNkZfalNYOGpneFFmNzdIcGRQUWw5amU5ZDl5VnM4SUpaSnZ1d03SAcgBQVVfeXFMT3lHNXpPOThXNEJnaFJQMFVMX0RNV1JSZVdwa0ZVdkZRSE42a3ExcnN4OTZzQzZFaXFLU3JpMVpxMmJNXzEtWnFqeXhvY0dKUTB2ZmlaV1NHVnhIUG1EbWI1MXhabXFiZGRCUW9KbG1DN1dhczRHOUhrb01Ccm9hZDJPY3ozM1Q2cnhqRlJoNXNjcGItamRrRlpXUEtmanVKZ2VncHJFTUNENGViQ1NYTV9xQVZEM0RpWVZlRGJUMC15Y0lnOHI5WEc?oc=5
ASIANPAINT.NS,2021-01-03 08:00:00,Asian Paints scion Malav Dani to sell shares worth ₹500 crore - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMixgFBVV95cUxPV1Q4UkVWMzFIRVRRRXVDOTVLX0NTX0Uzd2RCaXBLWTRzUlVLcUIyX3dKOWlZM3hYTjRFbHhmM2lCbEtVcUx2Q2Y2Q2VXRFhhNzU4Y0ZabWxkNVRoQThKUGd5b2hLb1JEZXZldVpfYV9IM1VPM2xTYTdZOV9VR1RXdlhtcG9waHNtYXNKOE5CZFZDUnRudWtxZ1dRamI1eXNnNzRVODlBdnRUTEJfTWhKbFh3NUlsU3N4cUJpaHhjVS1ZcDZIc0HSAcwBQVVfeXFMTWJPMDEyZzBKajFzNjVMb1JvUTktT0NieWlnMEREQmFydS04VmJTVmttT0NpSl9fT3laMmVPakcxRE5DWXBSMy1jYWVPdXl5U0wxUjJrTzR1UktMdy1uRUdPUXlpTERYMm9VS3ZfQVVNSVpsamZOSVkxYUFhOHZ6bVQ4MFJNQloxR0hmVGx3b2g4TldxOXc4WEVlUG9pcGdIcUN4VHdlZms5RG5GZHlrRXZsYkh6MnhWS0tBVG1xYS1qUXRjUVo2VXZ3ekV1?oc=5
ASIANPAINT.NS,2021-01-06 08:00:00,"Asian Paints, growth outlook is quite robust - marketexpress.in",marketexpress.in,https://news.google.com/rss/articles/CBMijgFBVV95cUxOLTBNY3dBNktSNUpsdHh1b09YRTBuLXhxdWRCV3JsNDl5Tm9CWVlrWU9Tbi1KM2pVXy02YUlmb0x2SEZpRmF5MTU4eG51SGZQMWJJNkFuTnVTVWtMZ21CcFJxUy1sSmpYVzZqMUY0ZHpVV1RhZ3FvV0Zvdk42TU5iUWlqRkkwUUZrelM4UzNB?oc=5
ASIANPAINT.NS,2021-01-26 08:00:00,Watch Asian Paints May Raise Prices if Inflation Not Stabilized - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxPQWxZcVViN3QwUUpxaFc0Wkp6czhsMjhBYlRVcFJsV2pHY2FzMEhhMV96N0lVc0hmc2pnRjdRMVlhdXljdElYVUhuWFVJcURnbFdtRTJiZVZvYmpBenZsTEtpc3d6c3UyLWpWNHNzbTZBYklXLTR1QmI5S3hoelBZTmZJNEpONnozTmpJaFZLTzBZQ052WS1xTGlocmZhcUpWNnZoaUF3SmU1ZEVWdkM1QnF3?oc=5
ASIANPAINT.NS,2021-01-13 08:00:00,Production at Asian Paints facility near Nanjangud affected - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMixwFBVV95cUxNM0lOTDBudlBEdHc2ZjhKMHRyd0NIdVRZaFJHTU1RRGxUNHhUdzAwLWl2LTRzNDJmZ1cwVXZjaUlaZ0JQVzNnZnMwUVNVNEstQmhjMzdEY2ZGOHFmbnM0cUVCTXNzQlU4WG15Y0hJNWp6bUVNaTExS2NzQS0yaDJNdFFqeG4wV2hvcUI3Qkc3YXRNMXVjLWVTOUJkQ19Va1U1NEJScy0wS3FwNGRjcko0ZG1qenRocUlxQXNHem1iOUNPMDlCMmw00gHOAUFVX3lxTE9RNm1GVjNFRXJwemlmOUNwTENyWXlmTzdQYnpFQVZoUUJVVXlGN1U0Vm5sakZHUDFqMnBSNjdINDROT1h4dl9BdFJ1QXRibElLYW5YSmJtTjlpR01FbjhzaUxFNzNWV2I5MXEwcnBlaEJsY05iSEtkbVUxSk11bEx2ZnQwZWVTYzZzV1ZFaE9qM1JlTEc0MUZUdDloRTE1aVNIYmlmQ1VKeFlHYVBVM0NPR0lEUERQU3hEOVN0LVV5eDREWkhJeWE1Tll1YWR3?oc=5
ASIANPAINT.NS,2021-01-23 08:00:00,"How a Rs 10,000 investment in these stocks grew over the decades - Times of India",Times of India,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNaDhnVjhHLU5TaU9adV9CYkotVzVmTWxNOGx4VU5SUll4NkFQbTlIZmMzNDM0bG5seXFKbHVZSjJVcmdDM0FfQzRQa3VZT3Z1OTdGU2NhZ3kwVnRvOVhUMDNmbG1aTm9ldC1sVDZXS2l1Ujg2eGFUdTktUTBGR1oyWm5KMzlRUHViQ29QajVGZUxPaGEtYjhyXzkyazdVVDdwanhSOUxMTjhaNUtmRDdwdFFBWHFjRzN3dW1VWi1QWUJVLTJDZkZkNVY3QzVTbmRrX19BOVNqVnNoUnJET1Y2Qy1R0gHnAUFVX3lxTE83UGVYaTl2NWotR3VMME1SdnlqTFk5RUw3NS1Na3VDZGFuU2p3cXpabG55M2ZXTUZpYWthaGtNVXJsT3NQQVU5MHVrbGZOWE0yVzVkSTZaZ2FoSWUwZzNSNmEzbzlIaXMzeVV4Z3EwSzVCMUFrMEtoT0FmaUNtX1V2RzV3UlBtWjByemhRZHRIZmdBVXJScEVYdEE5VW9CUngybFhNcndkVURuNzNFLTZOd0h2bmloeHBRMVNiaVJfZE9nTXJPajhCWDJrUnlNUzZrSWtxbjlQM0pKNnMyc1VQQ3JHbVM2MA?oc=5
ASIANPAINT.NS,2021-01-06 08:00:00,Asian Paints’ Hasit Dani buys Rs 95-crore duplex on Carmichael Road - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQdkFtM084LTgxNVEySDVpR3dJWF9YRWk3T0t4bWNQY1NObFVGR1pOMVRRQ1FmdEhmWWZPSmRYWjk1TXBWSFYwcmpWbEhUS09FRS0xLXJzQ1JMX0IyQ1lyNEVIMVVqTV9vcVBJY3UwY2tIZWFYcW5MV1JIM0NCbWxwNGZzek81VlFaQjAwOUVQYjdLOXpheWZqNGx6N3ZNZlNyQUhObTk5N2xNSWpGY3ZUSDFqdllLMi10SjczaFNiRF94eXZwcmpFeERMa2dYRzV2aURKS0J0MGZIWVdFbjk1cjUyeTlvY19jRjEtSlBmNl_SAfYBQVVfeXFMT21KdEtFLU44VVhBdk1GXzU2NFFfOFB0UHRrcWEtTVR3ZTg2Q01GRkhURnE0T0QwWVRDU1c5Q0lPNnRXZ2JnbC03bXVJOW1ILUZRUDFXMVBwMG5jN0RpZE45WUtrUDAzdDBYR0dGZFI1b1VmMTJ1clBzR1VIMmNPOWlkT2duejBOX09UeGJxQWg2b0ZSdlNJbF9pUDBld1o3Si1DOTV0VUxybldLdk9Iak1ZWlFVNFBteGZsQzJDcVRKaDd4S2VmQndtUmNSb3I5eGVsLVVxNzVfallSejRXRFJIU0I2UnlJVDVacmo5TnpQOHVYVFhB?oc=5
ASIANPAINT.NS,2021-01-06 08:00:00,Hasit Dani of Asian Paints buys Rs 95-crore apartment in Mumbai’s posh Carmichael Road - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOR25weHY2Qk16S2JRa2p2VVJjVXZ2eUFSc2VjRWpPZTd1eVlqWmdWN1BrTVlfTDRiVWNYSVdPbDROLUUzQnppejJ5am9jYXg0TzdlN2Z4dTdhWHFnOEtGbGN2eFJvLUtrZkZfY1hhbjB5RzZ6b3dOTnJqM1ppc0ZhaTRTTjkyYlk1UU1fWTc0NVhLdFkwM2Q0dHVUelBfNVJfRzgwY1V1TDBydEFyb05fRkR5bXFWUlNkNlVsalV6RjlCNVRzakIzeFRSSFVWT1NhT095TzlaVDl0Mnd4M0ViNlFTVHlsMlFO0gHuAUFVX3lxTE5MbDFnY3JSTlNSQ0dPamVrV2ZZemdpaVpmM1hrWEZLOGVxQWY3Z29ncWZTMXlBQmVNUHo1UDlwbDNrYTJjdElqMlZNcmdZR1hkWjRLLV9PM2Jfc19ydVB1Q25zNDFiNThSUlN6amtZYW85cVptU01VWjNvYkZIdUx1OG5rWTNHTkloSUU5RWI5b1I3Uk1NcDJjRzVwT093NEZHd2xWaURjczNNM050QjgxaExFM1R5QlR6dWZVMHRodXlhdWFSXzVJTExwT2NQSktpLUktaEhRbXBKYzBlNGlhRExVLVRUbVBEWGZrM1E?oc=5
ASIANPAINT.NS,2021-01-21 08:00:00,Asian Paints embraces the vision of digital India through its state-of-the-art paint manufacturing plants at Mysuru and Visakhapatnam - APN News,APN News,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQTGUtSVVfU0RBdU5JQy1JYVZiVkp6TkhTQmYtUmFKZE1rbmRndk1mVzFWZnVxYVowOWZUVjhWTWJRV2RweHRpT19yWkpPcHRVZHE2UHA1S2MyX3pzSHVuN21sQ0kzeUhaSFVVWVA1Y29BUFBfTUgtclV6eXdLWkp3T3g2TEg2M1VUQklnR1B2eU1kcTdWWmpaUXI1ZlU5NzU3YlhUcmtMbWhWd3B0eWFFdUMzcHdhX2pyTEVwYkZULWhUc3lmMHgyV2hyV3FwbXVVRGFvVVlCdzBSWkluaU9kNnMzeHY4ZF93dFd3Y2JiVQ?oc=5
ASIANPAINT.NS,2020-12-31 08:00:00,"Sensex, Nifty end flat on last trading day of 2020; close year with nearly 15 per cent gains - The New Indian Express",The New Indian Express,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQUjY5LTM2MEJMUTRRMnR4VnNxOUNQQXFUTktEZnRYVEQ4ZnNpWE51M3pwejlFT1o2ZVYyWkNZWGJ0U1dhS1c2dmlwajRGRnAzSzFzQTQ5dUZqSmZHNGw2RnZmYnRnaGtiTXJkYnRIcWRiUlQ3dFN0Y0ZvQXdRX0hqdXl1bmJLbHBEQjhrZHRlWkNMTlRiYU9ITE1vNVBsMVowVmxaQjFtYjYzaVE0YjlXTHlMVGFSZVFYNDFPUjFGU1RjbDVybE9fcmpIMEx3WEd0OW8tTVEyeXNKOEJ4cHA5cF91cnR2RVJhUnpxVWt30gH7AUFVX3lxTE5EclBueTNYaElmaHIwVzlnMVBCZDdqWUdMdVFnZkJ2Sm0xQVk4WkRwMngyeWthWVB1dHdyODd5R3NDbVV3MzdQRmxqN2tlTWVoem5LZHo1aUJBVWpVbzVISzhhU1VMOUFYM0Mta3lheDNnM0tuekd4UGVjTnNRWm9QQ3JLX1JheU1ZNWJ5S0RtQm5NVm93VnNCSlJwSXBHU3VvVW5IRjdPUnRBa2N2a3hDU1JlZUMzVFFSbFNXWEtSZmR4S1lxY1RMUkhmNEVjMVBPYmpOYmtsdHpETXlxQ0twZFVuZmNPcXFTcXk1WXRsbE5FWVlrR3ZMdjFv?oc=5
