Ticker,Date,Title,Source,Link
ATUL.NS,2021-01-28 08:00:00,Will American Democracy Perish Like Rome’s? - Fair Observer,Fair Observer,https://news.google.com/rss/articles/CBMi9AFBVV95cUxPRFFMd2tNVGxhck9ndkVxYkYyWnJIUmFVZ2V6WUxyR1ZFOHNfTG1GTDJjWDZnS2w4MVVmS2xUV29OQ2hDc2ZvdTFwcXpkUi1tbXU2dTBDdjJfRFZaMjA5Tmtxa0Z2SWNPbjNuMEFWX2pWdFNQRG9tMy0xRE9NZGNKMU94bmtFRlVScHVveGU0dnlSUW1wd3N0RU5XTWhoaGxZZ2ZMT1Y1UklLZDN6bUNKQjlwM29fTkpmaW9KcGZ1MDRzT1BlS2R1MEpDOUFXNTJnTDN5TUVGeU5Eb0FGWDJCX1VHWkNLc1RCaC03V3FFcmxzeGV5?oc=5
ATUL.NS,2021-01-25 08:00:00,"Road between Atul Kataria Chowk, Sheetla Mata Road shut - Times of India",Times of India,https://news.google.com/rss/articles/CBMixAFBVV95cUxNV1I3R0JpYVhDdEtxOTVsQTdMcWlwUXpVdWpUbGI3RWNxeXVDT0c5N2U0U3g1Skh6ckM3aW9FT21KWEpuMDg0VEcxYk0yR2lDZFN1WEVJbUJMdFg3S19zTEZpTHFFRWdIV3lnNE9kSHkwenA4YXk3VVNoel9qNU9PY2E2aklucVNGMUQwRkxVRktyVGk2SFBKaXVpMm5pSkZIRUdsUHVxUUhodTEtbVZBOTd4Vk93TEpMeGRhY09fQjNUc3RD0gHKAUFVX3lxTE5HRnd4VHBSSUFRdENYZ3dUVklMekFZWUlXTG1tYW4zMm56TjdId3YybVhoN0FIa01WODY0czc2ek9wcXV3aHQtQl85Qm5ScGFtRkRXSDExem5XZGxBckdtcDZDQ1huLUUyd2dmT2ZDRVgwUXpBRldNZ0Q2M182dGd6aENjZGRfQ2w2ekM0Zkc3RzVZenVkY0QwZlFWTFBQcDNNNUhza3NFdkRXMlFQSHRVVmVkY1FjZWFTUzF1ZUIwVTkxYkp6RXdHQ2c?oc=5
ATUL.NS,2021-01-19 08:00:00,Tech entrepreneur Atul Jalan to take his AI company Algonomy public in 2023 - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNYkxKbnBDYV9BZDk0c0tzeFVJT3V1NmdBWHRMNkhLVTdpT0F3SG9vN1dsc2xoQktaUGZVWUM4YWxNem1tMjhKQktZWHBUdjJfM3VnNGVWZWptdGdBc0QzbmowaUlLaUZqWER5N0VhTmdVMTdTRlQ0VWFHa1pvcU9udVRKZzdjUjg3Ujl3cmNfYmlDQWhhaXotbk1oM3BzeTF2SUZ1aS1TbjZYV1hTZGppMWRscG5TaGE0a3Q5REZaUDNPN202UHpON0ZnVFRZaFNudnFCQ0xMWko1RFE2WDdvNdIB5gFBVV95cUxQam5qMW82WFY3OWJ5cDlDZVVrV25xUHM0Q0NPUUFGbkgzcm9YZlhCS21NWjVJQXBtRjZrTGs5ZVloR0R5bk1fVGZLVDFhSjIwcWVqaW9xaW9ES0ROenJ6ZW44S2NfcHdaOVg0dHBQYWwtWFN0MUZLYjRTVmstYlJSbTlJMXNvYWhyZ3haTEZQMEJ1QXBLckFjc2FRMTBkaU1tRE1TUlFQRU5DWTBONlM0T1hhOUlrdklLMmtDYUhXcDk5NzV3eHpZSXN6Mk9nbHctMXFNanhMZUhZMDBBQm81OVVYeTQ0dw?oc=5
ATUL.NS,2021-01-02 08:00:00,Maharashtra: PWD reimbursing fake bills worth crores says BJP - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNd1JFQXRYcGV1ZGdEbHBwVE1EVTZvVFZwc3RQVHRXUHgxc1M5SVRveHA0QjFhSVJPSjUzZFNMcms2SWNBbEhxMzZvOUJoQTVaZk12RWJXN3NfcUE5cXR0Vkpld1ktR0RZZVhFdUJNdHI2NllXc3otWWdJNVhoeDlVWC1STzJqekFCa01LYnVHMU9HWURyNGVXX3V1MzNJX1dmUUtFc2Rsc1NrQVJaWVVHTnNCLWp4aE540gG_AUFVX3lxTE1QVVFSNmNsZThOSFhNajY1bUZROEJQTkRjLXVIWlR0M0NDVTN1X2pyNGVmSEdSYXZOVVVwRlprbEp4VUNTeGZ2WUZNcG9PYUNhSXNoTzAtWTg1U2xpMzJQcmhnODlNZzVRZXFTYlNBTVJuYlNFWDlNdWhYRlNDMFpsMDNIX3h3enBpOG5mdGtXYVVWdE1aSk9UWlV3NkJaSzlBNy1iMDJySWFjZTBkdU5McS1hYlNFUzZOVEZMLVJN?oc=5
ATUL.NS,2021-01-17 08:00:00,"In ‘dry’ Bihar, this MBA bootlegger made Rs 9 lakh per day; drove luxury car & sports bike - Times of India",Times of India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQR1dDMm1NY1diWnoyRm5kQVBodFh5bTl4SGNONTgwejdhZFBiV2pwRnRxMlA1aGk1RWIxbnNRRGdJcjdIT0RDblZEamNES1AweWNLVTVVREdPY0Fnb3pfNG1jM2hIcGJ6cHd2RXRyZkF0b05OXy0wTDUzRV9vWDJmX1FzUEFHZm5naFRkd2hNYmlRem1UZGhULWJHT2czUUxJa3JYeVpGQXB3ZjQxTURhcllVd1FnVS1uTmkxbkIxVl83S1RGUndmMzBQbU9rSDhSMUxuVWFyeHQ?oc=5
ATUL.NS,2021-01-25 08:00:00,Aster DM Healthcare acquires 16% in Alfaone Medicals - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMivgFBVV95cUxQZGNob2hXQUFXNGc4bDltVnRQZVdsanJ1TUltZmYxdVZRb2xQcDNXcTBVNkxBRWt5OVBqLTVMbWxkRkZNbVRFSXZFV0RySTQ2bF9OUVNDeDZSQjAxVlA1ZmpHRUZHUTFrWmg1ck1PT1NsVXp3SkM0RU9kNXp4LWJwYm1XNmhWdFFEWFNqVnpvVGl2VDl6S2ozNHhMNGoyUDBSZnRMUUVpaTYySUhQUW1VZzdtZFd4Z1hidTZKMVFB0gHDAUFVX3lxTFBGMDhSX3l5WlpwcVlybGIxRmh0SzdOLTJYNGtFS3IxUjh4QzBINThfbEVsZGFSOENYTS13cUhQb0MwMWdQUGhOWWN4Ty1hVkZ5V2Z4cFNvQk1aTFItNDE1RTlCQjlCekM2U1NxXzVWVS1KQ05HVTZsZ0xXaG81WXpLeGRkZ3lTZHU0VDNvcHVjM3NiUUljaUp1YVU5ZWp2RXh2NzFZa3FLYnVtWm1DMlFRZ0tvVkVwRVhOenUwbmpacmZaOA?oc=5
ATUL.NS,2021-01-02 08:00:00,Nakumatt boss faces probe in Shs670b theft - Daily Monitor,Daily Monitor,https://news.google.com/rss/articles/CBMiogFBVV95cUxNUzNoYURBZW4tdmt0WE9WMkVIWloyczZkaDJ2b3lKSW5IdEpFMFc5TVNoUjQxa1hiRFJ4YkRpNUdmTWExWGMyekVnWVZYY1BSaDJSaEt3U2QwaG0tWm1aRXVBYndoOVc5Ym5ZRDJRUDJJR1Zyb2UxVmc3OG9ERFQyZkt1VWI2bUQ0LVdBRFBkeFFMTGxxZWdwcTdDMEVGd1pxSmc?oc=5
ATUL.NS,2021-01-26 08:00:00,India Republic Day 2021: Netizens share best moments from parade - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOM3dXbE5WRWR1aG05OW5OVXZTaktiOWhwRHYwT1hqSzJGR1NfclNCbWNzcnlfeFpOY2w2eEdLWlAtalYtSzBxVVFnZ0NLb2hOYnFOQnJCb0NNalJmMmRFVGgzZFhfZURFZ2F5WGNXNWlUZzN5aGhjUHJnbmpodjM4NXdsMldoU0NZYlZCWlBvSTZVVzRYMDFfWmFFNk1IV3VwSWdtVEFXcVo1a3N6amFsaTliY0NiM2FpbE1BdlFhaVpZejFuVVdXNlFYLWJvd1pWZzVUUdIB2wFBVV95cUxOSm16YXBlZGk1TkpuSjJJSXVjc1c5ME8xYS14LUgzeE13VHJSRURVbURkTkUtRXAzTkoycVBqRklySkM5MDR3aGV2VzBleU9KMHRNSjFSM20tZTl6cGt0UVlQRE5vOERuMDFKLVUxZnpXSmZnTmpHN2Z4dEdBMXkteUZtUW9rODBuUU4tZWJvd0lydEt3QUlVRkdWMnJPT2lGMHFrSjEwR2FrV1dlMDdXcmlFZThKVU1VRU5BQlEwc1lNN2ktZExHc2pJN1BOVXl3ZGZjcHQ3UzlZR28?oc=5
ATUL.NS,2021-01-03 08:00:00,Trends: How local retailers can keep up with consumers - Daily Monitor,Daily Monitor,https://news.google.com/rss/articles/CBMisAFBVV95cUxOUEpTX1VLUmxzMGN5UG54V01vOWphYnA5YmN3WlVxaXcwanlXTkxRU0dWRlQ1emJJejFnZlhjaUx1TFh3UVFWZnI3ZHc0NTBYUGRGVElDdWFDNmpzd3VXSlZnZjljeDBSWEllM0dybG5EdDZoTHg5aDR0ekU0OTNLZGRheWhZcGREWDBMMHd1R0NmeFJpVWZORTRNVWl6cEVrbTl2UE9QMzVWOWdQbkQwTQ?oc=5
ATUL.NS,2021-01-28 08:00:00,Will American Democracy Perish Like Rome’s? - Fair Observer,Fair Observer,https://news.google.com/rss/articles/CBMi9AFBVV95cUxPRFFMd2tNVGxhck9ndkVxYkYyWnJIUmFVZ2V6WUxyR1ZFOHNfTG1GTDJjWDZnS2w4MVVmS2xUV29OQ2hDc2ZvdTFwcXpkUi1tbXU2dTBDdjJfRFZaMjA5Tmtxa0Z2SWNPbjNuMEFWX2pWdFNQRG9tMy0xRE9NZGNKMU94bmtFRlVScHVveGU0dnlSUW1wd3N0RU5XTWhoaGxZZ2ZMT1Y1UklLZDN6bUNKQjlwM29fTkpmaW9KcGZ1MDRzT1BlS2R1MEpDOUFXNTJnTDN5TUVGeU5Eb0FGWDJCX1VHWkNLc1RCaC03V3FFcmxzeGV5?oc=5
