Ticker,Date,Title,Source,Link
AUROPHARMA.NS,2021-01-25 08:00:00,Aurobindo gains 5% on govt nod for promotion of manufacturing bulk drugs - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPSmY0MmdMU0VYbjFwR0RFY3lTRTQxUlEwMTZuTmtTT3I1X0VSZzBDYWM0aTBmbFBXeVNRZTFQMlN5UW5naDhGc1BESV9VUUVIeTNRWUJfanNYTTlGOWlKUlMtWWlQMWR5UmhTS2M3aGxfbmdlQU1jOC1tekVKNkhzeGVZV21iWk14b3NWUWp4aDNHYjd6cF9Xd0lFN1R1dEpsSzI4LVBaUW9HdHA2Tm01RFBIaHZmZkN4Nkc0b0haQ1FiZnZwdkpFU3MzNFFtSXdSQ1Zn0gHYAUFVX3lxTE16dUdVV2x5V1VSdGd5ekxCSGZxVklUVnR6djFzbFp3bnhOdDlKSldkRG9GU05ucFhoQk1URHlGS09KWmI4MGpuNlZpVkxkMnp6T2MyQXJaTDRxbWZwa2UxMGVsT3pkbUpRY2lxWkx0emFOQ1Rxb3BQRTBLc2haaGNyMGswNnlPZFlpcGh5Y0c5dmo3aVJMTkprd3drazZkU1pWcWF3SWhJTl85ZG9zVEJyTU03cGFic0lQMFp0RndocEx5cV9tWThCM3p3NjJXTlZCMm9GS2RvYg?oc=5
AUROPHARMA.NS,2021-01-28 08:00:00,Multiple triggers help Aurobindo Pharma hit fresh highs - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxNazRiUUxUR2pYZXE5NWZWc09pUktka2lXX1VHU2JyMWZvRXFwZ0ZKZVluTkxUNzIwTXVCbTR3VUZqbDRkeVBFSnprZUVOSE43RGdBWk45c2Y4ZFJoSkZpbWtocHVJZmlYOS1oU3hnNC1DQlI1bHIwMFF4bDBnUFotbkpuTVNidUdaSE5WTkZaUk5vNzczbmlOUjhnSDk0XzBfN0ZsNmtxRlJ3ajUteWUxVm50VlRidGRJR09RN1U2b9IBxAFBVV95cUxQMDAyd2JLV1IzQnNnZXAtTThPZkpSdlQxU2ZEM1hXelJrb2hYZzE0OU45enY0OVBiUllKWlNvTldXTTVMU295eU5oWFFBYzFocTZ5M01hTEFicV9mb0d0T3dGQ1AtS0FGQ2lPOGxlODZGT2JrSGF2Tm1lNV93QTdEaTRfclpDS0hsNnhZaXBUbFpiNmxyQmlESHdFVVJncV9JYmtsS1c3UDN1Z0cweXpkRGY3NWtUa1JWSVNqRldyWWFfTXRa?oc=5
AUROPHARMA.NS,2020-12-30 08:00:00,Stocks that performed well in 2020 in India - The Hans India,The Hans India,https://news.google.com/rss/articles/CBMikgFBVV95cUxQa3JwQTRKYnFKOUxYam5tSWRvTjRHVHJvaW0zQ0ZYLWk4RHQ0TDY3MXFWTGljU2MzUFMzTm9DZmRCTTZRWm9IYzJmejZGbk55ODh2eTkxbnQ0MFJQQk02cEc2azRuQ0hHbnowS2RfUDFKM1pIN1lPcTZYOGJYb3FGVjVIdVhMbzhSYU5zUURRZUNhZ9IBlwFBVV95cUxQSmNjaTRaZ241a0I3V1lURVNLU0hqNWlrVXhFNkg3c3NGWmdRNU9zbzJHR3lENzlsc3l2cFNsZWllWGlFRkt2TnN1RHhzVXA1Ukhyd0tKc3E0UnhpSHNZYUpGT2UwRVhEcUF3LV9iODZITHFHczc4X1JUTTlpOWZ6TmYxZm4xTHR5TXVaUF9SUnhFSDU3SkU4?oc=5
AUROPHARMA.NS,2021-01-17 08:00:00,Aurobindo Realty to buy 41.12 per cent stake in Kakinada Seaports - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPTUFwWDd5YWxTVTNDS2lXaGtMcG5yTVNERzhxZmFjWHhCVmFMbDNJNTB0NWc2MUdISGR1MnNjME5SVWZtSXkwR2dZSGtfdUlDaU10b2hENkRCOURzQWNKZFRTSFNOdkpqckR4bFR2Ym9CbzVnUDFVd09jdFF2ZG9ZVWctWjd0RHdYeDFZMUQ5Y0VyTHRWYUpxTUpodGxUMXdIQm9MV05pcXNhc2owamRUb2dtaDFRRVpIVFpvZjBSUTVXd3BldXVYSEd6QWUyUWI0QWl5MXNB0gHcAUFVX3lxTE5pZ2RCcVVGMHVRNE9XTDZfd1pqSlRjRzk2MlltdFFNNUMwWWkwOWZWejAxbDNTVFpKTEkydEQxS3VQQ2JtV09KNkJBQnFXajJSMGg2SHQxRTFEaWY4TE9MZjBGQ2hOLWJTbWZ2V3dUb0gzblFKdFpBRUhrWmE5ZThsTmRnNWl3LWxkUS13dDFhTGFpZjJZamQyY2hvSEFKMXVocVpwMW5Kb3NlRWFPbjMzR09CY0cydVp6R2NZQXM3Tmxtc3dtWUE0b1NEUVJtU3lleDNkREk4VW0xTXQ?oc=5
AUROPHARMA.NS,2021-01-25 08:00:00,"Sensex falls 531 points, Nifty ends below 14,250-mark; RIL slips over 5% - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMizgFBVV95cUxQOGpsaDlVZGN3bXpsd3Y0M2VneDVoU1V0WTJJSURLLUNxeVRGaExnb3gzaUZFTUhUbm5wT2s3UmdpZ3hRNzBnb1dTd1pkcm4tOWNRcEZDbkxKNHRPVmRYQy1WdFI4RUtYLW84cDFteF9TS05TMXY3X1NDZ3FmaDBvNk1tcTRvRWlBYlRUbW8zdjhuMWdCU0l4bGlyekQtUlVPYlVSY1hlWVhxMTN5ejBZdmsxRVRSQzc5akhiOEdqcGhRSnB5Y2JhQjY2LWpWUdIB1AFBVV95cUxOSEsyS1djS3Y0NVloTzdXUlJoWHNWWFY0Z082WXVUeXFfMnZWM2tyenNKcUx1UU1iUDdNQVNBcjhTN3hvejI2d2ZSMTFPS283UG51eGRyM0ZRRGJPTG5WTGk4SWJoc0pNUmc4d09abnhXTFJUbDBET1c0Y1BJYXZCVW1odDBSa3pyVk0ydGhqTTdFUG13MVg5b0tXNVpvZ3E3LWJrX3hMQ0owS19qY1dEM2pDSGdhR2FqVWNYand6TGktMjFmWDNaTG9KamRKN3lKcVVQZA?oc=5
AUROPHARMA.NS,2021-01-09 08:00:00,Andhra CM Jagan Mohan Reddy summoned by ED court over disproportionate assets case - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNVnYwbzJHQ0JPNEJoQl9PNmhUbGN3WmFDdDNMODVWX1owNTA3dHg1RlF1TmRWeVM5eTd4QWtseWNxSmNOMGV5VEdMT3VjT0tjUHB6dzcxS1Y2ZjFwWmRWemNFNUFhUExRMVlLRVB3c0UyTzdnNURGNFBySXJaZ0w0U25LRm1MVlYxd2QtcXgzdVRNQi1WaHpZaWlBOC1BZDZ4akNzelRXUHA0c1R4ck9HUlAyQl9yRUkybF80RlVGT1PSAcYBQVVfeXFMTVBQSWxabDljWGFLSmZLVnZsYXNLR3M0Ny01NXl4Nmh0UERCRHRBSGxEY0hsOHVwcXhRMzZBQVA5WmtlbWlPT1VmaEhaRUdCazRwOXJZdWV2X0gybkc1Qnc4SjJxY19mZzdOSVVuUURDUmp4MlFLTWxFVkVCWFMwX2piT05VbDBWQWFjdzZ5WURxbjZXLTlhSWdYc3NrVUhZdlBmbG5yVWxlb05oaTlTanJmWlNXR3BoYnBTRXRkeG82SXY4SllR?oc=5
AUROPHARMA.NS,2021-02-13 08:00:00,Aurobindo Pharma steady as analysts watch numbers for near-term growth - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNVUhJT3hLaW9yV09EdUtNUndTakJmSlZvUThfbUNSWEhCMF9xV0FGa3RrR0dyNVE3VW5ENkpHTWE4UVV3Mk5nNGR5RExTN2x0T0lpakktanpnM3pEV1h6c29CZE1MOF9BYVhNRGd6LVJXN3d6YkdRd1RkOXFzYzY5ajNTcjJjdnB3aUhBa1RjX0R2VUV4bWFjSjN4dUxOVGxEck9KczIyZUdsZHJ5V1V5V096Q3NEY3pMTW9WLU0zdEVnQ0VISEI0Ulp0YUdmTXJ0MDVBeEEzZ3JqQdIB3wFBVV95cUxOTUQyMC1XbTFvd3FBcDNHY1AwYXRvSldNeDhCVFBZV0FjSXlQeklqTjdNaDN2alBWNnFaVVZsb0lLamZRSk5IZEtXWGMyTEp1WEVsR2thendOLWs5NHV6bEdqbFhwR0w3TTNXcE9XOEFtNXZjd1Z6Vm5QRS1fMzBId0poYVF3dDdwMm1lamtvZVU3VlBGZWdPTFFiMWN4ZGJMeGpzZDdQZ1lsZ2pjeV9EeFFMdDh5eGtDR2NaU2hNd2VrZ3Q0ZDhVSWdyb1ExWFVZREdGaFM4ZW5ZUTFJN0tZ?oc=5
AUROPHARMA.NS,2021-01-28 08:00:00,Multiple triggers help Aurobindo Pharma hit fresh highs - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxNazRiUUxUR2pYZXE5NWZWc09pUktka2lXX1VHU2JyMWZvRXFwZ0ZKZVluTkxUNzIwTXVCbTR3VUZqbDRkeVBFSnprZUVOSE43RGdBWk45c2Y4ZFJoSkZpbWtocHVJZmlYOS1oU3hnNC1DQlI1bHIwMFF4bDBnUFotbkpuTVNidUdaSE5WTkZaUk5vNzczbmlOUjhnSDk0XzBfN0ZsNmtxRlJ3ajUteWUxVm50VlRidGRJR09RN1U2b9IBxAFBVV95cUxQMDAyd2JLV1IzQnNnZXAtTThPZkpSdlQxU2ZEM1hXelJrb2hYZzE0OU45enY0OVBiUllKWlNvTldXTTVMU295eU5oWFFBYzFocTZ5M01hTEFicV9mb0d0T3dGQ1AtS0FGQ2lPOGxlODZGT2JrSGF2Tm1lNV93QTdEaTRfclpDS0hsNnhZaXBUbFpiNmxyQmlESHdFVVJncV9JYmtsS1c3UDN1Z0cweXpkRGY3NWtUa1JWSVNqRldyWWFfTXRa?oc=5
AUROPHARMA.NS,2021-02-26 08:00:00,"COVID-19 remains a key trigger for pharma space, analysts pick these 15 stocks for medium term - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQZmVuemNfaC1JYzBQUzUxZlN5b0hzbUxrNHVFNENUdXRSeWFPY0Nld1VKeFRzWTVfdi1NeF9OVDM0U1FJSDdTNm4wU0dVTGNCcEZBM3JFWWNTSE1XYUcxMzhrLXdsSkVKMi1mLWlqemY3NFhwUUY0ZlZFTzdUNEo2QS1qS3p2QTJUaUVNWi1zYUFkSWx2V1p2UGt1VGVKNDdudzdySU9GMlNWakU4OHByQVhiWjdXcTZJVkVjMUpHMlJNWVRmbnFjOFJGSEVBUUFjaU4xOUlpbFcyZm1ELXQ1bjdtMFNrR293eERPQVFR0gHzAUFVX3lxTE9WcmQwMldNMEh5SG1OT0pxdXd6anpqLUZUNjBkeS0zbXYyZlhqYzFvSElxRkd0a2ZCQmM0RnBKRzdURDNPZ1Y3U0UzUkhQNE4yYWUzdElOUkpyVTktUk5wN1dsaWtpWDhqcXZpYTVjeXprSHJvWnczTkVaRVhBZjJKbi12MDVGWmpTV2tBQU1wemZqVmtMN3lfZVgzZzkxc3hTWk0xaXV6UnZmSHQ2YVEwTUhSME1sSmJCQWM5a3poVHk2eFdXN0doN1lTZ2ZIeFlJN2NxWm1ISGRSWVBsVnNOa182ekVPYTU0b2diYmp1MGcwZw?oc=5
AUROPHARMA.NS,2021-02-23 08:00:00,Aurobindo Pharma acquire 26% stake each in 2 solar power firms - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNelp5ajJUNElmZ21UTFYzcnVWeXlPZERmWktnUDRIZW5tQmUtMDByX3NwYlVWWDBZQjIya2djOFhSMW1ud20zNzZUWHJfQmFrdUJFOXZnNGNCMjAtVDJUS3d0Y0JyWDJBZHU5Q2J2QzlLbHctSjIxZG85YjVwTUwteGtla0FrRmYzeFJMMzJBbGZzenlzbGpBSU9kY0xwYzdiOUNmNTNwdXhtM2xSY1k4aTJ2VU1Xa0VK0gG-AUFVX3lxTE54OUQ5TGtqMDZZcE1vRTJ0NEx2TVBwZkRmaF9xY2FmRGM4NnN3SnBxMVAySlFPcmVYb0djQnNFQnNuYkVFUThrOF94VzMwU3dPQW1lVGdlQ3RlRDJtZTd2U0tzXy1MaC0tckVveGNmLVB5M09FMnpOWHNsdl9iUDBkT1dFS2RKNzkyOW9YdUQxYmhneHBNZnNRQVBGNnJvSE9WRHJVQWhCajJGZU5GaGdHcFoxR1A4ZVlwVjNpb2c?oc=5
