Ticker,Date,Title,Source,Link
BAJAJFINSV.NS,2021-01-21 08:00:00,"Stock Market at Record High: Sensex touched 50,000 for the first time, Nifty also crosses 14,700 - Punekar News",Punekar News,https://news.google.com/rss/articles/CBMivAFBVV95cUxOY19icWRiNzdXSXhoRTctWTlNX3FHeGZvRnNGSFJpWF8xcmlvWmhXT2Z2NjB2SlFGelNBT202S1NkNUtnNFNOMHNSZXBqZ3h3cC02Y1NKNUxoeUpIS3NUZzV1YnB0VW01bDdHbjZUYi1oWlEyUG9yMl8zMVROd1FkOHBTNEpnUXUtN3R1RlhlRVVJdUQzX054bmdjNGlzWTFXR0tCRTBDc0h6VEFBcUJMWkhJanNUd2dkMmRCRQ?oc=5
BAJAJFINSV.NS,2021-02-01 08:00:00,Bajaj Finance to strengthen position in consumer finance mkt with Bajaj Pay - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPZmlrOWdrczBBSXdPamFEdk1iTm5RUjhsVDQzX2lnMlFXeDV0YTJtMXZQcTlDY3k3bmZqdjRlWGVnampCczZkcDl3WEJORmQ1Y3E3ejNDV1JQRTFyY1VEcXU1Z2V2aGRPX3FPNFAtaDF4a2VFY3d4cWxwVS16QnFDQUcxUWR1U2NkbjI5Vk5ZY0tDX0pjanNXczlWQkc5TjFKbl9NQkkzbTZsMGNIVldSd2dlN3l1UlVtQU1yVHdJWlNPeERLVzc2YU55eHN0QzR3QlF2Smc2RjNORXNIc0HSAeMBQVVfeXFMUGNmMU5LMTU1TU8zbGg1LW13UXVDamk2MkhaeF85TTh1bTRtMFNCTkRwa1pMeHZ0ZTRObVZURFV5LUlmSTVQUUt6NU1scUR1OUFlRDZJMUdxRExldjRQRGdrRWxtNHQ1MzFYZzdMTG9nSGN2OFFRV0lZN1BBaGM4WGs4aDhrZ2FqZldTV3lRSUlSLWFuZnJLMG9rSDJ4Q0VRcHRqYTFCUmVheXBjSi0xZWVHNE1ERUFTMXZuRld4ZUhxQ2NqbjU3ZnhXak9NWl9ub0FRZGNHbUlwLU1FYkRycjZDWE0?oc=5
BAJAJFINSV.NS,2021-02-19 08:00:00,"Share Market Highlights: Sensex ends 434 points lower, Nifty at 14,981; ONGC, SBI, Axis Bank top losers - Business Today",Business Today,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNeEgxZks2ZHNmVHlGdmlMRjVVQ0RCU2xJbjlQY0o5WTRiWWNMX3I5WTJjY3EyT0xLd1d4bFF6UFNuMmtIZURTakJoazJFa1hwTUpIbWhIQzd1cjdQdDd6Y2VDOE5TMTZTYmpiR3NIVklZemJPTkYyTGZKeXFvNkx3YUxSS3FSdTJHWWhVUFpITnNJRWZwaHRHQ3YzWmR3SUZGUlBiald4V0JZRlFJUnZJdFZIMXl0T2ZqbXg0b1NoUE9WcXNvSURrbUVFNE51OFZHcWxNSWw4ZE1jdU05U2FSUGRrcUdNazE4a25GNjc3YV9DQ3ZXWVV3bkN6ZzdhOXByT3ZwenJoUWLSAY4CQVVfeXFMUDk0OWxEQmktcHY5a2U1RDFGVzU0dExyNVNOZks1dUZ4TU94eDdlUnFKcTluY1R1dXEwUV94UFZGTjN2SGFDNUdfUVdscG5iaWlJX2M2NnVERmdmMFV5STJuUTA5LUVWa1JnUVl1THV6aFJnVlhjYldEdGx3UnJwNW1yM3UxTnZPc0xHM1hLN1E2SHFKcGN4MTZPQWJ1SjdNX0dHYzdBcHVDSGVCcGloa1ZyMkdHTVZjTnl5bmN3cHRIdzBHV3RXRWN0cXZVbG4wbTBiQnFBSThsYmVoWUtDNTJDRUdXOWlybE4xSmJBQkFTellMaFRMWVlYbHpuVzEzSEVza083dmJNWGhtWGlB?oc=5
BAJAJFINSV.NS,2021-02-26 08:00:00,BSE SENSEX Stocks and Weightage – Latest Number - Invest Yadnya,Invest Yadnya,https://news.google.com/rss/articles/CBMijwFBVV95cUxNbmRTbG5HNWROX0tGSFU3d1c4RzVZdTE4R01rUXYzY3VyMUdHRFFvdFNDZk1yTWxLa25iV3J0ODU5QWZ4VVlPc2xCM3Iwanp6dVhzYlNjWVVUazNnRlBhSlRlUmVWZ0REWmtmM0tubEszdzUzdEJybHlkRnhTNnl6X3I4b1o2czVfY3VidF9wYw?oc=5
BAJAJFINSV.NS,2021-02-17 08:00:00,"Sensex dives 400 points, Nifty ends at 15,209; PSU banks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUXMxbWZZb2luQzVvNUtLSzZicUUwRzJQYjZ1bkFBWGtFamlKUWpuNTFtRDJNWlF1RWVmTEpuTW5RQkNOeC1SSE1ybjcwWTR5NmE1R09QV2pyTFZrQ19SbGh2dkxVWDJFT3Y1d1p1VGdpOVdSN0h1amRmWmo5OGc4YS0zbWFmeElvRTJTVTA2VnU2azB5STJnbWlmeS1MWnJNbnhYQUtnLU1XTXJzanQ4bTNKYXlrM0Yz0gG-AUFVX3lxTFBJMmJqbVZkVWJic0hZVTlRbGZKVjczb1MxNnRlZnktZFFnUkdaTEdOWnRvUFdjMXpjT2FOUlhFRG95REp5bnY2bmdrcTUwMFpERkdVOVNhU1ZkcDdkWEEyRDU1WXkyWU8xREo3ZmhINW5ham1uTWtkTmhOT2lYUlBxTk5JU1ZDeXUxZ1RfUUxQYmgxaXA4SVpuRGlLbzY3N3VmcGl2SnVhQnNFMm44eU13RzBTV1NnMHF4UXoxYkE?oc=5
BAJAJFINSV.NS,2021-02-10 08:00:00,The ups and downs - Explained in 7 charts: How Nifty went up 14x in 25 years - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQSFVPdUMzcW5ZVTl4S3AzaUhkWDE3eFJmRFVGU3E5blE4VHFLbVJQZWpPbElVQ1hSdGtsbUU1a3htckdnU3o3UGU5bHlmZ2RtMXZDVHBwblpPWlZZUmtjeUhiTjVCakpQMXNTQnZoRTFFbzZhcFhncGlJX0FpNE1HeG1wY2JhNC1laU9hZF9CMzFDTVRld0Y3OERfVGNPa1BOLWxVVWtSM1FaVHFVNUFuMjlDZHU0bmlUVGxUSmtkd1hHZTZnR3k4RWVUYzVKNkZFdTVGQlUwN1Z5XzN4?oc=5
BAJAJFINSV.NS,2021-02-24 08:00:00,"Sensex zooms 1,030 points in extended trading session; Nifty settles at 14,982 - Times of India",Times of India,https://news.google.com/rss/articles/CBMiygFBVV95cUxNcnNSbkFyc1NSd3VCYUtVcHE5T2pIVVFBZG1kal9UQ3pQbzZPN1oxeXRxRF84dWE1dHFEaEVjT3A2Nk92Q1pJQVN4N2QycVBIRHNWTEdJdXlwZVhZRE9rMkpmTGlyWm00d2hXcXc0NjBkSlQxeWFDT0ZVNkVjSUFyRGd2ekdEUWRJVWdqajhNemtQdzZQMzRMUHVxeS1MZ1JpZkJkakZRZlVLY2Z3c2FsWEZsNWZxc1h3Y0lFZkU4NWdiajVEQW1vQXFn0gHPAUFVX3lxTFAxQVNJdWtTNmFFRHVyd2NTdnFuOW12WWtOQ0RXeFVPT2l5SndpWmFBblYwOHYzSk5OdXRqckY5VjJYd2FtZ3Z2MWtLdlhtdUw5amY5YnI4RVhxNWFRTE9nNWstN3JpbGExeGhSX0tNSm1US3VtT0JxUzd1WUw2YXpINjFsOV9QRmdSV01oQkZzWW56aTB2eml0T1BNcTVqd29aUlU2RHJPc2VJTHJmd0hhTXpiQm5GU3dCYTR3ZDhtY2hJa0dKa3p1R3ZUT0s5WQ?oc=5
BAJAJFINSV.NS,2021-02-17 08:00:00,"Sensex drops by 400 points, IT and pharma stocks drag - DT Next",DT Next,https://news.google.com/rss/articles/CBMikgFBVV95cUxPYUVIZEJrNEpLRFh0YWZ3OTlRdzZISzFKTG4tRVd0aUs5YV9MTEF2cHhMampVeE0zQUlwaFZpUDZkazloZHg3QjBmbWk2WWYydHpzWXgtREQ4V0lBbV9HOFJKdEw3VVFKRVdtQV9URUM2bElnNHFrTWV1RUo2SmdzUDliMmdHdGlGRkNuZUJUMTBrd9IBnwFBVV95cUxQaTRCVHlibmNsR0w2Z3ViTnBaZk1kOUtsNk42Y25zbElsSU9qUmpTbDBtYzUxZEp3MUlSVDFnSzQ5cGNWZDZ5Z0ZYSlQ2blgtbE1jU2VZTjItYllTd19wcEYwVW5qZ2NCTWJrSTZGRzFGUHhmajVteWlUMHVVX1I5UklFVGFrOGYtbmtPNE9MX25RTjYzMlNKSW9SY1NDV1U?oc=5
BAJAJFINSV.NS,2021-02-08 08:00:00,"Bull-run enters 6th day; Sensex soars 617 pts, Nifty ends above 15,100 - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNYXdjdkZTWVlxV0h5ZzNGSDhUcHVQWVNIbXZaYjJhZ3dham1wUDVhSmVObjB6c3BhRGVXWHFjQ3FyVUl1VEVMQWxqXzBkNWl2aTNQRGdWY0xBaTBRMVZmakgwQkJxRVBzWC1aZlEtcm1aWmxVbmFiY05CQURBWGp4UDRkbVZ4M0lTM0g2NXdCWE1NancwOVFMSjJXdHcwUkFJeVZyQ0t5RTN3X3VtdEswMEdXMmZFcmx6WnoxSkgyNHdhOVk3VV9hUkVJVGE0cU1Bc000RnZPelBXeHBU0gHiAUFVX3lxTE5NUHc1cjN3WjVEMi1vZmx2Z3Q4SVF5VXFlejF5Nkxtd3o3d3plT0VONTM2d1JBRnRCLTRldmF4R1pDV0d0aElvV0tYRDhpMk5ZeUplcllGaXdfNFpIVDUySTFpQXd6OEF4X2JzQXRybWdfNDJFaHhHRkkxcWZQMTh1eFY1SGFXZHJSRjJKNnpjRG83YTJHMnBSYllSRDJtQWJoeVJad2Z3b2p0QWp1ZVNydDFqTnBaZktxOFRwX0sxR05fR3cyOVoxaXZQZV9CTFBCbEUxUlV1cHh2Y2VkRTR0T2c?oc=5
BAJAJFINSV.NS,2021-02-18 08:00:00,"Share Market Highlights: Sensex ends 379 points lower, Nifty at 15,118; Maruti, TCS, Axis Bank top losers - Business Today",Business Today,https://news.google.com/rss/articles/CBMigwJBVV95cUxNcDVfY2hTbVN2eEJkam96ZTRTekhnazl0bmZ0WDAyYjdYdjZRTHMwZTdmMDBoT1JmOE9VaVZYekxVbXFhVXI3WkpPTG1hZ2xqMWpQakZEMUlHcnktUDdRVVFtR0dUdU1FRmtocEljdnNIQ0RnYTFGaUFtckpBa0JmN2JGRUtwOElEYTFCOThtQU1aLTd5VnpwaDkxakN3MkdYWlMxR043bmd6V1JjWmd1SG9xVjBLYjNfeElMbVZFTk81clNpbVotS2ZIaDNZbmpxTE9iTURSN21fUFJwUjE1YkxEa3hZTmJGM3p6bjltSDBFOENOdWdzNXZOVVFhM1pQNU0w0gGIAkFVX3lxTE16X1BLWWlOLTdZcEtwZXZfRXU1eXA0T09Qb2VVN0MwTHJtbm15ellmRXVRQzluSWZVVnNFbVFObHFBODR1NkdxaENoMkpaM1dnOVBXQzlZYjd3eW93d2pjV01MMWpGeXdoWndkdnJ5QXEyc1FOWXlFUF9wUnRlS2RNS2ExWVFpTllmb0Myc01fdkxMRHZiQ1RrTHBZelpxcmU2TjZPMzdCRzlyT3ZwamRFeDI0a0p4ZmdMVERsZG9YR1l6dWY5TDlRTVNUc0hESUNIZHdJdGVtNXpvbl82TDl4V3hxd1I2cnZiLTRpSks2N0Q3UmhhZ3dtTjhBZ0tOTXlyYzhUTWhCQg?oc=5
