Ticker,Date,Title,Source,Link
BAJFINANCE.NS,2021-01-06 08:00:00,Bajaj Finance share price slips after RBI imposes penalty for rule violations - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNaUVtYVNESzNFZEdSV2NqckduelQ2LTJwcFhKSnpuQnNZWUFEcWtzWGpDN1YtV05QR3BRUVp4QlRjcnAxZE9aUC1ZSkhBZUw2akpmbllOMmFfbGxyamJzVnh2bmxHTXZLYmNfVkEwRTU4U0Rad2lRZzBQdVRvZE5GaGFLLTA1OFV6S08tVE9GOGpRMktrUGlyUHVxM29NdUo5Y29Xcng4TFBfT2ViQm5SM1F1TnljeVJ6N2pBbDVQMUJST0pBY3BOOU5xNF9sdlB1bV8tbkpwZ9IB3AFBVV95cUxPY1lJQ2NPYVJtV1NyTFBuN09EZVpVZlRlT241bjVaRkxQeElwZXBwZWQwU18xdTJjcUxZaGlVb0pIUk9VTkFBMVJtek15LWRUM1Y1LUpoYWlOUlB6dW4wZGxCMTdZOVdMbkJ3ME1VZm9XWlBRTlE0bURCUXhyemNFcDY4Y1B6d2dpTlNUM0VodEZSZVVGZEI5WlZXd09rZzd5NW5VNkwwZHY0cFR5Z1RhYlB3Q3NiQWJRYzFDOGJMSHQ4SDFwMmFKa0VfemNzSk1JbFh1NXJ1MnNRLWhK?oc=5
BAJFINANCE.NS,2021-01-05 08:00:00,"For Bajaj Finance’s stakeholders, the focus is on revival trajectory - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivgFBVV95cUxPNmJnUy1hWjVuMUhpeHVncVdEUHdWalJRUjl0ZWdpanR2WG40clRtM3U4YUV3Z2pwcWU5UkpoOFZ6Z3gxRWtlWEI3LVJLQ2FkU3hsZFp5V2ExUlo3bHRIYTVhdkQ4bGFtMFJDdUJ3MXFuc24zR1dCUEVnWWlob1NObTZQeTUtdHdxMnlocjdsSnNkLTJCdEdZSGxCcldIOVBLWUZHa0ZFRzlHaVZwSWhMNEN6TGZudVZyQUY5MGpB0gHDAUFVX3lxTE5obmdyUVZCTnBIN0lDaU4zX0tOMHUzZWZZY3A2NlJ4eFQtUWozQVlQRTFjclBIUXoxSHB5MU9SLUxjTWUtTkl3R1NaQlUzVDRlc29Yb252a0xvdm1Ccl8zT3pieXFDeG9UWGlCRHRnXzVYM2szWHN0aUhaVGZqWXZYcFRWZXZEZ00xWmJYQllUQU8wa0RQZDRiQXVIWUFJVmZ0UnZhZ3V6SGd1R2xWMzlLZG0zUkMzRFZiRUFFUjJZX2p2VQ?oc=5
BAJFINANCE.NS,2021-01-06 08:00:00,Bajaj Finance fined for harassing borrowers - Times of India,Times of India,https://news.google.com/rss/articles/CBMixwFBVV95cUxOYTRkUTVfM2ZiWGp0R3FtRFQyejhMeF82QUlNaU8yaFk3QlBuRWloLVdBMEhGN0tJand0YVcwbDJBYncxcm5QWG1fd2ZIaFRuLWJSbm91Q2ZmZFZnMDJMNUlFdjNYUDRnbkwyQW9aeFR0eUVpM3ZpUFVfTDFwNDlHQ1hYYjYyV0VkN3Y5bHl4NzRES3F6UFpkWURWNEhtaGJPY0FnLXlpT0hLaXlUUElhNnRLejBoQksxVm9KT244S0drVFJyalJ30gHMAUFVX3lxTE43LVY5NUtCdTdoWGFQYkE3MEdzNmtpRnRhTGc2TFJGcnp0MEhBa1lOdUFabHFZY2Z3TU94M2h0VzVUMVVyZjJnMGZLcHktUG1NU3VRSXB0a2x0elUtRF8xaDVuTmtSVzNrVklwUFpXVFFWU3ZaejFHZGVxNl9UTHB5S0FkR1BBVnVMOEFHaExualpTbkpJTW9sNFpiRXFfaGlpak1ULUstdDBLU01kSDl3Q0RaclBnQkdUV0t6VVJjWGhRLTZBZE1fM3VMRQ?oc=5
BAJFINANCE.NS,2021-01-20 08:00:00,"Bajaj Finserv Q3 net profit rises 15% to Rs 1,290 cr - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMiugFBVV95cUxQRVVraFRnSzF5OTBtQllheGVURXpWZFhUdk5XTzhDbzFxT1ZpcFEyZzRUb0tSYjQ4Z1paU3JDYzlGOEZHRklGOEZxYVBWdjR2MWxsWEJXRTQ1VUZRTzRIc2xNaHViNW5tYnNlck1mYnV2S2xLai1GUWoyMVJDWkZUQmFRWTVvQ0pWbXYxcC1xMXQ4SXFla3Y0bW5VclhuZkQ5clBwQXBSTFBqS25MMkZDVzF5UWoxTzI2MVHSAb8BQVVfeXFMTm1kX2ZoM0FqcDVaeXQ2dUlOVUZwdkppaVlHQjV5Q0NzeWJxYkZBdnFndW50VmRzcDVoWHFfM056R1JYY0JObEFUdUtGQnU1Y0NlNVhocDZ4YnNYVkE0c2dKNXJsbkpBY1hDSHhWZTFJWkRNaUtUMkNzU09JZF9oOVNqVjhJLWxnR3UtZ3NMQW5VRXloNW9SNlFzeXVDZWxpcGpxVzFiTEx1X1FlS0FpRkVGN2YzYkdrZ19nZS0wd1E?oc=5
BAJFINANCE.NS,2020-12-30 08:00:00,7 stocks that analysts recommend buying for handsome short-term gains - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMipgJBVV95cUxQRDV2MEFqTkI5WjBqamt4TlhBaEZ1S00xUUpaZFZJbzVRaVAtLU93SUd1UkVkVnlTZWJtb25hb3RELV9FRm8xenN6WC1GbmhtZkZZM0VqYmdtd1U5MzdkYXZ3ZkhpelpSRnQ0d3F6aTY1MTJCajFtNzYzMGJnOXUwR0Q2T0xHemN5UkdYVnN4eHVQeV8wc1o0Z25KYmo4TWU1LVZmS01aUlV2OWxmTUJaTU9VUmU5TE1TLU9DRmNrc2Q3a3dySFFqMGpkZnFlX2hyamlhb0xjd1VnckdSVDFBd0I0Q1RLeFJFelM1SzlzZFhQcS1oOWdqUkFWbmEzeUpUU05sXzZSTU8xTjIyQThQdDVGdjVEQkZESkJ3OGhydlNnRXRlZEE?oc=5
BAJFINANCE.NS,2021-01-20 08:00:00,"Indices end at record closing; Sensex up 394 pts at 49,792, Nifty at 14,645 - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPbWgzd1NsTkNSSG1YY2FIZThna19td3BrN2NrSlppRGNMQW9GSFdmQUc0TWg4ZUlUcWFHb1pmZTFXQ0NCdGY4aV9KSWN3ZVo0RnR0RlN1UVQtRkwwejVRdDZUbGlNNjFvZUlESHF4MmNORUNjVjNxZ25KX0I5WFVmUTA5T1dmdlpQMnFpNU5Lb2JmRl9YWmd2NmFLa0hSUXJhVmp4cU1LR2RELXA1M2JjNlJqRDhWTUgxNjRaUlZ3anZyem42eHMzemRrTXg1TTJRV2tuWWNzeElxcjNiUGfSAeMBQVVfeXFMTTdxc3lzUWh3LUI5NmpIT3I4bUNtbE56SEJlcDI0NFlUM3V0X3E5cGRHeUNtMlIwellzenBpclh1MHl4V2ZQMHRpNXJjaFBYNU5nZUtBQXpYYldObTVrX2UyVXZOZ0pMUGl5c2E1VFRsLThVWHhrRzR5UkZpQk1WUTBSbDVxMXpjTHNfcDB6WEt4eVZvd0RiUVNLMXpWa2w2WmkxVlo1UGVVZG9OUHN6cWg0Zi1feFNZbEJXeHRfNUJDS2hqaTNVNTZ3eURnWGphR0o2T1liWTZZUUJXSVotR2FTWm8?oc=5
BAJFINANCE.NS,2021-01-06 08:00:00,Pune: RBI imposes fine of Rs 2.5 crore on Bajaj Finance Ltd. for violating KYC and other norms - Punekar News,Punekar News,https://news.google.com/rss/articles/CBMivAFBVV95cUxOdEhaVVphLWJ5UENDMGhpYW0tdjJRTWI2Q2V1ZDh6TkprUXZWaXhiR2VtSGljRWF6SjJmZml5UHJjZENTYTRaU1ltUXdfZHNUZjl3SUxfejd6R1JCTUlOQ1I0M1NWMWhyd3VWZDN5SC0xenctdnVHY0NiVHRySXJQU0VXdGhUU3JtNlNTSWpWNjVhdm0ybmZwM2IxcnIyYlNHMzFFUGhINDF0aVhVb0JFdTBZSXlRZm5hdTBGNg?oc=5
BAJFINANCE.NS,2021-01-13 08:00:00,"Sensex, Nifty end flat in volatile trade; HDFC, Bajaj Finance top losers - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQZUhSLUJhLTk2SktCQWdmWTZrN3ZoR3MzUElhVHNrZTVBcHVzTjd0UVQ1b3haUTR3eU9DNDNxR25hRnNoQUxpX0J5RHVhZm1yd0taVW1aRC16NlFza3dSXzJjSWUxSGhVQlR1Rnc1OElQVVR2dWJFU1AyUEgyLTJiNnIwTGdrWnd0YndueFYxa0RORUdBUk1sNFFqUEthdHZfNlZ6TTRhbGVZUHdlUVJuaC1vM3Y1U0hPa29QM9IBwgFBVV95cUxNY0d4XzFmOExBMktXM19Qam5uUlZrcDlibFhnUEhvVHdldldvMUlmSWhYNEJ0UFlkS0RjcWE2UG42OU1YWFdGQVI1bWYyREk5WDVvSWdRMEpuWjI5dUNnWVBjcC0yeUxFQkRzWi1JUzNwRm5UMGNaTURhYjFjUXJWRU5wQktHaWczYTdyT2RxQUVMdnhwd2VpeWNJQml1TFVrcXFKQnNveDBxV2pocWlWSFlsb1dXeDJraWNhZk5BNWZaUQ?oc=5
BAJFINANCE.NS,2021-01-06 08:00:00,RBI fines Bajaj Finance Rs 2.5cr for harassing borrowers - Times of India,Times of India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPbjM4NU9WN3lxYldBeHRuYmstRUl1N3cxLVlJcnRycldkelF4VmJnSDR5S0hGeklHZW51NkE1dVdWeW9rUmRqYWtiUXJLVXM0VWx4bjZNUjE1V1V0NGRJSGo0OXIxbzZBZDlqXzMwS1NjLWc0bFpqQVFhS3E5ZFRrQ2psbGhmbW1RaTlQY0dUVTlBNzNhUks1QjdiTVFwbXUtcDE5NlFOR0wxcTR5ZlVDemFzYm9HaWN6VVFLbVA2cHBWTUFDSHdkdUlRb3NfOUVTVVhBa1R6QmTSAd4BQVVfeXFMT1BKbGFfeDhVeFlvakhTODhGaEs5SFBxekkzODFBYzRBOHU4d3A4VjlHR0dxUkx5SEEwNDdLX0h6SURFS2hxMWRsRW9vNGtHSWFjY29wS0hZSWs5UGp4LVI0aFVNWkNna1h5V0pzT1c3ajF1T19Nc2NjeEprdklwRWtWZmNEeHJVMTNYOERLT0lkeUxzTlN4bnFTRlpDN1ZFaHdUMXJxdTdqdGhDTTEtQ0tza3Bza0dzU3pGRHZFREhvYTFubmtKWFJpSnhfeWFLWFZ1VGNVU2hLazdPODF3?oc=5
BAJFINANCE.NS,2021-01-05 08:00:00,"Sensex ends 261 pts up at record closing peak of 48,438; IT stocks outrun - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNalZsY19MQlBReDF0UW9OVGNpc1pzMGtmNGZFZEFPUWJWVmxscm9rUE1qN2hRRnppUVJFeFlPNG5Sbko4ck0tQVNIUE43SHo0QWRUY0F1eGRhTk5LNkNkckJLVjhlcXFtNmtFSENRSFN6b1NrZEZjUkhQSGlJVnRGRVBHWHRBcTFFbGdyQ2o0N0tRdGM3cWxUOEU1UldvdjRscHY2TjRfM2dyVmZjbGw1WHJrd1d2VmVwb29xdDJvdzE0MG53ZUJtaHQ0RzVNM0M0ZS04NVIxbDE1NlXSAeABQVVfeXFMUDZNN19YWlJFWlRxOVR5OEVZWnNETjhyNjVVSXBuUXlsd1VVY3VqbkJJQ0xTLUNOX3hUemlCcVhhRU9fbWlqbXQ5NXlxbnRsMkpkT01OOHdtSVphZXNoMWh4bktSc2REaGI1Wi1LeGZmYUVGZVpqbElmY0FnUUNPaXE2SkMxX3p1bVkyUXVBTmJXSkVoQ2tXUjJMN2x3ZGZhdmQxMWdaZG9VUDdyejBVMk9aTTVQOUM3OVRGSHg5SXFCanh5OWRIUkVPLVBmcTRSNjdQRFNuLXlOS2x4LWQtTk8?oc=5
