Ticker,Date,Title,Source,Link
BANKBARODA.NS,2021-01-28 08:00:00,Bank of Baroda first PSB to eye permanent WFH option - Times of India,Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPbndaNHBNeU5zUno1WVpucU1QXzFNd09vSHRCM2JPZWU0VFNOelU1ZmktYmxZTmhFcnVGZVljTEl5c0hOQlQ0MDc5SnN5QWloaUtwVUplVG8tYkdEYnRCSVY1WklleVlJNE5UUzFJbW5pWXVzd2tnYnVjdjZ5ZjlyaXltR0gxTXBxOGppWmUwTkwtTkNvZ05tSl81TEQtNXdIWHI2OVZNSEg4TUMzTklTekRxaFk5ZUZFNDBJOW9FZ0lFYThNci1vY1RVajBaY29ERjZZ0gHYAUFVX3lxTFA4eEY1RmdqY253TXA1bWMyRDFMRGdLLVdPWmd6amZLNFl1YjFlUTR6MWRCOVZ3ZEFnQlBLNmlzRU5ia2Jfbm0xNFctd29QOWNLQVd3Y3lTR0k2Z1FBX1ZOeEJlY2doYWwwWXJUdzM1M19TSjBlbXY5UDk5b3BGZDRlcjZYOEQyRWEwR2l3emRDenB5WlVVbWJzLWpoaEtxd21PQUZaUHFFb0x2LWNnLWFoY01zcFNjX2NCWDgzd2JMRTdDZE5qTmEwOWRMTG52TG9hS2l1LTdlZg?oc=5
BANKBARODA.NS,2021-01-19 08:00:00,Bank of Baroda Q3 Net Profit to Rs. 211.3 cr: Motilal Oswal - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMiswFBVV95cUxOeVRxYnF0ZDBTYnpoMUc5ekU1czZ3ZzdhaHNRc0M5NG02dzY4VjhLQXpTd0djOGhiME5tNVlMZWVsTWRvOUhzV24yeWxUa0V5X3gwVDItaWl5SzN0bGpTU21Cc2RpdXNhVGZ2cUtuWkFSVkVncExKT3p4ZkYzN0NtTWx0RHQyanhWd0pIcVc3ZzVWU05GZW1jbkpSU202QkNWdHJ5MENrVVYwYXR2OGw4Z1dzNNIBuAFBVV95cUxPdHVpVF80TkhQSVVFOU1YUE9mX3ZDMC1YQlVyMC0xaEtZTlVFVFdka0UzbnZ5RFFEQ1ZLeklhTFRLRDN2ZHBXTlFiU3p1QnduaXVGSE91S1hJR3ZndC10d2VxNGF1QUtYWTJ1cVM5aDB1c3ZndlJmdmdpQkVsc053QXAyN1NpQTdDMkJyUi1HMnl0bGRfTFhINnp3Ymp4bXo3eXhoM0FXUzRGbEZxUFJHT1A5VGtEMDhS?oc=5
BANKBARODA.NS,2021-01-27 08:00:00,Bank of India raises Rs 750 crore through bond issuance - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPYi0wdUdmYlZoTzBDNGxKMDhMNGh4dW1EbkhsSFFTQ08xaHlVTFh6WHRUdy14cGJzTE1fbW0yNEhHXzVIcF9VNWRuOFZza3duRXVwd2w3WnVwcXpJaG1BaWxFY2hrR2R5U2pSeE5TTE5kYk5zSl9pTXhjY1RMVGE2RjRneHpzeUJHdXREbFoybFVkQk5MSzZKWFNMdjJ0ZkFIOWFKWGlEUGtaMEFYNXhVVjlMQVJZVFJmWXNMRVI2eURqZkFOODRCNVFnV09sdmJr0gHWAUFVX3lxTE50T0VTVGJ6VWRSMy1OOTA3anBma08wZmhtNC1qdnRwWWJNSWRXdHIweFlrNmJ2dHRMenZXZmdUNU9iOXRHVnRFOUliWlZ5MlJJZVh3OXA4al9aeGR2MXZnNzZJSzlrUW45aUVTSTFwajRnck43VExGLUVfblZYUzZ1VE1rRFZiRXJjOG9uRHZfS3VBZmdKdWxMNEV2dDVlcHAxRENDS2NaclY5QXhNZWUycG1yUTJtdXFTdU9ESEo2eWVhWVhJaURmaGczcXdNdHdPMDRXR1E?oc=5
BANKBARODA.NS,2021-01-06 08:00:00,"Yes Bank, 5 others in large cap category - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMirgFBVV95cUxOcWFTY0tYTVRYaFh6dTZ5VzNzZGVEY1hlMzVtWUFSVHBKMy14bHdxSkg2OXJXQUxSUHlQWFAzNVJCOTFuRWloMTB6bm9lWjRZQ04tUkl3aWY5RDRlMzBMc3pWT3lhVlRaN2tjWlZLNHQtS3Q3SG9YMG11cjlFY05ZZXlqcno4a01aa1d2VXFMLVFqamVBY0tZTE1VUV9kSUFHSEM2ZzhFRDZ1aHVETmfSAbMBQVVfeXFMTS0tWGV5N1dXazRseTFZSWVtaGZtUDQxNkNWSEdVRTRFLXVWN0NaYU55b1l5THVwSFNfeVFRRXBtSklwc1dFN3FsbF9JdnB2XzZrd25qb3pTbGVZbFhIN1NhM2ZpWlNjNW9ZS2lMU3hmaV9aellZUzlwNzRiZ19EVTJSNHh1NG1wdlVHdDhpaTlzaUtZNVBSRnZXYmVITWM3bmJPdS1JT25hbGlESmZoWm03M28?oc=5
BANKBARODA.NS,2021-01-21 08:00:00,"Traders' Guide: Major support for Nifty exists at 14,350 and 14,200 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMivgFBVV95cUxPZEVmbGpwcGtobVBabVBaYTZGdDFweHVvV2ZmQWo4ODRuYjQ4OGdlV0VlbWJVQ2tsaXBtNEJaTUJjdVFaa0xYYXJkcWg2blA4N0RsS0EwSFBYNG9NZ2tDd0Z0WkZ3bWtob25XajZFakhQMWtGQWFTWml6SVZ1anhvRmwycVloX1B6VUZ1YnAyUFF1d2tnRGVCdmIxUWNSWGtrZXJ3ZTFweFl4cEx6emVXeHZ2Xy1VRzl0eENWbGZn0gGSAUFVX3lxTE9GTk5kdmdYZXdVMnRlcVJJZmVyNDVrb2JJSTd4NXR6cU1OUW1OZEJhS3RWNFcwallRSDNfbzF3eVlPY3RFYm9NTzBVeVlnV25WcWpXQ3VWVmZwTUtIbXJfVmw2NnBqZzJQazg2R3k4Z3FKYmlYejczTEZLZks0bzBlNENEaFV6QVRpY21TMHNMZGpR?oc=5
BANKBARODA.NS,2021-01-28 08:00:00,Bank of Baroda considers permanent work from home option - Business Today,Business Today,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPaElFWHQ4TUVSdDJTMHZEOUVJRTA5dFRONEpRNnpNWXhseHl3Qk5jWm5vajBiSmMwdE9Ra2xrRkdoNks3TUpZeVhibldjQXNsSEs0X2VFanZrOTBoRUtMOFBYYlgyNzhTUFo4M0IwN3htMlRlUjFzeGRXWmU0VE1pNG1Od2M4VXN0VkZxMmtSek5FWEctY0R3TmRBNWdCYUtYRkNnSnA5ckxXcjJ5U2RlZGlqMVAyTUpnZzNkQXFFXzFKZ9IBxwFBVV95cUxNaU9pSmpNZERzY21vQV9DZ0k3YkphNlhZaTRQWm5Yd1ZmeldldGhRYk14NEpkNnhmTVFpMXdPTThlS1hHYldDejg0SGQ0ZjF5elRzWnFYZzNQbTZyUTJ0UU51bVVpUklKUUxMZzFrS3ZMWWk4MkhLVjNybjA2SVlGVEZNSUpKeDhhWmotMEZESjNxenVwUnZNQTVvbnVablFwbXd0YzVkUVdjUHZMRDhlSFZibC01MlZRaFFndzZxSGZRbEc5Tm1R?oc=5
BANKBARODA.NS,2021-01-20 08:00:00,Bank of Baroda Q3 Net Profit Rs. 1.958.7 cr: ICICI Direct - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMisAFBVV95cUxNb3Jhd2k0dlllWGhiTzJtNnJmT2hEUUNPWlBWZm4xVlhPeTdVYW5BcDdZZHRSZXp4RVJ5WWp0dDJZRXJVb1pWVXloeVNYenVhdkVFT2Jfa3JFM3IyX2liTEUxUFo5Wjlnak1WYk9iNVBscnp3RWU3UU9zZG9kMnhSR3ZUM05lMEJFOWdXRURpZXEta2tsWHZWamFWUXBWbGZTLUV2cFhaNUdDLWtWU1RsQtIBtgFBVV95cUxNLVZ6MFlxRW5vcUxndFgzellSM3RpcHA3MGwtU2hPYVJqdy1pamxoZ1plMmVZVEptenNUdXpId1ZWZC13d3ZZUElnaE4xU0t4U0E4Z0J0cDdIUi0xVTJ5aXJ0RnEtdXZyMVVpWDBITV9YM2hSdlNkSWczaHFISV8tblhIS3JBVXJmd0hEVTBaYXlpQXVmdzhKeUFpWXJhVTBtRU9LbHhPVkl2enV0dGdiVXFYNWtUZw?oc=5
BANKBARODA.NS,2021-01-27 08:00:00,"Amid sell-off, Sensex slumps 900 pts, Nifty closes below 14,000; banks worst hit - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxQNWpFRDhlQTJIcXB6RTFrSVdEeWxwNmkyOXQtZ3VRNDgxb3lVSFdUQmZ3T3g3SEJfbW8xcVBmdzU4UmJMQmdTbXJubDBLRVJvaHRwY2xXeVQwU3lpOWRaejhudlM5LVJMajNHWGZrZnVFS3FZRXdrQmVJOFljZnNpTFJoeHlyNlFoOVdadVlpZkNEemJsNkxWZGZGeDFFZXhKS2NBNWJETGg1R2lmaFpfeks5VGJHaGtDSm54QURJX1ItazVGM0R5NzBDONIB0AFBVV95cUxOWm0tMVRibVV1V2xRb2xkcHQ5OVY5c3VHV0RxbnNTTXNzSU5VZlBQTGZwZFVVTkZHR0lfM3hDMEFyT0N0OHhQbzRURU5uaGo3Ym5PcUxoVUFnZWxuSFhkRDQ4ZmdRV2ZoRVBnUjJZSHVJY29ZX3NOeXBGdzF2bTR3WWM1YjFOTW5lVkdWY1doZnNLcWp4d3Z5bEVUNThQZHNnUVpid2RnMGd3endQbzZpdVRjS0RDd21NczFCV3pPUWJmNkFqN0M1MzRCQkJyN3FN?oc=5
BANKBARODA.NS,2021-01-27 08:00:00,Union Bank of India to raise Rs 205 cr by issuing Basel III compliant bonds - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQT1FZM3RjX3U5bVpvOHBaem50VkdVeTRlSzFPX3BsVjNHLVBvamNDNGRnam5OcGRoVUhmRGJ0SlpJMmtnU2tMdUpjZkk3SUpuTVpqMGhzRVNEUzhNdDVBOGVSWnl3X244RG1qRkJmX09LVmVTeF9CS0xCODkyLXg2NnNPSFJPdHVUcndxRGNFR1E0NDR4RlBKQ25paUhYaWhWRjJWQ094Y3hnODF2cExxQTh6OVFBLUVtaVJwbUR3TkI0Wmp2SmVqX1hLLTZBWk1ucHJPcGs2aHQ4NlhIeWfSAeMBQVVfeXFMTmkyZjB5Tm0zakE5U0EyT2lSa2Q4N0JwaFNvekktbjFuSnN0VDVndWU1S0Q3UWNWNEJNU3pTVEpDdDMtejdRbVZubHU5bXB1X0Y1X1FlY21QMHctNjB5Z0taZjFCODRTYUFMTXBGejlkWHVEcmFoMjB6ZXNScUtNME5JdW9Cdy1XNU5idTV4WGh6UmNCQS05MlZUZU5RNWhkQlRlenBhMGR6UmNNYmlpMURncllkMmJuemd1Uy1pYkV2emhUSWdzalo2NjZ5bDNWRG9KWURwZ2QyYzhGbm9jNkxNRWc?oc=5
BANKBARODA.NS,2021-01-19 08:00:00,7 reasons why your insurer is making you bear hefty medical bills - ​Why claims may have high deductions - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMikAJBVV95cUxQMy12MDF0dVhyVVhvbV9CUER0d1FPaEFMTXJTQVFwR2Y0eE5sa1dvNnpkdERYMWR1ajVlN0dIVEgtVUlXVDhLNkZlSEJZeHExOUYtYU9VT2JNdWt3YVdjbnRxUXZ6V1FYVldZbFZocWJFb3FhN2FESmRpLU9pUnJrYTg2SVlOTUhmRUJaa3VQbHI5MTFJMEpGbEYwMUpmMzEwVzhKSUwzWHBnWTNleFVKLXF5SlVPTnRsRjFJUEE3LVpUZnZ6V3p2d3o0bzQ0eFBhV3duVW1IZGFzZzlZOUFqZDdhcUlfeGQ1bUluY1kzWlN0dUdzaURpWjV2NzZmWVRobVZaRnhSaVZGSVpialdkag?oc=5
