Ticker,Date,Title,Source,Link
BDL.NS,2021-01-06 08:00:00,BDL receives order for indigenous Konkurs-M ATGM worth Rs 632.88 cr from Army - defencewatch.in,defencewatch.in,https://news.google.com/rss/articles/CBMiugFBVV95cUxPckNORGpUMUFWeTNWQ2ljaHlNa3RNYURSVnp5TXZGZm5hNDRvbDZZbThwWUJFYno5VTBNVEI1cW1CREVXZWxKei1ZVzRzM0RTRUMxUUJncnB5VDVWQTEwYk5STFpzQzBleFhPYkRXX1FPRzRQcnJhMWxCRTJJNmppNnUwbG1pX1AzSzNldkdCb085cDcyS3IwYjdtZGk3eUVXUi1DaURma2VzRkJDazlEaGxvajlKOWJNYkHSAccBQVVfeXFMTlNQbEFfYzE4M21ob1daR3p2Y3hkUDdGM0IzM2p2alREb0toWVlrX1FSR2lBWGc0akJpMUxleVVDUzIwQXE1TGViSXNkeXdlN09iRUNzWDJ0MmVHcExrMEdfenpDSXBSX2UxREZSOXFCNnhhZDcwSVRYaXIzdGRCcUZDUFFJRWhzcG9IRTlSYnAwdWNCdGtLckxoZ0ZHb0dkQV9PWVM5MlI4NDVaODg4RUFDVFlZZUZoRHp0UXlkc0RKM1l3S0hWVQ?oc=5
BDL.NS,2021-01-10 08:00:00,Remington rifles very collectible after bankruptcy - The Arkansas Democrat-Gazette,The Arkansas Democrat-Gazette,https://news.google.com/rss/articles/CBMioAFBVV95cUxPNWRteW9WM1Fld2c0ZkJpV0t3dUxkMl90NGZfaW1UblhGdU9RVF9jaUY0dmFUZ3ZvMkxqc0lUR1hnbjRsc0tMLWdjV1FQZmxaVV9PN2JpUDRrLUhfX1hGcG9DclNLSkE5WnZFclh4MFBUbHA2SU9QcExmNTJRSVZxa0lyWUN3dW80cVJEVjh6ejhYYmpHSFdyQUszTkNjRTVv?oc=5
BDL.NS,2021-02-04 08:00:00,"Rafael, BDL to jointly induct anti-torpedo defence system for Indian Navy - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOVXhGYkthWlBaOHFfZnpkTDBUVmZvVWxiOE1TMjRCUUhJOVF4dHkwU1l3b0taeUtzdzJWNjNDWGNyUWlZaHhDdEtqZVJ4MWhoMVlHZHhNQ0h2UFcycjQyeWtidWw5SjE1U0lIZHVYc09iRU16ZEhQSkN2NWlxNmJMbW0tYmlnLV9UcWFKSGlRV3kzTmZRVkRJZUpjclQxQlZmYm80d21tZUxvUi02Q19SaTY5T1lsZXpBc3RZajF1YkhEdnJIRlhoT3dQOUlIal92M2sycNIB2gFBVV95cUxPR0hBVlIyMzN2eGFtM3NTeE1TOVNJdWZRcjJTYzdIeEF6YTdoak8zZVZLSmdDMExtejNQbVZDa05FQU5jX2FNVHNLWnJ5b2s5aWZWQ2p3bHpubXluc2hSWjUxMmVZYzZlb3IyREdyR25GcXVMcVVrQkhqdzFpTnRGem9SdFlUX0hSNk9VSHJSelg3TXdNQktoRDZKNG5CQzVDakM0eGc3cGFPX2hOV2t5RDRIdEd2dTdUUUIzTUV2c1RLWnBrUEdLMVZia3hPSTJGbHc2R2FISWFSUQ?oc=5
BDL.NS,2021-02-02 08:00:00,Chandraker Bharti (IAS) appointed as Govt Nominee Director of BDL - PSU Watch,PSU Watch,https://news.google.com/rss/articles/CBMiowFBVV95cUxPS3dYOTFtR3dvVGw5bUV0aXFSTWxobXd0RGk2S1JBcklwelZwYWRpSzg4VmhfNHNLYi1sUGVkdGIzdm54R3hiUlRIdENILWotZTdHQjVSVzFuY2JkdGZySlFxbGgyQTZ3S2dEb1FicGF6Z2IySi1sS2VtZEtENGFsQTB1QXZwNk1Mdm5BV0FNMVVWdFIzclEzT290RWdMMU1ocWRn0gGwAUFVX3lxTE1aRk9nalNDTGVvd0NPX2NDeThNR2g3b1lzNUs5UGVOT0J1d005YUR6VmhYeFR5TkJObWMzNnVRR0dJVERMUmJEMmtSVHlxNWNGWHU5QnR1TU9vQzhjWVhRaDhIWkVVVHVnY3M3dXAzUnF5VmdmX0xyVjd1U2hYcVFucDhsZG9Cdy0wNEJBN0xvMExaWnVBeTVLb2k2OTB2UUtSZnlQa3h2MXpDTFVER2d5?oc=5
BDL.NS,2021-03-19 07:00:00,"Centre seals deal with BDL to acquire 4,690 anti-tank guided missiles - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQbWRfcDJXbW11aTE4M2RwMDMxOTVKSlBPdUhUUGVwaWVXRkRqaGZjRnp5QVhwM0Nlam12VDVVQUVmMGI4Q0ZrWjNyX19Va2J6RWJTMENNcTdpSzZmVGlSR0drMFVTSW1pc0VGZE1jMXlNeExiMjQxckd5djdyWFd0YTBMNHowZWhKY2xwZTF4UXRJN3Qtd2FRRGxGd1ZMXzV5TmNYbXdwakNPNGFiLXlSemNmRmoyR1RRRzdlYk93aGpVWnVwVjEyNEd2WnVsU29ZbXE3VjYtZTVEQXgxalkwV9IB5gFBVV95cUxNUkUxSFlQUFA1WVlxR3gxV1RlSHp5VHhTTFV5OURDN1pjd0s2RWt6MUFHdmJ0dEtrZ2lLbjRGc3NuZHViMVVCNGhLVWlGcm41ZVV5QThxQ2hkaXZuZi0xQUxvTDkyYXJJSFVYR1VUSzB4Nm8xdVQ5b0ZEcExGWENCOEg2U1BMcURGUVpRX2tQUWY4eERQTTMwSjNOM2RwQ3ZBMXYtaHgweDlITVAzbGJ3TElMR0dDUmNUUDNWbnNfeV84bW1JLVc4a0hkNmJFeFpnRzVjLWZVdEthMzYyemRXUHZ4UWYwZw?oc=5
BDL.NS,2021-03-01 08:00:00,BDL bags IAF order worth Rs 372.98 crore to supply MRSAM Missiles - PSU Watch,PSU Watch,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQY0REY0tJVE9OM2tWWTc0UFRsbnp5QnBvZFNPbHFyQmZjSndXcEpTSzR0S2JhcTg5dUYzSVhTZ3U0VGlhbmQyLUd0enRmcDF3Y1NaY1BRRnNndjFqREhXUWlzODJ2WU5GN0F2MDZYMWdGeDdwek5WdUQzcWdjMGZ2VUY1d2sxdEFRZUNzUmJJUGVuYjdsTGlpRnBTcnFIV3Fpc25YeXUteXdZMmfSAbgBQVVfeXFMTVVjMWNKN2NHcHBya0lWNExIRW5NRWxYOGl5M3FMTklWS1RKZ21IT3ZYV1EybEZNMjl4ZFNCYTUxc2NmeUEyZzlCNHZwd1k5TVlOSzloU01hU0MyXzFtMHFNc1VjT2paQmw4VF9wY19VOXRGRmRtb0JIY0FaaGs3RGFtbktFMXBscHJIaVh3MUdrT25saDFacFVaQkJwcXA5TTlNYnowYTg5SVlHU3lrd0VhY0REX25xUA?oc=5
BDL.NS,2021-04-01 07:00:00,Bharat Dynamics flags off Akash Missiles for delivery to Indian Army - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOV0pGSy1SRWMzRTVLV1pVallqcjhQaXgxbjJxWjF1VmpSNUtmUE9DWVMzR19qa1ZZVmJfTjQyT1BYUGFjZ2t1cFEtcU0zSmlJUG1wVW9TUUhOdnJibUgxUGlNS1JnUHN6YjVGa2lPbGt1eWRyOUtnOV9XdUJONWRvN2U0NHBVUFhxNkNGZ1ZvRlhYVHJXeFE4Ylo5ZC0xLTl0LTVQeS1Jd1l5NVR1OXFQZVFFRVhhcnYzbUJlZlV5cE5zbmxUNW04aUIwZFQ4Z0NQ0gHXAUFVX3lxTFBYVE05d0RwQ0FxbjFIM2pOWHFqUWR6UkgzbXh5VnNZYW03MDhaWlRCM2J0blJ6NUVISDVoNlZnM0JRcDd3M0xUTFJHd0JHUXdJbEs0LXpHVlZKQnBlMDVHRV9lT1dVeGJyWFN5TlBxc1daSVp3aEdEZWVNU3B4TGRCZG1PQ0FkUnVCU1dZTzFBTVVRTXBKaC1IR20xNXc3YmlmT29DRUJqNE9BaWpFckhvbjdzZTNtU2UzNzc0TUJhd3pmdnFHMzUwdXZWZmh1dzAzNFc2Y3VB?oc=5
BDL.NS,2021-04-30 07:00:00,Multifunctional molybdenum disulfide flash memory using a PEDOT:PSS floating gate | NPG Asia Materials - Nature,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5PNXpjTjI5aHNyd2hrUEVfa2drc01EY200M1hpblUwby1PNFVZN2JQWnVuaWFnX0ZYVWdLdUE4QnNqamxxTHI4ZlBuVF9BdURKN1VzVVNnSWp5QUl0eHVB?oc=5
BDL.NS,2021-05-10 07:00:00,"The Lebanese Central Bank’s Plan To Unfreeze Deposits, Explained - The961",The961,https://news.google.com/rss/articles/CBMid0FVX3lxTE9WQ1d2djhndE9td21VaHFQVEhnUHBoYnJXQzRSWWx5QXM4OUpQUGVDVkNidDA1c3Vfa3VwVVFEUGFLeHl5elRtUG1oUnZtNlRXT1NMWXpWZ05GWlNrUDJFNzVZMEJhc0lDUVFWYVhpTm4tb3JwcW5r?oc=5
BDL.NS,2021-05-21 07:00:00,After the Fall: Lebanon’s Path towards Monetary Stabilization - Arab Reform Initiative,Arab Reform Initiative,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeEtUUkoxUW0wdWN4V3RZT3N5Wkk0dmZjNFVCTmlMel92Z29ySkE1cmRpVG9MOUFLRERialNwZVpseHIwaTh4U0pDMUxXSDdDN2hpWHpHckNIZGNGQlVLVkUya3Q1Z0ZKVTJCS053SWNyZkxBSlNHWmpTUnc4TjRMQnlvdG9zUWdzVmo0Zl9uTUlGY1dUbENqRGlFRkVnQ2NmOGc?oc=5
