Ticker,Date,Title,Source,Link
BEL.NS,2021-01-11 08:00:00,Apollo Micro shares zoom 20% on orders worth Rs 50 crore from BEL - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMiywFBVV95cUxObGFlRC0zem53LXBnZnVyWndRdEJnc0pRQmpROUhMQk1fdE02bDVHYzk2bDdoNVpSOF9hLTZqeTgwNk4tWjhlRmdBbGl4WWxIcjBuWDhZQTFxRXBWRFQwMXZ2eW9DcXhZcGVvT3hEc0pVcG0tLVFLT05YdmlBd3FQS0FvUHUtRHV1TWRmQzBHcGlpSGhPREFEeHgzMDdNQTNtTTZWMmltWWhWalVoZ2lfbHlvVmN2RXBGSmFHMjdTYk9tNkwwSWlvYmlCONIB0AFBVV95cUxOMjJTS1JzS3FkNmY2bG5KQklCWVpfRm5Rd3RqaS1tY1VyQkRtVC16b3hsSmxQUnZzZDBwdlRMbXlSOGpsNHRUa3c1cDBjOG03b0Z5b2tNdFI5bUhxV1BRaGlqcWZFSHViYnUySklzYjN6NVY1YlN0cENhaXVGdFRVNEFyWjNfcy05TUs0akNfZnRyMWQwZzNIb3BDNC0wUVM0aDgySEkzR3hCTGxBV1BOY3FDNk5tNGpEbl9fMTM1ZDJ6LTdvN3FxejR6TWt4LU9Q?oc=5
BEL.NS,2021-01-15 08:00:00,"Traders' Guide: Nifty has major support at 14,300 and 14,200 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMimAFBVV95cUxPb3BKSXltQ0Z5QU9aZEdlazBodG03WVdKZ1hmaldFQlcxRFRZaGgtT0xJencyeF9yTmhPUnUxQ2xoclhiVHg1RlZQMDQ4LUdjZV9FLWZPTU9tbGdWbVZDWEtKaldPVXZtRDhORnIyZ3JwdEx6NVFsZ29RS25IX0k1NzM2M19pbG5sLVhrUGRlM0wza0FGT1lTNdIBkgFBVV95cUxPb2JxRWNla201TEZFZE02VHE0S3VSTzhtTUx5ZU82Z3V4QkhDZG1hb0IwcmJDSlZUMjdHMkcyLUVaTDlZbWtsR3gzSHRWU05abXBLNjhmVHpEWjNBQ3FnXzh1TG9FY1FIZF91VVUyMEZmdXNHX25DZzRoakFpTWhsMTFBTDFnSHhycUlhX1RvY2J6UQ?oc=5
BEL.NS,2021-01-04 08:00:00,Hightower Acquires Bel Air Investment Advisors from Fiera Capital Corporation - PR Newswire,PR Newswire,https://news.google.com/rss/articles/CBMizgFBVV95cUxQRkdKc3RmcFNUbW5HSGU0aFhKUDFwMmctcEJYWlFLWmlEcFB3MkFyNFhEclQwd21jQzUzUjV0czJQaWNBWVNldm13RDdlVUlYWWRRZjg1UXp0all6RHU2Rmd5T2dVR3NqU0pNRWxuU3VWbHdTVlR2RmI2QnlEaW0wN2xHRXlpOF9NWS1UaERXMTBTdTJoaEJJVThuLVBLTmpDMVpBMzJkTHd2LU9hcnJTTkN0Q1pkd0xKUTBta2tsa0NoTmZySkJmMEF5cGZBQQ?oc=5
BEL.NS,2021-01-11 08:00:00,NSE launches derivatives on Nifty financial services index - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMixwFBVV95cUxPS1FSV3QzTVJNM2VBbTIwNFVsWlhSR0QwZEhiN2JER0V3akVlbklwbWNBYXZ2MDJKTGF2bzRidE9mSElqVmI1YUJhUnF6MjA4aEtOOEdETzNpOWRhSXI0cUxVcTgtaTVFbUtuV3VCeGtPcHF1VlJGd3A5SG03Q1N6V3JoX3AyTUtLaS0zMVRwQl9yQ19PQUtzSjl3UWVEY3IyblNpNnpuVG9yXy1jMUljM3M1SUhSZ1VNMklYLTJ2emduaFVNZjJB0gHMAUFVX3lxTE9DQVloU0FMTkV2MGpnaDVLNDZpenotU21BMjF4MDFpaXJoenpTeENyWkJFQ3BXQ293S0xsbVZVS195ZXRsWDdLeDFKT2I1clljU2lxNFlFaS11UlZpakl4aWd1VHlackdZZUFvY0RzQ0ozOFNPNGlMS1hDWWxEcU95c2FmcjlteHkwRlVTYUxmcnJFUmROWHU5cElXUTRHMnh5SGdWS3Znb08xQnhROG9RclIxOGRzbk1ROW9KVVVndEZTR0U1OEtCREx4OA?oc=5
BEL.NS,2021-01-15 08:00:00,"Sensex ends 549 pts down at 49,035; HCL Tech declines 4%; Tata Motors up 7% - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNTnJYYWI2WVkxVWRhTjg2XzRSekdGRzJ6dF9PYmFRVGloNTF0cjI4Qko0MTNrRjRNUWMzd1N3UHZHZVh1cTdOR3NneDI3X3RiRmhkeFRDZ3kwb3JzQnBvNzlQZ1RUOWgtTmI0ZjJYVW1weUY0bld3RG14TTdJUlZ0SmVPM0hnMDhrdHNjRURfVDZWekwtQ1lYdno3Q3Y2TjVwRWlVUkstTUdvR2I5Y1BWV1FUcm9Ea25GRFBTSTE3ZWRFSFBhdDBaUDY2Zkt3cU9Ecm94N3g3NFU1Rl9OMmfSAeMBQVVfeXFMTU5XYUttbzBaVURfWUFOcmw5VUhPWkFZNUJuTnJZM1B1cnhoVThhU21SNHo4OVFUc0d0OEpJa25nSWhZeWVNdFVjNWxZdnB3UWI0d3hCMjRJMWQ2cVQ2ZUNBeGthVVV4ZEtIMkVVdHdEcWQtNXRNZlhjbmVkMUUyUERvaWh6YnM0U2pRc3djZjI3SEt5c0dqR2MtQWhob3BsakFtTkdfbUQwVFpCMmY0LUh3WjRkUDA4aGx1bTM4S3RBMmNHOHMtNENfZEdVTUpUajQtSEtGMmFwRS13SHFjeTczYzA?oc=5
BEL.NS,2021-02-08 08:00:00,"Defence ministry, BEL ink pact to procure ship-borne modern radio system - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQcjZ6M3hMcFpGT2hDLXdHdW42OTlsQ2VtWDRMNEFPOGNUTnBqRG5XNTU5REZKQ2tZa1FGTGNtTWEtTkRySGo4dHRZazNfeUtuUGtZWExPdUNYLVVCdDBtVl9aeFRpcEx1aTRFUDlQdEZWSWxSLTJGbHpkazRuMkxVYlVCTVJOc0k0Yzl4Z0FWUm9JNnZXbTFPWmtQbkp1aEJfUmlIZ1EwM3BWY213ZnRLcFhKSTZNanNNMUtxMVJYV1JFaUxkd2U0VUsyMDF6YjRUQW01SW9IS0I5azTSAeABQVVfeXFMTzVtZkhfLVAtZndiS2djTmRYV2RZMDZndW9KdG1WY0tsRkdJaEJxZmNiMzUzc081c3hUUnpETEd1TzYwVlNVS1BqUmhsSzRRVThDVFBGLVlKRWctVzVWMlBrVjNkVWNNWENMQXE5Wm9uNkpvcDc2S0NSRk5JVFdka1lDZXR0M09ROGpjNmY4aWVQN3Q3LXRFVWRGQkxWckozOVhyaTVkS0lFMFUyLW93cmo0ZUhreGdrOFBJbXBVclpBek5fSDc5NF9kb2paSFFzOXJISC15Z2ZLSW5IcXBhOWU?oc=5
BEL.NS,2021-02-04 08:00:00,BEL enters into offset contract with JSC Rosoboronexport - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMixgFBVV95cUxPU1VBWmhxV3Ewc1B3Nk1UVzFlbmxOMkZZTk5mdnVudXpuanNrQ3BIdHBacDQ1TEtTcWxsRjBpeXhHTWZZbkI3anlfZV9QTF9YYVUwZnJLeXRmZHRGLWVRT004SFZGRlNMMlJXUmh1VEQteWxkSG1GeXhuZWtHMkhrdGVJa21PWnlsMUt5TGx4SUN2V25zWGowYzEtXzF5SmRUbTViZi1wamdndDdMYWdlRWFkWVVxcktEMTJHSFNRNzFhRHpGanfSAcwBQVVfeXFMUDVmQnduQzY4eERkaldaUmRpT3hMcFpleG1EbGxkbXBEMjNkdHdZb1B6eFp1am1CY0ZYb29SVWNtN2Z6Y1hLUUtwbjJwTGxmSVBrZDNVUHVSTFFfbm42dVgyQ3Y5UERqcm9yajJTVzh3N0NKZjMyVW1ReGlNMXRnS1ZucUY1aXd0VnRYYnoyZ0ktR0NsS3VBV19Nb3dTSzNhaXdfRTEzd3JTRnhsTjFiN1FNenNVMTYxd0Mtc2xBRGNPLUxXUjlkaFdQYVlJ?oc=5
BEL.NS,2021-02-03 08:00:00,BEL delivers modules to Thales for radars on Rafale fighter jets - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiygFBVV95cUxOcGN4NXBZc2VvaDY3RFF4TEF3Q0JMSlhVSlBTMG9nTWdUSktOZS1tb0lfbTNtam9jY2lZcFo1RFgyMUtXc0JjazJhankwN3dJSFExQlpkdkZjS2ZkaXMxWmpqU2E4SUFROWJDT3hfWExibVB6OU4taVhIOHBoSEMxNjhvTTZjMWFRaGhhaFZlUnY1cWUyZVI5ZjRCMHVoMXRxUloxTlhxYThlM2pwc3U1eVdKejM2Qzg0cXVjaFNYUmViSEVtOGxfTUVn0gHPAUFVX3lxTE5acWxYSVJNSkhoZ1hoZlVGdUNaamFrMmlHdGhrQWNoMGtiTE55OWJKZ2lldzNaVWswQTFhak41bXo3Y2tsWG5MUDVQdV8xYUhOTnBaN3J2Zy0tN1IxbllZc2FQcmkzX3JsQ3hoS2VBU1VoVm1SSUg1V2pWMWJxS2U4aFVEUzltOUprMm9XaWsxTTBrNFhaU2RsdVBOd1RCUTdKc1pwMUdWckoxeDhZZWt1SzYydFVONVM2RnBfM0szYlVCUnU3LVdyUEFiQmtHaw?oc=5
BEL.NS,2021-01-29 08:00:00,"Traders' Guide: Nifty may face hurdle near 14,000 and 14,200 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMimAFBVV95cUxPbnFOOUxGR0RDbmVqR3JoVURrZlNjNTZDdUVLOU1ISXVLbi10TEhaSEIwRlNCZ0JpSUtYSFZ4QlFHd0lvZnhxRnVlTE83emdyOHdnU2VvWm4xR2tLSUo5V0xTa0I5by0yQjllYml5UGhlMmFMUDhZNVU0U05TVG9iUU1BT2tRVGs0U3RTQTJMNEg4Q2ZER2ZEUNIBkgFBVV95cUxQTW02dmx1SW13VkhOQkZMbExCWFNZdzZMOWJsV3JSb1lmdFYzRS1Rc0pmLVp1RG9Wa3VlY2lwQXlQcDVOM2diWF9DLW5BcjBGZFNTQmQ4NlJqcXlEczdlTkZxS2d3WDZOUWczQ1ZUV0EtVDZKeGVyZVhleFBFWWc0b2ZWLVMzdVVfcWVqNl9Tcm13UQ?oc=5
BEL.NS,2021-03-22 07:00:00,"Is it time to buy ITC and PSU stocks like BPCL, BEL or NMDC? - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMixwFBVV95cUxOMmtBaWxiLVp5NnNZUHNBREJXc0VnZXdHbmw3UVR4S3RJdlpMMFVVVVU1aDNIX3ozTXlKV3dKb0lxUVBDeWstM1hOY2RqZkZpRDhnNVVYamI5YkxJSjVVdF9ENnpEN042Y3lUajZVYVNvVzEwYjFIdGVjdWE1cWZuMHRVZzlmRHhFbzFlZWtvNDhIeHZta3lkUndmUERidVdMMkM1UXhPb2R5enBCTVJyTHZuSDVwazhFVWo4bnpXQ05yOGlVcmVB0gHMAUFVX3lxTE50aG9kM0l5UlVBVmVkNlo1T283S2pxWlhXdm1ubFhCci1ZeG9LU1NIT2d4N2dLMktvM3VVOVI2VkpBUElZTUpBMTRLLUJxTXd1UHNNazRqRENoZ1ZJeXpzUU90ZlB2RFFvYUZ4UnlxazhtVTJFVzd4MldpdlZBTTM1a3dYUzZTRmlSX0FzMGFvazBwWk1mOF8zUUxCR252S3ZFbnRNU1E0ZjFYWkJhV05aSUpGZy1Vdk9uRmhIQl9rSXlrZjhZZExyY1BobQ?oc=5
BEL.NS,2021-03-08 08:00:00,China’s Key Stock Index Enters Correction on Valuation Worries - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxQQnVsYkJTTVE5N1NwdGI3RC05OXYyaDRtQlZOX3V3OXo3eUFlRG5pMG1lOWRrb3hXS29GczRqSUhRbnYzSGJfSkFwaEpvZ0Jvb0lEdjFadXUzcUtiTXBWcUtweDRrTDZjRkRMdnp3RDNadHk0VEFjTGFtWGk0b1puOGxNMW1nT2VjOFBSc0s0TDhCRzQwSjVpajR5MEUzc3lXYlJMU3BvbXRnWW9vZEtnLWF0S0VVZw?oc=5
BEL.NS,2021-04-01 07:00:00,BEL contributes vaccine storage equipment in Karnataka - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMivgFBVV95cUxQd2dKNjNpWm4yaFBpalF0dnhLY1ZUVDVEMHp0QllaQVNrR1ZIamt3Z3dRcUJieEVoYzZoNmhUVGhlUXp0MTlOVXZSUlI0TzlJTExpR240UXg0U1NRVklpUmpuZExLZDMtVjVVMFNkRjRKY3UyU1BTbldXZGVRV20ySllacEVBMFJlRzN2YXcwY0ZmRDFuZWtDRlhKZXVpeTJMTkRGSTh0YWt6aE0yWEhRUGtYQ2t1eDZlTnRKN2RR0gHEAUFVX3lxTE5OSWFKU2pUckM2a0hob2c5UFF2MXBPT050MlotaUI3Rl9LZ0hkbzFqRUhFQWtDYXd4YXc4YjBFU1FZWkh3aDZfaHRDVExWM3V0SHNpRFlVbUFxV2dGTkZqZmMtOFZ5OGZQLS14dzlKN2F2WW5fdWxMV28xcFpyeWt3LW5nbi0wWThSbzBWSWYxRjBuNkg5emVQRGtHcGlNQlRzVGJlNHVfbFI2RjB6cmxjQjI5V0dtSTRtUERFeFJlQzFpSFg?oc=5
BEL.NS,2021-04-06 07:00:00,Bharat Electronics rating – Buy: Execution was strong in the last fiscal - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMiugFBVV95cUxOSE9hcDdTZXVJRTBmOUx4MzNlZ0JmUGxsc1RHckc0RHBKU0pveW1feVRZaGdYZlRvd3dOR1otSnhMOWtST2RCaEJuTXhTLXRpMzlnV2gyU19ha3Jyazc0SmRLWVJIek42MVZaamNqZVRIRDJQdHlTYlFqcWlTbENnNnFJZ3hSaUxtZ3JYeFBjX1pqTG9DYzhPbmttci1TaDY4THFxZ3I3UktOS0pQV2E0WDFXQkRYWXJrZkHSAcABQVVfeXFMTjMxTnRuZVNpTHYtUUk4X2o2bVgtYlVvcWk0eDgweTIxS0lyS1NreUxtbDNUT3JoN3ZYbzBjQ1dndktJUHRvakM4MGN6ZV9WbTlPeVFLZTJheWktdDROZE1HZHQyV2NzOE9JeFJ5ZlVWSTcxSmdROGdoTUVzNDNhT05pVG9xMUltMjFYY0gtcEpQeW9pSU0tY1lqRTZoMDl2dC1kRVJiN1RwMnVLUmtXU253Y1N5Slp3VUxLOUl0QWNZ?oc=5
BEL.NS,2021-04-28 07:00:00,"In pics | Here are top 25 companies in India for professional growth, as per LinkedIn - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPUm5Xc1pHRTlRbXZ5Ukc4eXRtb2J5WHhSMzd0TmVlcmYweHQwQXVKTXpldHNmNkljQkRBaHp3SzJBXzd1UnFZMWc4UmJUU1JnWGNUUVF3dmZ6RVI4VVppeDYyT2xXWkdQQktCdVJMOW9EM3dkVUJRdFR0N3dUemRodXpDSkpIby1lUnhRNUZ3dTB1QV8zOUhwQ1M1NEljOHEtT296QVNtZzdUQ3Q0NUtxUmpfcDRlMGJuNzR2bE52Z0VwVXN0OHJ3Rk9jVzhxMlRMSEZkMV9MYXhXTjQ3NmfSAeMBQVVfeXFMT045S1kxbzloNUQ5RElZbkhXVjRIVjJ3NGJxWkhvSXRRR2pjV1IzUU5fRmZpcFVUOGhUMTlaLXJ1WFNXNzc0RlBSaWdhUFVWeC1fMjJpczRHa09RWmdBNm1fcVJqQUJueGdrdVdodldHeXZsWGp1N3Ftck1UQTV6TnlURlVFZDVWZTh5YjdEYW5BelJsYWhwaGJUSnJqSGRKaXV3bV9oRzdkMmt3X0E1UFRNd3pvdlB6eVNkeUxFb19GM2UzcE9NUGxUekVKa2dteUZhYTVEREZ3SE5oRlZGOE1ZMmc?oc=5
