Ticker,Date,Title,Source,Link
BERGEPAINT.NS,2021-01-15 08:00:00,Indigo Paints IPO opens next week: Key things to know before subscribing - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMihwJBVV95cUxNbHBCelJOOHliVy1SUEtTSEdDQnU2MjhnQUJYTDBUN21xc3FQUzBvTERnYVFsbVlucGY4YXltNm9YcDhDVEROU0VyXy01VWpDNXZneUVXTmxDOHhZcjdsa2hRbTNxV0t5MDdTOW9YRVpMV1p5OVdkUk1FT0NzUWs2am5OMTBUWmtzczk1OUZMejFRaHJGS0pXZmlQeG5uUEtlWHhJMXhhaHZsS0Y4RV96UTY3T3BZUVVrSGozRGRJeU1fTXNRZmh4aDZkT1RtU00wb3IwdklTTkRVY2F1NF9PYmNZVXYwYlBpSXdUTWU4c3hfSXRlX2Z3X3hVS2NveHFlSzJWNGxqcw?oc=5
BERGEPAINT.NS,2021-01-20 08:00:00,Indigo Paints IPO oversubscribed within hours on first day: All you need to know - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMizAFBVV95cUxQT2xKTTVMdF9EcGNpU2Ywc1dmR2xNdkpJb3BwVS1LTkR2UFFVRkF2UXhyS3VvTmVRT1ZLaEVVaXhlWm10WmN5SzF1eFhEUE8xTWxxQ21MT0VrWEJtWkF4ZFhuVV92d1R2dkQza051NzkwMlV1Uzg0QWpYaWgzUVFYWmlPa3JiM1pFYzVzbk1CWEhURHFyRkE2LUw1SkFYenYwOUR2dUhzMjE3ZW04dlFRU0xCMmYtUm9rWWgxR1V1RTBoOWJxLXpVa2pHdHjSAdMBQVVfeXFMTzg0QXpaWFZraFhyR3paS0I4N05DVHFSMmM3dElvQXRTZ2lBbEpaZVdKX2lIVlZuYnNNQUlXdk1lZFg0SU1tUHk0bjNDejZKSWxpSHVoY095M0tTWXcyQzI0SmFVUkJuT2JWYk9Ic1VfTXRnVjdHUE9vQlBNYk5SVU5TUG1qUjB4QjlIR2pSZjdHVS1randhcmRXVFloUVJ6NW5SYU1mVkNzR0VETGhBekdHSVVPZ2hFQ2hTVnhZSmZMcGxZQm1lWFFVOFhoNm1LTnFhRQ?oc=5
BERGEPAINT.NS,2020-12-29 08:00:00,"Sensex gains for 5th day in a row, Nifty ends at 13,933; financial stocks rally - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOdDU1OENqbWNpb3dHSjd2Z0FDVy1fVE9rYUlIN0t3cVBsLWNBbEFiaElDaUdQRFdOTGtEb0Z5cUE0Q0puWUdZOElLX0U1Q19YWS1zTEloZlNfUGpIR0JiZ1UweFhfcUZqcHFFT0JRQkNWdXBud3lTdWVaMHE0b2JZWHpmdTlrb3ZvTnJPVXlBaGgwVkk3bTRLdXFmRmpEcFVSV0c0UU83STl1VTBwTGxIVTJvdmZQaXNCTXdCYWpSeFhrWE1XVU9MMHBQN1o3UWNId2VtUXZ4N1pkbGvSAeABQVVfeXFMTTJtdVdyNklXc243aDM3eWlUOG5BOFFpM2lDS1lJbzVRY1k2eW9ON19nSEVHTW1mQW9BMGhmVkRhRUdYTzhKR20zbmo4OWRGc3VNXy1yTU5CelZzaHJoZjREMS0zcENURzhTYmlJQUVXRnJMYW9NdTBjNmtOdF9uT2t6NFlJZzJOb0RMSjcxRW9IajYxdUhiRnpGWWFsendDaGZqMVdoSWt4TnRXN0RZVkNEVVVscE8wWlE5TVFtVWM3dGJibGJtcHhWOVRfUXJJbFdnSnBobHF2Ukh1d0VZWm4?oc=5
BERGEPAINT.NS,2021-01-14 08:00:00,"Indigo Paints IPO 2021 – IPO Offer Price, Details & Review! - Trade Brains",Trade Brains,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBBOHB4SDF3ZER4NFAtWDFHUXdhLTg3czNoOGU4NFl3SkVrdl9WRVBhaFpseU1hYld2YXdZbHcyWFZ5TTZ2TXFjbHI4Q2sxOFVTUjZONzhZeXI5QQ?oc=5
BERGEPAINT.NS,2021-01-20 08:00:00,"Indigo Paints IPO worth Rs 1,170 crore opens today: Should you subscribe? - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMiygFBVV95cUxNZFkybTNXOGxiTF9sT1ZoTWctZGh2Zmp1X056cmZFajgwbU1nVTBSa2tfZ3lMeGR4X1NvekdsQWpQTU00Z2tBZ2xDOHhyRjBLd2lORmFTdTFiTFdzWlQyTDJXYkpXNWpGQ3NDSVQ4d1ZjeGVQZGN1dEJWNGxYYllQd2hDamdmd0RWVmM4Q1ZEbkRET0xmLWp5ekRCWkl4V0hkTUJzaUNnZ1JweW9LYmNrVFlNZ2otT0dLcnB5UDcwUm1vN2VhUndYSkpR0gHPAUFVX3lxTE1YQVN1aUZEbHl5R3J5NWNtb3dVVkFXUWJGMmtEY2NEZnlmR0l3Ukd1UjZUUURyR3p5a2c0NGxFSkQ1UUw3b2VyQ2MzMEJ3N0hQOHdGV2JsWmpRSkJ3ZEd4UklpbThEaTNQZ2F1RlFaRllmckV0XzFPT0sxYmFWckVPLS1PU1FmZWRieWozSGJDYk1EOUk2amJZSERmNkYzbnlKY0MxOUtHV3g0R3lRT3NHRmlsN3dRcklELTBybE5wcVR2YW9waERrUWpoeThwYw?oc=5
BERGEPAINT.NS,2021-01-20 08:00:00,Indigo Paints IPO: Does The Investment Live Up To Its Hype? - The Indian Wire,The Indian Wire,https://news.google.com/rss/articles/CBMipwFBVV95cUxOcTV6QVNqaGE5ei1YMV9hUVZ3eWUtWTVfUU9kRTJkVG5DT3puN3daN09ab3kzNWhoUVNsbmc4M0ZpS3dvcFRiejhlNE9sMmdtTFBhRmpueWVUTTJLWVVvQmtNaXMyY0VTWkFFSUw3NV9GZHZrZDRLNVRsVWtMNk5PVmEwV0psTl9Ua0tMYk9fb2pENWNXNW5xY09RVEc3Y3Qya013SjBYNNIBpwFBVV95cUxOcTV6QVNqaGE5ei1YMV9hUVZ3eWUtWTVfUU9kRTJkVG5DT3puN3daN09ab3kzNWhoUVNsbmc4M0ZpS3dvcFRiejhlNE9sMmdtTFBhRmpueWVUTTJLWVVvQmtNaXMyY0VTWkFFSUw3NV9GZHZrZDRLNVRsVWtMNk5PVmEwV0psTl9Ua0tMYk9fb2pENWNXNW5xY09RVEc3Y3Qya013SjBYNA?oc=5
BERGEPAINT.NS,2021-01-27 08:00:00,"Grasim, JSW, Reliance face off in paint world - Business Today",Business Today,https://news.google.com/rss/articles/CBMiswFBVV95cUxPSnpody1mVmVZS0hMZkk2amlNUFFVSHhhQ0NpNHBGWVc5bUFyZDk4d3h5R2h2ME04YktNNi1VXzZrT1Y4VTBqNkVtLTU4SnIzaXJMeEJ3V3lQWFVTUEp3MUlvSTA1Q2lyMjdVQ1FPaWFTRURxUE9uQXdmaGduSHgybjZFU3JZWk51c0owQ21jWVd5VE5GOXcxQXdvVDYycnVwaU5NdkdacnRlekVuTm1NeTdRa9IBuAFBVV95cUxOV2k5WEh5MDFuQ3luVXpZRS0wUkhseHhPM0pLYmdpdVVud3NyYWNES2tEaThKUUZhVFVvVFBKR29TczVmYWdYaE1WTGZUekZIaWRFYWVqLXlYQ2xfclRqZ2hMaU9aR004YllIRWdLM2hGZDdIU3h3RnJzeFZSZnNWZWE1Mi1MYWFvUHhKR2tuWWQwUlRibk81TGtBdXYwZEtKaVhOSmR1UDJqVTJNQV9vVzA0d255b0tO?oc=5
BERGEPAINT.NS,2021-01-14 08:00:00,"Sensex ends 92 points higher; Nifty just shy of 14,600; Indusind Bank, TCS gain - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQLUZzYTdBeUlvZ1pubDFteENLSTNpR0h6VWJQdVBSZkplN0RwbHdTMzNRZ3hwWlZraEZPRzRENk14R1UzeWg5OWJWVFk0R0NqT1liQTZiME5Fb00yNy10ZzVYUGNxelFqcTJ4MDFYU01WcEdoMlJWNktpQTV0dnlVakMzdWlnb1dRdWxTUlFLbnhLdEpfbmdMVGRuNGNYSENUeFN6QmN6YV83bUdTVDYxbmN6Qlh4M2VoS0JsY9IBwgFBVV95cUxOS2ZtX2dqaGlad0xYNU1zektaaWpyVWVReFp5bUZraWl5bGQzSm16TEVtNFNlQ2NsNmYweXY1ZUtYQTlZNWdydGk4Slg4cGtsOFVRZGY4emR1SnQ4c1hVemc4dEVGVWROX3pVdVhIVnZDYng5ZzJEcjlWLVFxRWE1NnpySzlVWXFzVURsd0w3c0h4cVJNOHRnY092LVdyMGw3LVIwNDlpUVNLWkFVNmlpLUI1ZjgtVERCVlRVMmtVRHNJQQ?oc=5
BERGEPAINT.NS,2020-12-31 08:00:00,"Traders' Diary: Nifty has major support at 13,777 and 13,700 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMijAFBVV95cUxQZDg1X3JwSU1OMWI2YUxEMEdOSkgyNG5LaVVMYXJPN18wdzBPYlh5NVlidmdjV2VBd1dHTHN1NThReW1kSmR6bmdDdVczU0NXODdoMEViMmJJcmttTUNsSmdxUkRScEk4TlpFck5lMURYTGpSbHZQaFJfY0NadTBoVHpKOWw1bWk5aXotQ9IBkgFBVV95cUxNNDFSQWJWTFJRNGlNN2F5SElRQXRIdDI4YjNXX1kwR1JEVmhQV0pTSFFxMkhGY0ZOb2hsUTUzVDZfWkE1bjFnclJzTmg1TVpTNDRXVG5IM3hPVy1uNFlEUVpnUGxhN2ZhMlZ3Q0dNWDBCQWsySDFMemJOc2NXRzloaXlQT3hPem5aMnBYMmRqODA2Zw?oc=5
BERGEPAINT.NS,2021-02-14 08:00:00,"With rising competition, Berger Paints’ valuations look weirder - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQY29SalpRRDZ5SjZZXzRKY09EMEg2ZmJKdGhlbmRZQktqTFNVUE5ZeVRNTmdRVWNJaGV2aURNU1RaUWNTMlpVa1FvQ1FvLWhaYy05U3g2NlRManhPZE5ITVdQWWJCX0VhT1lQZndWdWlmRzlkUDlFVk96UWpiTlA3OEF3TWJ4dHRIRmFKR0VfdnUyLUNmNWUySGVIT3BTQTVuTVd1T2VibHdEdlZCbnlmcUlqODYtOUpPdGlUSnZrd2RncVdaSTBGQlJwbXpfV21IVUM40gHYAUFVX3lxTFBheVVvVVhHQmJqZU94ME1sUDhBY3ZuSlpKQ1kxMmxqWkd3WVAxcVZFODNKa090d0FXbUZDZWZIQzRoMk5VQ0l0SldGTEEwM0pfLVQyUlE4Y1RFRTRBeUREZ3pIMkRrVU5nTDRBOVU4RV90dEVFS2duR2wzY1pBVTNSSjR1YWw1OGRuQTRCM3JzckRONXN6NFViRGJrZGRZemcyQWVIQVdGaHNNQkQ0TzdLa1ZQUEJmN2l3SHR1MEg4ZERENWxWdFN3cE5Bdno4MGwyRjdhYkxBdA?oc=5
