Ticker,Date,Title,Source,Link
BRIGADE.NS,2021-01-19 08:00:00,Brigade Group launches residential project - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMirgFBVV95cUxPOFFOckk0aEtwYVJaaTl0eFgyUnRnWDNzRzgzelZQekNyZVQtZ2NUYjZNVklaWFltSjZzeERIQzVKSGVyc0QzSHQ1c1gxam4yVmxhWURZQjJJNkpUdE8tN1hLbXZxZFZSMFVoa1YtYU9OSkdpSWJPdW1UM1hPZU5LTW1lNFZZVnNSSDI5Wmh6TzUyYW1SRm4xZTdyN2huRVdEYy1OaUM2YmVpSkJkUEHSAbQBQVVfeXFMT2JxYkxyR2JQcHdvNl9YR2VaVUZZd0puMkt0QnFFeV82NkFyQWR1VnhjUEtPT1VVSm83QUtyNkVKLXhJNHE5U0tlM2tJNWVfVnRCTmNpM3VsemdBVVlPRmFRSEF2UkEzNUtCNExROU05Qlp5SHFSdmRZRzhvandWSTRadzFIOVlTOFN6c0U1Z0dCVEtHa29QeTR4bFdNWjFIZmVQWGpTeWt2Tl9PZUQyVFhoSGE5?oc=5
BRIGADE.NS,2021-01-19 08:00:00,Brigade Group expands footprint in Hyderabad with 'Citadel' - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQQl9lSklfOHIzZzc5NE5XMmpRcVloZ0hKel9EN3NPMHAxSFpzQUlOVGEyNG9XUXRteHFpRnZXUXJqVS1wMU1QVHdfQ2VxSHFCMDJlOUY4VFFjR1RNTWgzWnlkT1VTQU1KZkhmOTZ1VFVBQWtwb0hxaGdYMUIxRWFhTHdnTzVpb0cyMzNHM25MSS15VEJJTm5DZEtLZ2xDYndJYVFjUXo1cFJITWlpMnhXM3gwOUhRcUd00gG-AUFVX3lxTE9Ob21VVUdIcnVOSGFkSmlRUEl0bEF3UkNaOUpTci1FSWZKTW45T1FPMHBNWVJNUVFLVl9fakx1SVZyR1ZaWnhVLVZvNklZZjRfdENoZkRxM08zeTc3czA0VTJqRmFGbXhRZmt5cEpkSDU3QkhEM2dNdURGRks3c0hvcEJvUm9Ed2d5M3o0RDlKYUotTGRINUFURUdGQVg4SHNZN01rdmdvdkxwNmZUd2ZpejhnUkE4SnNhVjRtMVE?oc=5
BRIGADE.NS,2021-01-21 08:00:00,Five dead in fire at Serum Institute of India’s plant in Pune - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxQZlNZbmx6NjNmWk1YMW1iMHBBWkJKTlBUenhDVDhiNGVkY0pmWjd6NkdLTVdWTkFmM0JjN3FSY2g2ZVVSa3FnWlgxU0dPcXhxcUt4cEtLYmtYdGNzcGxSc0dfWi1hQzJMY1R5bTJPSFdCZ00wLVY3aHF4VGZtZXJKS3BPZ1FKa3h0Ujl3UVRmbVhKT19pbjd1M3BRd1hObkh6YU5iVGNESEIyWjdRaC1qY1drQUhvdGVwdThDdG5PUdIBxgFBVV95cUxPWFRfM296WmF6cTd1V2F5V18xendBbjUxdkZPcXZPV2JYTmJXT0ptZHlXY0t6YVZTT1FtMWVGd1p6MF8waXVOOUxDRG5FZ19ESWFtdEJBMHdaZzEwN2tSX2JockJwbVYxTmQ4MGFpZHZoVTdlcVRmelpZSWpJd084SlhpVV9SVDNuMWpjYmxGUlFabW4xMHZkOEtPODJ2UEdmSG1PLWRTdnpIQzF1RW0tSTJ4ajh6VUZoSDhjZW04VzZTR2VPblE?oc=5
BRIGADE.NS,2021-01-05 08:00:00,New executive chairman of BEPZA - The Financial Express,The Financial Express,https://news.google.com/rss/articles/CBMioAFBVV95cUxPdlBWRU1NTVpQeUM1bzY5dnc5TjQ0U2xzVmRTUXp2Mm1ESFA2ek1PWUNVSEJ0RHNuTXRKeTNMSmxvbjNnZWRKamI1WlVHbnIybXVYZmxMMk1UNVVzTTlVUkdVcnRocmo5RjgxWTBQVnZraXk2Y3IwcXRVZS1td1lqU1pNNk5BV3ZHVFFTQWVSQ3gteGtOSWNWSlpEUFBWTHZW0gGsAUFVX3lxTE15Xy1uLXFSUlAtX3lIUkR4bU1JNUhFS0x0UjBENHBybWphLUFPdlJoRU45ckZRS2NGUDZSR0xuRld3WXJ3WWRERU8zRGZyR2Zrd2FXYk5pU3AzU0dDWUhDWXp1WG4yakZsMktyLWRwdGdfZ2xENnFGZTUxLS00Y1dLWjBwbjRvbjBGMTc0Z3g1dXo0U0xoZVRtV1h3SVB3STUyUUJfNjVHZXZyVTE?oc=5
BRIGADE.NS,2021-01-28 08:00:00,Ja Rule Calls Out Robinhood For Blocking GameStop And AMC Stock Trades - UPROXX,UPROXX,https://news.google.com/rss/articles/CBMigwFBVV95cUxPWHcxTHFLTmUySEsxd1lTM1Y5QlBaOTlwTy1CQjRqWE03LVpXSnBfZG5jbF8wQ3NWMEdoZ1NrZEstYVRCX1hzdW80VFdVTGZ2ZjNLN21qalJjOU8zWmNkaFppVXNCRkJyYTFjZmNtSXB3eHEyT0xjWWtvVnNYdHdfc2VUNA?oc=5
BRIGADE.NS,2021-01-24 08:00:00,Owino burns: Traders cry foul as fire consumes market twice in two years - Daily Monitor,Daily Monitor,https://news.google.com/rss/articles/CBMixAFBVV95cUxQdEthbkE1MTNSV3UzOWk0a0N1TXVab1dzdXJxTXFBMW5fRHpSODZXdmNEUmY0alZ6d1hwYlhxNXFkNFEyTzBMY2szcHl0UlRaTDRha3BrbkJSejBRSUlTcURNU3hGTHdaMDh0bVJBdkNfaDV1c0s1TlJoMDFDcXA2ZU5QMlE2cFEtZDNCUnRXVVRHeW5yZ01FV0RFeUJERlZjanlMcTNJbjY4eW5EZC1GaVViY2pNRTBaZjZLT0RMWWNtdWVK?oc=5
BRIGADE.NS,2021-01-23 08:00:00,Actress Sana Fakhar shares ‘bold’ pictures with her husband - MM News,MM News,https://news.google.com/rss/articles/CBMiggFBVV95cUxNdU9FUnFmVjAxRTJKSGZLM3RYRENTd29iV2lxMFFZbk9RYWpMZDRBSjUzWWpQUEVnSV9ad0FBM2JvaDQtUjEtREF5eEN3RzdmNVF3VENkWHlWc2xOWWc3RHd2eThoSnhMMEhCMkl2QzdmUjMxcExSdUtod01PSVZhUmZn?oc=5
BRIGADE.NS,2021-02-10 08:00:00,In Pics | Yudh Abhyas: 14-day-long Indo-US 16th joint military exercise - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMixwFBVV95cUxPRzRiZ0t1NmMyMVF1QlNyb005Rnd6Yk1FWXVXRFVHQTFubnpCX19TdEFqVURUaXI0bDJERmxDWHpSZGJtY0c4cEd2Rmo1MS1WdUpad0VyaHV2bE1YcFptY1Q4YjRmN0Z3YlhUVl9FaVRxMm5jb1RuelNIQ19wWkJBdFlBRnZhcWdUZkpNOHVoVmJmb2hXYjZEaERRS1BVTWROUFBLQXAtVW1UMzRYR25mNXNmR3FMUUk0NXJTNEV2cWhtcWdCcV9j0gHMAUFVX3lxTE1zSS1YNE93LVZDQnhqT1BtbDIwQld1YlNnV19mUlgxRlB0QkFTLUJtdHFmSGZINk9MUzJxMWVFZlN5WFRzUWttbXpvLXBXbEVrZXdHZ2JRUjZLQzNXMzZYUmQzR3h1Wnk1N2ZfSkY2MXdtX1dhcV9vdGo3VlAyanB1VklpdDg5UVFLa3l0OFpMVHhoN1RkM09KNHdVUWVxVlAyRVdyQnZObko3cXZIeFNqTlJ0Nm9Td3ZzbF9ydDJnR1NBVDM3N0k2YlA5dw?oc=5
BRIGADE.NS,2021-02-12 08:00:00,"After hitting all-time highs, stocks and Bitcoin head in opposite directions - Fortune",Fortune,https://news.google.com/rss/articles/CBMihAFBVV95cUxOUGtwZkN4Mm85MngzVzNVLUI1SUNOblFKek1xckhyczg1VU5yRFMxYU5SM09YTWNDNnhCSVRJZlVKU1FvbFdNNHlZQkNZbHNkUHBuU0N6Y1VfR0tyYnd3NnJ5NWRndHhpN0locWNnM29neGMzVFZ6d2VSa1VZU1l6Z3FCRWE?oc=5
BRIGADE.NS,2021-02-13 08:00:00,23 yrs of Wandhama massacre and reply to terror - Times of India,Times of India,https://news.google.com/rss/articles/CBMiywFBVV95cUxNMG5zVmk4ak1EbFlxS1dlcGQtaEhBODdXSUhid1RvOWt0U1RuZWM5d1h6bl9fMV96Nzd0akMxclNNMVJpanpJeUtiSmN1LVBWeUd1TVJHbUFEQ2JFMzFOaGxOSVAyRzBRNGZhb1dzVkh1SXhqQml6bTcxb0VUT3NleHpiQ2F0VWkxVHUwNVh0S2o5WWVzYWxJSk5nZFVodTdNNlNORmExbF8zMHdCcGd3QXBYZUZDTVcxRXAyOVJFYXJWTk9kSm1lRFE2TdIB0AFBVV95cUxPRzNNa1NwcGV2RUhrenVZMEZrNWlXTmRXTEdUU1J0SC13RG01Zmg4Zkl4NnNrd0xFQXg3aERvOTFid1l1RDlFVTJPY2F2U2pzRFdIcWZadW9TM2RxSFdYcHFNdFozNTdxR3RXZjBsaUxDZlAybmhJNHRwU2pFOVJfYkJ2WjFpY2JLQkx5c0dqa0xBOVdwM0dCNVRpWFJmSkVaMnVDaElMT21YbjlwaHRERHdkeXdySXZoTWFpc01lTTNNZ3ppalpfR2ROdEtfNDVn?oc=5
