Ticker,Date,Title,Source,Link
BSOFT.NS,2021-01-01 08:00:00,Model Portfolio 2020 Performance - Markets Mojo,Markets Mojo,https://news.google.com/rss/articles/CBMilgFBVV95cUxNUDlNTkQzMEpQZHNDajk5dTJHOTIwTnd2a2lCZUx5YlgtVFBublhES25sd0VQWWo0MXAtWW1lOS05dnRVZjdmWXZhM19JY0NNc3NUbG9MR1k3N1VMMkVxVVBYdThGWDFlMlFWYnA5UUFkMGJrMktval90TlBDMTBhZ0xjU1ZsOFB2OXdCUTRLM20tVlIzZXc?oc=5
BSOFT.NS,2021-02-06 08:00:00,Birlasoft Q3 profit rises 33% at Rs 96 crore - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMirAFBVV95cUxOdU1iRlpvd241LTFUNzRVc3dsNm9aajlqR1F3RlR1eVFZSlk2djZpQUt4Z2ZSNzAxMVp5WWdpWmVYU0JibHhYY2txX0lNeC14bUNvcEtyQmxnZHZFRHcxYmFLSlFVamZFQzJTbGk3VUR0ck5najdueTNadURaLWtRRnJ4VVVIYnNhVFRuNnJLWjdHNUFvRGFYWmxWRG8tZGVnWFBTS01WWElIZi130gGyAUFVX3lxTE9YajRKc1RRYXBtWFhObHdnV3ZiYVJEaXk0OHAwX2I5bXdMM3RNRWV2LVVSazhrYnBuakd4VGlEMU9YOUJUcjVLeGc0XzlNUWdGam5rZTBERFZLVU4xQV9iczdsa0szMEZBVTdwbGEtOUtMQV9RUzZDSFRqUWE5bGg2NFRUSkhtOEVhUHEtS1E0MGtlTkNRd25pV0xMVzB5cXY2cG1OQkdkNFh0eWF1Q21PelE?oc=5
BSOFT.NS,2021-06-09 07:00:00,Birlasoft Hits 52-week High as Company Signs AI Partnership - Equitymaster,Equitymaster,https://news.google.com/rss/articles/CBMiywFBVV95cUxPYXRqbTdUdmxWR1RvUGxLdzVXV0hNaEo5ZzF4Q0ZEWmItR0hnSXQwNUZLV2tRQk5YbVJnWWVBVTRkU0JDMi1lLXBHbzZGenhEQmdEaEJLM1RvRXRHOEFRaTRuV2M5aXRhWUhXUlNDYjdaZG9BdDd1OWdVdHdNZnlBZWdCVmQxQkxYcHNUcDZoY0lfRWtVY2lHa1EzZ2FSTGxRM1JfTlpDdmlWRjZPdXNnQXRrQ01BNzlvTm90OFhjeWN0RTRueUNQSENNVQ?oc=5
BSOFT.NS,2021-07-15 07:00:00,"Top stocks to buy with Anil Singhvi: Why analyst Vikas Sethi recommended Birlasoft, Tata Motors for big gains in short term period – Know factors - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMilwJBVV95cUxOX3ROWnRqMlZjM0E1czJSNTRhN3NJQ1VHQjgweU80aHRhRlBQNWtOak9jaExkblF5OHgtSXRXWndFbUZoZGEwQzdpcjJ3eGg5UnJEN2FKb2p5SUF2WGd4U1pjakZFblBfRU9JNzM5LTc4Q2szZ1FoOG5VLVBpMndGMGh0QVBMLU1DalBEVmRfbElBTjdZSHZKZGhkcTF1YnJDX1pwenZ4UU84a28wRXRWWXFmZGNDdWZtRWEtVzhUQkhEOUJHYVFBTW1CVGRXTFZyYTdqVjRRemN5T0VJenJOWUlfbFpiZjhZaFVNZHpiS1pkdFI5WGFIeFM0dG9xa1JOUERuWjY5RHdRd29tZFVwWUNOTTdXZUk?oc=5
BSOFT.NS,2021-06-29 07:00:00,These are the biggest investors in Indian stock markets - Yahoo Finance Singapore,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMipwFBVV95cUxPdnZVUkNYRlZOQk5ZaVB5Rm43ODZaV3BkajY4c1ZqNkZCaFFjdVh6VENiQlUzUWp0SjZHQmtzYmZ0TVl0VnVGMTQ5TUUya1VWOWFCdUdkVXF4N21WRDJ2c2FYR09EZEJHWFhsSl9uNDFaenFPY3dxY3JGSWR4OEc0LVZ3NlZyb2duQmZOcDI3UmpSYUJQa1lURGYyQmdtNzJJVTVCa0k1Yw?oc=5
BSOFT.NS,2021-07-28 07:00:00,IT firm Birlasoft first quarter profit doubles to Rs 113.6 crore - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOS3ZrV1BqNDdwNklMbFpKLXA2b3ZOcmZnUU5VV2Q1b0VUVHFHSGZlZUdKZWYyejlkcnR6TEpIUTFiMWVFLXd2MkF4a2VCUU5wWTlKSWNvdi1Jd0swNHBnNDRuSDBWUVEtNXNrblkyaGpWNE9Cb3ppMFVvSFphTFgxSFcxNUlRU2NRMEdBRlFhUU5nZFh0X0hIR0hNVlg4OHVyaW80cVM1SDhFQjhyb05yQ2RQb1ZQTWRoYlB3ZFVqNGZ5UDYwcmt5Q0t3Y2NDYnIxV3fSAdcBQVVfeXFMUFhBV1c0QV9GMHVHYnM4THBJdXpGNlhvOUFkSmtiaVRHVG5ROVhJOHRWdVRBNGZBTEpIVzZnVk5HVGJ0U3dPVjZtX1NvR2hGdXhkN1VjMEstOXlFV1prZkJOTjFCYnZXcl9wLXZwX1hydVNlems1QUZidXZHTnFyaWxXd3JxMGJWX2NjVkt5TGFaNFJuNGxDeDBtbl9qVWg2Y1pPcEZoWkF5SGZ6YW96RklNM1NmWG9xckNHT1dGZVJFRlZWSFJBVEhQM0lPN1RTanFTOHZjUGs?oc=5
BSOFT.NS,2021-09-07 07:00:00,Dr Reddy's launches 'Mintop' for treatment of female pattern hair loss - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxONUc2b0J1MENCVWJ6UTUtUnRxRUlpTkVSS29YWGNVYmo3YndPN09fTmNWbHJ2SEpwTGtwcXNlcGQ3bWp2RzZ4c2V1d3FBck1PbHpvdUU0b1ZTOUdwM1NOSGVKQjF4eDhRUk9vUVJPblY4ejJQbF9HR2tmbXZHMHhuZUxFQVd1eXpLQ2JjRUZJTEtwYWZJamREYmVOQV90cGg1NjlRaldvMHRSQzhkUEMzYldDUGZDRTg5YkFKUnlWZ1Y4VDFVTlhhTGxYaWxUcWh4eFp6dtIB2gFBVV95cUxPZWNmT0FfQWZnYURBaUFnRGhZSG10R3BpYzlsaEcxSmJUZUJ5dXdHUDBJT0RFRE1RSGVnaVc5RUY2QjhXdzdTX3p2dXN2bUxYcnR2SlJtS3ZIWkVrc3VVMEttcTZZWWttT283cXQ3TmhHVUtvd3l2YVFKQmpNX3VqRmQwZUw0QXhXMVVQVHRLOTR3SjltaXRodHZ4YVBzX25abF9wNlpValo1RHVMYmliaG05UVlEckQxUXZrRDl4YVZaZ0dGdk11WWU5N0pmaVoxRVJRd3Q5QXVhdw?oc=5
BSOFT.NS,2021-10-14 07:00:00,"Sensex jumps 567 pts, Nifty closes over 18,300; IT, metals, banks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNc3MxSHNvTGhYZmF3OXhJaW83ZXZPRWZSblNoXzdCaTI1V25NT3lzR056MW9HNWttTUtsdU0xOTN4Ty04S2RfNVd4RFJxOFhTdUpscjNFbzY4ZTlRVEM4VlptY3U2WVpYVDQ3MmU1blJXSEdMX0hXeTJqR2s1UjlOREZRYnVkVmN4MnVQOWYwOXNuTlE2M3p1SjRmM3V4YlpGUTZVWExLRWY3amx5c3ZHMFUtb1dMQ3ItYVVyTVppWkZzRm1WbEpHRERzbXFiUGhCR0pletIB2gFBVV95cUxObXFKcXc3WUVOLWdHd0xtWXZKMDdXOHItTGFLMUhvZDc5SF9CS1hXM1BGZi1FQWZoWDlnek1aZzhUWmtkemJQemcxdjNqZnc2Z0tXX01HYTVpU2tIZzVTZlFNMFBrYUx2X1d1R0lKSUUtNkJNN0c0RnN4Mkxrckh4MGxZcnNzRzJDTEdyWTAyZXloOEo3S0dDRHhmNGZ3T012UEY1ek9aM0xWRnl5MHRNRWdoTEpPb2tzRnJ3a0FuU2Q4YkJtRGZyNHBPYnVzOVlMUDBSZDVDbHJkZw?oc=5
BSOFT.NS,2021-10-28 07:00:00,"Closing Bell: Nifty ends Oct series below 17,900, Sensex plunges 1,158 pts; bank, realty, metal stocks drag - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi9wJBVV95cUxNQzJZRXM4ZHFiQTdPR0tQWHBQUWtpeGdjWFB6VXViWnBaZU1xb0VXblRodk5SenRiaTZ2emJWaENSaGo2aTRpbXlRRkRXZl9KX0pELVo4bFFwQ0tuQ3gwS0UxNlVaVmFJb2dHZ0wwMEtFTm0tZDRpS1Q2ZEpFSlF5LWdyWUp5aTB5ZWFPUXFnZnR4RGZZaF83S2pKMFl0bkVKcmpWVUV4djRFU1I2MzVGZlBjYVYteWEySGZIZDJoS3ZpY3NNOGFtWVoweG00VVJvWU5kYy0tSGNWSFgweHp0emRWajg2cEJlNTl1RUdnZ2UyeUllVzdSQnU0ZERIM0YycFJDMmcxUVRnREN4a1E3dlJVeERwZ3V3LWhrRWwtTE5PV0ZVQWo4aEE0ZEFZVjA0SkNFVjczSWVSTmxyYkVsTUpVNW9KWE96WGdQbXR4aHFkbXh2WWJtZVVtM2N5aG5lN0R3RE91RlRyRDMwNnM3alVDcFEzR1nSAfwCQVVfeXFMTlNQMHBYNU5XTEVmTEc2T3FNWUxndkFpbE9FNTk4dmk2RDhZckNldHRQLUJRNy0wM29KVkVDYmZNRWYtc0hBYno1aXptc0dnQ0RTcVZobV9vNjAyZzd1SFVKSmNoV0JUcllHc1ltRFNGRzliLTdYb0NTMkstdlpQYUxIWi03OThCTHhuLVgwN25qdWktWU9OWllRTU5ZVV94aDZwMzRaLUxZdXcxLXBPTmYyQUM0c0JSQlZBdVlsYjdNaU5nNHlzQmxncVZZWVE2elAzZ2QwbnVsM0VFSFFqSzVuYjEySG1pVzkxZVRCN2RiV2NNeFB0Vm96VHotdk5LRnhFNy0zMi1tTWlJVmxQV0drb0ZwbTJsOXNhVXFURmh6SjF0RlpGY09XN1otdkVVMmlLZE5ZSWMxT2tPRkZ6OHp4dkZ2cThWZDNvaXhZYzIzbDR0RURGWEtZUl9IcElUcVZzc0Z1SkN3cEJHUG9EVlhPRFh4VllZODRLcE8?oc=5
BSOFT.NS,2021-11-24 08:00:00,8 Indian Stocks That Can Turn 1 Lakh Into 10 Lakh by 2030 - Moneymunch,Moneymunch,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOZ1BubDZpcThnam5NcjNFbGxDS2xJeVFYWHVFcEc2a0llcUZTa0dSazNLWW9jYnNQanlxaFNjSkF2X1p3Z0VEcy1UOGdkM3pXVGttOTFVMFVsQnM3Z1pTMGU4TEozVC1YX2xjTFI4ZG40amVlVk9IR1JfdkNFUXlzZmFPYVFlUFhQ?oc=5
