Ticker,Date,Title,Source,Link
CAMPUS.NS,2021-01-28 08:00:00,"UNLV President Keith E. Whitfield Delivers First State of the University Address - University of Nevada, Las Vegas | UNLV","University of Nevada, Las Vegas | UNLV",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNY1dyZlp0UTFQWHluN0ctalZkR3hVNHBBejFiS3kzWXZzemRNRDBqaE5FYk9lVGotMjQwTmhmQ1pjRHNnN3pWMlVpY19mYmtEcmFjTW90SmtOWUt3Tm53b3dvLV9NY2xzSDdoU0pMM0lFZ1V6X0psaEZ3OUxPakRhWmxQd0xYRzB3Mzk3S2ZlT0twLS1fSG12akFZMW9jaEpHNWpFNGRyUnJIQQ?oc=5
CAMPUS.NS,2020-12-30 08:00:00,Applied Materials (AMAT) Rebounds on Higher Price Target - Investopedia,Investopedia,https://news.google.com/rss/articles/CBMilgFBVV95cUxPeU1nOW53c0lWNUNNZG9TMVNwY3JRV21NRFQySzhNV0s0eVVRSm96VGxaR1lHVG93V1FMSEZ0VjJVT2hiajZibnd0X1NoWUxrV1VxMWtuVEdUeGtqUkltaXZVUTc4RGJ3Q1V6UnNTREpldUNUSkxQanZNS1A5VFkwZlRXQlNDTTJsZXhaV3pKTFNCdGRzMEE?oc=5
CAMPUS.NS,2021-01-27 08:00:00,SRMIST files police complaint after viral circular - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMitgFBVV95cUxPdkdORlF1Z1pwT0tYTzhjZm5uM1g4SEUyQ1JOVnVrTWo0NjVSQXVhTlB1UDVuOWlPeWhJeHZsdUdGWl9FN0ZaTWJ3WnNvR2tlel9MWTBDYldMSUZiQTU2T1FNb3M4eUx3ZXZ0cGNrcGVRclZCVllNelIzLS1RQUxMR3FYdUs1Mldid2hkR08tb0NfZXVIOUJTckZhZXdvN1RtNGdEQ2pCWk91Z0FSVGtjcUJSSzVvUdIBvAFBVV95cUxQWE1OcnVXZlpTUDE4REJQaGk2V1c3SW9zM3VjUW5jZXhuUzc5ckQ5VDhQN29JdHJXV0tzbjlNQldzQ094ZkcxakFBRnVlS2dXYmQ3NjJhTXEwVEFHUXFjZHRWSjd4akVXWjB1c1F1bHpvdzBzcEV4WjA3REt4MnFQSFJLd2xSLUxyZk1maHBJQUlweVpWNkdsSkVuWkk4dFB1Rng0NURJaEllRGNIcGZ2dXo2OTlkeUZBUWpBMg?oc=5
CAMPUS.NS,2021-01-20 08:00:00,"Singapore company plans Rs 1,100cr data centre campus in Noida - Times of India",Times of India,https://news.google.com/rss/articles/CBMizgFBVV95cUxQRkpMOThpVDk4Z29hMVMzM1NDRC1uSlZPSzhZUWhjOGRYaml1c0JIak44UjJwTlJMTGcyZ2lvN2JGWXZuSW42TFZiamUwU3JxdWpNaDVoREtVUjk2MGFwLXk4NFYwZWlWUFhIdmFham4wUHlYYnVPUHlMLUV6TFVKc0ZzZlRWODdPUHFRNnYxcXYzZ1ZWVnQyaUQ0UmVidDVGeWQyb20wWjJqekxudmxYVUFNNHI4MndjWUpVVFZVbmZwUi1zb2xtSHc2SzY5dw?oc=5
CAMPUS.NS,2021-01-04 08:00:00,Glenn named new Institute of Bioinformatics director - University of Georgia Office of Research,University of Georgia Office of Research,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNQllhV3lUOENvS01yUW92QlRtMGhlN2FNcWVtSW9pcWlwYTQxMVNiamZmTU00NWtSbHcwSC1FajFIWTFCVWFEbGZPM2RDaHVSYWp4YXM4Mllvd3V2SWVidHFkclBCdElZOVB4ZmZrMXgwRjgxUnVicGctdURPSU5QS0ZsT3lzZXFtcUNz?oc=5
CAMPUS.NS,2021-01-15 08:00:00,Amit Shah to lay foundation stone of new CRPF's RAF campus in Karnataka - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNcUFBUGVvTWo3dFVNcTQ5eklxLTBwVko4QW1sQ0k3QkV4bHJmdVV2TVAzODNkdFdDUzdoRnR2NWpNNlhBN1I5MjdFUjNVT09IMVFDOUdUbVJ5Rlh3Vm9TTWhhc2lPWjFVd3ZMdkc0TW43d3UtQWdFdHBBdWhtOEVqRjZHeFVULWhDMUtzcTVPRDFvcDd4SFRESjFRai05c040UG5YVFc3Rk5GcVNHTm9RdjRTWW54bUtuVGlIR2N6M3JRbTZMZHlGUVE3U0ZHNmV0S2pLbmJEQ3NndlQ5YTdVVUQ3UdIB6AFBVV95cUxOdFQ4NUgzLVVWbktkcmk1aDFuUmtURkxxeTN6NjhGc2NsSmlwdXVuQ3pOb0Fpb1lRajhiSjQ5Zy1UTjRJdXdtQldhaUNnQk9GLUxsMUJjZDYxUlNoWHlvMS1RNnhLS29KbVpZV2swVi1lMnhMTkIxYVczSjFxTFZ1N283Sk9JOGdHdTFldVVKbVFZcnNSSVZXdkp5SzlwV0JvTk1BSEpWMnFNVXhfd3FzMGVoVW9fTS0tWlR6VnpHSGZmMGk3VlBnRkpUeElFV2JzVkpaMHV5b2NjRUNBWTZra2RwRVFhUVhM?oc=5
CAMPUS.NS,2021-01-03 08:00:00,"Spate of thefts at faculty homes, JNU teachers worried - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMirgFBVV95cUxPcU5qX0VCVzk5aURqM1pSbGI4MHBiZFhEMlZMV2x1dEs5MnpEM09Zek9KUXFuUWt4TkwwcmRRdzdUa3U5eEhOTmRaMHhILVBnajRpeU9aNG8wa3pvTVg0cHViRk5Kcnl4bGJiRDBiM0x4cHlRVE9fOGRGdFJDd016STlkZ29xTFh6Z2JVSFQycmdnTjlmTmZOeGFKZV9OR1RZZEdDTmE3elBYZFVhQ1HSAbQBQVVfeXFMUFJrS19Tc0tWMWxEX0tPOHJQTUNKNTlaLUdaTTNHeWc2RzBCeUdoclRDT0dhQUxBRC04T1lFNnFyTlRSaWptbjJGQjNvOXZDVW9FNEdheVhfanFzOG9jWEdGVTl4aGFEc2otVzZiQld2TTR2ZVp2b0pNVVR4bVIzLTJWX3JObkJJcHdBU3NNMjhOWWR2dlV2YzFBOG9GR3lfMlFJYUFpXzBvZEUwU3BOazh4Z1lR?oc=5
CAMPUS.NS,2021-01-18 08:00:00,Infosys Foundation to build 100-bed girls hostel at IIIT Tiruchirapa campus - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTE04U0M3RU5KXzA1UF9GYWRyQVQyYlhpSk41VDlFMkw1NzlOZHZ4bHZlZVJHQ054T0lmOVdHbXJLNlc3dlFDekFxMW9MelhSTE9OUjIzbXdSWFdzTzBoSjU3ZmJnSnUzMGdYbl9ULTFlSjRIbVhvWjZPcUVDVWlhWmJOWldlU3VfcHpCNHM0N1NhX1VnczRtX00zeDBhdXhhWTFUWTBzVEJoOEZUamE3czdNYWFDTzJCd1NEcWxnTnU4ZkpTd0ZTSmFUT2JnMnpM0gHWAUFVX3lxTE42MHF3dUlTcFV4b01pYXlQWDFlamV0LXo2M1ZZSUdKSGhLbkliMndzdXdWNGRWZktJTXFfOFZueUxUYU4xcndQTUF3dl9yZ1BUbUt3UFpkVDBVSTdGcU9SMjIxNXd2WW9HSmo4ZHF0OWl2QWZHLWNCemxJY0hGbjVUeHZPTVpxMk42b3cwVVBEU2Rfb2N1aUVwdUhmcE0wWXJMRmJLNjIycWRtcG1WQy10am9hYkNQRkwyVTcybDV0MkNkQ29VX0Nnb2dWb2dKM3FiZjZLaUE?oc=5
CAMPUS.NS,2021-01-26 08:00:00,Winter highlights from campus - Vanderbilt University,Vanderbilt University,https://news.google.com/rss/articles/CBMihgFBVV95cUxNLVp1cVFWaEx4SFN2WGw4c2tVSW5rRUw4UEs5LVQzQzlZU0JCc1BlWnpJWVNUcWtYVGdGdjNKVUZVUWpYVlB6RUY1TUJFd3FIb2gydThEWlRkR3RhR1YyWkdBUVByMEpkS2Q1T1p1NDV3MDU2NUUyZVl0Y2lUeDMzR01icloxUQ?oc=5
CAMPUS.NS,2021-01-28 08:00:00,Tesla (TSLA) Under Pressure After Missing EPS Estimates - Investopedia,Investopedia,https://news.google.com/rss/articles/CBMilAFBVV95cUxNcy1RZDBYYloyeTlMOE5vS1Z6ZmgtVzI4cnZ3YXNGU2UyWUtHUmk0amYwelpmUXF4RHNrSV9KMTYzbDAtajVKa2NkdU9jNjhhLUNqV1M5dGs0WERMdGdkZUgwRGVsSlY0eXdOdWVRSkhfVVlFWGZSSHJoVk1reFhZNmxzX0hQWERvQ0w3UkJMNG1NU3Zj?oc=5
CAMPUS.NS,2021-01-11 08:00:00,Jipmer to hold second stray vacancy counselling on Jan. 15 - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQRGc2dEh6bV9qUllwS2FWaHRIa3FRTU14empxaVdjMk5FT0xvWGkybUd4UUUzVWpqYXFUSnVsOVBkZW5OMTdQTlQ1c3pMcE5rdWM3eVd2dzU5WWlMRF8xeThNcU1RTWpvNDJEUnREdFhPQmJoV2hwZHBWVUlNUXBCTU1ySmk1VngzNXRjckpRUUhITmxpcEZ0dVIwUVdvOVhlTzRBV1dMVjJkaVlzQl90WVpDRlJFenpxU1hvTmdpTFlvV1XSAcoBQVVfeXFMUFJ3a3VXdWhTLWVuMnNlM3RubGJWbzA3STBLS3dVRk9SUjJQbWU2ZnI5RDV0SXpPR3AzeGVSTUxBVTkxd3VGWTZFRUFmY0k0LWRxN1dPNWptd00yOFZHN0FDQVRJY3VMRGN4RmhKQkRwY2tISmtkZkJ3SjhyMmllRkVEU0Zyb2k1RzVVZEE5cElOVFJHR2MwZXh6S2JRWHFvb0RkbzR2Wk1lTWs2NlAzOER5RzVJMWVaaDR2QUdaLVBqSkVIS3AxemFCUQ?oc=5
CAMPUS.NS,2020-12-29 08:00:00,NIT-Goa campus to have four artificial lakes to recharge local groundwater - Times of India,Times of India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQenMyNmJZd1hoUXA2SFgzZGh6LVdZSlg5M3JDM2FQT3ZUenpSUWFjdnpKcHl5WXI3WElIOW5ObTNyR1ZBSkhkUnRRMm11VkFOanM0R2QzbXNHMEVrU1NDVlFYcTQxUkpiUVZtTEwzUmJnV1Z0elhQUEhYTno2SVNTOWh3MjBndThLMl9IWjdPSzRVOE9iODBKMWlCWGs1aEFPbnlJOHo0Si1hekRpMktELTFVQnJvejJRdnQ1VG9oOHZvQmR0cVkteGdrQXRtdENNS0V6N1ZCSGjSAd4BQVVfeXFMTUxnaVo3anAzR24xWHdydWluMGk3WjVrdDBEMGg4UmJ3b1RucE5KbmxJeHk2WUo2cTJfZDJ5djlfeW15czJaY3dUNmVWZjdHNUVuRGw4XzExLW50N09IamYwRC1HSTNtOVdmSF9XRHFONzg2aWUxV0pNd3p6TW5lYlRfYVZpaFhrdDd4Y0tRUXphRUR6V0NsM1pLYzFYN2Q4Q1E0SGJJT184cHlwb0dxZE84eGJ2bFMtdVNzVXpwUG1RRE9PcDl6NDUzUWtTb0doZEtpYUVyR1ppM2ZqcDJB?oc=5
CAMPUS.NS,2021-01-23 08:00:00,JNU V-C Jagadesh Kumar gets extension - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMimAFBVV95cUxOeUQtQ3dlTS0zNWVkNXd1RDdtTUI3RkYxd3BIQ3hYQUlNWU1DcjNvbVR1cVhxdXVpYllub2NFRjY1cmlEa3psMlBpb3QtYzZZOThINTZ0UjNtYm90WEx3QlkwYmJIclg2U1E3dFNYeUs0WFBwc1BUOU5TUzlHX2RPLVhVT3owUW05b2trRlZ5T0xXd2p6Qy1aadIBnwFBVV95cUxOMDdPSXBWbjNKLXVxR1J0c0o2cFNNZnJydHc2SlhCdXVockFTNkFJSjVrNzVBNnpmemhDRm56U2VyNTZVcmNJLVYybW5LSWZWVDdWNkNuME5Tc21uQnhjSUNCUUFoSkVFNWFBM2xQRmo1SVk2U3JnMlZhX3Z5VjJ0RTBmYk0tMmdKNzBSSFMwUDB5bjhnSm5hR3N3TkJPVGM?oc=5
