Ticker,Date,Title,Source,Link
CDSL.NS,2021-01-07 08:00:00,Investing in bitcoin? Keep this in mind before selecting a crypto exchange - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi2AFBVV95cUxON2diNDR6cFFkMVM4S1BDUndlY1U5RnBCNXprdHc3SDljQV9aQWVLWXVTVFhnSVR1SnZCb1djRmtNVkdBb3RQLXNqQlNFLWlmM1JVeTNMR19iUTZILUlhdDlwUE91Z3Y3dGNjUWo0bmluZlBUMEVfWm5ISGdRNE5uNUtwLTYyeDFjdy1EbGM3anNYLTFjWVF2U1JaVGVTTzdMd2lpbk5EM3psU1FsTW4yS2VQdEdETFBIRUduQWxhN3o0Z0s1YXhQZmVXa0xNak1XWXhHanRCdWfSAd4BQVVfeXFMTWVTbEVSVFJVQnNQOWRJcDRWeGZncVYwb193ajhDdnVLN1QtVndTNGZCVWhIT3dyVVZDV3hUSU01Y0J2TklBbEJVN2RYdzFTODUtdHJlSHNZVm1IMVBUU3dYQnBTOEFvVC1fTk5yT3FReWRiT2RYNGxJTFZPUktvckZiczhZS2tLeE0tRUx1NncyQ3FOckZsc0FBSHNWLWt5OXJDRUk2Mnl1bkhxTW1tZnRBNVlrejI1Wm5ZeGQ4dTdISElzVC1tTk83Y3REUXVOSzVXWWtWNlp0TW5BaHRB?oc=5
CDSL.NS,2020-12-29 08:00:00,BSE deepens network in bullion trade; signs MoU with Bihar’s Patliputra Sarafa Sangh - Punekar News,Punekar News,https://news.google.com/rss/articles/CBMirwFBVV95cUxQX2xhenlZU1JIaWtPUWd2dGtDOXREekZHcGRFekR4QjdvRXJ6dHhGTFZEWV9fWUlNZnpjNHNMeG11WEpzbk83bG50cXNPTWZsMmZKMTBEa2gzck4wTGJTRnVOd1phVEs4QWdCWnAzSkh4WVhwSHE3aDRsdEdvQi1ZTXlXT2ZhZzhxWXAwY2JXMW9vdDJXRzRTdWpJVmtfa0JFbWNsZTBmaDAwM200MFVR?oc=5
CDSL.NS,2021-02-15 08:00:00,Eicher Motors Ltd slips for fifth straight session - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMivAFBVV95cUxQdGNPWlNUUHlDWFRJMlVsWTJTd2o1eUFzRXZjaVZHcVplTXlqYnZRZWdFSFM5bUt3UUhCZ3JNZjNoS3NGUm1LTWFPSXR4MWE1S1RIMXBBdndVd3QwS3Fta2dkUTJPdGhNcThyaklSN21nUTBfRktDZ29Uazl1ZWRrSERWdTdjVHppeTZwMEpfTnF1YzhQbE1yajZHLVp5U2VnQjFJUGtieklpVDRrYUdXcDJfMXhEUjhadjZ5OdIBwgFBVV95cUxQeVM3NHo0YVdvSFY3ZGo0YzV4WmhKdE1udl9ndHEzZHl4Z3VPYVJkU2N1dFZYTkFIQnd6MmFQeXMwYU4yZERIRi1wMWtoS3IzSzU4VHloU0xSUjRGZmx1UmNKVUdMb1ByY1R0bkkza2NXUWJkTUVrWVAteXhMaEgwdDBZS2xMcTZFYW41OFIxUExnZG5CTDlHWUFWZmk2VFMzcjJCdU9NWmFYdWZIazA1RHdSeWNZbXpUM2FyQWNrSm5aQQ?oc=5
CDSL.NS,2021-02-24 08:00:00,"IIFL Securities bags Karvy's demat accounts, Axis Securities gets trading accounts - Business Today",Business Today,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNalMxTVFzUk9FOXk1bWtvUjhESkIzc0JzMUI2YUdKRGFjTXZMdzNrUkkyek14T0ZWVm55REZTeE4wT21TYVowZ1ZNN2U0MW1DWDRqVVY1UndCMVZ1dzVCNjdxeXRqQkpvUzdmejA4YXZ0amotRmNoNmJMNm0xS1R4Vm5CM1ozUzA0WldIbjJDeGZvdjZhMVRvZDlvU3dDSkVRRDJ3cmI1Y0ZIZWh2Q0htWW5LOU5famdEcTdaVV9BYVhUU0NES3hadnRjVjVpaVNzcDg5bl9rdnQ3YzJUcWJtV00tV27SAeoBQVVfeXFMTWxqMHFpdXp4OWllaUVBcDRjLXh2MDROYS0yN0ZocmxDbWJ6YWh1dFpIQS1aVWVlVlhnNnJuNHg4RDJaNkVfMVY2NEVRSFd0ei1zY282eS1rTkRxTGV5bUdPRUNDd3NVZm1nQ29TWnNyLXJmaTdKMmF2Nm96UklFdGx1bi0zUGpCdnBOajhRbWFaVVJXWnNzVE55OU1Gdi1QY0MwTUVaQVpiZ1E2QnNiTFBlYnZaMXIxTW91U2cwY2VwYTVYRDc0TmZRT3U1TlZzcHlOeWxFV3VTclNfdDhhV2t2UmJVbEdJeDdB?oc=5
CDSL.NS,2021-02-18 08:00:00,CDSL opens 3 crore active demat accounts - BizzBuzz,BizzBuzz,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOWHlrZXY3RzZHamNBRm5yU2VKWlU5cmF4QldSMTBIZVdBaGxnaHpBazJPdVFpc0lJOEx1ajM0aFY5V1RzRnhsaWJFTDU1WEwtRHhfS2VyektKWGhKSkxpRXVOYWhKLWNwdmVSaWpQLUxEbWY4LWc5WVRqdE5ZTDdLWW1fXzZlNlpr?oc=5
CDSL.NS,2021-03-10 08:00:00,"Online, offline procedures to move shares between demat accounts - ​Transferring shares - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPaWVoQmF2b0RWVExPWEE0VE1LWGxBUUZ1RVBzS2RORlBKb2kxUzFQMjJ5U2RIM3VMM2Vsa3M0dnphcVNhdDFZdFlUVEFrZTQzM0ZVV3JDTFRXVGo1UXJNZGFsZkkxYnpTV3pndFZiZEN5UmIzZU5RbHFmd18yZmpOSWktVXlhS3hseHlPSTZPek9Va0ZvdURVdDVQUFNhWi04Wlp0NjlDSnB2Z3VIVklZZlRtOUh2d1dYZXZNZ2o2cGdJWU93OTZPeldfWS1pTDJRNnhHbWpWZ3EyZ0Nzd3lLMS13?oc=5
CDSL.NS,2021-04-06 07:00:00,#SpecialPick: Market Expert Rakesh Bansal and Kunal Saraogi are Bullish on CDSL - know the reason why - Zee Business,Zee Business,https://news.google.com/rss/articles/CBMi3AFBVV95cUxObUlxWExLX0RDeFJkeWZ0eDk4c2RyRm5sdUZvTmJURjFrcHZFdVlJT19hV3pSUlYyOWJ2Q3Q0ZkpvWFA0Nzdaa0FNV1lWTUdPNzJaRkJ0TTBWekpmalJUdC1aU2s5ejA3Wk51X0RHLVBMUkQ0QkNuV3RpUE9JLURXWnR3YkR5VkFSdkxsZlVjQ2piY0NJNm1BeUlfUjlISllUQ094WC1qR1MxQ0d6QmE1TC1RUTNrMm9pOVFvcTMwd3NSUVBkSGpaVEJaaWZRbnM4dU9aNWpFb3MwVVhv?oc=5
CDSL.NS,2021-04-21 07:00:00,10 stocks to buy now that could make you rich - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxOOE1PaWZzcEY2NXN6S0dIWEVZM3RRS243QW1VMUJ2M2Z6bDB6eWZwX1ZUS2RDS3k4cUZ2TkIyTjdwY3puV01WeUxybjBFOEMzX29iZE11SkxZVjNCQUxfXzduRkYzbzdCZWd5UU5UWVQyOFhSSHE2WGNRQ2Qzc0cxTmdyZW5hdHVBQVBBX1NHYWpVaVJyQThwWtIBnwFBVV95cUxQdWRYUFNaUGExc2oyTUFTaE9vVUhsaVlFcFlfLTdQS0lZOFdHSnJDcEJHcEVhTHpPbFZRai1PVEpKcWJJcFY3bHBGRkdEZ1J6VFBRT1RRTUk3cGpvcHlTX21KNGpNRWdJUEVGaWREVVN1d3U1S2xYdmRnSUU2RHJfRWZHNE1GVkxDVTJTcGR3X0RLSDVLRU5WZGppTUlVQXc?oc=5
CDSL.NS,2021-05-18 07:00:00,CDSL (₹862.2): Buy - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMitAFBVV95cUxNR0RVb19sQnJrUXoxeEZMNUVvNG8yUmtBeW9vaU5zUDRVbzdtMWo3dXBkWDEtRXZURHhENWw2NGF1Mjh1cS16ZzJJTVhUZWppREJjSTFmSDdXMEY2dE9vaFBIWTFZdTlyai1QMDJUUl9tLUhYRXB2SDZDMnVsOGJtTzNhSFJqc1lRUGdNeWR2V1VnbnZ1X0pzWkg3LVoxS1BNRUZHYURVdnJpYmVYY1BRdkpGbFPSAbsBQVVfeXFMTlk5eHdaWUljcHl1bnNjci0xam5jNDFkc1IxY1dRNnMzYzdONF9ZLThlS0liTjZRdlJ2clM3aVJRQWU3X3FLaEVpNXh6akE5RDRDOWNlcjUwMXdNdVVaYllpb2lQYkhCdlREM2QwQUxwS1NZX3VIemhRRWhRdF96RVR0Yk9KMEtaSDlvZHBxa3JQUkNuOUFjUmkzVnZnX055ZUZfVTRNSDZKcXMyYjBPTkJUT1hwVjhzdEVnNA?oc=5
CDSL.NS,2021-05-24 07:00:00,"How to transfer shares, other investments from one stock broker to another - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQeVFnZWcwbTBPMnZuNDRWbFRYZXJzdEo3RjRFWlU3aGdmY3VhQWJ4QTAxUzFGZGVGLUt2UzBmQ0JRazY5M1FNWEZ4b2ZEaDV4RDUxREltYzlyVDhfcXNJc0tva2JFdmdNbjlndFdLbWE2V1hSM2FWdXd2SWJMUExPWmdfT1FKYXBFVzMybG9JbXJlWk1iMGtqck5KbmYxZlRnbmlFRFZGeFd0cEtIMW1CaGRkcmFrWEg2T3BmZGZ5NVpHX095bE9YTlZPSVRnR3FpRS1zRtIB2gFBVV95cUxQVXpzSGo0S2IzSk40M21HUEFHa1ZYbnU3WUVJaVJoNFJWak9rb2kweTBrX2N4SmpCaEg4VmlFcE9LSHlRZGFPSm0xVWh6aHk1eDBxaDFHSlVTbVVpMjhzLXoxdXdyM3U4NjgtUUgtTHVIUkUwTUF1cDZQaUlDMTU2a3pVb1VReW9hOHpfUjJtNU9oczhfWnJCd0Y2R1IyQ2h1V3BxSzBEVDV4bjdURzR6cWVzQlZGMVlnNmhyUnpOekt4WkVFVzJNX3dwbXRJeG5OSlA5SmZoTHNuQQ?oc=5
