Ticker,Date,Title,Source,Link
CELLO.NS,2021-03-29 07:00:00,UNL cello student India Enter to perform Lied Center livestream - The Daily Nebraskan,The Daily Nebraskan,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOdmNoUDRaTDliNDR4Z01UVElUNGRQSnB3RWxtR2Z1MUdMWnhleFFxRWF5X3NkVTA0dy1rTllwanZkdTE0Yk53aGlvaEtyMFlPdEVlQ0xKbFI4clQyVDNIaTZOWHpiODhHWnUyUUJaNXBYOVFMV0NwZGdJV0YxQnpyV3NTaDdxWUhZUHhmbkJXWDFfNHF3QVllRzJSXzZ1TXc0cmM5aEh3dURBbGMyQ09raVZ6WUtEMjU3NE5lV3ZwRWJpLTZBSmlDUjBaRkl0ODllbjVIOGRQdXZyTXU5ODdmZ241Ui1FbG8?oc=5
CELLO.NS,2021-03-01 08:00:00,Feeling the urge: cellist Camille Thomas - Bachtrack,Bachtrack,https://news.google.com/rss/articles/CBMigAFBVV95cUxPd3NyTVR2VGpHU0xiRE1BamZ5NXZQVnVtdkI1S2dYZ1lmNUlodFBNQ05XS0JIZ3lTcWlvalVPeVdIOTJQdUNiWE51X2p1U3JNeTNKNmFTQ0hpRDRsOTRzNWZUak9IQ216ZVFFTEZ4dW1YOWw5dzRXQnl0bV9VNXVRRQ?oc=5
CELLO.NS,2021-03-29 07:00:00,"CMS Alumni Spotlight: Daniel Kopp, cello - Webster University",Webster University,https://news.google.com/rss/articles/CBMib0FVX3lxTE1IWUkybE80Y2ZxMS1kVVJmS2FiLVZfb1Q4Q19WSUFGTGxlZl9BU2VxV0pLcGlZNENzX3lNb2R3M3duQU9DMENNWG96Z3V3MFdaZzZRY2tSTk9xYVJDVGQxOXU2OHNIUnhVcl9GNG9yOA?oc=5
CELLO.NS,2021-03-24 07:00:00,"Four Cellists Play Ravel’s ""Bolero"" on One Cello - Open Culture",Open Culture,https://news.google.com/rss/articles/CBMijwFBVV95cUxOZG9NeXpzQTh5UTBwLUMyTFZReDVBaExIMTF6Zmo0UTMxUzdCd2ZzRFZmUWtqMEdGTzVOSlM5RWlERHB5ZkJUaTVVZWtIZ0lFeEhCNFo2RFN4UE1JQlFxQUpzRFI0cGxKcldoR254S2FLQkktM2xkdzhxNGFiWHBvM2lsMHJPdVVhajN4WDFyRQ?oc=5
CELLO.NS,2021-03-06 08:00:00,"Never thought I’d hear this again – André Previn’s (first, now withdrawn) Cello Concerto… - Colin's Column",Colin's Column,https://news.google.com/rss/articles/CBMingFBVV95cUxOemppNGJ6X3daTWxKSHVlUVFSMGU3dlljRXF5MHN5SGFmZGcycTk5UmMwVld3RGdIM1lSR2xnOG9DSTRmWnZPa0xIaU1hTVNQQi10MGtYTm0zUXR2OWhTQUMxcURrNXNHRGNXNXR4SDhKQVF4Y3k3bUZxRjNrbFUtTk1kWEszZ2VPcDJvcnNyODJDNmdkZnBKSGxJd0Vudw?oc=5
CELLO.NS,2021-03-14 08:00:00,Yo-Yo Ma gives a surprise cello concert at a Massachusetts vaccination site. (Published 2021) - The New York Times,The New York Times,https://news.google.com/rss/articles/CBMiigFBVV95cUxPQmdubVIwRTRKMmt4UU83eXgwRWtraU9ZYWFIZGlqZXhVU0c2SXVVZ094QjBSX1dqSXMzVUNFWDJnYWN2NFVRd3c5TGZMbFk1T1V1cTAwbHROWWJtWWVUS3E1Sk8yakg5OTRZZEtXRTJrZG1ZS296WEtydXZHS0wyUU1RWnRQSFItVVE?oc=5
CELLO.NS,2021-03-16 07:00:00,Yo-Yo Ma tells story behind his cello performance at vaccination center - TODAY.com,TODAY.com,https://news.google.com/rss/articles/CBMihgFBVV95cUxPeHZPSHZyeTZjb1ZGVmlzSXNrTHpmX29PZFZHYmdoQTFXX2RxUVBKU1hSTjNoZTJURFhFOEFMeVAxaTBKcHBOd3ZhV3JVM0hGcUdKSkRWYUNzRkFQdDNwVmxhT0RKdS14UFExVC1aOUJhTDJIQWUydFo5Znc4akJVdnc1aXYzQQ?oc=5
CELLO.NS,2021-03-17 07:00:00,Sentimental Work: Amit Peled - The Strad,The Strad,https://news.google.com/rss/articles/CBMigAFBVV95cUxPSUlFUW82cHZUOFM0cVMxV2M3ci1Xa2tpZEdaXy1xZS1pclZNc0FJVFdOdXhhb3AzUmFIT3ZDVXZVM0NlbU00VXladjA1b01IREJQSHBQV3ZVanhhdi1OSlVSNVFIUzFtLUhfcUE4Qnh6dGh2U0FhWXkzU0dyV0Fobg?oc=5
CELLO.NS,2021-03-15 07:00:00,Yo-Yo Ma brought his cello with him to get his COVID-19 shot — and then played a surprise concert - CBS News,CBS News,https://news.google.com/rss/articles/CBMihAFBVV95cUxQVVNCdC03Mk5QblF5T1hvS2NOLWpWWjVKRkl4RTN3TWRmMjd0ZmFYRDdvTFBvQWcyTDIweUxGTDlpZE5oTW9VZGJpWHJ1WXdzTVlaVzVXTTh0XzdYNHVPcENDZ1QyTGZ6SGp3cXI1aGdOME1qQnBWWXVpMHpRa29pOEdUTFHSAYoBQVVfeXFMTTVNNV9VUndYMmtjR19LTXZqdkxmNTVZd3NZWFlfTzV3VE1RaDdXRFVLX21lZGFMOTRrOUpHektkZEVsM2JqOUI2ZlZSdXlZeDZET05FWXQzNHg4dExUNWNtX29yYURoNTAzdVNQZHRWOGZOTXV4ZUNDQzE4Z19yc3lQcU5PVkR6RWd3?oc=5
CELLO.NS,2021-03-16 07:00:00,Pandemic is wake-up call for musicians: Korean-German cellist Isang Enders rethinks playing music organically - The Korea Times,The Korea Times,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPdlZGSmx3TFVvWlJJRmZIQXFhekdQNm55N1FXZjRqMzg0OWotTFpWZWVjczNJSWxqcnN4dEdDRE15OGJPV1pfSDVwR29jeFoxSGRQYm5YcjJNdGpKX2JNRGg0RFNMOUE1SFIyNTZTMXc4MHBwc2ZyTV9ybU1LLXAxZ2R4TWMxcE80bjhyNDhaZHFjS2F5bl9mSUxLSmhfaThYQ3ZKSzNFVkI2MmZGb3FXSEJMekc3ejdyQWJPdUg3WE5NeU9veDVwSGg1d01KVlh2OXRLeUFsM1ZVSWJacVdzbFFtTk9vb3RCeVRvX1RrMmU0QXNwLV8yaXpB0gH_AUFVX3lxTE5tN0JjTU1ZdXhEcnV6a2hoX0I2aU5CZWZPNHgyNmh1dlZabEVFa3V2TmRCRDJJMEFrVjdzWks2bEhIY01sR2R0OFEyTDhYSkFMUE9WZm1NUFhlRW1fM1lzM3dVNkM1eEd0bWI0dWVWUGNlUnpMLVByZ0pkVEZ4Q0VndEhBS3NLOE04NnNQT3NSRm01dnRlaGlLTzJ0bFlPVnZGUngzbEFROVVtRHhHTU1HaHRXS2JtcWgwamdXYUV0d09Id1A1THI1TUtLR3ZmY05uaEM1c3hCUDFqZ0dHS0ZLS2FlX1kyVUdkRjFNeW5jeV9remVHMzlVdHJGNjlsSQ?oc=5
CELLO.NS,2021-03-15 07:00:00,Cellist Yo-Yo Ma gives impromptu performance at Covid vaccine centre - The Guardian,The Guardian,https://news.google.com/rss/articles/CBMitwFBVV95cUxOZEVRcnZobUhjOW1nTzJKX1dzaGU1SGxfSnRPcjNqWk81R25XRjJDVnY3dTYyaHczd2ZrdzhzQzE2eXNfcHcySWcyU0dlMXYxbnF4TnlKZnMtYVZRa2g2OHRzdnR0TzI5WHNFNmphX215emJuVVdleXVkNWJBdDFpZTY2aFoyVzhJdklyMURkSUtHZlhlXzJQWEt1OEdnSF85dy1zdlVVcnZJdzBub2VtSzlBYTZJeGs?oc=5
