Ticker,Date,Title,Source,Link
CERA.NS,2021-01-12 08:00:00,Preliminary indoor evidences of microplastic effects on freshwater benthic macroinvertebrates - Nature,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5UZ2loYklzeDFJZHdReVJiaHdlS1pQZUJWVXpjejdZWko4TUxpUUZWTUZYWGFvbVFzNHgybGpqZUJHeG1QQzVtTGx5T0RmdTFteEx3cUpQVXc4cmFlRWFj?oc=5
CERA.NS,2020-12-31 08:00:00,Jack Cera reflects on 23 years in Ohio House of Representatives - WTOV,WTOV,https://news.google.com/rss/articles/CBMilwFBVV95cUxQeHg0ZEUwNi1CaTFneXpHcG9GWkRFcVhoYjBVLXlWWllSTUFYYVZiNWpCZjJuZEphWVEwUzVsLVp0MlBFRFhwVExYb2JmcUhmOHFYSDlxQ3FRMTB1QkZ0alliNVdLSGJvT2hkZDc0VUJXaWFFWFJIcXdwMS04dEhSQVhvZXZCSC1sekE0aVdnWnpkSkdRZ20w?oc=5
CERA.NS,2021-01-27 08:00:00,2020 SCC Vol. 9 Part 3 - SCC Online,SCC Online,https://news.google.com/rss/articles/CBMieEFVX3lxTE1jajJZRXNMT3l5czIzUjdUT2hlbi03czlRZ1Q0VHZCLW1fNFIyZjc2RjBlYzV2dVlVZWtQZHl5QS0zMTZzYlhJNVRjakF6UjF2Vno4OXJvd0lDWUxadU1CaXJ4anJTUmYxQ19XaFBHdmpJYzN4ajJadw?oc=5
CERA.NS,2021-01-22 08:00:00,"Weekly US coal train loadings average 69.7 trains/day, down 0.9 train/day on week: STB - S&P Global",S&P Global,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPdUF1UHg2REV6M3VUV0ZjZFBFY3FTQWJMNkZ3ZkhoT1hIZGRucGk1N2VtY2F6NjFoWkpxcU02b1BXckpKWUhicmhILTR0WTFPUHY5NXdEREcwUUJDQUZ5cnR2UHJYbkhLMl96bVJiNV9sejJGT3FDN18yNmdEcjQ2SGhXdjF1SzhXMmgzUGdYMjJBNUpDTm14Z0R6T3IxVWFDQmpqdGdmRXRSOHVOd2RwZ05YX21VcFFtc0ZJZk52cnphZDBrOW1UQVRTbWFaY0F3SVl1am1uUnBkVU12WTdkLWNHMlpnMTNL?oc=5
CERA.NS,2021-01-18 08:00:00,Submarine at 10: A Legacy of White Male Insecurity Leveraged as Comedic Device - Paste Magazine,Paste Magazine,https://news.google.com/rss/articles/CBMic0FVX3lxTFBEUTJQMUdRYWpMbWNndWtjd1BfX05BYWlOLTR6NjB2d2h6aUJSQi1oTXRLNldLNTNxcTdKdW5QaWdrSG51T1NqakVWREx3YkNrZzFqbDM4dVEtX3BzbGs5azJib2x3MFc5dUFuVG5wcEhlNTg?oc=5
CERA.NS,2021-01-26 08:00:00,"Michael Cera, Olivia Munn, Duchess Megan, Usher, more celebs who welcomed babies in 2021 - USA Today",USA Today,https://news.google.com/rss/articles/CBMixAFBVV95cUxOUzFySnc2UTJDcmhjdjhPVmFpNW9lU1pVcHNhSEs1VlBVNlpCNm5oVklvMndoTEJWOW00YlpONW8yUUdlWHlneWVnS3gzS2QwSE1fU1hCS1pQT3FjaFRYV2ZZUms0a3VjR01IQ2NwZXFNWVNoUTU5X2lfSG1VblNxVFN5V3BFNFY1VHVPMlVkNHU2dm9SSHZuXzlGcTJVNmFHTVEydGdHQy01b2Fob050WlRVUER5bnRwLWl3S0tFVHZLdXc1?oc=5
CERA.NS,2021-01-15 08:00:00,"'Horror story': Brazilian sculptor's peculiar waxworks go viral, can you guess who's who? - Times Now",Times Now,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNUUd0RThLV3hTNk5vbEZ6T0VGb2R6YVFuRE1lZFl2TmRmbkIwemFrV01UdDZlY2h3WmloX052UW9BUmlDYlF2b0ExU0syRmw0V0VWQk5qLU8ybUVkS2xaeFRBTDNlM0xQQXVfZHJtbmwyYnNFeDh5VktsODY1SVBwLXU5RDVVLVZVYWM2UmN4SlFoSlJ3M0xVOHhZUlNhTE9zMFl3VzdlQWt1UlQyUE90X0NCZm9TT0xmLWltMWVMZ01ZRjY1V2FLVnpqUW1ETzFq0gHWAUFVX3lxTFBYR1JGUWI2SHhrMjJRbmtYczhpOFZNUzlDRDY2Y0xRanc0ckNmd2lnLWlqcTdyZmdKNEhTdS04dXBPTHRxV3Jla3FSSk1yc1h2Nl93NU15YXdNN053emtxckNBb1Z0SU1HcWt1N2hsaWs2TFhGZjdnNmJoTVZPZ3lQWkVmWFAxc0Y2SEN0LVlLbVJXRFRVRzdleFpjcURKZEJYSE5FaGZSUGU3ZmlqdVNlWHhiaG04RmNVTml0Yk5xZHh2bWxuNmh0T25xOFVSb3NsRkhsSUE?oc=5
CERA.NS,2021-01-06 08:00:00,"28 Times Celebs Played Themselves, And Proved They Have A Great Sense Of Humour - BuzzFeed",BuzzFeed,https://news.google.com/rss/articles/CBMidkFVX3lxTFB1XzlBczFJb19lcUFIMUd0dGU5WTJ1VE04ZUdnV3lTaUNIUGQ4cnA5WXR5UVlaQ2NRdFJRWXJJNmdDY3NZaDM5UGk3VjVEUnMxYVR2VGZ5cS01bTVYcFhzQWZpeURsZHk3VnFHWG9HdUFhaUh0aVE?oc=5
CERA.NS,2021-01-12 08:00:00,Guelph house prices continue to rise as Guelph sees record December sales - Guelph News,Guelph News,https://news.google.com/rss/articles/CBMivAFBVV95cUxNaTJjU290d0YzaE1jbTJ5UGZ2Tkk4VEhrYnNLc0RlaDNCTHR6bGpmZWNHWDVwemNvWkdkMVlZT3lYRHZ6TTZCLXRUVmQzVFQ5bUdKWU1MMXhnYjN4SW1zWWg1ZURpaGRKRUtSWWZmZGFiTDRIRmFnT2doa2tEZmdhLUtOSEZNSTJaeFNoQnZGRmhsSVBNbUJDMmZPaXhDa2g1MFYxTmVudWk3RnRSaG9GX0p1dlBMRWlabGhBQg?oc=5
CERA.NS,2021-01-15 08:00:00,This Jonah Hill & Emma Stone Movie Just Topped Netflix’s Most-Watched Charts - PureWow,PureWow,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5vTHdvV3JKeUFJSXlMelZzbnc2Q0hhUVRQTWI1OWg0ZWRkb2pBVHZ5c1ZNX3p0TE5oUHJOUzJyeGpic28xdzlNUTFPMFBENHp2bzFXSVJBdndsbHZFWHljNjU0ZjM?oc=5
CERA.NS,2021-01-14 08:00:00,First offshore LNG articulated tug and barge in US ready for operation: Shell - S&P Global,S&P Global,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNTUNYY2s1anJyNEY3TFV5M2dYLXd0OWhjMmZtMU5qZW12dWdtMWlySm51YUNNaS13MG1UNm9PYW02cmJJVW1Sc3JfMTJDMi16dDJEM0dtdjlDWTdqNWJtQXZYU2dKNEtHRVhCTW5iY0REa0RkYThJX3hMajZWMVdKQWZ3MG9OLXB5RkwzSFl2RG56UUY1VllyRThiWXd4WWlxUGd1eVI0ajlaNDdZWEEyYUo0SHRQVWhCSHpyNkVPQlV2cjVRZFhLMGZyTlZnVW1ISzdpNnViczNOT2JOMzByTWlseFNFZWZZZS1VMQ?oc=5
CERA.NS,2021-01-01 08:00:00,Hawaii welcomes New Year’s babies for 2021 - KHON2,KHON2,https://news.google.com/rss/articles/CBMigAFBVV95cUxOd1NGaGstVUJxV3F0WHpMaFBHS1puNUFDWkh3aTFIMUJackdOOGd1c3NFOTl2SUIwa25oclozcnpuV216bk50WFJNZnZBV2RhNW1XdWRjemVxLTRtUWppUzZBeWJRRjVDelVFd21kR2VvVkw0a2ItTWxOSXBzNmF1btIBhgFBVV95cUxQU3hBVFNMNDhIMTFnQ0ZuUG5nOTNaRjQ1UVF5eVBGdGlSRFRFdHhyMWUyNTZEd0NPdmZzVmpVU0JBUVVlelNYbVpBbXV3YkZBeDJfWnQ1WG83enRHZE1uWjVBa3d0dnhreVlRZWJSd0w0aEZZNEQyV0YzRy1oLVhSTWlodk9qQQ?oc=5
CERA.NS,2020-12-31 08:00:00,Masters of Atlantis Is Essential Reading for the QAnon Age - Slate,Slate,https://news.google.com/rss/articles/CBMimgFBVV95cUxObVZDeUM2S2w0WkZrdWRTVVBiWm1JMEFRRGY5dDJGVjE2b3NDMHJRQWpKTThRN3R6UENSaGQ0YnVwMG1SdmZGTE9MTGF6dWJ1dk5CbWNGM1ZxUXlsR2ZwblBodEpmZFZOakNiclk1c2xmUjdHdUk5VXRXaVZ6aXhaTEphU0NMV2RmWWJxalRPcE1fdHdWWUhZdWN3?oc=5
CERA.NS,2021-01-07 08:00:00,Vernon manufacturer filling 'tiny home' needs across North America amid pandemic | iNhome - iNFOnews.ca,iNFOnews.ca,https://news.google.com/rss/articles/CBMisgFBVV95cUxNZFlUb3huRHJvdi1Va21lWFlCMlNUQlo2aGpIQ1VBb0ZINU5UVFM2c25qOE41QXRERi1UTjdKdGkzeXREZ3JuUjZtV1U1QUxlS2RlOVNGSU14cEVyMEJySkxVZ01oMHBwRzZQRG5IbElIeXdHMHdfSEhWQWo4cW13NGVEeE83dC1PTzYtbFRQcC1pSDJpZnlRLUxmZnQxcHQyczBNZVIwc3dib3B5cG14U3F3?oc=5
CERA.NS,2021-01-23 08:00:00,"UWM women 85, IUPUI 83 (2 OT): Panthers go the extra mile to win their 12th in a row - Milwaukee Journal Sentinel",Milwaukee Journal Sentinel,https://news.google.com/rss/articles/CBMivwFBVV95cUxOVmdLeDB2QVl2bDl6SWlIV0ZXTDBkYzlLWUthQzkxVEZJUHliTlhaWlktcVhtdjNnSjF3cVBMSzUydVhWMTZVVkZncXVReUZtRmVqSnNvZDRDazJkRktVRTN3VkRuWks5TFA1MFJYZGhFLWw1eXdNQVB2OEd2S0E3MnhlNkgxZ0QyWlVCanpUWnZFQ2ZzRUxVOTBidFNjelhZOG51T1haMG9WSUtaRUx2cXFEeVJXS3ZXVWhpUDJGUQ?oc=5
CERA.NS,2021-01-19 08:00:00,Who Is Gossip Girl Star Tavi Gevinson? - Nicki Swift,Nicki Swift,https://news.google.com/rss/articles/CBMifEFVX3lxTE11SHYxejNvNDR3M011Z01mZlp4OTlybUdfdHUwaXVneDEyLVNyUEhDODhiZG9mUlNUYkg3Wl8xTl9RajkxV0JRblFZbG1kWUQ5UjAxcms4bUJuRFlOOWZaQmQ5MmJVYUlBTUNHVHhsak5yRWpPMGZtZ0pVOWE?oc=5
