Ticker,Date,Title,Source,Link
CGCL.NS,2021-01-19 08:00:00,"Commercial Operations Commence at Methanol / Dimethyl Ether Plant in Trinidad and Tobago - Mitsubishi Heavy Industries, Ltd.","Mitsubishi Heavy Industries, Ltd.",https://news.google.com/rss/articles/CBMiTEFVX3lxTE9sNVNVdUMxTzZEeDd4MUJnYUIwZGY2cGNIaUc5enJVRWlsWTBkamxkckVyYjZVWDBYcW0zcnpoanZWTkQ3Z0JPSEJwVXg?oc=5
CGCL.NS,2021-01-19 08:00:00,Mitsubishi-led consortium starts up $1-billion methanol-DME plant in Trinidad and Tobago - chemengonline.com,chemengonline.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxOS05PZ0d3Q1BzQ1hKN3cwRGFnZGllWlFvM3d0X0MtekFVM3pWeGljU09pWnJHNjRwYUhuTnpSZDJPQk40ZkdSYjZoZVBSU2M2OHdHY0FfNmwxWVBpNTg2Y1NVcjRsWHowMTRVcDRYV2VsRmtlUVNPU04zVkEteG02OEhyb0QzWWxLSmhwR3ZMSENEaGxCWVpmMmJCQVEyTTZRcGoyQ3J2bXdHdzRyUlVtMUJYU0dqTEpXVWFQdF9sbTM0dTQzUWxrX2t3?oc=5
CGCL.NS,2021-01-13 08:00:00,CGCL's di-methyl ether plant starts commerical operations - Trinidad and Tobago Newsday,Trinidad and Tobago Newsday,https://news.google.com/rss/articles/CBMilAFBVV95cUxPNW9Bd0paNGdvNUJCVFU5WlhmMGNFd0lMWWxTd2NsR3hzQThycmhPWGljbkQ0UURmQ0JZMVdQaFhkTERqRFZQeHBaZHRjb3J2dFVZNXlZQ1d4bVZHYXYzU1FQRGJEQ2xyN19xVkFCeDdWTkxRMHNhcXF5NWVGWEE4LTU1RnBoZmp3TjlkNkdob2g4anNQ?oc=5
CGCL.NS,2021-02-02 08:00:00,"Budget reaction from Mr. Rajesh Sharma, Managing Director, Capri Global Capital Ltd. - APN News",APN News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNUS1xUEt4c0VKYjNaVk1IcU5uSWRNclZlUGRhN09XZ3RYMG1HaGVMVzJLQVF4SnVOT3ZqNHVRWnc4N0RZUGJxV1BTTUI0XzdadVZxQUJ0bWRHZXdDSlMtVU1iR3dVU3d3WklMVm9yZ2dtdGdvNkNhZF81bkszdDB6NUR6LW9NLURFT2FuR1hoV2QtaXlfc05CNmdWQUpYZVZUbHRQeDRZT28?oc=5
CGCL.NS,2021-03-25 07:00:00,"Moneyboxx Finance raises Rs 25 cr from NBFCs, small finance banks - financialexpress.com",financialexpress.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxQZTh1b1hITTNnM2ZRanVIYURESk5qV1BaOXVDUzF6b1E0OWFEckV5VUxYb3NPLTZZemtOb0tCR0dqbm1kZ1ItbU1Jb1VrR0ZaYlNZSGtaWGRraXR2U1owMGFKU0FIdEoteWtQSkdGM1JxNndidWFwdkxMeW80WEh1NmI4SlBXQmEwTHZNa3puZGlkYVFfU09rZVNIR3dsX2pqN2oxUHBOQkpHNEtKUEZ4eVR30gG4AUFVX3lxTFAtTFF6TENQYzgxN1lSTnV1OGp6OEVLZGw2ZjBxMW9VSHc1cWtsZjZmTVNHUWVCMU01Q0JSeVlqQ1Nxb1l2cUpOSWItMEJPNHBSMjJSODJEVHk2X3o0dmdoWFBnXzQyQU9DVlBkb2xrNWVscXRidmZtRXlTN3l0azdiWUdhaW1mdnZpV2dPd2tzQVBkUWxvNEoxbXJtY0lJUTJQUjAzM0lPZEhXaWs3QlNIazZqZ3ptbFY?oc=5
CGCL.NS,2021-04-14 07:00:00,Capri Global Capital to disburse Rs 400 crore under affordable housing loan category - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNYkd5dGwzZmg0NXllQkZudG4wQUNMUWJKNkhHR2FzdXNpOW15Ykk3VXE2UVdyY3dnQTBYdG42UnMtZFE0OVRpOGM1Mjd2aTNUOGJ0bnJjOGsxMmxhQVktSDB0RmU0WlhKU2FuX0YwWHBTeFNHV2hING9oOE1TYlBvOUMzWElVTVV0VFdxdFdSU21GMzBMLTIyd1FQaVRjbmFramRUNXBlNDRCWUZXSmVlVU10YWRMa3RSRk1SX2tXaTBVaVBBSzV0ODA0c2pSQVVfVy1OQ3ItQXM5YUpkdE1yR2R4TFBPRngzc0REMTVFQUJMZk5qMWpidnFtdGxoOUtWWmd6RG9pQUnSAY4CQVVfeXFMTjFBV2tNSllPV2E0aktwV19nbjRZY0dtWlJrLWE5Wjhscl9YUG9CUG1lU0FwaER6ckNhSHd6SXFROTkyc2RXdlR5ekF5U0IyYXhLdS1oakxjclJJZE80X1djMUdINGlfMGhubklxekZFUHJZNUhsVXNhdnpUWnQ2YWxYQWp5N3ZqZ3lyS0JpYkpyYXVvYXJSRGlPM1BGMzVvcnZ4NzBWNzUzaWc3bW1zY2FXbzhUQUpHUTdhLWxKSkhvTjhrXzk0OXFSbzV6Qk1VWWV6bEdyT2NPeU9oS1ZIdlRJRWpaLTRWQTZ3UXViSXphbVR0OTRvdTRIeFpGWi1VUjc4ZHBzT09VTC1nVE93?oc=5
CGCL.NS,2021-05-10 11:27:54,NSE/BSE Listed Companies Starting From C - Equitypandit,Equitypandit,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBRT0sxS1FlWXIxXzdSajhxR3BpUmZWX3pXdmtBYnN3LVlJVnNUbC1yb09UN0JydmE5SGxLYjJDSUhiTWN0c2o3TnZOWHVaX0NCa0E?oc=5
CGCL.NS,2021-06-16 07:00:00,Top bidder for Reliance Home Fin wife of once banned investor Sanjay Dangi - Business Today,Business Today,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNb2UxLThaU0x6SDloamM4Vi1NZzRnb05qZm03dHprc1lTZExySnhVM0ZYSEVIbUsyVkNOTy03dENZVEs3ekl0WEROTzJCZTJYaUNoSzVxeGV0Sjg0VkNCMlFfSzNHLWw0dkxqamdQbW5SNnZNYjNBWjB2Qm94cm5PTTZmcWpLamhEQnBpSGZmRkI3d3dtVk5KNGhmX2t6M0VwdHY3M2lQUmgxTVZ1aUN6VVc0MTNRemp6SXZnVDVqTUxUSXRqNk1qZ0tHaHA5ZWloVVJZZ0dzR2xoR3RwVnhMc9IB5gFBVV95cUxPQkhyQ0ZFdGhrdlpYd2ZSMHJJYVRVdGtQTkVOdVFaRmxqai1VNGtZRWRYcVJ2cVF5QWNHYURxQkV6bmd2YTB1aWVtQVJQMm9fVHdJSGhEUVNXeE16bmJxbjk1YWtsWlR1RzlCMFpCa0FMOUtpWDltOGJ1YWZDR0dKc2cycXRWTnl5UThpTGJFX1licVlmUlI5U0FNRHJfTFB4RGJ2QkJzQTFCeVdBVkYyZGIwcndBZWp6ZlQyeDhCRHVTRGtjT1VPbDBHc1Awa1JDUEtxeTRBX3RqVVNNV0RiaWlSSWpWQQ?oc=5
CGCL.NS,2021-07-08 07:00:00,Young blames UNC for NGC’s $2.1b loss - Trinidad Express Newspapers,Trinidad Express Newspapers,https://news.google.com/rss/articles/CBMiyAFBVV95cUxObUF4T2oycm5HME42N1dvM0swYVZwNWhFSURsSEdDSk96Tk1Sekg5d2FPYmFqZjM5Q0xtM3pZbVhWVDlPZVA0MGJNZHJJdVAzOEZZelEwbFAzbU1GTFBqTUVPay1zME51ZC1RNWE2eGUtWUc0MjdBVTNQXzJpRlJlRFFSVnR2NklkUHo3VHJmbDdOX3dKc0NTZHJxX2Y1d09pMEFxTjZUTEhOcE5QQUFZWUtFUkszTTR5b1VWcmoxX0lxTi04OVJXQdIBzgFBVV95cUxNeldTdVNwYTNhdFFkTDBvTk5ob2VzUkpjQzctOWt2MnF3eGJILUxMWk5xcUhiYVBkWVFLcGdmd1FZSzZHMlB1SHBoTUNsSkQwT3RDbmg0Y25pM1hWd0lIUnBEU0JuNHRCZlVLSEt5OFNwRUxOT1FMY2V1U0ktSGRHckVEU3pUcVpVdHhFR0o4eDI4UnFTTGpFcUFTQzg1SXpDQlNIcWF4c2NUYUtQVTZmTG92Yi03TGFXdDEtMURDRm9DREE5N3VTYjFwcFlyQQ?oc=5
CGCL.NS,2021-08-11 13:09:04,CGCL gets new CEO - Trinidad Guardian,Trinidad Guardian,https://news.google.com/rss/articles/CBMigAFBVV95cUxOdmRiNHl2aVI2UGhEbHFhRlhjT3kteFBSY09rSUM5MXAwd3dZM1lTV1Z3aWZYZWE3Rmo2U09acmtRcUtGQ1dxeTc0V04yWkpnVmhCcldGeE9WRFRnOVhBZkh2cmIzVWg1OC1LXzNra243WFZPNDdzZDUtdk5zRmhlZw?oc=5
