Ticker,Date,Title,Source,Link
CHALET.NS,2020-12-31 08:00:00,"Remembering China Chalet, Downtown’s Polarizing Party Epicenter - gq.com",gq.com,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1zVExXRGFsdXMxeHZ1Ql8tclBodkVHY2pJQlR3SGF5UHc0M2x3RWRjRk9jWTlRUWV4eDVKOEdmRnEyazV3M2EyRmp6THViSnI0MlRaaXZZQjVQLUg3VER4dl9INXljbmxv?oc=5
CHALET.NS,2021-01-07 08:00:00,This Resort In Shimla With Heated Pool & Revolving Restaurant Offers Majestic Views Of The Himalayas - curlytales.com,curlytales.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNOGtGdE1jQXExZWZhaHd6LXVlSnY1c0FraFBpMExGNTJqR3JhWFpkYUlNVWJSQ2pUYktIZ1JLa2QtSmdDbVZJbUdUZEVFMzRuZzR4Y3VLSHVOU3BOYmpMWjZ0dENaNnZveVFqb1BKT0N4SUZ1TTRJVXhvMHpyc3RQWXFLVzVaWUNf0gGOAUFVX3lxTE91aFVXZ3NoN3lmekxrX2d5RUhxeUVSQkg0YjZqdnpqNnZCYjFNOFZtdTZZd0cwUmxnYW5JQTFxOEU2ZkRjWFJVUlRmRXJDLVA4aXF2SUQ5Tm9aZUZMU3lBRzBMSEhCODdHYXpfQzBreFdmYmlpVVBOT0FLQTIwQmRkOUY0Q3ZKbHZ3bmF6MEE?oc=5
CHALET.NS,2020-12-31 08:00:00,The Time I Tried to Make a Meat House - The Cut,The Cut,https://news.google.com/rss/articles/CBMiigFBVV95cUxNZjBhNHR4TXE3dGZaOW1tS3Ayakx5djRLWWE3VldWRjJJVEhhelJKOHpTbkhDY0M2dDlieTg5LWxtT2Ytc1dkUGpHa0ZqS3BSTDZ4VXo0dzhldEVSZzlBUW1jSm1qUHFqemNHWFhveG9Ucm9tSUxYTHFTNDZVWC1nUVRndV9maWNuWUE?oc=5
CHALET.NS,2021-01-08 08:00:00,Farrow & Ball have transformed one of our favourite TV homes - Red magazine,Red magazine,https://news.google.com/rss/articles/CBMipAFBVV95cUxOdFZJZkp0VExQZGZwNmtaZTV4TzJoUzZ5UkhVWlVyaEI4VGhRN25WS0xtamFZRVZsbDV3UjZzNS14dFlyWV9QTXBTWjdPSFZOZUVJanJrQ3U5cENfVXJ6R2p1ek9XeDBsdUhlV1NXNU5ReEhXMFE2Ym1LbEZMQ1NqcU83d24za1RIZ2dtbnJBNURqNk5MRF9ZTG5GUk8yZkpkcHdPaA?oc=5
CHALET.NS,2021-01-21 08:00:00,See Inside Veuve Clicquot's Winter Champagne Chalet at Edgewood Tahoe Resort - BizBash,BizBash,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPRHU3NktrNjJKYm1la2QzV0ZqdzdwTTAtTFlHaU9hbjE1RjlrVzVzYlpZTWtLSUFNS2tQVi1KbXhOWENQLXk5d3lDSFlVRUp5OFZHaElKeEVNam53QlNadUs4MkpBZlBKZXlkTzBkdXlHRkU3bEtXc0U4d2JhU0Nzc2dVNC16VnVjMkItT0VveTE2YmFFbFJ3SEhOdHI1aWFveUtxbDkwQk5kbTg?oc=5
CHALET.NS,2021-01-04 08:00:00,Nóra Quoirin death: The schoolgirl who vanished into a Malaysian jungle - BBC,BBC,https://news.google.com/rss/articles/CBMiYEFVX3lxTE52RkhyNnA1dWJGRFY4ZmpfdzVaYnBzSDRFSnk3SFM2X2VmTUtpLUFYem9ZM1FYUHZlU25oUU9wd3ctMEF0Njk1eTh0dFBnU3lReFZOSzhFMDloNmNWZE9mWdIBZkFVX3lxTE81cFpPc0xwSThCWm5KTDM1TUdack05dXF2N2ZNWE9rNVk4SVlBTGhwbmV6V2VaS3pJYldlWkc4NDJ3aXJwV01HMVk3UTZWd2I2cWlQNGNnWTVzemc3VE5Lc0J3eGRXZw?oc=5
CHALET.NS,2021-01-23 08:00:00,This Swiss Mountaintop Villa Is Filled With Beautiful Stone That Mirrors Its Natural Surroundings - Robb Report,Robb Report,https://news.google.com/rss/articles/CBMisgFBVV95cUxNTXVvdnh0bDRwdGJ2aDZlamZUc0NfQzc3b0VOaW1EdHVYRWZteFhZTWloM2xRWDQ2dENmZ1VsTmhYa1hGbm9NZGQxX3BkWnZuZXhGWkNySjhWOFdlLU1RNkhuTWZqUzVWZlliRlpHekY1YWpMYURyVm1YeGhvTHhZcWJvek9rTWhMblB4dUNzSVlhWjZVUzRzSm9PeTVPbE82bWp0RG1nNVE0dVhDcHVDdEl3?oc=5
CHALET.NS,2020-12-29 08:00:00,"Tyrell Hampton Reminisces Over The Major Moments At NYC’s Iconic Nightlife Venue, China Chalet - V Magazine",V Magazine,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPdm5Ed1BEOURpN083bVNqanVja2tjc2plY29XU1dpa0xPTGhxMXVmRGFGR1FfdHRCNGxFUUt6NElRZURXamJOTjRlWjFxZWstT3VLMHRzNm9JSGFKU2xpR3U5UWRobDRjMnlnRFI1c0xKdC15OG45Skg0NXo3SnNUMVhQX3otTFplc0wtMmZlajR1TXZZRnhmaGtfaFNPWGtYaHV2X0dvTHN0c3hPbkFuOFcteWF0R1E0blNlNjVRWHc?oc=5
CHALET.NS,2021-01-26 08:00:00,An architect's 17th-century Swiss chalet - House & Garden,House & Garden,https://news.google.com/rss/articles/CBMif0FVX3lxTE0tclVvNFdzdVE0bGMwekRvRDVHSkFNZVdnU3FBc1ZQTEQ3UGoyeXF4ck5UaWJHdGZWWTdTVFBkTHhWSzc2LWFqUTgyUEM5dUxmTm4wOXJkTWJUeEhGSHMyTklQNzJPdkRjTGNiZzloaUp0ck9ucmtOZWRuQTJhSFk?oc=5
CHALET.NS,2021-01-11 08:00:00,Tyrell Hampton’s ultimate muse is New York nightlife - i-d.co,i-d.co,https://news.google.com/rss/articles/CBMibEFVX3lxTE5DanVId0I2bVNzZjlRUjAzNGl3dG1sMU53Q2tjSVdJX1Y2cWItWmN5RE5vVF95UFQ0S1h4RWlCbXdGbnIwUWJBeVNsc1dwdE1tRE4wNk1DZVNwVDJ3d2JPNnVEb2JPd2hHUGt4RQ?oc=5
CHALET.NS,2021-01-19 08:00:00,"Winter Thrillers: Snowstorms, Mountain Chalets, and Murder - crimereads.com",crimereads.com,https://news.google.com/rss/articles/CBMihgFBVV95cUxOZUdjUGpjOE1BRWJOenlzTDBYZjZZdWZWNXVmdXRoSlBPcTJoN01fT2VwUGFwbnhHcDNTWkpzelJ0QXJaVFVyM2JsNUotcDJlS01TWEdDamdCZ09BbmtOSEVSMkZqdXNkQVVQcWp2Q1REZ0IzSHRaQzdRZmxBM1Q2dVdCd1gtUQ?oc=5
CHALET.NS,2021-01-21 08:00:00,Avalanche Destroys Ski Chalet in Siglufjörður - Iceland Monitor,Iceland Monitor,https://news.google.com/rss/articles/CBMingFBVV95cUxPVHQ0eGdMQWZ5RGl4RkE4TXVaQkVreEtEczh2aGlSa25jUnJYWExZVXltRVdDN3YtR3FkM1hYbml2MV95VmJxcEEyTkxzNmNpVnAzdllSb1g3X1RCOFlCZ3NzZFRNUjNiWmdPVEpQVUdEUTJvZXU5bVJSTjlZclc5N000QjdmZlNUcmdseDFwN2lveGFMeDdJZnQxUmd1dw?oc=5
CHALET.NS,2021-01-07 08:00:00,WORTH THE DRIVE: Go tobogganing down the tallest and fastest ice chutes in Ohio - Dayton Daily News,Dayton Daily News,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQeTNDRTR4V1BSMUJrVFBhQTdNQ1VtY09RXzYzd04yX1ZiUmRQQ3BFcXNfVERYdVB5dW9kd3RTMmY4UHVGXzdQMG83bW1YcW5DTVAxUnZrODFQcnBYb3F1VjZUcHFlOFlmZWZ1NzNmR0hoOVRsZXl5dkZtenJDblA5VEJMWGpFWW1jaEZKblg2elgxUXlkcGRtQUtha2Q3bEhlQ2RhTzNnMUk5SkNrY1JBMFNDSHU1Sy1KSTFJR2lScHpHMkg1YW5qZ3VZSlJ3bnJEQ1hFeU1ubzA5UEl2ckxvZV9Jaw?oc=5
CHALET.NS,2021-01-21 08:00:00,Turner’s new chalet open to all - Augusta-Margaret River Times,Augusta-Margaret River Times,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPdVRvbFZaQ1RfYjhZY2ZkUTFGTFUxNjJTMWVHWi1KUnVBQUlRVjlycENwTkxtXy1JTWduUmMzRUZsOHdqeWdzdkJoVXotb3h2MVFUNTZwVUVHbzdjWHJzdjNPZjNzODBzNzJvTVFxbkFtRGREZGtzQ0ZzTlZGTlFMUW9oemdTWXhLdllEWnd3WUlpR2RmbUlLbkNMRHAycW5LNEUyLVNvTjZtN2vSAbABQVVfeXFMT0w0RXBwanRKTmlTWUVtWmdXbC1qTXFiSzJCcGoxZVZ6YXJocXpnVUNCUDk2bXd0aUlBVExnSXNld083dnYtcDNyRjRWdWhxb3l5U0lPMDNlTVNiQVBMbW5yaEp3Wm95X0xCQVVnVXljd0FmcW8wcEpuQ0NrYklCQWgyMWZadGZlY2swc1N3aWRCa1pXMnpOOTRjUkhiWThQVWVpUllmWi1zdWZOWERZc18?oc=5
CHALET.NS,2021-01-01 08:00:00,Take a tour of Ann Arbor’s Swiss chalet that’s for sale - MLive.com,MLive.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxPYmFlbHg0X2hPRTZ2SHZmOW9JcUdkZTZQd0tNZVNnZ01GYjN5YjJhb1hMbjhCbFdkOVlFcHVEWXRiQlVtcTYwVHRTNU5yVUFyVmxRS1BITW9ZYlpCYzFnY2toaFUwQ1NXNFc5MnBnTWE3UlI4YkZDWEJJNlF5QWZWdjhJU0plWXBFUDBfZHFjRXN6c2NmcGFLTjVBZ0R0Zm1E0gG0AUFVX3lxTE9nQlpsNlV4S0Fkd28xYVY0UTNyYmI4V0Q5ek84djB5T3dpRGRYSDRjWW9FRnpRZmx5MnNDNVBIeXRnOFZJeTlrRnlWNHhyRkpuMVppSS16TnE1TC1USGZkTjRtTERXTjVLRzBmalBqZE1xU3U0SFZRc2dDbUFrLWJsX1ZFQ3Z0dVRVTnVPVi1USjlZd1gteGt2X25TWktVOVhlQ2hvQVFyaWJpQXlRaW1OTEJ4dA?oc=5
CHALET.NS,2021-01-02 08:00:00,Boxing Clever: A drug lord in a pimped up chalet in a local campsite — amazingly good - Irish Examiner,Irish Examiner,https://news.google.com/rss/articles/CBMifkFVX3lxTFBIZElSY0pYSkNfa0g4Tm5Ua2YxMFA0aVhXTTlKM2w0a1hrLW9za0NyR1U2czA1M3FsQVNEbFRDYmRyTVNtc0c2WUpBcnhZeDJtUkN0TG1RQWJ6REU1SGRjZS1sdjRtdGFUTTBnM2x1RDZhZU55ME5yMzRabmxVZw?oc=5
