Ticker,Date,Title,Source,Link
CHENNPETRO.NS,2021-01-29 08:00:00,"IOC board clears Rs 31,500-crore Nagapattinam refinery project; expects fuel demand to be normal soon - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPWXlvMXdKX3cwUDl0S005RmlvSmFmaEJZRlpRNWdGbENCUVhIU3lQMFdxSWZrQjBGc21xenJzWmxyNDl6UnpibmFzaE8zQVFJR0FmbUN6SWJzbU1qNzA0Z1N6TllxeHlxR3hBNXk4RllhUHhwTDctU0NSeG1JZWROamhQVGF5N1lqT242b0o0YVdqQ2FyMEpfVGxON1NqQW9VQVpEeGI2d214Ym1COUNGalBmTi1pYkRWc3I3VHFFWkptZnZmTXdhbENOT3hDSDRNOVUzV1pkRlNnZ0x2SlU1OWJ1dnBCWElGZnA4NzZBNk9nSDVSTDRXaNIB_gFBVV95cUxNR29DbnFhTWFSX3FESFF2SXlpalVjaVZzTzlBVmk5OTQyT3FtVDNsS2RvOVQ1M3pVeHBhZGtmb05yVGEybEoyUzVkc0NwMHJIZlhwVS1OLXUyc25TdXNTWEdnXzI5WURYU0pTaVFHWENnR2dTQTJqZWNwZGFkMUs1R0J2UUlIUEpIMHk4VDhteExjdS1aWWdsbnhpTnE0Tlh2dThwS2hGazdFaWt6VHQ5NFNCOWlxNG9aT1Q5QU9DT0kwSFZQOWwyZ2xFMEVUVG43eXk2SDgtY2hGeUxMUXJrWXNONzFZc01QcmFyWFFGR3I0aWY0dlB1TklqYmtBUQ?oc=5
CHENNPETRO.NS,2021-02-16 08:00:00,PM Modi to lay foundation for CPCL’s Nagapattinam refinery on Wednesday - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNcDNCVGtNSU12X0hMYl9JQ3AtMFVCWDZGRlVSNjRxWmJkcTdFSDktZkhZQTZPc19zeDNfaDliSWRvNDltemRmTEhaY012aVJfSzlISE9SWFNZdmw4cnhoSzVVeWdoTlpCNGswTVFCNnlZa2NlY3Y1WE5WWlFlN3BQUV8xNTV0R1QybDY4WXNaNkttMFIyRi1uYjRFRi1SSXFIaDZUTXJzZ3hFRlZ6NmRIM1FRQ0xEZmI4MHNPeXZSRXVvbmxOa1h5Z2J5Qm9uTkJiMlEzX3cxUdIB3gFBVV95cUxNRVNPRnkxRlFVb2U3Z21VY1U2VldUZksxUHhlclpnMVViOFgzTnd6S2VoT1JwRXVrN3VWRXFtcmxtWlZKaEhYN0FnM3VMZ19Fbnp5bXdqV2dTS0Foc0s2akdlUXdKaGVDVFpSYXI2d2xPdUoxZ0JMSWhkelgxbHJmLXF4Rk9CYzEzNkhYVzBiYm1QY3BpWGRCa2cwZ3VfQVllRi1sSkFWcExPTnFvMy1ORk1ua05WdVZ5b1FVVGc4TUxmcm5hOFFVTzFwUGxvSDJGRDBuUU1GeDViYUQtaUE?oc=5
CHENNPETRO.NS,2021-02-06 08:00:00,"As govt preps for disinvestment, here’s strategic sector PSU list - PSU Watch",PSU Watch,https://news.google.com/rss/articles/CBMimAFBVV95cUxOMmU4TUlUYUhnOXFwQlZvTWIzMkltMTFDaUJPNlFMell4ZnJVY291QnE4Y2hPdlRTd1hxcGFHdWZmTmRhMlg5am1PY3JTNFNMV1dWX2ZKWDlyNlFxM0dLQXhjZmRaTEVWR3RWMGJxaTNqQ0RuMkVTSWh6VlFaS3ZQVmtmZFVJVmJ0RHBhdUxlZ19xZU5Fb0NDNtIBswFBVV95cUxQeno5TlRucmpjaWlwRzhsLTQ1aHE1ZER5NXNiNkU1LU05dy1wUUVtVEdkdjdQeE54VjBUdURRbWw3OUc0TWF2X1BKU3RKOW5IbGJEUDVpQUJKVmxOeEk2WXhuOWh4SnhDZ081ZkVhQ3FESVVTeDkzWlp5T190bHVmajdmQWp0OWdlN250OUlWQlNlaEN0VkV4dGl5c2lwVGd3Wl9fa2hmWVQ0NzZybTVaYW1rYw?oc=5
CHENNPETRO.NS,2021-02-16 08:00:00,Business Today honours business leaders of Tamil Nadu - Business Today,Business Today,https://news.google.com/rss/articles/CBMiygFBVV95cUxPanVJZXlLd3Y1ZUFibFNVSDJ6eVFPa3pvWlNuT3ZpSl8tLXJrQ3pOOUQwTUVGRkVVcUItVkRiYWZ0TWhRQTZ0VVREa19vYU5DeUxSR2NUbzR5ZG1TWlNIeEhiOThETU5YaldaZnJ6MEE5OG5JbUZacXlkMVB0SmhqUFJfdE5uUjQxalhhdjlfQ2hidnZBMTF6N2JHMkVxMHJVc3pXaHlNS3JrajVRNjkzeVFBSnNFSFYxOUtwY1NfYjg5UGN5ZzMzNmpn0gHPAUFVX3lxTE9xZDJTZ3o5YmNFc1gyQTBBdlFKOTMxUTFtVnFDWTJ5eW1PUnZkMjI0d0MwVlMyUDBZbHB4YXl0QXdrbUE1Yi0tOEU5aUdiNlFyOUZqWDc5cEoxOXNHdFViRkF1ZXp5T2lLX0xwUnZPaFJiN1Q2clNJdS1mVmNOcV9qMGtmZ1NsVlFvTmpaYmdLVmVoc0Y5WjBobTF0YnJLUXBjb2Y2ZjVRQzBfNktJMEFBUVVQWXFEX2hYZ080YWxJUVJYcWljZF9HRW8td0EwZw?oc=5
CHENNPETRO.NS,2021-02-17 08:00:00,India committed to bring natural gas under GST: PM Narendra Modi - Times Now,Times Now,https://news.google.com/rss/articles/CBMizAFBVV95cUxNdUl3ODlFSFFqWXZXOG02OTVQeXNTYnJtQkRranpHNWdFeHF5SDB2a0ZsVGVnTjJqd3oxd0dWMVRWek5QRWNXbTU3c1A0Uk9hb1RmNzJhaGQzRS1wWjdPaWdYR3ktbnlMX3F3N0tEQUx2Y0I4bGdySjdldzZLci1yVHZxYkZjWWdURllJdWZ4MzZBcW51NUlaMmkyekE2bmFta2czMGZ2Z21UY3F2aERFLWZreDgyZnRJcHJLYnJ4LWdqLUpQNkpnY2VOeW_SAdIBQVVfeXFMT1N2NGFfbkxoQVBsMXpadS1EeEJYRm0yTGQ4WDgza05hV0RuNzctS3JTTE15SU9JM1FTSTdNbTU4M2ItX2xIQTIxQ3VYRmREZlFSd25jSmRvM0ZlcnIzSE1HU1plOWhSYlpBb2FJTmphaEo2aUtDTERXX0NlM184M2FvMEF2ckpjZ1BzQXlSNnpoV2pTamUtVWdKMkItUHZWTkFMQ19fX0poQXAtYWJtLVRqWk1USWd0UENqWXlGVllXWWx4U2hGS2g1OTdHR2FqaEN3?oc=5
CHENNPETRO.NS,2021-02-02 08:00:00,"BPCL, Air India stake sale by Sept; LIC IPO post Oct: DIPAM Secy - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivgFBVV95cUxPTTI5Tlg3M1FOcjVqeFMtRXdVb0lpV29iSWRmbFUyWTNvWklkdGd1dzBWV3BiMkN1M3dJMGlKREhwcThGNktOZXNxVDU2aXRKdUhYVlpRNC1YajZSVFE5cm0yTnh0U1pWT1drMDJHU21INUZDRk9QRkJpa19LeFhXVjVQT0VONm55SjVpeEt0OE5ZTi1yTFRTZDNReVZsc1lpRVpqMXhtcmFKakYzTmZyVkh2anM4T0JIS3RFWVN30gHDAUFVX3lxTE4tVE5wTk43a201OXd4Vy1aajZXRy1jRnZ6Ym5iVndUa2RBX1ZEYzY2UGxVSVVwX0ZRb25IakMxS2NEUDRhdWl2WkNRbGMtZ2IzakZzRUxoMS1GNmN4V19veDBia3BOQ1lycXJtY3gtTHpEc3lod0llMlhuZkthWVRGdUw4cHVZUEQ3dDc3cEUySzlXSlNPcGpka2tONmx1UW13Q1o1b05HRlNRVTE1YkNuVXctZ2pGYTlsa2FuaFp2bXQtWQ?oc=5
CHENNPETRO.NS,2021-02-23 08:00:00,"Nifty 50 next rejig: List of stocks to be included, excluded from 31 March - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxObEdQMmFtMlJEMVJsNm1yakU5ZF9XeHFnRXd5X2dUZ0QydDNPc0tPLVVwMFZWOXVzdmw1VlY5b25qVWl6QUppVFJoYTNuUUJ0bW9sWGxUMGlFY05VQ2pHeTkwQjc1WEFrcHpUQTBkcnVFZ1hLNWF1WktjTU1iRzJ4T2VnRmN5WF96VXN0cmFWLTBOOGdoZ01aYjNDZTU1U0xqWG1fc085WUZCUVRwa040d0NhVHZtR0NuTnA5QTRlN3EzMTNZdEJDRlktd3M4aV9Yd1piejctX1FQZ9IB3wFBVV95cUxNOFM0Z0g2T09GVW1BcmtYVk4tdGMzaFVfYWwwWU1JOFpJSnBnbE5vMWYxTU5PbU8tLWM4SFRxVnBNa3hXZDE0eTNoMUpfQUMzVk1Xb3Q1Q3RzZ1ItOS1ZYVZBSlJPOHdDbDhpTzd0QmRzN0JtdG5Oa3RYcVlER1Frd0tsNXBxOUVmSGpoTTlyNFRMZHczZVRqajVNU3RYeTdKd0tsWEdxeE90OUdSSU1WdWdZYi01aFRtMTlLWHpxT3VqTmdMMllTdnN1aHB5N2pReFdPNUZBSEJvUlZFSFhr?oc=5
CHENNPETRO.NS,2021-03-08 08:00:00,BPCL Trust to sell up to 4% of its shares - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQXzU2SXhCSjdXVURoWmN1aS1DdDNOQTZEQzZ2Yl9Pb3VwYlhlZ21oZjI2ckNGbzdYWndMX2RtNUlhMzlQVGJQNndUSTFJbU82bUNSeG91WGRuUlkyV1hWNVlReTBMQkhCWGJIYXlZNzdLTVpweTQ0SFd5NTlVYTdDRGJoTS04V0FVcWpFNGxLUHpLMm9ZN1pEYTVKMWpqTmhaWkNleE5KWlBURDROUzMtYV83N3J2MDh6T1Q4dGM2TjJSQdIBxwFBVV95cUxPM1hJd3ctRlF0Y044Q1lNenNaN3pXUzY4RFowTkVpaDVjTlFIMWc0ZndYY25xWGo0c0Z0LTd6blFLSnJlZ1JEVVhtdGlJX1FZY2NOOU55VzZYMDVlUU5lLU5WdTJkV0I3QkRuNzNCSlBvWlVrMGJXRTZKSHlOZGtJVGRuQ3ZxMHJTdVVER05hLVFiLTZGdzEzZW55S0lQWVVUSFo3OXRyd1pkRF9jeFpaeEJ2VDUxaDBYdWFDNVRoVW5NbXBjMTI0?oc=5
CHENNPETRO.NS,2021-03-02 08:00:00,"BPCL to pay shareholders from Rs 9,876 crore Numaligarh Refinery stake sale - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOV3VOVlRlMDZwc1BJc2pRRDFLbnVmTldSVUQ1RmdMUm05QjliNEFlRXY3ajFwcGhQN05WYmhsU0FVTTA2Nm4yUm1NX2pIVlhFTkxCTXlseGJBU3Q2M3daM1BvVGRLRTdfRWRNTnZta0EyOXZYX1IxN2wzMkx4MnVoYXJnd1VSYURNZ2xod1hva0kybVkzQzdKUjNwa0pIdjI5Wnd2SXRraWhFcnpDZm1BQjNQU1pyU2ZsVHZLMXEzZmlXTEdHRW1ZUXNuZ2NEamJ1Nml0U1ZGenRIdnZYMERaUjlVcHFHUdIB6wFBVV95cUxNN1lDd2ZiSFhxVUVxbmREaExNbFJYcWF6QlRHUmg4SDJyZllvWm9TWF9UWl84NkdDR3JLb3NLZUN3eWFIODdHVzE1OVBQT29ZV0RRTzNId0hyQXNLYlhoZmltV2lYNWEzemdtbmNMbk9sS0Fxb1dNRWVaQ3FFSzFXV3p6aTZPUnQxUDNSWTRkSXlBNkJMR0VhT0F4cjRVdzc0SGEyNlJBbGRFOGlPZkthZklNSlhZN3VYVGZLNlBTa2l2TmFjbWtCcGNialdva2RHWlNfMExpdmZFNUFDSUg1TFNWN0tiREhQRzRR?oc=5
CHENNPETRO.NS,2021-03-19 07:00:00,Haldia Petro scheme for takeover of Nagarjuna Oil gets Chennai NCLT nod - Times of India,Times of India,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOTHl4NTBvcEY0ZVg1UVZiN2k2QWZtbEh0d2xaWFZ1ZkktQWJoQWdtRU5DRmRfTG1qTFppdGxXNTFnckZIYnQxc1ZCbDRkZlEtRWhxQ1FPS1VXOFVaa29fRTc5eld6S0FFdVlBenlqeGxhcmRLOVlZSFlWSTlwNk5Sam5yT2RUOUtSa1RLTnNYN0pYdTVFdF9wQWRWSlFsVXYxaElOVW1pQzRQLVpXRGJPTTJxLUVjWUxEQl9ZRmxfMXkzQlA2M0FRSFlMbmJMQ1NoYUgyMFFzOFNIY2dQcnNSX2N6NVdGcWFXWmRCVdIB8gFBVV95cUxPODBSOFRBdzloMEdZSWVyLVU0QkNmNkt3YTBTSmdNOFVLUlgtOFpPcm1zWFNBNjFJcXQwVThVRDFkTDFoNUZmVGR4Wl9WZVowV3R4WG1QbGlZUkhLZzlFYTF6b0V1clhyX2lOaDZITnA2NFByenNJWGxUYkI3czNDUG1tX2NNZkk5WnU5VHZfMFVxTURYMTY0X0JTdG5SUWtzTVZ3cmxiREI4VlhfamFuejRCRG1pRFZ6cW9GdGswTXc4cHFxT3lWUDF4cDNVdG5fZ21kNUk5dkNZS1BCR0ZPQ3VmY1Y4QkxhWGhyTHJ2V1d1dw?oc=5
