Ticker,Date,Title,Source,Link
COALINDIA.NS,2021-01-07 08:00:00,Coal India to end this fiscal with highest-ever quantity of auctioned coal - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPNFg3WXZYT0RKcWZNeTQ0VTRZeURkcUpub1VFQk9JcGt0bXVGb2hVVXNqVFM0ekpSYm1ZNVM3ZnpwQlBZTFB0dFRHV1V3Yk9SYlFVcHB3Wk1NVzduQm16TUZLNWVBRjJhZHBXUE85bHVNVVlFd0E3MllKWVVBbGx3R0h6ZFNfNVlHVTM3c1ZDNUIxdTdLcW1oN1JMYklYWEtXTFlnbm9LUTdaYXZaOHVWeGtRZk0xNXhtVlM5UkJydTBYbXBtVXZoYU5tM2RUNzlkcjY3eXdKMFF3dkpmVTRz0gHkAUFVX3lxTE1hRFpYRFU2ekFrV05DQ09CXzFqcVJVLUpfWnluQUI2ZGk5M2w4QlE5OXdCZnNEemR1WEZ1SWs5RWVFSHNtUXBhb2NNekYzUDVkWVA2VTVnSHY5QjJ6eFN3dlpuWmg3SGl4cXM0QlhBQkdlSVNDQnZuSHN4NWlOYWl6NVZhT0J3MExiZFg2LXhXRnRhdGFVVXF4VVlkZ3ZuZDZvcjFWdEVTWXM4amY1NEpfa1dYSEZmRVBGTEpHVE5mRHFTampnc29TN2M5RmpJb2xFbld3amFMU192VGtOWHBjUTFQcw?oc=5
COALINDIA.NS,2021-01-21 08:00:00,"Govt assures Coal India of 'full support', stresses learning 'new things' - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQT2xRSm1odFR3R3oyTGxtU2Q5Y0xxVk9vWlZ4OExpTHhfVFhZeS1jR3FlYzBfX1JwRVpqdWUzakMxVnl6bFhzczYzUnhlNU5QS184LU9NUzRBWFdGYTJpRndqS1VQMUtxZFdodW04Mk9iMnEyRzhJWktrZGUtLXFrSEVKVjN5SG1zazRWc0dHTUEzZjJiUzBveU10WnVKcFRyUVNVVFBJbGpHbGRWOUVYLTgtRFNjb214UG9RbWFvUS1jWVd3VHQtVDU0X3ZGTkxHUzB2WGRITdIB3AFBVV95cUxNZWRpLUdubXpyZUMwWnk2TUZNZVA3VHBWVzY5N0NZVmN6X085V3hpMWhUODlFSG56NS1CZk9rdEYtV2NWVU4tLUc4RWlFT1E1SkJTZXJfOWxDdkh0bXFrV0ZuYmxBR0kwcEZEMW1jTnNyT3hsT3VGSmhvdVVRRU8wMEJTYVhSZk4yVTF0ajllUnROdnk4OGdhWEhIM3hCcjltQWRwbHpnN0IyZ0NVOFp1ZXpHVktiZDJ1WHUyZUcxd1kyNnZMQ0ltZExDLXlVR3pUYm5vNXNDVlFkcHNa?oc=5
COALINDIA.NS,2021-01-03 08:00:00,"Coal India capex utilisation over Rs 8,000cr till Dec, aiming - DT Next",DT Next,https://news.google.com/rss/articles/CBMimwFBVV95cUxNWVY5UmVjMm5FazJEU0daRTRUTW5mNWl5a0lla01WMlhTcVBFNGlkUk9ZbHdabzBBcXBXSEJSR3dPVjBHdHVIN0xmWElNWkVuenJUTHJTZ0xvS3p4RHJpN1lfSFZSRHpLQWRvb3ZSMXV3WW5QV3FqOW5haDdoclFTSnF1dVlxdElPSFlWNXV6aUQ2RmdzTVVCdnVnd9IBqAFBVV95cUxPYlNwRDdyZVRhT0ZiLTBQUklaMWtrb2I4bzY1ZTBJbDl6aVhFSE5xcm9wTnUwcDZqTzdNMjhCTV9lRWRxWERxenAyTWRjNEFVM1hmQTBWcWg2VThUaXhBYzlEN29EcW5ITVVkLXdqN1F2Nk9iZ2ZOSDdfZXE2T0VndlpGVC1JTTdfS0I5Qmg3T3dwakFVTVhST1FuVk9nTG1aNnVWMlpBbC0?oc=5
COALINDIA.NS,2021-01-08 08:00:00,"Steel stocks hit fresh high on price hike, improvement in production - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPcTVwV3FFbmNtSjVUWVlKWWF4dGMyblpMdklpVC11eERzQjVmY3FUeDFTX192dDZ2RURBRC1UdVBQaVM5RUNkVlN1RjAxU1VBckcwaFlTel8tSVlwcXQtZmtUYmpDN29jSEkyY2VBUmxKMDZWUmowd29UR0Jnb1JzWFZ6b0F1RktSV2FuaE1HbW5ZaS1veUU1MU9Hb0xDU2hCVFVxTFhiU2N2Zm11bks1V3hMNG5iOHVVYzJwRXRQdFNia1hvUU1QRURwUjJSM3YxNGl30gHYAUFVX3lxTE4wZDRRMWlULVZBLW1NSXNkU0hJeXozOU1XWDZQNDRsTHdWdXJpeXk2Y0dYZ3N0LS1ZbXYxa01fQWM1THlKeUZmZlF0MHU2alUyeHFGbFVRT3lCMVZGUDRrcWtQV09fNlBzSEIwWTlrWnlWS01GMzV2Z2ZBVU8tdmx6M1FQcm82cFhJZW9VdmMzU3prUjJ4LWhzdkNDWlZjcXlzb21TMjF3TFlza2NfNXptQy1tX094YlpyY1VQbS1IcWpnXzFXbGl3dHBuWDNyczYya2UxeVdEeg?oc=5
COALINDIA.NS,2021-02-17 08:00:00,Coal India cuts expenses by Rs 1.8k cr in first 9 mnths of FY21 - Times of India,Times of India,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNZWRjUmlJX19RMmpNbmI0LUpRRWRKMzF1aC10dmhfYWxFVGtPYTNkSE1UeGlySDNuREh4UUFwNGlvcWRDLTRJUW1XNWNqRHFpaHNidWRHQ2RnNVhYZXhmT1ZRN1N1NkJJXzF4NEwyc0tZZld0R0k1WUxJWWpFVDZDaURHTlc3RjBOUV9NaEd0czFtRmZFNG1ZTE1TM2F0azYxX3plVEp3S0N3T2ZBMWFCeVBjOFlFZjhhaVZtdzNVNWRXX3hCSTRvRnFqalNTN2xNbjlFS00tc0s0aS0tVXRiQTF30gHnAUFVX3lxTFBDQ2VvMUZSaWRBc29XSS1TbXNZMHZwNk9ycmZPUTNLZUVJQ2RlLWI3TXF4UnRGNTBnSGVRc1RkZ0FXQlJBX25JTllaRE5oY3Y3aVQxTHJaeFkyTEd1SkhUZFhvaE5ieWZDRVYyTDFjWkxFWFFZWUdjWHJqdUJzYzFxcUY4eTNLbUx6MmJBRm5maXNhVlBuc3h5N2F1VXBvckZOc3M2S2ZpbVF6WmdUaUxDWlU2cU1ONmNMTG9JUTNudnQ1V1QwZkdRX2dwbFI2aEhMaFhKejMwcFRzWkZRdkdXWUJRa2psUQ?oc=5
COALINDIA.NS,2021-02-22 08:00:00,Coal India inks pact with CRIS for sharing of coal freight data - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQQWVFZ1JYNUJQZzVGc01QVnFJU0l3Wjlib2dITlBQeWJ1TEhJR05qcVNTZmRYY2lfR0hVa2lTUk1TX190THJIWURwdEtYQWxoYU1FNFVtSDVmakhLbXB0UnRwVU0yWEpybVlieE1FTzNfRmtFam5NNTlWTkJqMi1NR1hoMUlyNjhWaXIyYURZVmlkU2tjS1V2R1hQMFBpTENPOXV2WXlKb0ZaSkMxTUxDRUd6eUlOcExRNTMza3VNcXdnUkZmMkc4bkhZS2E0OFJZ0gHWAUFVX3lxTE5DS3gwU0xScmJGeGZaREdCM25nU0dNYnNwSmZ2cmdnLVJmdVJSekJvZXpYMDFhWEFOUklmV0o5TEdrbjVib0dtWGdZZ2FHNUxaRDVHbXFkUHpqZzF2V3B1ajRGTkVOTHNjQ3BkUU9BSC14SDk2c21pTmZMNGVodkd0QkpkQVJrbGliZDVTTV9CUUpQaWxmdml6cE1MQXFqLXFLQ2lTaGtkYnVzc2toaURQWkU5RTFENEJGZWJzN3BlYVVIT2ZQY0ZoMGtmelotYzBkUnAxOEE?oc=5
COALINDIA.NS,2021-02-01 08:00:00,SN Tiwari gets additional charge as Director (Personnel & IR) of Coal India - PSU Watch,PSU Watch,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOaWNERTBmbzloUWwweGZlN1dweXRrdUo4UkFRRlk4QUFkeUQybUkxXzlKRE5SeGg1MjU3dGczNkdtNllWOVI2ZVNCa1IwZGMtbXl4b3B5UWpGbjFlQzAxOFRWZTlPSFFDVWppRGdiREpWRHJXSW1rdllpMG8wQnpPYTF6Z000ek40WmVJWHctUHJXVzV5SERhb3VLSWVzZ21mVUs5MEhDZjI5QdIBtwFBVV95cUxOYjRHbTFkMEp3QmdDRFFTek5wSENWTkVZTWpqcFdIcUt1Y2dzSFhwX3MwaExydGpaVzJYX2pJMU5qYUtyZmhEUTdYanFsQjZnLS1RRkdPaExPVW9zdG9CSEhwN3BYZFBnR0hkbzZGNUdwS2x0YkR4TFl5Njh4V0JPT19ZcFF2VF9pbXRUMGJxbTQ0cWticDdEekFabUNiMWZUSzgxYjdvQXdId1B6OEJ2RFhwdFpQRmM?oc=5
COALINDIA.NS,2021-02-24 08:00:00,"Closing Bell: Sensex jumps 1,030 points, Nifty settles above 14,950; bank stocks hog the limelight - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMisAJBVV95cUxNQ2k1MTJ3b2x5al9QeEFoVGhpWTJwMjVjOGl6N2x1VE5uNzR1LVlna2xjYWRwS0taOXl1b2ZMTjY1TGRkb2RHZVJNVll2bmxqbFNEWHFEMEVfR3JxRmNpSHJ3UUlaUG5ycElIT3JfX190ZDNrWlBocTBTOVFobF9kU0xoM1BmVkRPcE9HT1JKSmpkUjlNYmZ3REZvMDI0U2Z0Um4xWnFuc1JGWGtydXFTT3ZpQ0hmMmN1Um9OR1ZFbF9GelhHUU85OTV0V3B4Qlo5b0g4dnhRMFBWZjMtZndGSFdzNEUzS2xnMHJoUG15LV9SdjlYV0hUTm1fTmRYY2tJbVc3WlpMSUhRd2JqMnNSUHRoSmVNTUxKckJOY1Ntb1hUcWpBQWR5NWJRN09qVG5Q0gG2AkFVX3lxTFA4R2lqTEwzaDNidGFBbDVPajZISFI3WDVDUFhoZjc2eGlERWNWMWNrd1hYenNRMkZvVzBOT05BRXAzaWVXNG8yX0lDVkZURTM5LXl2YWhtQUJyMldvZ3FxQ0Q4N2J6b1FRTXEyajJqdWozdTluR3QwSk56ODVxMUVyVVE5X3JHVkp5ZzFuVWtsMGN4cjBlQ0piUHd2Z1c4NC1FdnB0MV8xcHR0cmRSN3I3ZEpkcHpzNE9UYXlESzVvZ0dBNkFjQ1hqc0M3NkdCeHZXcEdxdU9STThUN1VRaWxobmthRzVjdWhMR3VrRDRlUzkzcjc5Qk51d3UzMUFKN3U0a0o0X2JPREcxWVF6QkF5U010Z0JhZjFwdzB2UFp6UGNrT2JXMFZ1UzFMS19zVUhIdTdvZWc?oc=5
COALINDIA.NS,2021-02-11 08:00:00,Full retirement benefits under VRS to Coal India employees - PSU Connect,PSU Connect,https://news.google.com/rss/articles/CBMimAFBVV95cUxQMC1aSzByUjI3MUV5aHpQbnJ5OUV6TGRuZ05ieEY2ZVd4dnA2ak5hQ3Nla20xUFlKUU5LNk5HazhsbWx0MTJtRk5TSW0yMl9pN1YxZTJDcUZqNVo3LVJYdFV5OGZRSldMRmFPTk5fVEZCMHpHR0kzbkZCbktBSURyMG5acWpYOEl3bzA4MkpwLTBDV3d1WWNyUQ?oc=5
COALINDIA.NS,2021-02-22 08:00:00,Jindal Power appoints former Coal India head as new Chairman - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxOOEhxQlZab1VBQ0NpQXl2VWhaNHZBYTdocWYtZDhzZ01UVGZTLUp2TW8ySEotMjRKbzNHdExxU1NxTUdjS2lKQVBxZWR2MDlSd3J5bk5fSURleDRmNEdxblNXT1dSdF9SdldaOXlNR1JoYW5aVGRTbjJDdnJjRHlvZzc0eEMyWDVBQTl0MGFaR1dHdHlfQU5ENFVEZ3prdlFkMjA4MWw1Y2h6V21wMGxGM2w5SHZlWkYwTDFBSm9QR3lPQUx6QjFoLVlTZkTSAdIBQVVfeXFMT0FsTmhUUkt4RE90b3B0Rnh3UElWLVEtQVc0M0dmd3gyOHVvNEpUTktIMUdCVkEyR3NTcnVUWUJKeFdfU3pqTDUxb2VfdXpLeHI0cE1PRWh5Q2ZhSlN2OEpuUzBPWFVQbHg3WWxvM2VkTjlPaTl2Ty1SQ1pOa0hJRDJlZTMzUVdTWkNrRjhnQjhYeVIyM0tncURWX0x1RDNQcXlvWU1lWV9Fc0JYODU3MDdBYjl5N25FU2NlVldJaVY1cFVmNlltR19zS2ZwRVh4UG1R?oc=5
