Ticker,Date,Title,Source,Link
COROMANDEL.NS,2021-01-27 08:00:00,"Budget 2021 Stocks With Anil Singhvi – Coromandel International is a TOP stock to buy now, says Siddharth Sedani - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNa3VZOFhhTU1QUW1HQ3BxRGJ2RVZXN1lKR3lVSWRXaDNPVUxTMEtxalJuaEVZLVNfTktRMlFMdWlnLXZHQ0pFNHBBRFVMTkV3aXJMV0ZmM19hcEoxT1NBc0toQ0RLNmltR2dHa05aOVctT08zeDZCX1RhaWhwbDBhRjVMSWZXS0hkOVlnNVlDcEYxLUFOM3RrR19SdzlaejRUcGczei1DVkd3TENGS3RnUk5oWXRXSXpnU1paNnd1MC1pNlRTZEdzZzFrZlBZeWtIdUlCSkljb1pLUGRibmJRd2xGb1FTQ0ViTnJxTQ?oc=5
COROMANDEL.NS,2021-01-04 08:00:00,Betting on farm laws: Why Coromandel International is the stock pick of the week - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQQURkZXpDRWhHa3VJZTlWTjBGUEJfZWlJOGh5UTkwRV9ELUFYSlpNQ1FtWTZoNG9oREo4RHFZR3F1R1FKaDF5Rnd4ay01MFJaZVRWSERLc3pmZlo2U1FCblEtNW10czNZaTJmYmE3UnN3WElWLUxXb0ZfcXdFUUZXRjgta0lvNjZFLTZPMmVueEs1RGhHSTdHMHRDSWdIS0c0bFRhYmJpeHZXMkMxblY5REExUG83bjRIbTFVZHdNcFpiN3gxdGVzTmYyb3ZCQmlGM21TanM0OW1ueGZBRlNV0gHkAUFVX3lxTE5kcVhGOVRSMS1UcTAwXzNpWkphWUNqaGVXYVlEQjhxRHlhUEQ2bEoxRVRPbHhnOHlSblRsaWU3SDJxbUpYSHplV08zZXpGZWxLbHowY1lpT0RXT0VRalRPQU9KYi1VRTE1Nlk3aFBHNUFrbDl2VzdpOTVuYXZDWlhkWTBjMXRhcXl3NTNGQmpRUFZQNV9RN3RxZllyMkxxVnNVdGNTTWNhM3BwSG02cGxsQ2FFbVdxaC1aNEpuYmNqWnZyekJNeUlxSFlfb0xtckNJNTU5M2dlNWhpQTIycUwzTk9JWg?oc=5
COROMANDEL.NS,2020-12-31 08:00:00,"Stocks in the news | Filatex India, Sangam India, FDC, Centum Electronics, Chemcon Special, GMR... - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMijAJBVV95cUxPM1dWZnJydURNWVhYeXFTOWVYaXZoZGQ2VXJfVlV6dzA1bl8td1VFRWg4bWZ0eFBFakZtWlhBTzZselo0eFYwZ182czVDZEwwRVFMLVBVR3R4RUxlbFk4OEJUTUZ2NTVLb2F6SjRpSWZJRkZibTdSMWt0OTR3c0pjc0pxRU4xemI0NE1Tb05KSXFNc3JDMnJOelFuX3o4RVloZXRxenJQRHZuNlZfenZpM2kzaHJsOTY1VDdlcVJWdGtpQ0FKVGR5dWdIdklibEVnSWJ0N3lDMDhtaEpUMG1hZlpYY1k4dm1oeldyUW04RGRQVVlUS2E0ZExjUndWemVFNGRJVUhySnRCUFFN0gGSAkFVX3lxTE1CZkZEUDl3TWtRa1FOUTR5OGlXNTBMU0JUbUFIbWxqOWM4aVJzRGtuRjFPVEdWMkVpa242Um95a2VfYU1zcnFTZzdjYmQ5R0hiOWgzaUNSanlmQXJ5clcwQ0ZENjdJRHpWWGpXRGNva3llMlVBWk8tdjJrdER0cll0Vk1IbmU2UzFpdWluajk4MTRJa09qR05HSjl1NUJjQVZxRVhYRXpUX0JYblJodm9CcHpKX1lWT2loVXhGNW44aEozNkFZZEp0aENHaU13aGJwOHpDcnJJZVlWbjRROTZpbFV0Y1RaZ3pXMVh4N01yYnduWGxQYzBGY0lnd05YSTZCREx1RV8ydFNWb1Q4aEJLclE?oc=5
COROMANDEL.NS,2021-01-20 08:00:00,Rainipettai station back in action with freight movement after 25-year gap - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNS2lpNTJ6VkNyeHloTUtwaFNySEN6MExpbzFTdVA4WTJMTXBTVU5wakhqYV8tajlwQllFLXd4aVVUQW4wbUdlY1BjeEFyaHhBZ1RFYWRaYVZJcXljQmpzUmdORGhDa0lLaEtlV3dMeUxHbXRjM0NNSlFKVHBhX1E1WVVBNG4xdDBHWW9pUV9Ca0U5aG5IYmFlclpLcHJibXY5MW1POWdUa2UxUF9aaW9RRUJtV0NuUmh3ajY1d1MzNWNFeWlVdlpLeHFwWW1xOUJDU2E1R1ZTamozNHg2X05MQi1xZFZVMHPSAewBQVVfeXFMUEV2aW5NSGpta0xWV3VndDYwMHMyU2FQalRoQk00aGhnM2wzMktuU1ZoblYzYmdnY3ROYTkzVElwYVotSWNCaldZdEgzZWFJaXBhbjFYbE5kNEtHYXJoem5vRGt5OGprdHc0REVPa2tLOGFvRi14MFpzbTFjNGdDUzVLMUVnMVBCWERPUUVnd0JaNEVWc2RLZ215XzZ6ZjBSWXhQeF9UV3FsTkZMTG1XX1JfNEVwczFBdGpZYm9uSm1oVHB0TUR1clJ1NGhDZ3l1VUpndm5LUmVzdDhsZnp4RWoyM0pmNDFJVExXNk0?oc=5
COROMANDEL.NS,2021-01-06 08:00:00,Bad news for buyers: Housing stock at record lows - Stuff,Stuff,https://news.google.com/rss/articles/CBMisAFBVV95cUxORXZGUUlET3I4Mmd6ZWRwWmQ5dkhEZURfMXJwSlFkT3FVRVVCUm9BY212c29ZYzU3TmVzNmlOblAzaGxVVVV4MnVWWnlsc0puNTk3QWF2Zkx5dTA1UzFPSVZaN0M3RDRKS3YyUE4wdWpLVWkwbHhRZUxLQVRobEg2eU42YjB1Xzhna191bXNJNDQ1N1NQMUI0WGZPWE1XQzZfUnNqWGw3RnZ2c05SX0lsWQ?oc=5
COROMANDEL.NS,2021-01-01 08:00:00,'Self-indulgent brats': Teens slammed over NYE riot - Otago Daily Times,Otago Daily Times,https://news.google.com/rss/articles/CBMimgFBVV95cUxOYlpuYWx5WEluVENQTEpPSEZYcVcxZzNWY3F4NGJCSzhFU3pzNFEwLXRfZkZkVmVEcGtFdVVDblhvQ1Naby1qbmZXalBlUjVXWm0zRFJtWG1CQ3lzZ0h4cUNybnpiRGF3RFpvMnZ1WXY2MnRRMHUxUHpUenBaU0QwZVRGN09nMVpVV2QtWEVhUXBVWjd6cFJyQ1l3?oc=5
COROMANDEL.NS,2021-01-01 08:00:00,Farmers urged to have good stock welfare plans - RNZ,RNZ,https://news.google.com/rss/articles/CBMikwFBVV95cUxPUldxXzRtdEg5Vk91WUpaaFVWQ1dnQW1QQ2NJWV9zX3RJZjRxQzB3NFVBQjdhcTdBUkpiTUZXdG9oVks0T1k2NjJJaDd1a2Zod19aWV84ZnFhWEx5RWpEWjJsbmN3ZEtPRU1RZXltY2RPYWVzVTRnQTFidHJCbUEyMjEtanlNSWZmWV9RZmR4aERFQnM?oc=5
COROMANDEL.NS,2021-02-01 08:00:00,"Share Market Highlights: Investors give thumbs up to Budget, Sensex ends 2,314 points higher; Nifty at 14,281 - Business Today",Business Today,https://news.google.com/rss/articles/CBMigwJBVV95cUxOWnJsT2ZUSEFzMTF2SUU3MzlCaG05bzgxTnJRRjcxd1p3MmdVUWZmTzF3NkVXRVlMVVFKbW1DNDJicmtkaWEzcjNCRWhrakJYUUhXaVQ1bWZwX0V2eUlqdmNQX0IyRUNIeW81Y0htRHhoRmpPd3I1SEVYMWFVMVY3cmhZdnJRd2dxYm5Tb0FDcHRxYm1VTUZ1TVQ5V2QwdG9NZ2VBZzA1M2dGZm9QZWp1WWUwTzNONjFELVdRTTFaWmNjaDgyTU44MkNDTlNjUmlXTDZyOXhKVTVmVG9sdDBvNnd3QkZ3UnRMdWgwMkt5Q3hUQjJhQktCVEZUTXZtRFNwenA00gGIAkFVX3lxTE9hQmo2NjJIOFdaRThYWVlzaHFTMnh3T2tKemRHTEJLbzZqSE5ZZnNFVjJLUmtYT3Z6c18xZU5jMEM2Q3J6bVJQSHM5NTNXNjFmZC0wd29uTW5WUTZ0S0dfZTBqNzIwWXJPaUFKMUZxY2c2MmRLa2cySUJxenJ1UV9vRDB5NTBjcDBBTi13V21ySDY5bmZMeURNeVpvOGFFYlFfNVg2Ujk4eFdCUXlkNTQyTndCb3NkaUpIUUtxN2tGVHN2ZnRKTHVLbFY2bGNYWUdYaWpKRDVob3hUWEJhR0lsUUEzandtUDFWck1pN2licGx3NzBYX1U3bUtvLTFqVFUwUlBOM0JCbw?oc=5
COROMANDEL.NS,2021-03-20 07:00:00,Coromandel launches new fertiliser brand 'Groshakti' - The Hans India,The Hans India,https://news.google.com/rss/articles/CBMirgFBVV95cUxPQ2tBZlZVcHNmN0dkU19rd0NHT2IxOVU1OVR6QlVZZlljdWM5Y0pYdndQT3BxWW1JaDhxZFB2STdGX0JsSHZaRFJzSmN0Zi1sSzNhN0hRdjRyRkM2R2JpbzNEX3JpaklOeXQyWXRhYjRzemxNMWZNM0E5WlR1ZGxMM0R4X3hPd3RGazBYSHkxWGhtUE9iT0ZUbFdyTGJBczFuYTEzeUdVM3VGYzBySUHSAbMBQVVfeXFMTzl5SjBGVHczSUVFa25BMVl5Unh2NlhVbTBBX2JUYkxXU0QtTEVlRlRSMTFQTk1Ld1NlbXBtQWtKa2NwT3VWdHhSdGNFbU9XWm5wUy1VSVB2M2drR1lzYnhIUFFUMzA2dkpUU09SUFRCa3hWbndvYnRMdE5GdUtwVnBhbU40WXJvbHZmUDZpVVE2OGhzMk5nREhaWW9WMjVNbjBTbng2TWFILWV0QXBQVG5ndlE?oc=5
COROMANDEL.NS,2021-04-26 07:00:00,Chennai Super Kings chairman L Sabaretnam passes away at 80 - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOUkRDN25waGVxdTU1dWlRTWJuM0xhRXg5UXo4RHBvM2Jpa2pNbTd3SzFuQ3l0Q1lPa3NWTDNqWmYwWTBCVTVjVGxzMjlZaHpBeWctNFh2TXpHMDB4MXNOWDA0aVBXZWpYcHhlcllmbDdybVY3WjkxVXhtYjliSVd6NFh3NlFuYzJtOWdwMjhzS29zUXE1U1dHRGJCc09nOTZGM1FxWmlkbFk0VEZRWnRkcXpnY2F3MXZYYkpNUkpnT3pIY1kyNHpGSS1jUENnYUxW0gHeAUFVX3lxTFBiYzY4azI2cW11NWpBU3J0WXhKcElnNnBTX2YxOTVrRGhmdXVNRkRpd3V0YW5LcmhRVFd6SWFSdkQ0RXhncGYwd1o3N1h3U2NsWEhXQXZIeXBmZHZMN0IwMldjVmVPd0N6bldIU01wc2RabHp3TVFRdXplMHlJTk5KcWdkalhvSnVrVjhYakh1cmhPZ0wwbE5GdHRScHRvYnFqYVBCYnd4MEZuZ05ISzF3T3IwdzhzTlU2RzNiOVQtcGttQ2w4WE15M0hHYjZWLThqS2E3Q253Sml5UGFhdw?oc=5
