Ticker,Date,Title,Source,Link
CRAFTSMAN.NS,2021-01-23 08:00:00,Army unit faces gender row as officials consider changing 'craftsman' rank to 'private' - Daily Mail,Daily Mail,https://news.google.com/rss/articles/CBMiywFBVV95cUxNY2E2aGktU25RaV9qdVZ2WDBqZ0M3UzNxZk0xdkJiTXZ3cHd2N0llUU8ydVN5VU1LNGhzMlFHaHAycm53ZFFRVVN2dFJUYm1WRmNqQ0VFeW52Yjd3WFZSOGYtVDNaa3RRWWdPQ2MyalE4Z3dxMU5xTmtudzRUOTRfdlM5c29GTEhkOVQzTzRYWTZGU3NUNm9WZEExei03SG9JZXhZeE0ta0lTS1d1S0VXQldxS2JMeXZzLW4wLVdibEhaTkZyOWdMTUNEZ9IB0AFBVV95cUxPelRDX2UxeE1LUWtyZ1Jwakg5TGdNZkV4aHhERi1meUtnQ29YeVNIZ2Vnand6VG84ZTR5LWZKUW9QT0NvWTdDclFKVHNLMjB5emVDZ1JxNmliR3hfY1o4ZnlkWGRkNzZPTUlIWnNITXZlNUdFc0dxYjlrMmctdC13ZWZFelNkaFpYWk0tQjFSTGE0MkV0TUNxaDhpaWxtUkJtSUViZFlVRTNrTTZKTWZZeTM4M1lKbjBVMWhfRWVaZ09VZDR2YVVlQVlxa1M4MVM4?oc=5
CRAFTSMAN.NS,2021-02-13 02:06:38,Hailie Deegan - NASCAR.com,NASCAR.com,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1NYnFXRy1fcVdTQlJtaTdod0dkb2hNTGtMZ0taM2JZS3AwVlJnTzkwNk1TSHBPQVlhTVphejJLcUIxMzh2aTJEMUFybU8zalNhb2c4ZTVidDI?oc=5
CRAFTSMAN.NS,2021-02-05 08:00:00,The last Sears store in Dallas-Fort Worth will shutter in April - CultureMap Fort Worth,CultureMap Fort Worth,https://news.google.com/rss/articles/CBMipAFBVV95cUxPdk9XOTFLRU9HX1B0bUdNdl9EWHlka2RsMTBiU0ZqVlIzTjNNcDAtR2tVZnk1OEdrZldvODNIWFFkbUJIRVJQUGNzYnR0WXMySzBfMmRCSXZHX0lGYmZGOGRPVGJ2RVBPb1FhZ1NtNGhxZEZfOXF2RXRBVGRJZU03Mi0tNkdaTnFHdDRsdHVHRGlWYV9nc3RYWXhqYm8yT2p3NllkUQ?oc=5
CRAFTSMAN.NS,2021-02-19 02:33:00,Chandler Smith - NASCAR.com,NASCAR.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5aVU9UdnowUE5za3g2LXQxVjB4N1BiOXQtaUVCLXVjWjRvb0ZWRDI4QWdMRVhpS19jWkh1ektDbWJYTWlnenVhcTBpTUlOSEw1NkRpcmhSYjJBZw?oc=5
CRAFTSMAN.NS,2021-02-04 08:00:00,HGTV's Nicole Curtis helps finish Highland Park rehab - FOX 2 Detroit,FOX 2 Detroit,https://news.google.com/rss/articles/CBMijgFBVV95cUxPWld3SGNHY0x0Q0YxZW1CYnROWERXTEVxaC1jYWxBU0xETUpRZ3JFLUo2WmhMZHhmOUs2MENVLW1Fd1NEUFBRQmcxeWtLVU1abTY0V1NCYzhBa3VLUk5XUVN2ZVYwcWQ0OWtta3BURnI5VFFnUWVYTHFTVnRTSnc4Sk1uclE4b2xkNGtLd0lB0gGTAUFVX3lxTE1pdkZ0WVBRM3Y1NEYtNC1CaWJOTXo3QzA2alE3NWphNi1ybXl1RzZfaVRqUVBvNm9uRW5DZEhNUHZhNzN4aHBKQnNZeE1JLUl4Wi1JYmk4bmZqZUdGbFU0cTE5b053YkQ3VlA2alZXaXY2Y1RodHFWRFZHUExTMGx0Sk9kUk10dVh6ZDVKZERYejR6RQ?oc=5
CRAFTSMAN.NS,2021-02-20 08:00:00,NASCAR Truck Series: How much money do drivers make? - Sportskeeda,Sportskeeda,https://news.google.com/rss/articles/CBMiekFVX3lxTE5yR0lEV3hURUhpN3FQUnR6OVZTelFlUGF5TDBNM1dIZ0loN0lLOVlyOG1JMWZLTjZ5Qnptc21SYTY2RFVYeE0tNUUwaFJJX0dEamhjOVFMejdUOWxrLV9rZTlaX21FWnM2N21QXzEwWjdqNjduM1ZpOEJn?oc=5
CRAFTSMAN.NS,2021-03-25 07:00:00,"Craftsman Automation shares list at Rs 1,350, down 9% over issue price - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMixgFBVV95cUxQZXRGU0d3S0NiQS15eFcxb0k5SVJQUUFNeGRnWVJTSy1wUE1uaHZFenEtM2tVVkxuV3hNQm90aENLNmtGMVBwbW5xWTdGU3MwSE5aMTQxa0JvVUN5ZnZ5MWVPZHg2RVhqM3RnbnEwc1U2TjdpblhrRV9HMXJNa3JNSmwzT1BCVTlrcmpsdkcxYW1sZDlmcFhHaUxhaDVXVDVJMkNGVXg0R3hYaFVZeVAtX1FWUkw2RVZydTI5OGJWWFFZSHUxVGfSAcsBQVVfeXFMUFRoamkta3NGYUd3eEczX21NWEFXMmlQVXhmTnBEQ2hwUWdlQUU1VXhtZHRQaG1uWlVPcVNuUFV6VzNwSG9rS2xoYXRHOHdoX3NiYnJZZU44STRDaGVnWVNlZFNySXc4eFQxV1JFT3lERUlaV1YtUW5zZmtGZGstRmptYXhEdWU3Y19BRXNxVlN4dTktZjVPWHFkV3RnZVZpU0FTTHUzaHpjQkVFUFQzQVoxQ2dVb0JVS2pGdkZ4QmhpV0tKM2I3TTh3V1k?oc=5
CRAFTSMAN.NS,2021-03-10 08:00:00,"Craftsman Automation goes for IPO, investors dilute stake - Times of India",Times of India,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPWVhBNlREcUgzbWM0V3JibjYyQThmVC1YWnZZN2ZPT0h0bVZsdzdDcmNCSFBnMnloenpWd1U4OWg2QWx3UGlMWGVJNUtPV2taV2ExLTdzbjBmTEw2dlV4YnZ4aDJQYnNGNlJmYVZMeWJILTFBcjVTa01NZUFfZHRSek1UMGNUTlN3Z2d2ZjQ5Zm13Q0ZuTkdhSjRJM1JqVml6MEFmb1pHbHdwWXNKUEczUDZVRmlqejQ4UzQ1dXZSalpvRGlRd2NJZTc2QmhWOUFDdnVqTjFrUFDSAd4BQVVfeXFMTUpJeTRwX1RQSHcwTmZucGVCQUw4elZXeGdVc2tRQXJnekxwSWtPVE1UYXpHTlFNdE5BREs1NEJ3WVM5dENOb2t2ZlpGZzQxSmRvZ3BIOGRoYjh5SVlFeDZGOWlLLWk1TFRjampibGhSZzNZU0ZoS1M0dktJSTJKdm9JajkzaUcwQjdYWkRxZS1tT3R1WmQzU3ZKTHFlRmpSQUx5UWtIWkVENE15SWY2Z2JHVDNiSk5vZnRoTXppRWkySmg1bHNQQ011Q1A1SFFleHAwOEl6d0JLZ3JtOUZB?oc=5
CRAFTSMAN.NS,2021-03-25 07:00:00,"Sensex ends 740 pts down at 48,440; Indices drop 5% in March F&O series - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxOcV9VaWljek1OYUc4T2txanRaWTNnMTVkM2hUc0F3VUVHbVR6TE5Bd2FWemE4XzdlQjc2RzEwd2s1YnR4OExGQXlWdWk5dVlfdDV4U0dNcUxPdW94Q1pqWDV4NzUyenM3bW5QWXMtODM4QjlnbjZtbURFQ0l5QTJxbGVGTUtPS0d0ZW1kM2w0Nzhka3pweWtFai1lOHJ6VVFpZ3FCQzloY0dPTTN5VUVrbXBLaEZQa3dmeHF1Z2EtLXVDRS04ZTYwdng2RGxRM1nSAdQBQVVfeXFMUHlVTkF6Z2dBVUI2LWQxWHFzdHJkRWYtV0QzNlMzWFJIZG8wMDhiZkduekpjb3NmUlFZckFDaE1ITWczRkoyY0Rna3VjWVNnbnNBQnpPSndiSzBRbWdqM1BuWVI5SEh5WGtiTDZrMjJBWUQ0ZE9aNWR2cmw5dlFYRFRfVk9ENHpSTkNOYU1TcFh2VTE2Zmp3bnBsZjdSS2ljemhqWTBLNE9GSldFSHBocHVZbE5iT1FDekQ2TmU1eVliQUZvLTBZanlfWHdaRzR6TFc1Q0E?oc=5
CRAFTSMAN.NS,2021-03-09 08:00:00,"Craftsman Automation IPO to open on March 15 at price band of Rs 1,488-1,490 per share - The Statesman",The Statesman,https://news.google.com/rss/articles/CBMixAFBVV95cUxOVVQyNm5PZkNrWlN2VDhKMkNUQjBQQnFYeG13d2dWZUVMU2JxRFE1VDh0RUVjNlB1aXU0enh4ZXNZRlg0YWJFb192eTAyTXFELS1fSElJSUZPbFFUbTl5TmFZdWxXZ1FUZFlmaWlaWjk2OGxBZUIybkxpQTRfOTJOWHpqYmlENURkalVCbTdIWngyNGVqNjNjeDNqRW96WVQ1LThrTndlY1NlUFprS2owN0gwM040VU0zNkctaG00alRTa3Rx0gHKAUFVX3lxTFBqQzZmQUVOOWo0c1dlTDIxOW9HTm10MWlQMlFkd0FBb3JfdktpSC1wUzVlSm85NUo3cFlTYzhTRzhhU3pFbWYyV21TWnNLckRpaEhFZ1Z1Ql9vamdBeU1kMTU1ZEo1cGVjZDZJWVlwTFNDcVo1Z2FDc1lJWnZGU1BycVUyZlBoUWJZZ01aOUpMbm56WXA3LWFySXhjQ0IzN3ZvbWtndnpxN0pBX29WRHBCbHNsQXVvU3N1aWtwcmhyZDFramt2MGlqR3c?oc=5
