Ticker,Date,Title,Source,Link
CUMMINSIND.NS,2021-01-19 08:00:00,Border-Gavaskar trophy: Magnificent Rishabh Pant powers team to series win after Gill-Pujara show - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOV0FwdjVMbzBBMHFybnE2VWpPS0JCUkctTHBzZUdHUXJSVV8tMUgtWGdaS2c1SjZORU1pck8yb3F3Z2dWZ3ZSVmlZQzNLV25NOXdTZjhoWUtVQ2ZxM0doeWxOSFhacW9wYzVXbHZrd0xGbnpsbEswRy1jMGhPN3hqS1ByYVhvaGhwYUNiSWpVYVJla0kzZDZ3b3dSMjhtWlBNd3hLbldMNnAtbEEtcUYxWThSSjNJN0t2QXRCbmQ5UjBrQTjSAcgBQVVfeXFMTm1VY1hCaXNKSUxHcFAzaUQtVEp3ZWdJeWYtSHFhSlduQmt5WVRwZVhQWDFnaWRicng2emdreXNpSERNektJVjF2YVpCRkJuR2ZacEZNbXNCTmFjY2dMYS1WSUN3WGxIY2NsN0l4X2FqVndTUnhkbUZ3MWllcEMyRlRKeXQzdHctRkNsQVpwQWZRcDFwNlVWcWgyWlk2Q2tBRk1aZkR2MWo5bXJiTXhwZ1l4Q3dUWlp2eUN5blJYNVlfNlcwa0s5MWw?oc=5
CUMMINSIND.NS,2021-01-17 08:00:00,Rohit Sharma let his ego get the better of him - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMipwFBVV95cUxOaExlWWJ6aGN5RDNCVXZBdjRid1FrVmJOLUwwTVkxcmhocEFEOGRkRUlJQzNoTWFJeXhOSlAwc3AwZ3lfdHh3TWozMlMzNWZhcTBvSWlJQkVfSktLbG1laTJjd2dhd2lLa0pIMmlRaUlQY0ZvWWY1V3JhVkpaMmtOUTJxRWVaT1ZEWmZLYnJQRzVFS2oyM095VUNySHhNRnRQU19YdEVnc9IBrgFBVV95cUxPcFlFNXZFdU1WUDJJdklqbUQwMmpubmdVMFkycEdmYUlfMHB1RmFKV20zekpVWE80U2RpSEJ1d2YwUXRJei1vYVFrMjJfTE5UZ0g4OUthcEFYMHIxc1pZckJRMFlJUlVBMlhfWXhYNExjbDIzYVNNd0xNQWpEdHBTMTZYRlMtWUJhVFpPcnh1NWpuNDFWUE82RFFpUWRORDNjcDcteDd5QXZQZE1CZFE?oc=5
CUMMINSIND.NS,2021-01-17 08:00:00,"India vs Australia 4th Test, Day 3 Highlights: AUS end Day 3 with 54-run lead - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMivAFBVV95cUxNREJ6eGVodkhpNjdmTUd1bzNtdHF3aTV0dzZFTUx1c0pGUmpvX3c5MmhsNmpKbVpLa1FKVk81aHd2Zy1VRXU0ZUxCQjZqYTVEM194NlZtY1dXeEtYQ3ZmX3Z1WFhLVVZ4WmhhMUZyS0JpY01iRmt0Y1c1VjlqWFRNV0lZSW1zbmQ1UllUNGMzcWNuaHY1Vk8xRnh3VkN2NEtUT01JbTY2MWk4SnFRblpHRWZzQ01NWC1aVGNCUNIBwwFBVV95cUxOWDVDbGZPM3laMm5zNnFiRmFxMmNFN3NldE9YU1FxemVobDhnSnFmWlN5RUhjXzRYWk5RLW5yTlVjNk5ETzJHZWdUa3g5cG9OLVJDZjRaOGhHazZCdE1vc2M5YzlfWHBBZXpwY0xVY083MWQ3WEZDMkRoMlZJYlBTeDhXVWJyWXVMQ3dzR29Kelpoa3ZTN3FkRk02RG01V3lXTlY4d2luWk9Db3RvQjlSWUlWZTVHa2NLaThEUUJNNTN3SDQ?oc=5
CUMMINSIND.NS,2021-02-08 08:00:00,BW Legal World's List of Top 100 General Counsel Out Now - BW Legal World,BW Legal World,https://news.google.com/rss/articles/CBMioAFBVV95cUxQakJfUTZSVUVHOFhheWUwWVJhQlFvQkdtU3F0eE9HRThFb0dXX1JPYy1DVFdsN2U2ZGg4OGRlZ3VOTW1rSjgwbWZzcnpYZ096WkllRlNzZldUQk1ucjE2alJrVXpDcGJrWTBjQWZWSVRTRjdvQlRlY3k3cmF4NnZLb0lIVDVnVGpBY2V0M2dPSzVycVVSMk8yb1ZsU2V3aldm?oc=5
CUMMINSIND.NS,2021-03-10 08:00:00,Cummins India share price: Sharekhan revises price target to Rs 1030 - Zee Business,Zee Business,https://news.google.com/rss/articles/CBMitAFBVV95cUxQdVh1X1lwV004S1g4UlNkUHNDZmU5RkNwNWRCdTNHUGUtTTNfTEt0ZFFEM2EwSFFSU1ZmRFI4WHRGTzdONzVFVzgzMHRDZzZnYVJoRTZCLS0zdWJxWGNvWDc5TDdkWFBVQ1JyS2tOQ0pNVzd2eWZBSGRUUEJEaHVOMm0zaWU5TFp0SjZod291d2dwWWN5YnB0U2tJdGc4QXl2d1R5T3B5VzNkb2RMMFhGZDd2UTQ?oc=5
CUMMINSIND.NS,2021-03-18 07:00:00,Tyre manufacturer Balkrishna Industries joins hands with seven IPL teams - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNVDJwOTJWRzgtMmNtSFA0SjlqV3N0VlR2ZVV4bm4wWV9WR2J2ck5BSmQ2cERtT2daQm9ZdkxUdHUxd2Y1eTN0a2RBLS1fMG1QWTJ5S29CV19wSWh4UmZGbXpXMWdiamRLOTlweHlfS1dhWjJ0VVpUQU9kVm5pUHFtN0pBRlhzRGdZUy15WlNTV3NRbmFUM0gtV3RKTkdTbkIwVXZqem1BcS1DY0FlSFhOMHI2WEtvWXJ2X19pcWlQeWhLYldXcUo0Y2xTbHFVR0w4UHZqQTJ1bDTSAd4BQVVfeXFMUEZTcU92SE53dnJRSVVDZWR1bGZjQktxT2U4VTJ6bU1MSWVOcUNNR2Z2eFI2N0h2eVAtUm1CeG1IWUhDOGo0RGlTNUs0LTk5WmNGMTd3eFZKdWJfS1JaRXhRVENRRWluWEFaR3o2RE5tMUpHX1Nyam1Xdjc4OG5aT0lMQU0wWXZCR08yV0VtcjFsYUtmLWdFcmgtbTctZlRiZ2ZWcnZaLWltWE9XWElNRDBnMThSU1hCTnFUZm11WkF0YThoNG5ieF8ycGxBMVZ1NmhKbS1wUzFOdUVoeV9B?oc=5
CUMMINSIND.NS,2021-04-26 07:00:00,"Pat Cummins donates USD 50,000 to India's fight against COVID-19 pandemic - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNS3c4Y01KMGhXR3NjUUdDOGE2cFltdWg3YngzNmxmS3FjZkpaOGN6eWRxVnExZ3pXRm5RMHVCbDFCcUhfMHhSdklJZVFrMlRSVUVjbkk0RWxtbll0OUxqdkxpNmNPc3VPWnFpSDNxMlByNThMdEVzbF80cFFvZEh6bXl6Q0RwdXFlNXI3LUxkR1JkNTZFREtBaDdoazMyNlV0U0k1MFhUckc5NUctUldoTFpzQmhINGowZmliY1k5bThiRUluSDVqTk9XMFhHX3ZpS3fSAdcBQVVfeXFMTW1KX3BpNkJOQXdJNXl6RTB3Qk9QN3VGZ2stYjFhaDVIeHZWTlNqdlhtZnYxaE1LSUctSjVfcEV1VDI1SmJQSk1mSnphY01XVi1BNV9OR0RvRWVJTmM0el9qQUFrOWJNRzlleGY3Q0c0N2NPZmR6Zktoa0N6cnNiSndVMElZY0d1bVV1bE15eldEZm04ZHFya0ItZVFPSU9EMnc1MDBBT2FldFVBTlJyVWFZcUM2Nk1lNWo4d2hDNy1nNnprVU01OWhVYVpQOElvamE1bDVvME0?oc=5
CUMMINSIND.NS,2021-04-28 07:00:00,"Ending IPL is not the answer, says KKR pacer Pat Cummins - Times of India",Times of India,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNSXlCNEFsdUVkUmNIeC0zeVowMVhzeUhyaGNIeXhXbms5blBLZHNybl9mUGczZFVJa2QzLTlsUUpjc1Y1QVBVdGsxbV9wN0hldkJ6b0xxT0M5TTFZbDhmb0ZuUmxEOUxpaDlKTjQ0QWUySUVQN0d0QWNGMkdwZ0d3RnNQYXM4MERFQVUzTEZPUjM1VkhCVHZEM0hMODh1d1Q1X3prNEI5QjBZSWItQmNXN3pSczV5SHU2NFhVNmRhYWZoREVhX0JCY2FHaWttbEdzUXRZYXpnQjZWY3hPVWhUZNIB5gFBVV95cUxPREpsbHh6Ny1xZ1lOSVQ1Zm9jMEk2MDRVYWlpaW5vd1BUX1pyMFF2SktKS1N1ckQzNnN0OVhNejlzNDFEdG1xTEt3N0lqeTE5ODRoUlRtdEMtNXZsanl0Y3hGbnJNYnppVUFKUjRYd2FxSXFsRGdwUWZlZkJDWXVmZWt6UF91ODdyR1lQcWxndmRVcTN1S0dfc0NWSFRXT05BSm5aRExqbzNfYUhYdmU1bUEwX2NzWmJhdG1TR3F4RExhaVJpWk1aNzA3WUhwY2ZhOGFwTWwxMWl6T0tESlUweFhrUWwtZw?oc=5
CUMMINSIND.NS,2021-04-26 07:00:00,More cricketers could leave IPL 2021 as Australia considers India travel ban - Sportstar,Sportstar,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOQTVJRHE1NlNtQjZyaDRXTUFhMWpiQTQ3UHJFNVkzQndkdmVma2lUVzk1eXZid1VfZ1lrSVZ1WWVIbmhkbUpnY3FtSUQzLTZQQTlhSWpxVEZKa1p5OTB2dFdNVkREcWktRjB2WWdvVUNJWDZ1SHA5aTJHV3hraVdvMDlZSElBdGdENTZ2U0pDeXVhTW1SYThRdTdVejZ6cGNYbXlyXzVfWWlVbEpPeUxxVXJpNENyY2lQOUVkTXlLOVpEY0R1OVlPY2lsaTFuTFc1VGttaEl6U292d9IB4AFBVV95cUxNYzBTckpNa182RU1CZkNVU3FkSjI3eGJNSXE2ZkNfN3JZU3ZFTlAyWjNLTkZEX2xCOThsSkZxZGhqNVVMcmQ4QmlObnpIUGdyQmJaeVpqXzU0NXRTZ0lWU2hPWENLRXFXNlNOTHNDU2xqMzk4bGhvb2R1QmtSeXBjQ29tRHVTMzZSN05jeFQ1STZFRWd2Xzh6UnRLanVpdlVtM0RJZHE0TGpXUEFnaU1QSUVTRUZ6Z2dmN2NZTlluLVhJTlV1enpyR1dJNkFoRVFreWVBdG03ajhWdE9Cd1ZYeA?oc=5
CUMMINSIND.NS,2021-04-27 07:00:00,"Inspired by Pat Cummins, Brett Lee donates bitcoin for India's fight against COVID-19 - Times of India",Times of India,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOZ2lldmthaHpWeGNzc0xvb0w2Qmtkc2NqcnhkUXdVV1hpbmxQRzlVcjdIMWp1NUZ3Ml80TjFPY0RrT2UxUnRmZFhzOHBXVENxbEJOUHZhbG54emt4czBGVTlwNEZEeDlPOWdNYXJjZm9sM1BwaHhYQXU4Zkhwbk5yS1NQZFJfOU1xOTZpVGtEQng4OG5ocDhWS01yMGEwd09wMkhJTms2Wi1Ic2ludlUtMllSV1oyYXJuaHp2ME5KRkRnVG1qWU5aWTlvU1BDTXlaTWFzYWZzY1UyM01jNFBSbGd4TUQyRXNVSzVMRGo1bmJoMUFwLVpR0gH8AUFVX3lxTE5tOHc5NkNEd2xjelVYNFNIZVcwS2JoclhIYXpxNFlKOWZ4eWt1ckRqZnJkb1RaZEotX2RYTE40TkdyNkNkNHlrcm8xVnpheVlOMlllYmtfaUhacHFfNjI2ZE1rcDBQM203S3FoYk9aQURaMDd1aWRCSW93S2NMVjJ2cDJqZ09SZUhfWkpuSExfZEM3TnZlSzdITVRNMG9xV2tFa1E1UWdTNHhMM0JMWXZxR015T2FfU1Fwd0Y1cnJvNl9WbGlsYm1WWjJvNUpxcHEtWkRkMjlOSWt5dzFIZ201UGhtbFBjb3luTFpnVFkzekotNlp1YldTMnhXcQ?oc=5
