Ticker,Date,Title,Source,Link
DEVYANI.NS,2021-01-08 08:00:00,We knew he would be one soon: DGP Nagrale’s father - Times of India,Times of India,https://news.google.com/rss/articles/CBMivgFBVV95cUxOdlJoWTQ2bkliUlFSc1Nyc1RObU4ybnlNV3pvbjZIYzZMMTlhVFhUMmlEQ3VjaWNacHd5X1o1OUtaM3RITUdQX3d0dU5VMkNjNUZTSmNCZTlhczVEeWdWeEVjM1N5RFlQNmRGYjVqWlF6NVhhd0IzZ2loVEpxcUJnWmxvYnFZR1FkRG1UejFWQnJjTjBrV1g3SmlQb3RaUjFfV3I4cnRhQXRGZVlzb2p5VVN6NllhblUyUUpBNUxn0gHDAUFVX3lxTE55eTZoVDJBTldMWHNMbkJkME8wblMyTlRMaE0zd2Y1R2xnUjN3Qzkzc0lrQ0FvVGpGejY1T0R3dDA3YjlYSzZpSHN4MGd2cHdlNmpZR09vMlRaQWR1WkFoR2RwS1VpUmNCSU8xUEhibXhHX0MzZVh6dk85cDJ3a25wVW5XRS05c3hiY1hCX2JMM2hua0RnYmZaaUtzTWdLREwyT184aXdSYU05S0hvVWFfeEJJZ3VvSVRoSGpfSDExXzJaaw?oc=5
DEVYANI.NS,2021-02-27 08:00:00,Ghkkpm 26 Feb written update: Pulkit reveals his wife Devyani's identity to Sai - Republic World,Republic World,https://news.google.com/rss/articles/CBMizAFBVV95cUxQUXNnSjhsalJEWmdicnlyOElDQUZIZ244c0FqWFJlTEhkTVlXUFlHWEFaNS1zY1Ezd2Y0ZEdXdEdkQTdmcTY1VzdEazNBQXozYmFjb09aMkdNbXd1S0ZsbmlOSHFBT185S2RRVV82MGNSaWgzbThTYjJ3M3pGSXNOVkdPN2V6bVJNeGV6TUJBVTc5YlRzMHZQb3ZWWWk3SmlkX1N1T2VTS1A1SGtJYlpvNC1uaDVReHVlRXRpNXczNjFOYl8zZk9lOTFGQk_SAdIBQVVfeXFMUDBsM0M1Z0hTRkd1TE5hbndQMmxZandkU01fN2lzemlnU0tNS3FkTEVVbWhvY3czaVUwcTVwM0lZU0o4aWhUYXg0NUF0Z3p0UVhnX1J5TW9SSmNZaERnZW1XUmk1VlpmQi1zLVdLTlJxZ2RkVUh0WWpsUnhrM2V4S2JhUXQ1UjZ1RGRvSFY4R2hFQWRORXJkSEJqbWc0SnNuOEFBTzV1aWhsM3M0S3Q1aTVSVmtLMUN1aWptUC1HSFpDeHRIQ3pyb2pINktmWERuOG5B?oc=5
DEVYANI.NS,2021-02-10 08:00:00,Ghum Hai Kisikey Pyaar Meiin Spoiler Alert: Sai to take a stand for Devyani - IWMBuzz,IWMBuzz,https://news.google.com/rss/articles/CBMivAFBVV95cUxOakFJTXJuWUFlNk5WZzIyeHR1V2RFOU1FR2hkcVEyanJtOVJidUdtdWVMTU5xZHZPaG1zVEhvQ203MzRKbndoLWV0YzRzaW0tRmRJWktDS0o3WUJCMkI1MTNnN04ySmhZTDA1R01rYjFhMWQ2OEx2bEJTbmJUdnJvWF84TjlORGpHOUdXcnFxbldyTVVGa2ZnejJyZDJRN3EwS2RrS2JlUlVDVjdkMU5pVUNlNmF4a1dGZDFLOQ?oc=5
DEVYANI.NS,2021-02-19 08:00:00,Kusumagraj’s Marathi musical translated into English to broaden aappeal | Hindustan Times - Hindustan Times,Hindustan Times,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQeEVHb3JNTm9Tbmg2M2lqcGxEZ2xiRENueTNZbjhPVUFNQ1RpU3hkWXNHUXhoZkhrdm1uclh2WWZ4ZU5qOGpqcnRiYzV3NmpHZkMwSGNob04xY1FUOFE5Zmd4M21IMXMzbjc4LW55bUV5dHI5cDQtV0pmWXpyLWVFTm1nbFQ4N0JiSGtXR2JFdnRlT1Uybjd1ZXBOWG5CTXRnV195SjVfdE5Jcy0xU3p3R0huUUFOcFd6MXhPbmFVRkZySmV1djQ0Z2JtcFZPRzhaNFc2eExqNWN5b0FQSk4yaTJic9IB6AFBVV95cUxPVW9KcXNJU3QwWW9uZE1VSUhIWnVHODU4bFRLWkpqWmRURllIOVIycTNQREFmNnhLczJ4U1V4WHJ3RmZPcUVmOGZZWmZUbjVXeHVDZURZSzVScm9idzdWUGYtcGdydVZnMWdhWmoyeDhhVWRYYm0yVkpON2w2VXFDV2dOOXVteU41ZUMyVmpYZGdzelFuRlFVXzM0clFaNmY0NkdHUXo0VEZLQk9odTJpVEJ3YVJZTHhxaE5CNHI4MEY5OGJmOHB0S05jUTZKU2NTaXdueExST1Z5VjJPRDdFdlFmTUJMVkhz?oc=5
DEVYANI.NS,2021-02-26 08:00:00,"Ghum Hai Kisikey Pyaar Meiin SPOILER ALERT! Sai to bring Pulkit home to meet Devyani, thus angering Bhawani K - Bollywood Life",Bollywood Life,https://news.google.com/rss/articles/CBMi2wJBVV95cUxONHl1ME1aNmkwbTRDSmZVc2MzNlhDWnNWRk9xbEFNZER6NVo0aVRXQkZTam9XQ2FFcnFqSWFfbHdweWI2bDBsN1FmVlg5YlFnMEJBLTdWVUlhN2xHVDdod244ZEQyUF96TFBIaktQVWZlMmVjcVBPd09SUzdEQVJVNEtBUzNYQmVtV19WR3kyMkwzLVJuMmhsay1pOGt6NHBfRFp0TmtyVXNmaFZEcktvYXJ4TXdkQ29JR0NqTjBKMU5FUEdvR2JtZVVDZ0tuWW9SelV3M0FQcGl1Ym5yM2hyX0ptWmwwZHVMZWd6bjdudGxqUnNqYjBJXzZ1VDhsd1RoWlp3LXVGYWNxM1VGNzRwYWVfZndxMUNad2NtWWpidEJMcXI5SDhYVDBMSFZsVElkdmpQdTlwLXhzMGg2dUNrWVJxZEg5TGVUVzQ1c1RRSjBWR0Z5cUFFRklob9IB4AJBVV95cUxNVExqdkZlSEh5RnFqN0ZLNzJLMjN0UnZnckVMQ3dyX1NNWTNYVnpMOTRYRTBTMHdoRTFwMjluR0ZpblpyMkg4SkRFal9ZbmpCbkI0NVppaTBqekV1QUE5UWFrdUtTZnZYcFFXMkdlTzZmTVNyd2JORTlqbERkVk1WQlp0bk12ZVU1UGFXTzlCd1hLMmpYa21WQmpuejNJMHBzY20xWHExdmhhUXlsc1lCbnA1MjR1aGo1U2NDblN2VzdKX3p5dDBNR0FGZDN5VllwV2oxWURHa2lNbzlDaTFQTGFQYmJmSUlTbmJpazk1d3VIcWxCaFVfaUZWNG5oa00wcXh5WGtwZ3d0VTBHODJZVW91OUtURU14c2t1VXpBWlVOUTlYMnZ2Y0x2cHE2QWlkd3lfaExLUThtbGx4MW5GSjhMX1BqWXVxVTdPN3c3X1hYZFdjZmtNQ2lnanNFUmNV?oc=5
DEVYANI.NS,2021-02-02 08:00:00,"“I Feel Left Out. I Get My Periods Too, And People Just Assume I Am A Female” - Youth Ki Awaaz",Youth Ki Awaaz,https://news.google.com/rss/articles/CBMitAFBVV95cUxPamNJSUJoVEJUaF9GZ1YwMk9NOXBzaW82U0RCaTRrdGFkaHYzNnBmSXRRSVZaM1o1OXBQNWdkVm10RGN5aElweWVoaGRjVk8tMi1CSHktWWdJNF9KNjd2RkJwUC1scENhSXFKaXYyU2lySXYwRjlNV0FoakJjczBpYWkwTVFYLXl3WmR2R21WTHBINlFqbEoyZjc0U0hkbWd4bHFQZjNfVE1OM1A4R0FxSTJFVjbSAboBQVVfeXFMT2tKQng4TXlMNFZJbzd6ZTVBN0dGZm5PUlNGQTlMNFFvcXBXXzZBNXoxMHh3eXBOUVRIUmhaQTBKTExCUGJtRTBCUzFZMTZNY1pTSjc1UVhkZUZlaTBmc1NjZG5YZl9NcGcxVFR4SnBOOTVBbnZnWmVIcjJadGEteHlSc0U1S3NtdElEZG5HZm1qczg1UXZQNHJjVFA3Nlc5OVlvamEwbmFFaXlWQmw0RzJLVTMwWWhoZzVn?oc=5
DEVYANI.NS,2021-02-17 08:00:00,'Ghum Hai Kisikey Pyaar Mein' major plot twist: Devyani regains her memory - Republic World,Republic World,https://news.google.com/rss/articles/CBMixAFBVV95cUxOY3psYXl2M3c3YmREdlcxbTRJX3RKVlVUR3FXd09NdzRELUs4WUpoYm1nUThuTHFCMkxESjNUa0V4VFpERlN0RUdDYVp3bUg4dEUzR1NVNDdWQndrV2NkVzlLUzBHVy0wVkNxbWNfNnBCOEhmZXZsQm9IYm5sLXczYU9YYWlOb09uYWhXcWpfOGZqcUlSdXJYMEZfNVpZSk9hX0RiQmJPOFdldDY3Q3RKYUFMSG0teWhzVHlzdy1lSkdoNnpS0gHKAUFVX3lxTE1oeG9FQ3lZalNOUHdpU0JPcXdTLUM1U2p4aURIbHZFVDA2R3NXWUxWQTh0Nm5tQmwtTzBpQWxpcEI0TWgzRnF3c2duenVoSnZ3cHZKazdBelRyaVRXVjBLNG80Q1BuOWtkNF9SNTJCNDJrSGU4QjNoT1pMb2hzTXVNUlNJNEo3T25wNEFRdXhnX2ZjNDZ1T1NfLU1GU1ZJWlZBang3eUFqY24wNU9VZXVlcUQ5Y0tUWjVKZUV2aHd4VmhJc0NWMkRwUmc?oc=5
DEVYANI.NS,2021-02-25 08:00:00,Queen Mother reminisces with Indian Ambassador - Khmer Times,Khmer Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxQc2p3dVJiNjFfTVlRRV8xc3g2YXlSdnFFNEZDcnkxdzNvN1dLMjBFN1JJNHdBeEd1bFcwUzlsRWFGa29iejI4V1BFRWg5T21qRkxTT3phQ1JaYkRnLWJpbEVxVmN1cGVhWXBtcjZGeHZ6UVVQTlBYREwyRU84bmhMcG45ZXU0Mk95RjI4dVdn?oc=5
DEVYANI.NS,2021-02-27 08:00:00,Ghum Hai Kisikey Pyaar Meiin Spoiler Alert: Virat and Sai take a stand for Devyani - IWMBuzz,IWMBuzz,https://news.google.com/rss/articles/CBMixAFBVV95cUxOYXVlUDdqbkRMSHlYbWM5bmFYV0JieHFMVTFlbnJvUWpLckxlNHBQQUJDbkFXZnZnRHVFMDlVZjhiekZESWlmS0RyY242SVFJc3lHeEZTV051NFZ5V1lScTBqd1Zpcl9CSjVYUTVNZGIxSE5oVVBqamZSSmpncmtnVG1DTk5Md1JYZ0RCa0tIOGFoSmVJVXpVZjdDUktMM0Z6bXEtNDF0R3NCVzQ2R05iVXlWYzg4UkIzNjFZRUpPVFZwQXd3?oc=5
DEVYANI.NS,2021-02-11 08:00:00,"Kannada, Tamil actress Rashmi Jayraj ties the knot in a Christian Wedding Ceremony [Photos] - IBTimes India",IBTimes India,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNWxycElpdTF6YXRaSDN5X0d0UFBWbHRlRGU2QVg5MnZXZlJQSGhpYWNCNEt3WVJUNDJDV1pWSW9DT1pqeG52WVJ3cjBzV1p1RTd4MTZPcVJGR2o0OXZScUkzbHhMWnN4VXFCME8wRkhwQWhsLWlTd2poOHFCMkhfUnNCV2ZlUUJDOVhFb3BOSkJtMUhTUEV2Y25pcW5sSG1FUFpYNmJYMmFRQQ?oc=5
