Ticker,Date,Title,Source,Link
DLF.NS,2021-01-13 08:00:00,DLF shares surge 9.5% to hit 52-week high; stock jumps over 18.5% in two sessions - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMivwFBVV95cUxOOWtDY19BcnVYTUNCcm85VDM0aTFFbU5UTzlobW9PTk5KbDZWdW1XdlFER0U0M2lmRFU2ZzAxSVB2T25oTmVJYW80QmVEOEY5MG1SdFctZ1BhZnlSRFF1dHAyU1pWTFppSWhEOUhQbjdEZHAtYmlmRnF2bkxxbzQxdTFudEQ5T0dxVDZINlpmSkgxS25nVWw5aUZYUmdxblVic3NqRlZMTzZzcmhSTVQ1ZmM4X1lHbUZ1ZnNNdHlYVdIBxgFBVV95cUxQdDgyYTh4UDMtdENJZFJfQ1pkRHBVMXlzSExIMlRZQ2R6MndyTGVYUUJCb3Nhcm42RE1wdXRGOGNXWnpGOUVVTkUwRmVhWDZ0Qk1JRWNrSXlTdGd5ZktKazVJdU0xb2gxN19XczBWa2JHbDd6MDg2aVFpMVF5LXRWWWdJRUdTRXNrLThyM3BMTUpudzRDbkp4VTJldG8wbzFERXJTbFJ0LTVkNzE3d1FTNmhCalRISHU0QmdFNE9GSDFEWkxJbnc?oc=5
DLF.NS,2020-12-29 08:00:00,JP Morgan: DLF acquisition of Hines’ stake in Fairleaf helps DCCCDL headline valuations - Times Now,Times Now,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPaU5xZXQ1RWFqSTRTemI2MzJoQjN0VzVlaHNnRDNUV3BMWFVLLU9ZWkY5WHNja0NVeWZ6OE1GYW1sallraUFRaXZRc1V5T092V01reDFWNFZfbllVRGstaWFNWVdXak82U3JWSnlpMUU5cmxJZGY3bHNaMlFuSHJOcktvdEVJdUFzQXpSREJDcS1ZUzNQQUpoVENxbExxVGc2dU5nWGxqQ2R6NXVCV3JzSlZQeXZFU3NNS3gxcHJHZVNvcGJGa0F4d1p4S3gtMVRwb3RRSk1lcE9VM2UwZnNZOFQ3UTNUeGFHTWfSAe8BQVVfeXFMTjExT050LV9leE5UVlVmVHVOd0picThUMzVFUnVNRUE4ZFBDeFN0UXJsa2cwdTNvN3oxWm5wR1BscTh5Nmg3Mk16bk83UklOX3RRSWxydXJpQTVucGt2VkZiUk04TGtwUnNuMDE5bFRXMnowQXRyMTVJMDlRYWhhTnpCaF9xa3JvcUR0d0EtcnFBNGdPZUlOUEpCSkRDRWN6YnRCSTBmWXBBWjg1NkpWUndUNjJLQmQ5OXpBTlpGZ1BValplbkwtbndDMWMya1ZnX1d0Mnpva2lXSk9uS3k2TnBQUlpiQzJOYjdMMXlwQWs?oc=5
DLF.NS,2021-01-17 08:00:00,"DLF restructures existing loans to lower interest costs, targets to save Rs 300 crore annually - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMihwJBVV95cUxOYmZTek84NlZhRUZmM2RmZ0ZlVDdwd25xd0JpdmN3cnZZa2ZPRGhha1Robm56a1RXeFBXUklpS2ZhVV9xSTBvcDZsd0xKYmR6LW9zZU4wZm9uSTNTa0tUWVdmNEN4OTAwZTE3ZUNwWmMzRU9RTU5LbWxDUEx5LXNLU1AwOTVieDF0YWQ5WHRoMHZvTHdkNDZPWE8wWkFxaFJDSXhWOW9QNkcxZ3pIN0lua1hKbFpESFQzQkw2X1hoaGlCdzZhdkJobFFjNW9vNjVYNFNsN2I4VkhpSXZTYkhDVWdGZ1VkZW1XaEhTT0lhSEZLV3VIMVprb3hBTGtUVUszRjhwREx4QdIBjAJBVV95cUxPZUdoaDNuWjlQenBBUm5KbzZEMDVlZnZpV2x0QzhPbF9rWjkzNy1tLXM4UmhMNEUtMXNOMUVnT190WV93bEJqbC1OMXYzTTg2MlNEZjFKV09DQWY4MEFrVlR1U2JWbGJhbzhNVWlSekFub3YtMUJleV9OMUZ0MGdfcGNfOFJGZFVDOGdqTjlvOWZvaTZjakpPcUFUMHluZ0tRYTdzX3dNdlB4WDgzejROcnpRYkF5T0NteEhmTkJBRXRNRkY3WURIenhnMllSNlRkdmVNNzdoamQxT1VVQVhsRlU0WTJzU3VPR01WZVBxSll5MjNGdUQwdnJ0eXVYcUYxZFhpSy1vSGJGRFJn?oc=5
DLF.NS,2021-01-13 08:00:00,"DLF-Hines JV to invest Rs 1,300 cr on construction of Gurugram project - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOTGhqNHdnTmUwYU12N0lvZ1haeUpieVh3ZDBzZ3ZEdV9jTnVXTVRNNXNqN05sRDFYY1BWdi03a2pFUGF1SWZoWVhsbDNXREdiRWZCTkl0X3NnOFJaT1NMTTRUeFdhdDRpemhxbjdlYVZjSUhNNWdYN0w0aV8xS1JnaGM4MjNtRFk5bEpFSGU3QWZXN1hxajQ3djB5NkkwdzhJT3loNjNKQzMxVl9NRDh5d2hUT3ZlYUR1ckVTYk9zbEtqeFVuaV9VcUlpelV1U3pPQXhpYWhCUUhNUdIB3wFBVV95cUxQRjB0Vm1QQkhDQ2Z1MlRuUlpmQkExWXBMb0tMbDlrdnJVaXNaY2tCN2F6LWhDZVFDTndMb2NuMk9uYjUwMlBuRlVNM25yazlrbXBleXg4TVRiZFVqNl9vNFFZNE01MklncUpvSmF2RmVCcW9DUlJGaVhZMl9oaDc0Sk95eTEtQ0doQkp5OUtZdXhEX2trRFkxUEdlQjhBWGlEdXg2S3hUc21jWk5fdTFZQmlmQk5odFJPbFhyNEVLdWVIUC16ZDkyTGtsQ1FEMFlCTEQyMk13MVNqSFRwM0Y4?oc=5
DLF.NS,2021-01-25 08:00:00,"Stocks to Buy With Anil Singhvi – Experts pick SBI Card, Hero MotoCorp, DLF, HDFC Life and Rallis India; Know what works for them this week - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMimAJBVV95cUxPdzlXakk2bjMxVldULXZTNHI3TnozV0JvT1cwM0ZFamZfd2dYVjF5V0NhNFc1X1d1dHc3V0twYTVNNHhIZ0RzTDhreTNKVGEwWV9Dc2tWS01tWjBpT0l2WldTa3dNQmdERWdPYVp6SW1ZUkFBV0ZVMVBzc3pMUU1YS3BONTY5Q3h5WlotN0hDeXp0aXJmWGVvcUUtX2E1Y0ZxN3JZWU9kaTFHNHVQRUxUajZGQXhFYlVkM2FzdlVQeDdmTWw0SDNjRXdwRF9HVWZuUDhhM0ZfYW92bWNQWXNWN2pBWW9iOFZoanREbnlkOWRtcXRzNnoxVE1HTk1IVUhVNU15TDc1eVI3NXYzRDFOUlVjQUNsNHZM?oc=5
DLF.NS,2020-12-31 08:00:00,Sought alternate land from state: DLF - Times of India,Times of India,https://news.google.com/rss/articles/CBMisgFBVV95cUxPUWstZjRua3hXdjV0OWlyMVBYUmpNMi1NWS14T1NyLTNkVDltTmM0NUM2WjJVVUxTUXFWRVFZbTV2SFFFbGthZ1pTT0VuZE1UNWd5aC1nYUIxZjB4bm9yT0tKQmZodGZxdy14SlhQazBLRGxWRW5nLVQwWjJhZjlxbWNsaDNEa3RHNzlUNHp6N2Y3dGYzVndJbzJDWjhxX2JCM3R3Q3p1SDRiby1pcDRtdmJn0gG3AUFVX3lxTE1TS1lsdjRPTlVjU1Z1LUJMSjk4MUxWS1RZM1FVaTNtNDM3dWNNdl9UZXVCMHFxUEgxbFhoWk1UdmZweVhoX3lUN1B5Vjg1VVNiajFGbE9Fa0JBWGVQMXQ3ZllieDFoazN1MVNYbUlqUUFYWGY5NmNxNnMtc2U0N3BJeThhOC1PM3Y1NXdPN0ZycTVXZUtOa3drS1F4V0N0R0NVWHVPR1YzWjFJNFdGNER0MnNCSHJ0VQ?oc=5
DLF.NS,2021-01-25 08:00:00,Forever 21 Expands Presence in Delhi; Launches Flagship Store at DLF Avenue Mall - Indian Retailer,Indian Retailer,https://news.google.com/rss/articles/CBMivwFBVV95cUxQM3JwemI0bElzcC1IMGlXRFdEaEh4NTB6UVJlZkNSMGpyUVpiSEtMZUgxanQydDZRU3VLV0xRVF8zYVp4VzUxSjZKVGV6Znl6czlwN0xYYXBDSHZXSTZiWXZ6dWc0cDE4X0lZa1ZHWXQ5ZENfeXhjMGdacGpuZ3ZyRE5ualE2LXpFYk14TUZxYkhnalRhcElxclZyaWNRcVZ5WmdsdkNCOTh6UFlacWY0QU82VjdFRzRUMTJ5N01WVQ?oc=5
DLF.NS,2021-01-08 08:00:00,DLF to develop 8 million sq ft in Central Delhi - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNWl9IaHZxenF3VUtqWmRETlNVTUtzamdrNU5XLXpsaFBJYzB0SU1LeVN1Qno0SzJkU2MxZVJOWU5OTE4wbkdHMnNPUFBjQ0p5U0hoTm1oRjVtaFBtYVY3cDRUMk1XMWUtakw0RTNlaGVUVnRmb0JCOVRLX0NvN2RqeW0yMEluSE1tZXUwdDhjTi1XelJVMDRDQW12eUZMQlZnODB3YXJJR3FaVThRa0VJZm1FaTlwRmFWckZDQlJXZFRvNzgxRWpPQW41aDBiZE1oSHFEZUxtONIB3AFBVV95cUxOcGkxaG1WcDFPQl9DdTR4aEV0QWdZci1CVC1aN1VoVWRMa3RTWkt6d3poZG9NVFpHMUQxUXZQU1FvX1VUVDY4R25BbVFKaUZ4ZFlPXzFwZ183Wl9vM05RamJmQXp2dlZ3NnVPRkRzMUlKYXRkTGZHRW5vTmt1SFY1bWNwa0pSRHhwZmREX1JwRjFIVHhITW9MTGFnTG9Qb0tub0NFVEJSV01Da3YzcEV3YkdHN1l6MWhLdTNKclNadHZTNzNaTkw0Q3RXbkpNMDRtTDJnMkt5aENCMUM5?oc=5
DLF.NS,2021-01-27 08:00:00,Ramco Systems to implement ERP Software at DLF - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMitwFBVV95cUxNVXF0UERhU0NYc3VVOXdLRmJVbW0xNGhTOVh0WFNaZ2c1Vy15WjZwdTV5Rk81M3d1Q0N5QkJTaG9xZ2VIc2l6Qk1CUWh4Y2R0NXAwSnZoSElqOENqbThvakVmZDkyNnRERjIwb0E4clpWc2FSbWZocnRNOFVrcVRpeUdwR2w2ckNVeWNrcmVNbDlUZDVNZ0ttZVAxVnNodXBrVzdUUE1JOTdXcFY2NDJOdWltNF9FbDDSAbwBQVVfeXFMUFhGQ3NlNGlOZ3NRWGtKRWYxRXRRNkFEM2U1bWp2eDZPSEVxOFpTSmlxQjZxTzhyTS1HUDY2ckRuS3VLbDEtZmdHMUpPYVgtOG52aUl2RHV3LVJjRDl6QjNHTVBWaUlMT2pUTVA4NnNtN3Z6Q01jQ1NxNWZNOXZSUnNYV3ktMFRNUkJzUENzWEFaajBid3FyWVlPbTVxbHg1T3VNVXZfQkF2Z0VGN09SZElacE5mVklBOGlKN1Y?oc=5
DLF.NS,2021-01-09 08:00:00,Chengalpet administration to take over govt land sold illegally - Times of India,Times of India,https://news.google.com/rss/articles/CBMixwFBVV95cUxPN0ZYY2l3bGpZd2xsb2x3dm5EREV4M1llb29NNXFFcUhlMjZCY0dzSzA0MDBzR0RKV0w1UUhKQ3RIeGhaQ0xLTUtWY0NkVXhJY21vMjFOb29JeldLTzFrZFdGQVFYUVlCQ2dOZGZlNlp3S2hXdDFrd1FBYWVZNloxSXNveHN3c01sTDV1Q1AwYjR3eEpib183SE5zUU9OdE81dkNRZXRqYU1iY09QbVYyYjRkZXRZM0t0RTRfRS1iMkgxR3JDZWE40gHMAUFVX3lxTE9iZklSSlpuaGd5dWV1ZFJna3RTa25sTkdyNktfa1VUQnI2YVR1WlhSc2tRSjU1Q3ZPMlNJcEZJT3NFZnhCMnNRUWdvcmpWOXVkYXlWYklNSWpvV3U1QUlCcDlpU1d1TktpMzlrZW02MDFkNDVNWHh2SHluck5lam9ycWVUbWQ5SnN3Z0Zjd0xDQnJ3cjd4VzN6ZG4yWjFLeV9tcWRMSHNJWU9aMFJaQVo1RkNsczBTbnNYSTVubkhxLUpaQmdoN0oxY3I5ZA?oc=5
