Ticker,Date,Title,Source,Link
DRREDDY.NS,2021-01-27 08:00:00,Finished formulations from Dr Reddy's worth Rs 80 lakhs gets stolen near Ambala during transit - Express Pharma,Express Pharma,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOWDBkdlVxdU5TTkJRZmNRMTZiUW1zU0JVOUVqbEpKb3NlMnN3c3FFWkJtejJvWEZwQ0lmZXozTHU2WXJlUmk1b2k5TzJyM2tTYnN3Snp3ZGxRUlBybjZJeG1TckZpa1RicUs0bTA2Sm9kdzZmRmdYX21nWjNEYTFiZExuTkF4R3lscWstbV81RkNVU0ZFSXF3TXhqbVRYRGFWZk1EaW51dERkdTZoQV9yWkYwSHp1U1l0SElCd1IyeUzSAcYBQVVfeXFMT2MtNEpkY3hFX24zekxzclEwcUY4MnRxZ3c0cmR1Wm5WckZfeEJKWFRfbVhEc2hQSmNFbWQxN0QwQVhnZ1llbzU3ZC0yWDBfN1dvMTlrV1lJUnJfWWl4UGVTSlBwMDVIWkRqckQyTUNPUVp0RGZhSGtSbUYyOEEwR0JMZVplMHZLUlZ0ZFBvbHBRVlpiVFdRajYzUEFUYlNuZzhHRFBtR0I2ZWFNQmJ1ODFVam9VaUIyTVZNdU5CRy1TVG9mVUhR?oc=5
DRREDDY.NS,2021-01-25 08:00:00,"Dr Reddy's, Zuventus get nod to conduct Covid-19 trials on repurposed drugs - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaWhZZEhweWN5YnNpel9iU21xTWxPRXBmZ05jamRtSFEza2NBbmlBa0RMS1N6QXlNNDNBNFpNVUVHd0V1VFFFZHRiZkdYMlhLTDdKN0Y1RzBzWllwbDliZ1hVeHdSMldzR09ITGt5SXNSUVVOTS14SEpySHJRYVpHYnlKeHpSUmYwT0lLc2lBUms5VWlCeDBCc0VicklzdGdxdEF6MWZNWjFnVVpOeVdOVDczelRjZklHbDVyd3RVZnRLX1k4eENTbE9JZy1aU3JUX2V1TUQzaFhUZUpaanRF0gHkAUFVX3lxTE91WVZxRmcxYXNlWG56RkZ1Nk5OSW1NTEtrNHpTS0hsSFM3Q3ZIRE8tSVZfTzNfeWRjYlo4Q2VPV2pIT3hWNWdiSlFta3FOd0lZYkJpRlY5MHBDU0NxN01nYlFSWkRTX0xxYWdhaFYtYm5CM2tNeGcyb0JjT0ZNSmRtdVdXSnZuWk1KTTNSbXBuZHF1dFZCcUNzeGR4em1yRUt0ZHotY1VCSUJRTFFtajdxWFFFUm1odEJKZDdEYlRVbkdmTTk3MmptR3E1UWlsdHNXb3BmUUZjcWJheEp3ZjFJbHdIXw?oc=5
DRREDDY.NS,2021-01-23 08:00:00,"How a Rs 10,000 investment in these stocks grew over the decades - Times of India",Times of India,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNaDhnVjhHLU5TaU9adV9CYkotVzVmTWxNOGx4VU5SUll4NkFQbTlIZmMzNDM0bG5seXFKbHVZSjJVcmdDM0FfQzRQa3VZT3Z1OTdGU2NhZ3kwVnRvOVhUMDNmbG1aTm9ldC1sVDZXS2l1Ujg2eGFUdTktUTBGR1oyWm5KMzlRUHViQ29QajVGZUxPaGEtYjhyXzkyazdVVDdwanhSOUxMTjhaNUtmRDdwdFFBWHFjRzN3dW1VWi1QWUJVLTJDZkZkNVY3QzVTbmRrX19BOVNqVnNoUnJET1Y2Qy1R0gHnAUFVX3lxTE83UGVYaTl2NWotR3VMME1SdnlqTFk5RUw3NS1Na3VDZGFuU2p3cXpabG55M2ZXTUZpYWthaGtNVXJsT3NQQVU5MHVrbGZOWE0yVzVkSTZaZ2FoSWUwZzNSNmEzbzlIaXMzeVV4Z3EwSzVCMUFrMEtoT0FmaUNtX1V2RzV3UlBtWjByemhRZHRIZmdBVXJScEVYdEE5VW9CUngybFhNcndkVURuNzNFLTZOd0h2bmloeHBRMVNiaVJfZE9nTXJPajhCWDJrUnlNUzZrSWtxbjlQM0pKNnMyc1VQQ3JHbVM2MA?oc=5
DRREDDY.NS,2021-02-02 08:00:00,Dr Reddy's launches generic epilepsy drug in US market - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNVjl6emM0a2R6MGJvbEtDajI0T1pZcjRRc1ZjX0Q0b0dEZzZCT3VqdnFKWE9zams4NktFbmpIbXJGYk5Ra0pPVXl5ZTV1bXJTNGptMHMwd1NuckhmY1pxd0E2aDFnbEEta29tWW1rZUJLeE1KNV9kdW1xTjBRNmVON196c0trcHhkNGVtOXhKUzVmaEFlY25wdWQ0ZGNIaTNra3g2cFlKOVpleS00a0QyaEp4VHB6VUZWYmx4TkV6OEFNMlhjelAtV3hfVzZoMWVEV01YcmgzdmpaMU1hZXlZcDJ3UWjSAeoBQVVfeXFMTmh1Z3UwMHdaM3duR3VIdlp4WXVzU3lrbkpLeFc1WGJES091dnZxYTI5WWM5ZnRLUGtpdVpwVlQ1OGZLMGlhSmlBWF9UNHY3ZFRXUVZCRnFsSDYyTUhQbldDdE81d3FvS0JCb09weUV2cm9yVWxlb0EtM2V0aWpIMEZPa242Y2loLTJmLVRLX0JoOVExN2pZWnVfY091RWtGWVBCaHdGRk1wMlJOSHBCVE9mbGV6LXVqLXRaeENmQlJhcWRsekZxXzZDOThiNm1YWElBZnpFSlBPdENYeDJmSk5fdlVvUDlfWGJn?oc=5
DRREDDY.NS,2021-02-04 08:00:00,Market recap for 4 February 2021 - Upstox,Upstox,https://news.google.com/rss/articles/CBMickFVX3lxTFBMaXZLOVhGWGp0VGFUNFR0OVhWRktEb0Z6NnVuZDBQQXFqTkJyTnJkTlNRckhJZ2NJTVNQTmtUUU52NUN2bXhmczZGX29GeTFZTVZkTWw5eXQydkFEUjdlZ3pwU0JUbGhkT1BiUHd2RTZhUQ?oc=5
DRREDDY.NS,2021-01-29 08:00:00,"Market Wrap, Jan 29: Here's all that happened in the markets today - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxOa3FNYndWZV9jSlg2Y3dFQ0tFLW1rTFJTdFQ0YW1pbUZuczRVdC04aGJRVGRPUURCMWpFSWtlTkVhbDY0T3VjRWhLV2Mwd1Jnb1BTZkItTG53ekMwcVI1NDlGLTludWZrckVrMUdKeTJnNTVyTTlIcmNua0tnNDI2d0RkN0lRcXRNQm81alFrSUQtSXJjS3FkZERkdTJMaTN3M3lFeF9uMTZBYTA3a243OVRPNFBoSGJPeE1wdGNvSkVkMHNmQld4OG1BQkZnRVXSAdQBQVVfeXFMTm1DTWJodUtMcHBRUGtKamRpSXRvakczZFZFZUdhMEtMMG9sSVNnWXdvaFRhc0ZzQ3hRWFpxczluTThqbjdaTE1tQ0pnRndRaG96LXJ1Nnd6enRyX3pTYm5EaFlNRzlTbGpfNlN3aldVel9XU1NPTXJFX0xuaHc4TkxIeTNuZGpDbDNLNWp4cnQzQmhuMjdoc3d4dXR5VW9nQWVjY3AteE1VMmhXaFlSTWkxcUlMV3czcXJld0JvejVPRDZuUFJQZWVEa0VWeE83Nk9kYmo?oc=5
DRREDDY.NS,2021-03-23 07:00:00,"Vaccine prospects in India, US growth key for Dr Reddy’s - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivgFBVV95cUxQcE56QVM5eEEyZzl5SzF1a3pPN0oxcHltQkxOZnRBTU9mMF85SXRjOXM1bjV3Q0wxNHVKa21idkpRUXdZOVhiNS1IbFptektES1Fqc0NyR003VkdCSG9JTHpOOWNOTUdlOUMtd3cxSy11cDg5UnpQTldod3RUUUlwLUNsNWQ1UmlFbi04T0RBUllETV9oVEc2VFJveTRYeFV5ZUh5ZHhnSzd2cjZFcXFnNkdvVFd5VnV2V1F5MHVn0gHDAUFVX3lxTFBfVDJaQlZqUnI5enVfd2hrOVFPQ2YycmxfbzhENUp3NTcyaUgwM1hGZVVKSWt0d0IzSlZCRUxLMGh5UlpYdkUwdXBoN2VzNTM2Y3BhcTduWDZBWVFBQ1NSY0dGQ0ZtNUphT2cza01idHJHT1FyUDVlb0lVdnFrTk9mWGpjQlg4dmdFQXNQUzlkLVRXNnpJeVREUmUxMmhUYTl6VS1OVGUtc1djQ280M0RwTDRBTk1CUnNVMkNjZFVaVEhJVQ?oc=5
DRREDDY.NS,2021-03-14 08:00:00,"Sun Pharma, Dr Reddy's, Aurobindo recall products in the US market - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNLTE0UVNtN3VQMTU1SlVyRkl1b2ZSVGVMY1pUOXZqcUV1dGRrOVRyNG1LenNJNGo2U0k2dmVnZTFaR1lEMzd1MHd4Rm1jYVFPeEU1YWtZaHUzVHgtXzVLdHIzcGZHVTdHTXd3WHpmTVVfMDVSdkM1VUZFdE9HN0V6bk1URXhQbXVHczVtRHo1amJQNEZLSUpDdGFKQmQ5QWhCWDY4M2xDWlR1RXV1bHduUGdiQjhmUjdlbzJiaHB3alZSRkxiYWh2TUY0ZnhZZXdNTWfSAdcBQVVfeXFMT0RsckpRT3dpVWx1QzRmeVl4M2U3QWo5VmFicVRnUnhzNl9aT1M4Qi1HM0tuWkE1WkE5bnh5TUFwc3J5WngxckJMOUlUd01GS1NWdVEzaVJRc1FETkM3Q2lGNTVkXzhVa1BzNmpFaG11S2Q0bnJFN3pkN0FOejdwTUNjNXliZXYxVVNCV0xSQlNVeVBFMXJ6dWtla1ctc2dKVFVjYkNXdDM1dWtXXzFDMTRBVW5SVDBHakI3VkZMRzh6OXNQUkk0a1I5XzYxdUNHWkZ0SlQxU2M?oc=5
DRREDDY.NS,2021-03-12 08:00:00,"Sun Pharmaceutical, Dr Reddy's Labs, JB Pharmaceuticals, Torrent Pharma and Piramal Pharma eye Oaknet Heal - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMipwJBVV95cUxQTjRESUtSaVkwd0VYQl9iZzFiSUZKSDV1ME5ISS12VkNnT3dhZHZtdlpEYlBqNFpQWEF3MUp1TFhGcks3cHgya0R1b0pDYUY1eGh1RUVHaXF2MWhrMndweVdTME05QTJPOFVTanREZk82VDk4M3ZLSWtpd2dlNEh6a1RJSmQ2LVE1Z2Vhdko1S2RpQ1FmTVR6bHVNXzBfa0JmcVlBTWlvSGxNRUxLZWVXb0oxNGhIc2djSHhOYldIRG5ZWVBlcm9BeWdabXdIZ1dCT3pKM1J2cnZfYWZBMXlZRVB3dUNnLVQ1Y25YQVJZQmVOU1g2cWZZRDFoUGdGdVFRODVudHpxTC1STG9rOVo2RzRSRzd6VEFnU0sydENxaW5vZlUyR0JJ0gGsAkFVX3lxTFBGbW4yMUlISFZ0MEtOaHhUeWJHd1lMQXhTMUtSbVR1SndyTHlDTkR6TWc5RVdQZ2U4WjlRM1JCbUJ1a0hmUlp2VldwSDNrbnNrQ2ZtcERfX1BCMWZwYW40VFhXdXR2YmtBb0pUdnk0ZmlsZE5JNUtfUnRWbTFacW0zdklkQjFoeXRsYnNQNW4zRWpFemVaRF9qZjEtRW1OVzVZUE9waVZQRU9oNUlMMmpYcm83VDQ4c3pUTi1LZ0RGZUZzMXlTX3lnWjdNU2RpU015SENleldKcTY2MTRlVFg3OEctbnZWVHNVRmpXTmltU1Q1azJWR0FqY2ZXbi1zQjZYdWpnTUJkQnA2NUtnbjBaWExzbVVVWG43SEVhSy0zN0sxSm1EblpIdGdxUg?oc=5
DRREDDY.NS,2021-03-10 08:00:00,Dr Reddy's gets 3 observations from USFDA for US-based API plant - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNRDhIWElUbm41R09Ka0I3NWZ2V2p2NktSaFJpczRYT3MwblpOSF9yM21neHAyRzhaR0NsSktldHRNUHFCX0FhQ0FrRzBYM29UOGdRam1lVTcybGhoLUZfS2hEYTZWTkUtUXVXVmtBT1lmWFctdDEwQmlSbVl4aDNrTDFOM1RLeEZNVi11VGlhVVlNbjFZQVhhcHpkOGdDeHFXTUNGckR4QkVSNjh5OXRCMUVNVmtVRzdsZ0h3X1R0eFNMUdIBxwFBVV95cUxPQWVWUklJbUJLLVVIT2cxdDFMMzZUV28tMy01YnQ3ajVnRk42ZUNucUlXQkpPeTYxUm1pbXFNck0xdXo0LUQ2ZnVnNmttTHFqcldXUE9jYXZNbWprcVZ0NHpSZVdvcWwwdHp4MUQwRnh6ZGc2b0RYOWFSamxTdzBxbWtVYzdHY2VicUplUXJ2MFdtOGNRUTRTYmtlQ0w0Z1JjSlBYWVRLQVVVUFpBbVFNdElGZ1ZwTkQ5N3NkcHJ3VEd0SDFxUkhz?oc=5
