Ticker,Date,Title,Source,Link
ELECON.NS,2021-03-29 07:00:00,GDCPA are champions - Ahmedabad Mirror,Ahmedabad Mirror,https://news.google.com/rss/articles/CBMic0FVX3lxTFBFc2NfeEtVOUlxSXhvRkNUMHZSZXo4Y0NuVUtycFFCc1Z1ZW9YV2drVHBWd20yUXVUS2FSLUZ0N0dPMGtQSjg5RWEzcVdJd0NKN19iZWM2WkszT002Y0JEazhSMk5rdGFKVU9nS1A2SGtvUjA?oc=5
ELECON.NS,2021-03-23 07:00:00,CBD gang behind house break-ins in Anand busted - Times of India,Times of India,https://news.google.com/rss/articles/CBMivwFBVV95cUxOOHpNbXZIS19HVVBKSVVoQlJielQtMzF4NnYzbF8wSktVbDVBMDktWnZTVnJSbWhPd1ZybS0ycDl0Q2pxamdpVnRYWC1QT0RhNlBlSnlKbU1NRGo4SVJnbDNKd09vZmVZM05mNHNmN2pNdXRNLWN6eHE5ell3Z1JLVEFtQjBITFRTV256NHBMUE9ybG1oWExJQU1hNGxsQ2RDTDVGZVpOUUlELUY1RlFMX2FGc29qcDBRZW80enNJaw?oc=5
ELECON.NS,2021-03-15 07:00:00,Upgrading of Tippler project for Saldanha Iron Ore with total drive solution from Bauer - African Mining Market,African Mining Market,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPaWEzaVZKMEd2OW1NYnJUWUwtVEtxTWFXS0xrRGJuUVIzTE05bEVEd2xmVEgxTVhPRDhWMW1xTHUyVEVtOFhYcG1JN3VMMkpjcFZsOGRubGVzWjJCYzY3RnBvcTNjc2ozSmp2SnFibEJwaDFyVTNwNlNSc2xKbjhEOW9aTlBFZE95SERBZWVFRGVMMV9qWUlNd1Y1cWZsc2RkMlpTQTk1LWsxNmNsZC02bGVVUnBrYmpTdDJQSi1wLVRSbGs?oc=5
ELECON.NS,2021-03-29 07:00:00,GDCPA are champions - Ahmedabad Mirror,Ahmedabad Mirror,https://news.google.com/rss/articles/CBMic0FVX3lxTFBFc2NfeEtVOUlxSXhvRkNUMHZSZXo4Y0NuVUtycFFCc1Z1ZW9YV2drVHBWd20yUXVUS2FSLUZ0N0dPMGtQSjg5RWEzcVdJd0NKN19iZWM2WkszT002Y0JEazhSMk5rdGFKVU9nS1A2SGtvUjA?oc=5
ELECON.NS,2021-05-10 11:27:49,NSE/BSE Listed Companies Starting From E - Equitypandit,Equitypandit,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1vVzhTcDk3TllGTExIWTNlVnQwYmlzM2NZUHFHZ3FMV3ctYjVTNE1RWEYwdjlfM1dEOTJGS0dPUXhXZ0h2MkhvS0xpellBeDYwWEE?oc=5
ELECON.NS,2021-08-11 07:00:00,"After tepid 2020, unlock, export bets help Vijay Kedia turn the tables - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPNG43cDlTc0xUZjhpNWFXM2tXTWg2aWp4VkNmN09MRkR4TDFxV2RTZjQ0LURKdmJVUHoyaTZ4eDAzM1oxRWVvUVZ1ckRFZ2pBUXk4Um5RRF85SndKQUxrWFFudGFuc1lGMTgzalFxQmdnQzBPcFo0V0ZoU3ZZWk05cElNVk11b1IwOEk3TzZUY2lfank4VmlPcUd3ek5xRExVR1NKcTJwTnFrQUFCWG5Yc1p5WkE5UWpWTV9NeVZzVnJwbDBJWU02MTdXQkRiWl9VaFVpb2lEdHTSAd4BQVVfeXFMTXVMbl92b05ZRzd1dkdHaUk4eGdsbmo5TE5YS005VzlmVWI4bjVCUlJ2eDZIbFozZV8tdEJnVzl5TGY3ZUZTYWktZ1Jqb2pXelc0a19ESXBOTTF4YVpTTUtYZEFRUzYtLVVEem45eU1DeXpkVzFjX09IZmJCLVVCYVFxeVhtSVhrYVhRaF8tb25MT1BaeFRzSVo3TWN1X3Y5NWdvZnpod0otQkdHcFc0aHlFRjZlMEVEZUxKUVZia1RZY3RHVXhwNXVFNzgybUVDMnRGMTlneFdqVGVpTk93?oc=5
ELECON.NS,2021-09-06 07:00:00,These 18 stocks held by ace investors more than doubled in 2021. Do you own any? - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTnRvdmdqVVV2WFRCUTZxN3ZKYWZxTTBIOE03Mm9jZE1KS0JTaGtudzJEcVJyQ0ZVamF5VzBYSE1wRURFcTdoYmZESGVjTUw5by1pbnUyMEVFUTdSazUzU25odWN3ckxZVWd6U0V4RnV1QmhpUFpsRWloMFJCaDd3YTJGVEFxdTVZaHZhMTRqZXlDQUNYSzlZdlhHT3JnWlo2a09hOWt0LVlQSVk4T0VqWmRIdDdhMDBMUUJvR2hMNVAwUEZXSnh4a2xwQ19BNWZNOWhfZ2dwNDHSAd4BQVVfeXFMUHJnRFBXLVZCWVZEUDZtZkl6dThVaUctd0FfM1prT3lFZnJaZWpab3FqSEpLVDh0VHpJeWJxT2ZrNEJlMkVVSVI2cWxhV2I0Z1VVVVZ3VTE3MjNLV2l6V3VRRFZQWkFOMFJoczc1Q0NPOVVYRnNhWmphSkpNeHVKRVdaWktFOTZxM1ZGX25XSlRTdHZ3Y0JJV09ZLWlYSFdGYWluWnJZR2k2Y3Z4Qzd2MUdEZVI1eU5ZZFcxeDlUTUtSX3JFb2JmUnFuaUU4OE10SUY0bFJZNU43LVhmX3FR?oc=5
ELECON.NS,2021-10-04 07:00:00,Rakesh Jhunjhunwala vs Vijay Kedia vs Dolly Khanna: New stocks return in Q2FY22 - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWkVkY3I0Mzh4QndMNUZrYnE2MGw2Y1l6cWxIU2xHcEUxYXN2N3BJeXRiaWhxQ0hRbEdDQlVJU3FYbExhQTBiS3ZuT19wdzdlQnJ5SkU1TFBqQ1d6Mm16TWhUaVpWZ1lZWXJUYTFsVmwxQ3hLdExtRERpOVlobXVjcWJFa0k1UXNBVkxWc1NkQVl1VFR3T1RVQVJZSjJyRF9DZ2tyZVByVmxPc3EzOUlhSnhqSXA3TWRDOXhRdV9NeDdISjNBX0dFbEpBTG5IUDZQLXFNVHBBVFd2eldZZUs3NlNR0gHnAUFVX3lxTE45Y2tIY1hxa18ydHVDZ2hTeXFiOGFEdHk4LU9LdkRyN1RvdkQ4X2NpUS00TVNWb2ttcjFEb1NzdzE3dk1MYkdlN1pFZ28zSTlxSmNBei1YcllabmdlcTd0QVg2Zjh5VkVMSHN2WTB4MDVDWHI4RG9SSUV4S05XSjNvdXNXc29JZVMyYTctRXNHaWJrLURyQ0tSVXdtb2lLWkVIcnBzMnh4TDUzekF3TUZHYU5Kb0VXQmZiQUp5ZF83VFVFa0tVT0hEN1JDX3JOYzBYem1qQUZQaWRhSkhQTWh6c3dNN0w3Yw?oc=5
ELECON.NS,2021-11-03 07:00:00,"Stocks surge up to 1,625%: Broader indices outshine Sensex, Nifty in last 1 year, experts advise to stick... - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMijgJBVV95cUxNQzQzV3F4cUY1SVZrNFNMaVA1a0N2cmNqR2RPRFlrUDJEU0FEMG52Ui1iSThoQkhOVVZxcHVUWEZDejhTdVdGa1Q4WjJqZFZJb3ZCZWFjZWhrcXJXWXBCeXFZY09ZcWJmdGZiQjVTSGNBM01KVU5uUHFOUFJuQ0doOXNwWkdDRWctazAwZGVFV0p1eVc4ZnNjTW5yVS02RDNvSG8xYi1GQXQxUlVoOWdvSmRDc0dkNFhjNjZoWFdWWXZWWUQ4U1VrbEx1dlBKNG44WEpkOUNQYXhsMzIzWmFPRFlHN1JGVUZVbTJxZU9GRm5ERzhocUc3NDJvQ0NpQkpUX1V2d3MyU0c3R0N4UlHSAZMCQVVfeXFMUEx6S3BlV29hbHNYSUVLbEdRQ1B2SGoyZ09Ec1JVX0tmNDRsa192dkJfbVdDYXcyQl9JTUk4UTdjV2NuVFdfRWtlczZUcGM0bWZBTkw4YjVWYlBxbXd5QUdQQWE1VG9yZTgycTBYRWFuSlFxbVRSeFpsekJVWFl6TFM2SVZkNDZmT0pWdlAxVDRrTmJ5bTJkcGY4a0lGeG5RWkRMaE5ZSDFVb3FqbUZPc1FjTVk5OUFBSnZwWUNlcHVCajJOZUtSNmxIdzVMQUxsWE5TaExTbEJWTi1ONUc5eHMtTFpnU0FjWGxWd0UzVVotQ2xnNWRrU0NwZV8wb3M2ejEtQkp6WnNkUzViNlE5aGNVaUk?oc=5
ELECON.NS,2021-12-24 08:00:00,"Multibagger Stocks 2021: Up to 2,750% return! 221 smallcaps doubled money. Check full list - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi7wFBVV95cUxOUkpFTkl4cFZIWk5kdTlEMkJjbGE0M3V2bjBJajNxbU53YWNCWHUybWMxR2lEZGRndGZwYUVweFNNWm91SVFVbmV6QkMxSUlBTi1zTVMzdjRpWkR5bkY1WVVxdXI5Mkl0bkpEVnNBWDhIMlVNY00ydmN5MEtLUm1zSDhvOTY2REFsTUxxaXJPZG1Sa1F3b3czZGFDQ0t5M1dZYS04VXZ2YTdFVjE3VTZkMjAxaWdZTy1IdVNIcHpTNXBadTlQNDhLQ1RKQ1VCcjhlM3I4WjdnU0tOOVpVaG84WHFMRmhEeUpaaXptX1F3Y9IB9AFBVV95cUxQZjNLTzJoQmFMR2RsNjI2bS0wRzZ0MTFmektFMTVxYjFtbmZWalRUWXFaaDEzQmRoLWpSZ3d6ZkZadWpMNzRnRjNBRXo4R3RmclowUjhnTFRkMlh0QWhmeTlIcmV5NmhqejVOTU5BZngxUWpGeEpWWGVNSG9uVFdRdm1GTVF6MllsMnNMS3Q1ZlRmT3NIdm02R3lQYlctUGpoSlBJa25oM1pTdlBoR2RNUExIaExLVjloMy1aYlZGYkY3cHVwbXNGMFY4RnZqYWhLREtJWl9lYVZfbWM3XzVyS29tY01UYmQzN0F6UWNCVGpoeFRk?oc=5
