Ticker,Date,Title,Source,Link
ENGINERSIN.NS,2021-01-26 08:00:00,How machine learning powers Facebook’s News Feed ranking algorithm - Engineering at Meta,Engineering at Meta,https://news.google.com/rss/articles/CBMidkFVX3lxTE8xd0xqVEtXWGJkZmtseDJwbVdaUW9vcmpkbUp3NHd5ejVRdkkwZVk5N3pKdklobUpKVy1BR3RXbEhNc0hWQXg1TlpQeVFPUlE5UzJZNzZ6RWtUU2pzSWJSamRKa2RnbE40elRCbUJFenBkYjNoTVE?oc=5
ENGINERSIN.NS,2021-01-18 08:00:00,GE T&D India to sell Global Engineering Operations Division to group entity - T&D India,T&D India,https://news.google.com/rss/articles/CBMimgFBVV95cUxPZXJhMXkxUTRjbHZRWFd6YXBlLTdFMy1pZUxybTUzc0JwUEY2QW5POW04RXNJS20zeVZHb3B2UUJJNUhjWGNDLW9ORFV1S3FuTkFaeDJiLWRvbzRNcFNvWVE2THZQeUlYU3RuTHVzYW5OUGFSbTVXUWRzUGhpOW9fOVVQVGNldTNNb0t5WlV3MFlfOUQ3MzZ0WnNn0gGfAUFVX3lxTE5VMElRY3RvQUJEeFNaNHY5bF9pT0lJZWlGRVJYelB2a29tUDRySmtubVdYdi10NF85MF9UUEpoQlZVSXBnSEhsS2dqR2R6NEdkT2tORXM0RE8wSktvV0NDUzRnOTQwbHBrdm5sTElrWjY2cXlrNzBqNnBmY3F0eEFISTNwOFpvVGpfYWNCdkU4cUF1VTdqbXV5U2lValFMRQ?oc=5
ENGINERSIN.NS,2021-01-23 08:00:00,"How a Rs 10,000 investment in these stocks grew over the decades - Times of India",Times of India,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNaDhnVjhHLU5TaU9adV9CYkotVzVmTWxNOGx4VU5SUll4NkFQbTlIZmMzNDM0bG5seXFKbHVZSjJVcmdDM0FfQzRQa3VZT3Z1OTdGU2NhZ3kwVnRvOVhUMDNmbG1aTm9ldC1sVDZXS2l1Ujg2eGFUdTktUTBGR1oyWm5KMzlRUHViQ29QajVGZUxPaGEtYjhyXzkyazdVVDdwanhSOUxMTjhaNUtmRDdwdFFBWHFjRzN3dW1VWi1QWUJVLTJDZkZkNVY3QzVTbmRrX19BOVNqVnNoUnJET1Y2Qy1R0gHnAUFVX3lxTE83UGVYaTl2NWotR3VMME1SdnlqTFk5RUw3NS1Na3VDZGFuU2p3cXpabG55M2ZXTUZpYWthaGtNVXJsT3NQQVU5MHVrbGZOWE0yVzVkSTZaZ2FoSWUwZzNSNmEzbzlIaXMzeVV4Z3EwSzVCMUFrMEtoT0FmaUNtX1V2RzV3UlBtWjByemhRZHRIZmdBVXJScEVYdEE5VW9CUngybFhNcndkVURuNzNFLTZOd0h2bmloeHBRMVNiaVJfZE9nTXJPajhCWDJrUnlNUzZrSWtxbjlQM0pKNnMyc1VQQ3JHbVM2MA?oc=5
ENGINERSIN.NS,2021-01-21 08:00:00,Brokerages see up to 25% upside in these 11 stocks even as Sensex scales 50K - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPMkR0bno0elJXNWp6YWdwNjNoZTV4WFZIeEc5ZVlQR3BaYWFSbEowcEVvYXlHbHo2TkhSbkl2ZE55OEJqWEphUXlhQnFyRnNWSnYxUzdJV25iNGVoc19qRDdab3BVZkhIemdkQ1BFZ2NCZlhMOHE1MkJGLTdzVjVDNXVnd1dQSTRPYnFhaWVEYXZtNGRaQW5qZWV3WVg2VFpjaGRoME9MeVpSbFRxVVJSZWZjY3F6bkpEbzdIYVlHSnRDWUZXQkh2SkMyQXQxakpZVmIyYWNPc3VPRS1LRjVN0gHkAUFVX3lxTFBfZGNTQU94cWluZDlkVlp2a0laTllhMTZmTllIQ0o0TXBkZF9JUzVDZ0g0VnFnV2lMZHhuOW1DdW9uSUJTLWZnSHVpaEZ3X3ozcG1OMG1WSk90TVFSWFFSV0s0cmtHbnlZRE4zNnlLQ0pzLTlHdUF1bkN5WGczMFU5M0l4d1JxQWpaLWRZdGt4a1NnNVZhdXV5VjVTUTdzVjF1M2RvRTdjM25UZWxuM2p2d0QtbEVTYm9GU0tYal8wQ0VMYWhFaTEta3dBVHpwRzNWSHFtWkEzdFdQTDFDcmdYZTVsVQ?oc=5
ENGINERSIN.NS,2020-12-29 08:00:00,"Sensex gains for 5th day in a row, Nifty ends at 13,933; financial stocks rally - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOdDU1OENqbWNpb3dHSjd2Z0FDVy1fVE9rYUlIN0t3cVBsLWNBbEFiaElDaUdQRFdOTGtEb0Z5cUE0Q0puWUdZOElLX0U1Q19YWS1zTEloZlNfUGpIR0JiZ1UweFhfcUZqcHFFT0JRQkNWdXBud3lTdWVaMHE0b2JZWHpmdTlrb3ZvTnJPVXlBaGgwVkk3bTRLdXFmRmpEcFVSV0c0UU83STl1VTBwTGxIVTJvdmZQaXNCTXdCYWpSeFhrWE1XVU9MMHBQN1o3UWNId2VtUXZ4N1pkbGvSAeABQVVfeXFMTTJtdVdyNklXc243aDM3eWlUOG5BOFFpM2lDS1lJbzVRY1k2eW9ON19nSEVHTW1mQW9BMGhmVkRhRUdYTzhKR20zbmo4OWRGc3VNXy1yTU5CelZzaHJoZjREMS0zcENURzhTYmlJQUVXRnJMYW9NdTBjNmtOdF9uT2t6NFlJZzJOb0RMSjcxRW9IajYxdUhiRnpGWWFsendDaGZqMVdoSWt4TnRXN0RZVkNEVVVscE8wWlE5TVFtVWM3dGJibGJtcHhWOVRfUXJJbFdnSnBobHF2Ukh1d0VZWm4?oc=5
ENGINERSIN.NS,2020-12-30 08:00:00,JMC Projects bags building orders worth Rs 698 crore in south India - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNQkFKbEVxY240Z2QycS0taXVSamJmY3NpUWFsUTBYNE8yTzlQQTZhYkp5Z2t1UV9ZX3VIMks4dE5USUlkUHNqazUzNWZjeUx0YXNGS2gzOHhyWWlIdkE4ZGZxbEtoYVpTX2hWUUozc1FLY1lGZUtRODVvZzBUc1JjeW9HQ2RqR1dRbDVOdU9YeGd6QnVPTWxJMVIwdDRZU0lTbFNaT0F0SXN6aGtfU1Y5bDJJWlVhTVIwQlg0Sk8wR1dZLURzakJJS1N0Tkl0Yk8zbUx3SldR0gHbAUFVX3lxTE95QmhEczlCQ29XekZwQUtKYjNwa1JSbUVuTFpwRk1CQXhnSHFXZ2dSc2xjTW85NTFjaXhtaW9aYTdXcmp0ZWdaZE9tMl9Va09ZdFIwUXVCdGxBcHBuQTl4ZVJzSlh2VDBmLXloY05JLV9PT1N6SG1aSXBMcE4wTE5KR05Mb3hTVmVnMVJhbnQxbkFOSjZqTEdmYjN0YmRCZDBlV1NsaFpLVUJTc1AwMHpzU29BQWxjNnJ5WWtiM3Q5X1otUVYyU1ZWNlNVbnJrZWRLVmZ2VzVEY3RHbw?oc=5
ENGINERSIN.NS,2021-01-28 08:00:00,KKR’s big bet on India credit turned from windfall to wipeout - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxPb0NoeTBUTG5WZzdFM2pMaVdKU2lUYVJhRV9RbHJWOE5NSHFUTERJM2RobElSUzlkelozTzMwcHgtNWI3YWFCZ2NubjJVVlM2TG9XSXBTVnBHUDJTOTVEbFZQNkg0OHFhQ2RBUkZWdEZ0TG5KMlFrdGMzZUhGMjFzbXJTRFZUMkVGQmdTYVprd3M5Y0hsb2lTTHU4aURENlBrMFZiNjhDSkJJeDZmSi1EVEpfaWpKalVQOEtWMW52RVU1SEtEQ0pVTGgwMzFxd9IB0wFBVV95cUxNdDFiMjNvZG1hLWpMYVpjQ3c5d2FtYk13SnBjb0xsanBGTkdmVWpMZEZ0b1NzTFlXSzFIWVV5X0g4VzByUEZ4SUdZZi1ydnpOT3B1alpxSXBBc0h2dklDb3QxQzBoaEdsNlNsNVVPMUFiVHFxTkVsbFN3TC1GTGJ2ek81aXFBdF9CSmR2UUwySmVpeWk1MDAteHM1RVNuZnFDTnNWb3JLNG1iZUxCN1Z0THM1UlZjd0ZxenBKa3BmRm5IR2pWY1RnMlRtai1uTjZXT0JZ?oc=5
ENGINERSIN.NS,2021-01-05 08:00:00,L&T Hydrocarbon Engineering awarded EPCC contract by HRRL - Hydrocarbon Engineering,Hydrocarbon Engineering,https://news.google.com/rss/articles/CBMivAFBVV95cUxQUElEMGtHVG9DNGpSY0dyUWJ0aTY0aFpzVVZ3UU5CZzR1NkstN1oxdUdGcGZEZG9LZ1JWaDItRGZaVE5fS0dVb3JzbEQ3aUNpVlFYZ2hUdGtWWVhFNnhENkFoemVMSnBmVHBrTnhyZUctNnZNZWxKcGtELTFOQ1Zma3lKVEFsN1BuWDBsWkRPdnRNTG51bG5mU0poMWk4VmZHTDI1ajBZbDJraDJSNUN3eEtYUEVaS2gtaGdIVdIBwgFBVV95cUxPQU9LOGtWcW9pT3hFTjc5Nm1LSVBDWFRuVHlNTG5DeTNDbmJCcl84dmREWFh0Y1BfdlRFMkJONFJ3bWk1VjIzVkhyT3NscklhcUN4OWlpVFpYRENscFVreWdwMjlyTTRWYldJOGhRclBtLVBaV1k1T3pxSjBuOWtiSVpZLUh5OThMTjFVVGU5NzJjRkF6eHJfOGZwYkJGTktjY1lxTTJEOWZWZ0ZENE5Ub2RWT21xLVlCbGE4Wk55VDVNdw?oc=5
ENGINERSIN.NS,2020-12-30 08:00:00,Stocks to buy with Anil Singhvi: Grauer and Weil is a top Sandeep Jain pick; know why he is so bullish on it - Zee Business,Zee Business,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV3JVV2xTYXV2d3ROd3dVdGdxaGlVSDg4NzdJSFluZzRsYVJlSnh2c0N5M0NOdHRqcWZlR0t4M2loS1I4VjF4RE1oTXRYbW55Nkc0TmJxcFY3QkFWVGMxaXBtbFpEMllJbUYxU3JQR1BCQUdFaEh2OUlNUnlPQ25QTXpSZFlGcEJTQkVmRERKNlNjcktDTW9EN2g0MWo2VGlOQ3lILTRWM3Ryd2Z0Zm1iSm42cVF6N0tYOTZ5UWgxQjFhdXhnZ1dKdnNaX3B2WG03SFBwZjM1Z2NXb3ByOWRPYQ?oc=5
ENGINERSIN.NS,2021-01-22 08:00:00,"Explained in 12 charts: How sensex breached 50,000-mark - Times of India",Times of India,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPRVJzOXBsYXJMdjZnMWRXMmxla3pwdEczcnJROGdnS3ctbm5SdnVMNkN1SXBOWDZNZF9sd0pINnA3bUNYb1NpZkxWZU81a2FIQTZvOExsRzI2ZW56N253YTZXYXhEcnB4UUJzMHY3ejJEdWc4ZEoxcTR5Q2x4TnktMDU0SF9XdFU3VEpIN203eTBNck5yZVpsaDVJbmxQMHB6SjYxSVZxdkRnSW5zbjNMaXhMTEstVldDdEdtanNKMV9nUWhBdHU2cE5yZDRRZ2tEazJZdQ?oc=5
