Ticker,Date,Title,Source,Link
FDC.NS,2020-12-31 08:00:00,"Stocks in the news | Filatex India, Sangam India, FDC, Centum Electronics, Chemcon Special, GMR... - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMijAJBVV95cUxPM1dWZnJydURNWVhYeXFTOWVYaXZoZGQ2VXJfVlV6dzA1bl8td1VFRWg4bWZ0eFBFakZtWlhBTzZselo0eFYwZ182czVDZEwwRVFMLVBVR3R4RUxlbFk4OEJUTUZ2NTVLb2F6SjRpSWZJRkZibTdSMWt0OTR3c0pjc0pxRU4xemI0NE1Tb05KSXFNc3JDMnJOelFuX3o4RVloZXRxenJQRHZuNlZfenZpM2kzaHJsOTY1VDdlcVJWdGtpQ0FKVGR5dWdIdklibEVnSWJ0N3lDMDhtaEpUMG1hZlpYY1k4dm1oeldyUW04RGRQVVlUS2E0ZExjUndWemVFNGRJVUhySnRCUFFN0gGSAkFVX3lxTE1CZkZEUDl3TWtRa1FOUTR5OGlXNTBMU0JUbUFIbWxqOWM4aVJzRGtuRjFPVEdWMkVpa242Um95a2VfYU1zcnFTZzdjYmQ5R0hiOWgzaUNSanlmQXJ5clcwQ0ZENjdJRHpWWGpXRGNva3llMlVBWk8tdjJrdER0cll0Vk1IbmU2UzFpdWluajk4MTRJa09qR05HSjl1NUJjQVZxRVhYRXpUX0JYblJodm9CcHpKX1lWT2loVXhGNW44aEozNkFZZEp0aENHaU13aGJwOHpDcnJJZVlWbjRROTZpbFV0Y1RaZ3pXMVh4N01yYnduWGxQYzBGY0lnd05YSTZCREx1RV8ydFNWb1Q4aEJLclE?oc=5
FDC.NS,2021-01-24 08:00:00,48 opposition MPs took Shs20m ‘bribe’ - Daily Monitor,Daily Monitor,https://news.google.com/rss/articles/CBMilgFBVV95cUxQb1l1enBtT1VEaXpzSFlyUjZSaWxMcXNKWlZaR3dVUTBXS2lDWkhRNlFjUVNvWjQ3T3BJSjJaS2NRX215TlQ0amRBRXdQRGRFRmt2SHpTTGt5NFpqanVuQnU5cllpNXhKMHhUbE1CNEZKR3c0LTdPUzU0cld4R3NaZUo2LWJQREotQ3ZmXzA2UnpvY0VfWVE?oc=5
FDC.NS,2021-01-15 08:00:00,An Official Journal Of The NRA | First Look: Magpul Partners with ZEV Technologies for FDP-9/FDC-9 - Shooting Illustrated,Shooting Illustrated,https://news.google.com/rss/articles/CBMirgFBVV95cUxORDRHbWxmVXFIajUxcVJHdE93Z0N3SGhIZld0UURoVDRsLUVuZzR1a29fc3FBSFdiWHJNam8xQ2E1YnQxLUw2WU5kUFBlWVh3LURjVHZDRGNXRWljYXBXOHRQMVlndmVvcHV2MHRRckFCQ1AtUmRSTkp6bTFsZGpHUmY2LU9TQjBGT0IxUEEzLV9qakdDSnBvcTBuNWJ3VzNwVWx6YzVIUEpKd0hlVHc?oc=5
FDC.NS,2021-02-07 08:00:00,Florida Department of Corrections denies rape and coercion by staff at Lowell women's prison - Orlando Weekly,Orlando Weekly,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQVFpBYUk3QWxrbFRrVmhYUlJuV01KeVA4Q3hrSGYtbFJBMUhTbHZNZEE4NWFvQlJyUF9EZUs1QktVTENRNmcxQnZZYkRtWDZDeEFRandXdE5sRUNCb0VfSmM0ZlEyNmR6YVI2VEdMNElTY1ExUFJTZ1FtRUc2bjJLd2lPcTZOcGFyWXU2dFcxMW1RTUF5NEJRMElFWTREUmNVNDlHSGg3UUxEZWlwS1dJWGU2b0lWLWt4ejZ4d0NPM1lNZ0QtT1BqMWs1WUl4SGk2R1E?oc=5
FDC.NS,2021-03-09 08:00:00,"JMC Projects surges 13% on winning project worth Rs 1,000 crore in Maldives - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNOXp4ZnJqR3kwcDY0THB3eWFmNGlFMHB6YkxYRDRRWHNmOWtRcHZvWWlIOXdnRFVfNm00NGtodFZMczZ2WWJVLXpodUZyQjVxRmtEV1BRcXlrS1FUazRtcU9PTUhtQ3FPTHNjaFIzNFo2VVI0cWtRU3VxMW54Qm5tQTdxdEpRZlpPcUFNYWZ4WXRZMWJDbVBiQUQwM25GS0o1QlNjZVlXSktpcnJoTVAwVXNQQ3duZGVITV83VjFaWTFmMjZ1VTBNOFdJYTN4Zl81Mzc0US0wQ19DYlZ40gHiAUFVX3lxTE9BOUVIUHhsdFpqcndOc2ZNeU81Q0hacHYtbXc3WVN6b0N2TG5ialRBVm5IbGxzVjRuSFQycURlMVJINlE5MVpTMlFzYm5kY3lZV2RJMEl5WmQtZzZDR3Y1SzdpNlk1TG96enlvcGdTQUlrZHJNUkVRMHRLdTNsUkVQYnFxREhTTnNCNGpuTFk5dmI3Y2FXczFqaGNtX084VWhjcUJOZG56dDFFX1ZFVV9KNWI4Rkl0N09nUl83RFdMWVlXM0hONkZBRlpVWENrZmFhX2xOZzBFdTRXUWIzX0dZcnc?oc=5
FDC.NS,2021-04-22 07:00:00,"Health Ministry nod to Tamsulosin HCL, Deflazacort FDC for treating Asthma - Medical Dialogues",Medical Dialogues,https://news.google.com/rss/articles/CBMixwFBVV95cUxQOC1BM2R4VVdIZExZOFl4QXozUEliWTU4T0sxLTlETVJOajloMWFLSDI5ZVBhc19QVDg1YUpLaXB1NVExMUkwcWUxYXF2bXE0b1VMMUgxX296ZXdHSW5tYXc3NDR3ajFJUXdEX2FNQ1lYOE9lU0tmeVgzX05YdEJ1aS1tdV9EU0NBRkNwWHRPcC1XdnFqYTctUVBWMUpIYjdYSWVwMFdETm4tWEhHUDczYldFSk1ReVh5alNNNUpEeWFReEFqbFJN0gHMAUFVX3lxTE5vd1ZSN1VCcTVtUUdTb0ZoVWdxNkg1WkNsYzdwYUtxdXU3Z09PTU1BOUV5R0JpZWNfYzlfM0xTanFkRUhYZURveGxVTHY4U0RMSEgwdm9HX0xPMjA4bl9hMlhTbE95MW9oRlFaU3hvMmRmMG5YY0JpMW95ZTFuVVNxa3pVZXpHbmdLbmF4NnNKR0s5UGtHengtZW9xTkhud291Y2U5WE5taXl1WnhaeVp5VWZYNG5uOUxjSmJ3TVNreS1fNkg3R29wZmMtMA?oc=5
FDC.NS,2021-04-11 07:00:00,A Novel Image Analysis Approach Reveals a Role for Complement Receptors 1 and 2 in Follicular Dendritic Cell Organization in Germinal Centers - Frontiers,Frontiers,https://news.google.com/rss/articles/CBMikAFBVV95cUxNTFhwX1dMRVVabElRVDh3eE8tMVp1VDZFdngyNlVLT0p2UUtkWTN6RmtPZ0p2c1ZyT3pQQVhzM192WXE5S2ZsYzBIak4yV0VBczhnWk5PcDRkSXllYU5DaEtNWHBlcThNN3RjaXpNX055cjlKVG56dDgzaDNnaGhSZkVwMGoxX2hmYVFxUWhBQVI?oc=5
FDC.NS,2021-04-20 07:00:00,Rash Following Medication Change Prompts Evaluation of Excipient Allergy - Medical Professionals Reference,Medical Professionals Reference,https://news.google.com/rss/articles/CBMioAFBVV95cUxPUktvQ3hWZC1Hd25VV0xxMDl4SUx5MDQ1dHdjMWpzd1M3QlFDN1pXMzE0dzAteU0yT3pOX2x4ZlBXeXZOb21EeTM4aV8weE1fTDMwdXl1Zi1HSDlkZ3d6ZGVpWDBjNFI0LVMtWnFaRzl3TS1DR2JvZkJSMWFMMWhkaWlpOEliUktQalFBcmZUbTg1eEtialM4OTFjalI3MVJS?oc=5
FDC.NS,2021-04-03 07:00:00,"Cheston cold, Candibiotic, other painkillers among 324 cocktail drugs that could be banned - ThePrint",ThePrint,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOUmJ6Yjg4enJlNEZtdmVSQTRybnVlTGtwVElqU2txRW14cGE2bVdsb0FxYmNDYnpQWFNSVnQzQmdaVUZjalVaWnlLeHpGeS1Md0N3dnVWejk1TlFpOEVxMW1hQ1QyUU41WFVyUmFsMGh6dlI5S2xRdDZkYW4xTGE2dGoxUnIwZ28tZTN1dngzTklFUlRPWFRKOTE4b1ViTFBVa2VKckYwX0dSY0VBRGtZYXlzQV9nLWlPY3ozamo1MlLSAcYBQVVfeXFMT0tjSTQ1TG9HbVdJdFNjN01IUFVPVnlyYmJJd2ZmcUQwSlpuSGUxVWQ2cFJNRXhhaFJ6blFzNXFmVUlNU3hYczVmTFdKdjhQMV9MVmJnT1g0UlZLcmpFNDNfVTN0VGE5ZHZ2akxqSk40cWd6QllKamFHdG5vWVhvZ2ViOEtTQ2pyUXFDTl82UXBoMlJmVEtnaVR5NTZtQXdiXzZmMkdBNXJ1VWNuY05KTWZBaHBlLTB0cWpER1JiTEpQZkJjNjh3?oc=5
FDC.NS,2021-04-18 07:00:00,Designing for the future - Khaleej Times,Khaleej Times,https://news.google.com/rss/articles/CBMic0FVX3lxTFB1N19sOUMyTEJaaE9FeVcxcEo5TzFVSlE0MW0wWnVPS2hyMW0yNUN6VUdjV0ItbEtKcWJINVdEb0FaeFYwTWwwdEpqUVdRYm96MGlab0sxZ09XZGszb00tWWU1MFRfLXYzc3F5VVNoaGVWQ0U?oc=5
