Ticker,Date,Title,Source,Link
FEDERALBNK.NS,2021-01-20 08:00:00,Federal Bank Q3 Net Profit Declines 8% to Rs 404 Crore - Equitypandit,Equitypandit,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPZVJkRVE3eEJwRzhPcDBNc2pGdl85Rm9Cd0x4Y0t4THF0Yk5OWWJlQjVaSmt0UmNMOVZKdEREZGZ3dzVqdlpqZGNTZjZXaTI1OFlqcWtwenNfc2hOM3A1ZXhQbU52enhndlVSVGZIOXBkUnpoZ09CbnNtZzJVVnlxbEpDcFhPaFdWQ0Vr?oc=5
FEDERALBNK.NS,2021-01-21 08:00:00,Federal Bank's Shyam Srinivasan is Business Standard Banker of the Year - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQQXBTMGszMlZoRFEwbnUtR0owX25sSDZWVlhERkZydmVxczhVVVFRVzE2OW5ZZU5vdTRtY3VCeFFHS3hTSFg2Mm5JUWN6cGZESG10RVd2ZDZST3VjcVRsSmo0RzI2dWUtRVk2NmkwaHRtY2t1WHFoUW5CLV8xSzdiUG9IaGE1TWstS3YyWkZpRGs1NGZseHdRcGdqZTNKbDZNU0tNN29ybUE0ai1mZHhsSEhES2kwUzdVMnp2ZHlnN2V6RXhTNk1LRTJLOXdiNzEwRW9oQ1ZLUk3SAd4BQVVfeXFMTjdnbWxiQTZfbVQxTkUwdmZ0REQ2ZVFDcDhnbWQtelF3bDRsVkpXYVlyUEZCcWVEc1d0a05LNjdBZlFfYm9EZG9JUmVhNTJFcXM2TzI3ZDA1WVF6T2xuMVVwQnNSMHMyV3VWUFBua0t3MG1KaktpS05JVmlsZ3NrdjNUaUF5VkVqZEx1cW1oSmp0aEVzYmxtTGVVM3pWRjh4bFUwRWE3VUZTVlpjMmFmMUxkdlVwT1NMUzhESjlCdGlncFBHV2tZUWJ5YnBIZGFsWXlsU3FVMzBVOTRjTk5B?oc=5
FEDERALBNK.NS,2021-01-13 08:00:00,What Was the BP Stock Price Before the Deepwater Horizon Spill? - Investing News Network,Investing News Network,https://news.google.com/rss/articles/CBMivwFBVV95cUxNWXNJanU1LTVQYUxiZ1NOY3RYc1Q5eVdIMmgyVnU3dm5KZC16eUEyWFlPMTFzeEVpNmRmekRBZk55dFJ1MkpMOGtHdzg4REZyRnAxUWVqV3NVMnI5UENmbHVTRkotVTlMTEZEMnF4MTExcmxmNFM0MlpFUG4tUDVmMGdIZTBjNVBRYkxGTWZrTENzNVRHVGs5Nnp2NmgyNWZsVkZScklrQ3VqRVl5MmRlaEtlLS1vekI4c3AxVk1rZw?oc=5
FEDERALBNK.NS,2021-01-07 08:00:00,"Sensex ends 81 points lower, Nifty at 14,137; metal stocks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZjV4UUxxb21yeV9xcFJaREJXeXZDd1dTMmdiWkdlWGJJOHRzakVfRVg4N1hOTFRDSzc4UUZhcmd5NzFqQWdyVlppOEN3ZE1qTFgxVUdEM3NwOHBRenl2cE1rWnZJWGFMMzY5OElkUE1LQmNYM2RqUkVfNFBSYlNQQWphbW5oT1Z1RDB1Ri1ZNHZrU2VySU80VVM4dFZteVZJXzFLbUhKc1dFYllwbDUyYmFGLUF4NkNzdUs4bXBQaDU0Qk5Wd3hlcjlCY9IB0AFBVV95cUxPY2ZQb2dSZ29oQWY3YmY1Y0p3R090S0U4ZmZFcGl4VVZ3WThHbTFPQ0tPbjRTYW9DR3NibDNWM285WVN0U3FxN1NDOU45MHRjMXNlZWZvWE11cVcyMVBOVVJnODZhQk9weF92YTVuZG1IeXZ3Mjh1TFMzUm1rUFAzUE9DTXlubXB4bEkyN1hpQnRwS0NSV1MyYVhVVjZKTDBzbXBQQjl1dWE2amI5V25mVE42bW9PRGRDUjR1RGRZUjQwa09YWG1lTGxPcXpVc2FI?oc=5
FEDERALBNK.NS,2021-01-09 08:00:00,"CBI books Hyderabad-based Coastal Projects Ltd in connection with Rs 4,736 crore bank fraud - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMihwJBVV95cUxQZTNNTUVQamxaSmhsbGI3dEN0dEQwaTNDUDhJdElnak11bVphNEN2R2RDRjZnbUQ1a1RIT2lEbVFLUHNTeVJaRUlGRzZtRWIycFBiTDE3cHVEaEZkTWZmMVBLX2YycDYyWUVXaVpFeFRQcjBOa1h5amptUmpqSHJoMDZRZDhCRVoyY3N2bDRucm5yLVpLRkl6c3lGVml3ZW9xQ0E1RjRETWZsbDBuQ3BvamY5TXBCQVlRblp3b1EwTDZZMDlXQUhfa1lYc3lXUXJaNnltbVhSVEEyenNLVUZmTjNfV2pxQTZNdDJlams1M2JKc1plQWhSM1dvV2J5M1dVQ09pRUxpd9IBjAJBVV95cUxOZDZ4OGFoeWhxb2E1TDJoWkdCc3Z1NEthdF9ESnN6dVZhUE1rWHp0WEd4Y1hDVGJmcWRZWkpHNkQ3SDRjVnh3NkRFdE8wY3FWTDByTHU0cmNSZC0xSUpzRk84SkxGc25NNkhBMXhtclpjNXluM25qOTJQWHBYNTBZOGJDTVFOaF9RX0haOWt4R1V5aTQ5NEJhLVMxYTM3QXZJYUdsZVFSNEY5Q1Q4X3VYa1FUVTBGZEI4UVlMSER3aVdmMFg3eWRZb2ZmRmc3S0pvb2hpX0UyVW9QQkpQam4tMTJSTWdhRWFzNGt3TTZuclV0NnFWc3l4aXZFbFJ4Z3ZzSk5ObVZNcUtWNEt0?oc=5
FEDERALBNK.NS,2021-01-06 06:09:32,Rakesh Jhunjhunwala News: Latest Rakesh Jhunjhunwala News and Updates at News18 - News18,News18,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1oQ2FoN3ZXTUY2Z1dsZzNhUU1ob19GX2tsbjZrejBtR2RRdXp6SWxjdVd1Umt1YzZjZmktWEEzTzFHMEFBZ1NxU1VWVXVGa0gxUVFCdzJ3Y2dOaEV1aS1B?oc=5
FEDERALBNK.NS,2021-01-27 08:00:00,Stock Yards Bank announces major acquisition of Kentucky bank - The Business Journals,The Business Journals,https://news.google.com/rss/articles/CBMirAFBVV95cUxNREUwUC05ODZiZGx2a2VfV09yMXVhc2xXakIxelFmZkpDMEJibEZId0ktZURXTUM2ZFBtdmNtdG16a0VkcXBhaHBNYmk3MGJaYTIyd3EtNWxqUWVfOV9qN3U0YTQyUW1XQWhXY1p4a21xSzVuOUhJR1A2bXNaclNKaUdKZGluUUIzXzQ1MWw5ZHlJUkJhd1JLc20xa2ZJZW1FSklkaldHdGxDQlJ4?oc=5
FEDERALBNK.NS,2021-01-21 08:00:00,Reserve Bank of India imposes Rs 2 cr penalty on Standard Chartered Bank - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPclVJMWRLRXNpc2tiZTBMNTlqa2pDaEV6c3RvZFNMY2d1QjJpdWlCbjhzbnpXa1RDVlEwUGtKeUZjVklVYzA5el9ySUFhaXNtZFNhNXJCTEJMTHFfRTlVdGU1dWRBZEJiRlBzaVRjeExvX21Sa1paRGJaTVhqdUluMkpwenBOUFkzdWp3OGxISWFuVEVacmRaYW5UTXNsNzNodW9ObTlwUk1Pd2NETlc5bWl5cWV6SXJzUC1Ha1lGRXVVMUVnSW5XcURaUGNvUG9Ta2JCc1JZaDkxUdIB3wFBVV95cUxPUGdiaXBFUFZBd0VJZXk3V09za2Q3RmRRTktfWW5SSzJReDJEcmh6bDdHQXlqSVItc3BreDh3ajUwMWhoS0tFbXFKSUp1cDhoNF9rUkFqZGMwaVVVaTVHNnRHMDg4VDYyTnlBdFQ3UnJsckVxZWZnby14WFc3bXpKRnJ5M0V1NnNmYkRyd3U2N3N0b2FKbTNZVHFiMUg3cWlDQWotQzRvQzlUZnhiNDBvNWJpNGRHdU0xSmhOTXhiWHlGOVRlOWZUT0ZXelk5YzVTMlhjZEF2b3pEeGhZYk0w?oc=5
FEDERALBNK.NS,2021-01-22 08:00:00,"YES BANK Q3 results: Net profit rises to ₹151 crore, NII jumps to ₹2,560 cr - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxPNTZVdG0ySjZoSVVuaUE1eC1FRmo0MERBSlkwbDZlNHIyeUNneUVYNVFCN2Zqa3ZEd3NhcXZvaDlLQUlvSWpZNk1tVFppeFByNHhoUWVEbFpadURsV3k5RzRlMGhJSm5fQjNKVEUwNGgwOHpwUVJXVVlXUmk2RGtoa3d0VGtCN243OTVGczJuTk53cjBtNU9XS2pqSEQwNVhfak5nWWlvZXBYajB6MTBscVBERm3SAboBQVVfeXFMTlM3dXV3eW9GV2NyaVAwazdsNEZlNUJFUW9WZjZCS1JHR3E1eVc4bUYtaWh3WFZiOXZQRkJ6OGJaNk93YmZHVElfSkItMFZDMW1ERVM3SFVMMFZSLTlHRy1ISjg4NXN0Q1JOLWJtV3Z0LU5oZDhiaDBJUFVqSDdlb3MwLTBnWE1JbDZCcnBLVm9UNVdTNnN1bktFUldTMVZ2LTJTYnJRWXprbUZkVHFqMkVfaEoxaUI2dWVn?oc=5
FEDERALBNK.NS,2021-01-08 08:00:00,"Shahjalal Islami Bank reelects Chairman, ViceChairmen - The Financial Express",The Financial Express,https://news.google.com/rss/articles/CBMivwFBVV95cUxNbVlXMFZKSnQtMmpVWW45d010TXBUbU5Bc0YtLWJ3VDlsTzZlek5zZXIybmF6eXpBSjU4akJzMHpsMlRRSzIxWjBNMXpWRjkzT2VsVWZ6REY4dVJ3UjFxY0tGcXEzZ2lTRHVKT0VJSWY1WEI3Vkk2cTJVWTdjeDM3WTJpMTZmNkh6ekd6MTl6SENIaEdMZTRwR2owQkZYbUR6Z1dSQU14SGh5Z0RhTk4tN19zclIxTVZSTV9UUU0tNNIBywFBVV95cUxNSHZRMUo5Q05tQ0M4V0ZmNzRjRk1mb1RVU09zZnFueWVkU3JuczQ2eTA3cWV0am5JcmxOZXNvUnVjSHJ0X3RDR2FWT0FTWGJPT1A0TGdXblQtX0JfWmVHMmFyN3BUdzJ0Yl9wUkFEdFNMUXhVc0IyRXRFdllnT1BiZm1IanRHMlZNaXF2czlDWUpKb2NwZjJWdEQzUU1ad0pqbXNSNzg0STlnN0JqZ2VhQXA0a0RfcmlNeklUVS1GdnN4aWRjWVVFVHVnVQ?oc=5
