Ticker,Date,Title,Source,Link
FSL.NS,2021-01-12 08:00:00,FSL dips 6% in 2 days as Rakesh Jhunjhunwala cuts stake in December quarter - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQkg3dTJibVVGY2lRQ3B0S0hvSkFEcXpqUnJHRG5mWXhWTXhlV3NnWjg2cGJpTnYtQTI2VHUxWGRLTXkzd3BYWm9IRFowSEZOZUc1V2h6a3JPQWxhRE90Sl9jZ0hfd3duc0QzdlMzSVBtcGNqZ2JpMWZiV3BfQTZIQVZob1AwVkFDaURoUXZIR0hrQ1hWYnBkTjIxX0FKeXAzNl92VTc5djhuSWVNdFlOU1FDVWNORmRhVDBobm93T01feE4wYTVuUElHcFBPRmdYdUlPal9KX2HSAd4BQVVfeXFMT19ySUZ2V3ljNUtGYXZXTnhhQW0za1UwOUZObEJ4Q2M1MXlEeURoNDlXZjV2ejVObHdPNDVHUGVCZDd2NWw5R3Y0OXVyOU1CN3BnaDBzWk9wdG9Lbmt5Sll3X3BlMWxsTEtGVDNXdVBFRzNJcThFN3FDdnVmTDRNN2pNakF2cy1BZWd3aF9xQ0lCdXN0Z3FDeldtS1BrM2pjcnZUX3NWV1hpQkxEaFUydWdDUENfclpqZjFnUkgxem5sZUs4d1FXYXc0MG01dUlVT2JCbzRoWkc0RWpIVURn?oc=5
FSL.NS,2020-12-30 08:00:00,"FSL staffer held for taking Rs 10,000 bribe - Times of India",Times of India,https://news.google.com/rss/articles/CBMitgFBVV95cUxPTXdRRDZwTGtOVVFXYU9wbHZ3NmNodkdSZjhFV0s4THozR2lUal9RSmpWdUJTbnlFVVZuZ2dtVWo3OG1SQXlNaVNyc1BqMTVkY3hxek9lNlJpUDBOc3hvb29PR1RkOEJIbXN4Wk95VGVrTzdwQW1GOHBoQWJESDNyWHNGR2RWRGhodHZRX1otX3RfTjk0STZEQ2paeGdxdmZmYk81cnh3WXJ5OWhSazRyTDZNMHdIZ9IBuwFBVV95cUxPZjZ5WWVUWTdwLXgzWFdRVjJ2cjBKMV9xYXNZLVFDVTl6TGdiRTdqanhuYTBEcFFnNUpEbW9paUhSelVJNmc2QmhPcDRxZFFiNlhDbUktdE1BUTdEV01HQ2lzNWFpVFZEa01NTDlmWHJHaVZCejVWZlFwZkRLNzZKdUgxbU1VR0RleVV3T2dITmlTeTFpX1NHVmxxemh5eVp2ZWIxQXBkNFotSlZjVThrc01MX3RQa2RvZHpj?oc=5
FSL.NS,2021-02-11 08:00:00,Criminal justice system crippled owing to gross delay in getting FSL reports: HC - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNVV8wWDNSaWloM0RadEJlODlzMlRBenR3Mm5NdUFNeWdIdmxrWXoxSEZEc0xxRlY2b3NDV3lTNUV6X2dXN3ptMWgzUDZZYUF0eE91V1V6ZUNoZF9TRWdpSjlwMXI3UjZHNVgzTmFoRWhvY2ctQ3FvTWI0RHpWUHl3eEZ3MjE5cHV6RG8xOGVRNEFjVTVpTlo4enN0T3FsSTh5NGlxcHFjazF3ZEVaNHVsdWI2OVVOYnlKbzNYRVQxYnRDb3ZlSEk3VlRZa0VhSzhacVdsWEl1Vm1QaXZzeGcybHJR0gHoAUFVX3lxTE5Cc2NNRUFVM2xVMnFDSmx4N0Rzby1oWU95MUlIZ1lBeXdoaXVLZ1ZIYlhvTmU1RFFpZVJPVVdvdjlIOFBSTnI4YU5oWTdZSGswSWxySlFwSHU5QXFjZGJFTGw5RXNkQ0x1LTB4cjFBOHBabVNheHp6ZWRiVWliaTE3TnZtRVQ1WmpoWXdmdEtYUWhBNGdwYkc5Y3htSTZ5M05oY0hUNWZJa0ZGNzhHT09BSl9HY3k2Y2IwWWJZX01SbHpNVmQwbFlXS3RlLUxIR0xPaUR6U3kwLTlPWkdRVUZiQkQyaHpmX0I?oc=5
FSL.NS,2021-02-23 08:00:00,Haryana's fourth FSL lab started in Hisar - Times of India,Times of India,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOU2RHZllwSElBaTF4SnJkeWV1Z0dYMG9LczRxQ2FXSkpMVVliT2lQZUJITTVQTEJjcGw1dUVnOVZsSV9ST1VhV3lSZlJ5VGhwNXlWN2doNi1sTjFqc1U0dFpLZkYzbGVPY2NmNy1Jdzd6MzZ3SV9VTFMtVWxjTGRxZExZdW5oXzhCamJUWjI1aF9iT2phRkN1VUpiWm9ZcGFtV1A2TFFwTUZRU1c2dzVaMm9ybWpwQVVm?oc=5
FSL.NS,2021-03-20 07:00:00,"Gelatin sticks in SUV capable of low-intensity blast, chances of big damage dim: FSL - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaHZJVzljSkZMaWk1N2VpNTQwUE1TM25jNmJ6TkU5Tnh5U0ZkUlBNekpUVXRBMzFSaGh3TVJvbkpjdDZmcVZwUWs3aWZMUGFQSV9TY3RkbHREZXJzQVBDQ2NRRUY0NkZGSWlCN05MZFZuakZUbVBibkFaN1VnX2lUWFUzZzNuVTc4QjVpN0F3RGtkS1l1ZDN2QTdWQXZIQVZjZU02dmRDay1HazhScl9TV193LXpGbDNVVlplYVpNSjQxWTg3UExWbWljTVJIbmxzUlJ6dTBhY3FRTXBGZ0U40gHkAUFVX3lxTFBUdlNmbmYtVnRaX2R1YnVOakhBMkI2ZTRCVnlWeENyYV9FaW1LV09oUGdnUnhHSWNIR21TOWRUaFRfN3BUY1BaSWZlMVhDVk5YR2trcEY5ZDNXaElhRl9NWndVNWNOMHN2d3pfUGlGWkQ4dXZNTkRRZFVtX1ozXzlKQlVsT3lEX3FMbG5PNTZMcVRIZ05IS3pwdV9yQmt3ZG9nZjJmM18yY1plUHkxX2ZOYnpOZFp2VFVJTWd2T0FnaHA1UUE5NlozTk1Dd2sxWWJQaDRuVWlPQkJXZzNvcG5jeEw2Zw?oc=5
FSL.NS,2021-03-19 07:00:00,SUV case: Six-member forensic team from Pune visits NIA's Mumbai office - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNb0xzeDVpREdELTIzV2Y3Sm9sY3VucEpENllJS2E2eFBwWjczeU1HR1Rud1YxUjk4R2RzR2hFUXVSY3FvdlhXdURoUnFva0hUNTNfSmx4bVhuTGZnQ25yZHVGZmRZc1dtb1B1TWlId0gtbEQ1QldLU0xxcjBhT0xMT1I3XzN5WTAxZ0F6MkJVNnpHV1JZTkUySkdtOVRvNlJqYzFJdGNhdDc3ck9TQ0RtQnhQeFRpbmRYTlpneWdlUzVlOGJTRmJ4TDk4LVdPY1JDT0ZQWGZVMmxGMGlEWWpFLXdB0gHnAUFVX3lxTE9XNXJJSjZRVFFuTjlsQWliYzV4ck5jd3hMX3lkUGJ6ckFpVy1QZGdKbWktV1hvZzFtVl9CSHFUOHp5dVA5Qk5HZnB2MEYtaWxYRTg3YnJ1dFVpSjY2VmdhUk5wVVhlVlpTZ2YtT3gxeVhoRFJSZjBrazhTbkhQSXNuYjRBVDVjQ3JBR0Z5OFlhYkhnVWFESVVkVUpsZ09XTHlYWUotU2cydXJTdTFYdmtNRW1ha0pxZF9LNndWeTRhR0FrRi1HWUtjeDUtelFLa19VVnNkZTBhbnIxRzAtX3pZRDJPbThIRQ?oc=5
FSL.NS,2021-03-07 08:00:00,"Car, gelatin sticks found near Mukesh Ambani's house sent for forensic test - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPWW1PMkdxc2toc09DWVNsSjJrZm5fTHhXTWVNUjJJRm5wM2NyTkJjZ2R5V0hnUzV2c29YTFJxOG1saXZQUGxBdjdqV2gtSzd6RndEcEdKVWxaOWVreVdZRUZDbVZVWG1BU2wxVE1SY3lRZWtVejdWMlE4YzRrVkVYRDIwS1VZMHBJRzBUNUUxbE5RTEFGVnNXbW5Ed0tWRFFBNDBmUEJ5VGV4dW5mN1FkekJRNVl6eU1pWDhfM2x4VXp1TE5sclQ2WDJvbGtqSExCZHpMR0JDX0dfdkNYX2EzWjY5M3lOc0HSAewBQVVfeXFMUGdqRnNGQmhtTTk3NGx0UXlXRmlVaFJYUzV4alAyTExLMnpaSXpOaEVwWXZWeFZSenJ0cUNXNEdOQTEtXzZLMkJJSm14U29qMWVlN1FfTG9wMjRHRVpXS18xVW9aa2lXcWRIeEsxZnFEVlY2TjlmU2xGejBCakh6bkptSC1VdjFBWlFjZ3l0M0lYS2VYVGN1bFpCUTNEVmVITWNBckhoUlVZclRrRm10OGwwdG94VWJ5OEZXSHFEZWVWMEluUGhGWDVPRGFwV2hLcllFSDZNM0U1RFVhU0xSRU1oUDhPbXBlTVhVLWE?oc=5
FSL.NS,2021-04-03 07:00:00,Set up separate FSL for testing drugs: HC to Karnataka - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMixwFBVV95cUxQblB6TlZvVGRITXc4bXkyUmI3azlUZ3JqM2xqTHhFOGp2LU92R0drR0pZaVI1anpxdDRiUWd4cTM4RnhDbEhnMHFIbDJJajhXZXhWTXJaVnk5anI2MzMtbmZVNWp3cHpjeGpOTWNyY1FYb1RMNnAydVlFM0luZHd5WWY0XzYweHIzQnVwZWNzUmQwc3d3ZF9zanNGRzg3ckhoOUk3QmxkVElOSEJScUxKZkg3WjVrRnlVZmFfQjdhUDVwckY1MTRR0gHUAUFVX3lxTE1oMFdRT1hHSVNyemE2dk9yY3FBenZ6aVFIbS1qeUJWN1g1VktSODZPNFNSQ1g5ekpKemhJZHQtd24zeENsTmluYmlQNzZ2azdQcmtUbXJXdVNrV0lCNnNXd2hpc1BubnI4MHpsYjJuQm05Z29lSUR2dHhBekE4VkM5VTN6MTdvWXFOWFY0RTljQm93SkI3RzNYWWFQV1ZYbDE2STJyUHdrY2RjaXV3NFJQdHFaRi16VXd4VkFvcXdNcUdJWnhIa285LVhpRGJNVGVaWjJp?oc=5
FSL.NS,2021-04-03 07:00:00,Govt. to set up forensic science lab in every dist. - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMiugFBVV95cUxPTHB1bkhKdHE4aTM4azVCa0VDQXBPYjB6Qkl1MWE0bzJKTkh3aUM1SFY1WkZGRU5SS3FyMk5ERlAwaW12bW1LMm5aNkg1d2ZuMzVHZXRKazRSaFozN2tENXRCOUNUOXpEaXhjUXVta2xjMGUwZzdYcmpIVWNrYTVsbEhIV2tTeWFpQ21jZzVGeERCTWltb3B1UnpQM2dBNkl4eTg2aS1ob0pNTW8wWHYzT296MkpSVm9oQmfSAcABQVVfeXFMTUtQa0dSMExvNHY5b3pnTGpRU0tQMF8tUWswY2RNY0N2R0F2Um1HaXc5cU5ab1U2bmFBWHdDRll5LThjTHNUM2RCekxFb0NvbWdzMVZqRXBEZWRxQkdwZXBJYzNTMUJmelVXU3lnNGhXMF9OOTBBdG1iQ0JOeVc0RnJjVTlHZFgwa3JycHBpalVUOGVyQ25SQ2I1c0NRVm5lRVlqZVZ2Zzk3QkRsV1dHek9WbGtnNDU4YXBUU1V5dklx?oc=5
FSL.NS,2021-04-15 07:00:00,Former Professor Shoma Sen moves Bombay HC against UAPA charges - SabrangIndia,SabrangIndia,https://news.google.com/rss/articles/CBMinAFBVV95cUxOUllCZFdrek1nR2NvVEFISnRWeEN3RjJRdmxYTUZNeGwxRTNKY3E2bjFUWkhQNTlDX29QUUFrblZuQS1RbzRCQXNzekplYU9mc2hPSjhaaHJQbVhvODM0X0ZoRGFsRTdXYmU4dzdVWGVDMVhkb3U5d1J5V3ZIX20tZ1ZWZmM0d2tNdzQ3NzRkVExrZi14N1RUR0JQTHDSAZcBQVVfeXFMTjYzVGR5bllsMkx5bHVMQ3Jtblh1N0ZIVklQUUF0cVVtZ01FRFVwT2Y1NzJjNHZGbHRNQVBJUThnWTVWRmF3OTlIc2xNbzljTVIyYW55OEpqYXpPWkZRYXRjUXVydm9QOHJpQy1oZG5rejRhYmhyTFh0amFUQjY2V3hJR2RSZG9uWGlQeS1vY0FlZ2Z2RFBtSQ?oc=5
