Ticker,Date,Title,Source,Link
GAEL.NS,2021-01-02 08:00:00,My three favorite watches shared on Gael Monfils' Instagram - Time+Tide Watches,Time+Tide Watches,https://news.google.com/rss/articles/CBMieEFVX3lxTE42Tmp4M0dHRkxhMjJnWmE0LXd1YV9WV0JPZzloUGt6M1dZY2gxV0p0MzljakFVRmNVdFhrSGFyQW5rSU0wMDlUWHJfRTYtdkM3YW5XZWJlVHhyak15UzFicXcwNjdtanFBY3ZlSzFaUU13S3lXTnNSaQ?oc=5
GAEL.NS,2021-01-28 08:00:00,Houston County Schools Superintendent awarded GAEL Vision Award - WGXA,WGXA,https://news.google.com/rss/articles/CBMilAFBVV95cUxQS3NfdXE1Y1BTRnlDUlJrc1Q0YnJQZlJRTXk5cW10bnNDR08wNjA0TGVVNmJndm8xRjBUV1JfN2VGeEJqbHNjdFVadGlPVEh4VWR6dklPa1RGZUxxRC0zTV82bDBpMVRRY2ZOME1fdzV1Ui1KdWl6YjhzSk1KdFdDTGJwZmRYSVZSazJFWGlvNl9HQzI1?oc=5
GAEL.NS,2021-01-23 08:00:00,Gael García Bernal Mourns the Death of His Father José Ángel García in Poetic Post - Entertainment Tonight,Entertainment Tonight,https://news.google.com/rss/articles/CBMitAFBVV95cUxQNVExVGcyT1hVUHZsa2pnYWFtLW1lSHB2LXctN0NYRmtKRm9iRHN3M2hiNVFNZ0NnVW5rck5SSmlMdkUwQ1F4QTNxRHB0QVo3Tzk2R21oa0JMN0JLSVhlcHVKLWh0QjNVcG9VZDJXcVJESjYyUklmbUZWVmlvWTBEcERjR2dNdExfZWJCNzNCNDBXQWdlRGt0N1JKc0xZNU10ZV9PQlNRSVVCTFdybXFZRVB5a1TSAboBQVVfeXFMTldleXpid1dqU2xoNEotNHBtb0RUel9WeE9hT0ZXeXZJR1FEdjRBRGhGa1dsZWR2VEZ3c1NXQXhxRTF1UHRlRldobkIzVExIZVo3cHhlZ0ZJaF9tS1pJT1JTX09BZl9ST1dTNEFoMXMyaU9Tbm15VHNTRXBJUkdKcENQM1c1QXhXWTlhR1F4ZlZDbDRiaGYxMk9RZXBuYlo5MHotc0ZyY3dZUXc4eU1EeHRUUTA2SEtGNjBn?oc=5
GAEL.NS,2021-01-04 08:00:00,Inside Fine Gael: Saving the State reviewed - RTE.ie,RTE.ie,https://news.google.com/rss/articles/CBMimwFBVV95cUxNN3JyZTZrTlR2VXl6WFh1TlFhYTRoVkJGRTVfMFc4WEV5d1ZVOFNZWUF6SXNXcEVZcGdLMVNBVENkVTNldDVnbTJlQ01HN3U4WE5fSEVWQlJWS1Z6ZVdpd1JSZWRyMmlMWWNwQzV0OVlmODNNcmJIRVZoaEl4cnQ2NEthNFVzVW9jcWNSZlN1UkpKN2YzVVE0VmUxaw?oc=5
GAEL.NS,2021-01-19 08:00:00,"Shaping modern Ireland, political biography - Dublin City Council",Dublin City Council,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQdWJvTGo3MFduV0pINEp5MjJQSjhyeHJXMVd2V3JBemFucDNEajNudmk2Z2gybW8wQmliUm91bDMwVEFEQXdDeGx4Z3ZkclNROTJkQVZOSndVekh1RlF3NHdPTUlfejM4ampJaDl1MU43Zlp1TGx0aVBvNkQ3ck1zRTQ3V1dQUEVu?oc=5
GAEL.NS,2021-01-23 08:00:00,Kakuta: The forgotten Chelsea wonderkid who could have been a star for Lampard - Goal.com,Goal.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNVDJTdkUtRVQ1Y2tmMTFtcTBrVXltRFN1cTZfS3M2SlY2bW1MZkNLWW9UTE45V1F4aVBDRHctSWUxaURxdnQyTUVhR2VqZUtSc2NYNFBQREZHeE5XYmk1RzAweXBnT00wc2pjRGNkU3Q2MjVxci1FcEppTm5iU2x0bmhXeHBZcVJidEdrcnpfT2hrVEdybXBrSVV0cC1TRUxFenRmR3hOa0NWUQ?oc=5
GAEL.NS,2021-01-11 08:00:00,How austerity birthed a new Irish protest song - huckmag.com,huckmag.com,https://news.google.com/rss/articles/CBMihAFBVV95cUxQSHVQd09XQUd5NDE3cncwMm9PT2NoemRUVFU5cm1HWnVGT0dvMkdhYUxPN1RmblROb1lmOUdGUVI1Nms3RjcxRmxRN3hFakhEYlhXZHF1N09YWF9XcTd2RTFCR3g2aUFydU5FOWs3MFdoYmNMRVJTc3V0bjk3THVpeDRyeVA?oc=5
GAEL.NS,2021-01-26 08:00:00,Shane Curran set for ‘Laochra Gael’ spotlight on TG4 this week - Westmeath Independent,Westmeath Independent,https://news.google.com/rss/articles/CBMirAFBVV95cUxQZlRmbjFYcG9LcTJ2dThrSjBNQktfNzF6M2NfUk1rN0VLM1N5cHdpeUZCNFB0S0NDTFRMbm1fUTVWcHNHdmJWX2VUT1ZreHY5RFV2RjI1WVhVSlZ4Z0ZOdnhfV2UyYkhNX0x6bm1SdGhCMlJ0SEpxWXZXVnBCMWtjOFBTY3ZnbVJQYXBFOGtaU2FaTUcxdlFVRXNEcmZUZ1dPZnN1dHZjMUxsUmJ3?oc=5
GAEL.NS,2021-01-18 08:00:00,Maria Byrne nominated as Fine Gael candidate for Seanad bye-election - Limerick Post Newspaper,Limerick Post Newspaper,https://news.google.com/rss/articles/CBMirAFBVV95cUxNYzhUd05KXzZtV2MyeThUSVFhZFExNnhPQ3d4b2ZEX0dXY24xdVFHckdqYnhVMkpFYkZ5QXNZUTlqY1RqVGVhUGV2NlVRU1VEbG1PbW0zM1dWSnEtOGJqbGNrN3ZkSXNQRG84Mjg5UjhqSEVDdW1hOXI2V2VWMVZKUGwxSXlTMmVCQko5VURpdmppR2M1eEhJcVd5NTVCV1FObG9hT1IwODRwcmtf?oc=5
GAEL.NS,2020-12-31 08:00:00,Antrim beat Carlow in the 2006 Christy Ring Cup final - The Saffron Gael,The Saffron Gael,https://news.google.com/rss/articles/CBMiS0FVX3lxTE94WGNKcG44ZWtrblFBWFZ1c3drdEo5aUJiOWhjNkNfQm5BSnFjTGFCUUZvRGdVT19lejNwYlV3MWNfMXFvV1dGd3RfWQ?oc=5
GAEL.NS,2021-01-25 08:00:00,Tribute to Tom Mulhall as he announces his retirement from Laois County Council - finegael.ie,finegael.ie,https://news.google.com/rss/articles/CBMipwFBVV95cUxPRTliZHpKa215c3lMMm13ZGRXSXhxZlhhb3dVcnI4RTNLVzVBNk1oWlFFb2JZOWw5NENPLWxmQ0N1NjVlVWtSSUY2S0syUThrNWlfX3N3bDFOT1FHZ2hVcDNiMWVyUEhyY0g5SWJTWF9ESlZDRHJlSU0wYVVsZk9JeWJsTV8tQmtfeHEzUXViY3JyX3hya0FjVU02dV9hSFl1QURZTkJJSQ?oc=5
GAEL.NS,2021-01-26 08:00:00,Former FG senator Eugene Regan reappointed as Court of Justice of the European Union - The Irish Independent,The Irish Independent,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQc0txQnJDS09MOXV6Wk9fMHVxZU1nakRQMFpSNHdPcGNndnJZWVVUTTVSZDhhT0liR05SLVg1aC1tUTA4OUZxOUw1XzREUF9nd0RhT2g4YjVlRE9BSUxFUWFyMlZUNk1kY0c3b0gtTUpjYjhHVWlFUUFEUU1XT2dzZ3BJUlF6SHBlVnRTQzMtNUFGdzg5cGE5bEx0Qzd0MnJxVF9MVjZUOEMtQ0hiZjg5azhUNGZHRElqcWtCZjNCMno1RnFyWmJpVVZUUXBvc0RwV3c?oc=5
GAEL.NS,2021-01-15 08:00:00,BBC Wales Education: helping children learn from home - BBC,BBC,https://news.google.com/rss/articles/CBMiugFBVV95cUxONHpHU2xwWjNwZ1o5VmYzMUhrX0lVSDdOaVZqR2RaQzlIV2ZpbVFpVGJzRTBua0wxLWhXM3gxN1BSdnNlcFVEbl92dDNRQXZ6WmZGUWkySEw2MmNKT28xWFIyc2V1UGUxTjBFZ1RfdzhiU3M4YjdlRjBWemRoQ0NwOFVmSXJwSFgwREpMRTVPaTdrTl90TkxNZUpMZTFlZVQ5TVR3Z1ZHU0p5ZC05N213dERVUVBRdWpHT1E?oc=5
GAEL.NS,2021-01-26 08:00:00,Ulster GAA awarded Disability Sport NI’s Inclusive Sport Award - Ulster GAA,Ulster GAA,https://news.google.com/rss/articles/CBMilwFBVV95cUxQNVBJNjNoanQ1MVhwZFhQY3A0aHpMd0NxeWZXYzJaeWxGdV9lVUJJVVI1Qi12RldnZ0FOV0p6d0Zya1E3UzAxTERZdWhhWUt0aHNORFdBRHN4czVOQkJSLTBPbEVEbGxxNWg5bktVQ05JVDl1LTM1YnR5ekFXN3hvOXhWZmVaTTZCSnYyNjl5cE5jZ01PQWVB?oc=5
