Ticker,Date,Title,Source,Link
GAIL.NS,2021-01-26 08:00:00,GAIL plans to launch pipeline InvIT before company split - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMisgFBVV95cUxQN0RIM1A1M001RTRwVVVQYngyVjk1d3ZfamRwWHBtby1iYUp2U2ZSQTN1NklVamtxOHFOOExkUV9PUGxHUi02WjNhcERTdkZlbUZoUnNwNzZHU1R6ZFJRMEdUWko1Wm5OVGJEbTFQX3c0dzhRMmFoMGttUTFxcGYyb1lNUnlFc0RYWDRBZGxheVFTUC1QRUQ4YkxMRFJjOVozenFkcnJzdE9nUkU3MXpLcGdB0gG3AUFVX3lxTE9rWGlsYzBEaVpCSHFJNTdUMTBVYWxvaE9maDVDS1NvaFJjRjN5ZnhlNEJpM1JDeEIxa3ZGRVpYaDItUndYaDZZbkJSOUhsaHJwWEJ4djByaWZUd0ZCdER5aHJPbXV2MjdSY21OTkVPRzJ6M3VqNHZqQ1l6OWtMa0FYVzk4WU8tNHpsdE9NaEwzcG9QdERXQWdfakk2TGQ4UWlSNkRBNDlCTnNtdU1RcjBNbEZzdWpaQQ?oc=5
GAIL.NS,2021-01-12 08:00:00,"Sensex ends at record high of 49,517; Nifty above 14,500; RIL, Tata Motors gain - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxPb19jbVNTM19OUFE2ZkRpWURPQ2FzSmd5UEo4RTlHY3ducG5YVm9mRXZIamRCb0Y4bWxTRktrX1d4a2p2d3dta3YzZEg1TGcwN0NLckVIQlNzaXEwNVFPdkFUeldGMHpTYVMyTGRpRVNDY1lIZDNLcmR5ZU9qRTVEZVVfME5NYl9razZxRDFUN1hxY0pMbHY5Z3dOR3dZdFE5aVRwQkd4QjgwcHEtS1lsdk5iRk03Mjk0eWNWStIBwgFBVV95cUxNc0lOZHRFdUIyNmcwVFhhSm9EanlZeV80dFcwOFBsYURFNjZNWFVIcTZmV3BTQ3BlNVZwdVl6MG5vWXdZN0o2akpxbDVhck8zTkJaVXNzZVNrejNySVBtakZ3RWNDVWFZLUxGWXB6ZFhpQU02SXdTOEdDTkdGUzRvRDFERExBRTJlQXlQNlhZYmxCRmNJSXFLNlhHdEJYdVJEMDJLenlmbVhCMzItSnJfV0NkQS1KbjZrX2FrNTV4X0NZQQ?oc=5
GAIL.NS,2021-01-19 08:00:00,"Closing Bell: Market bounces back with Nifty above 14,500, Sensex gains 834 pts - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMiwwJBVV95cUxOMjlzbnBIQXcxXzVtdUVVcUhya29MZHdmdzBTa3JDQXlDZC1JdE1SNjNSM3lMQVJYcTB0ZHJGQlBqdW1YbEZZY3BhajFsNFdHcGJpZ2g0UnBVdlI3Z0RhX3VIUzNGZUNBaTJ1dnRwSWdRQktrVlNkbjdSaXFVdW1XMXo5MDhEbUE1cF8zbnFJekRUNjN2ZGRBM3JTbXV0ZFFNQUVVdENKTlNnTmdadUduWk9fcDIzX1pMY3pVTFFKVmhuZ3FJNnN2Njd2ZHJNVDJtVmdjUmVzX2RaWGpHcEFRTjFEWFVEYU1SOU1Bb1Zyb21fdGtnVnc0R0FITFBxUFllTTRReWVGM2pncWpvLUFoZEktNVMtY05fenVyazRGUTIzS3YwYVNOemdLbWJWUUQzMlpnR29rbGhLY1hvVEp3YnVta9IByAJBVV95cUxQV1JJVmJjOXBFNWtnLU4yQzRMM29ZNnNHRW8xZEdGbnU1T2s2a1duNUplSFpmWmlheFZfV2FEekpKYVlmZUlVZC1aVVN6UlktZTRwU3lPTVZnajlJbUozdHJWZG1ZaFZPcC1EZjVLSk1TNnhCN3Ztb0Rta3dHc3VqTUNWcEZEYUpCODBFczNaZjNPaVgzdU00VEFPVm9DLWlSR1Fqem5BM0t2SU9RUDVlbGlkc1d4bXlHYndWZmR1S0wtS0NyUmd2Ylc2bXlVLUpuRUlHZmh4LUZSWGcwWWR4QnB2ay1LWFQxN2h1dnZhd1Z2ODdrR3VILXJoZi1MVHhGdUpyTUhRNl9oclUycW11UldMQzlCT3d2cmdKWllYTElJWEllcUE0MmF2aUg0SkdUUFdZbjZjLXlUcUZBUWQ2bllIT0I5Y2lU?oc=5
GAIL.NS,2021-01-03 08:00:00,PM Modi to inaugurate Kochi-Mangaluru GAIL pipeline on 5 Jan - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxNT0R4WlZKZGdyMTRwQzNVTmg3YldRd3BTeGVlamhLMHdiTGN0ZXJ3U3A1anZPbTJmM3ZHQy00V2lia2QtSm5vMmJsaE90STRiRGlkemVfS1kyaU9GZE9VcU8wSVRoY000aXRWTDJSSnpYcVBEdTF4dnRBUW5ZSWJtUjJlTXYwZmlwaXMyN3YzSU1NSEFZSlRLS0FkdFBqYkFlMU5NTXo3ejNUbko0QkxvQnJaRG85UFXSAbwBQVVfeXFMTUdjUV9FeUdCS3JhUzR2STdWUU4xai1JanFlVmpndjhOdDJnZy1TZzRhM2N1UmtqZHpJTmtfbHlVaTltSXZxcnZWUVhqWGZfZlBicDZ5d29rN0dHSm1fMlA0U3FSTWgybU94eXJzWEhjcXBTMWJDeUZySUVVeVdqOVJUNmh6YzJad21qTndjbldDWjV1N0hyX3VEVVVleDVjZ3lVQ2lYMVI1Z0NlQmdJU2FTczV5UGI3SnFEdGw?oc=5
GAIL.NS,2021-01-04 08:00:00,"After selling the Utah Jazz, Larry Miller Group makes its first health care acquisition - The Salt Lake Tribune",The Salt Lake Tribune,https://news.google.com/rss/articles/CBMicEFVX3lxTE1SZGxMUDB5Qlc1ajFqVUJsZkJlX3lJbkQyTXoxb1d2UjRKdFBDVHlkZ1NXY3dwQ3B0cm1LbmJOVDJaekpRS2dpRmdUOW1aOUYzNnB0MWhsSkFjam16OVJ6dFV0dUxnZUxkd3hmVDhlQjI?oc=5
GAIL.NS,2021-02-24 08:00:00,Tata Consumer to replace Gail India in Nifty 50 effective March 31 - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZDNvMnNLWEx5ZWM1TGtOVGtYcGVlQVlmbjlsNmpRNlc2dWQ2M2R0NDd4d1NhYWNMU3VrcngtNm1jOFV2TW5uaXduTjh2RnN3SC0yS0VKcnVyRjBUZWJYMkRwVVpCZE83YjFYdTRYTndPRGp1NF9HRzFhRU5SSmtUTElpYkFJTlBxUmtsV2RzRzFmSlRyUXBTQ3BJaDJLRF9zYkhPaVNZeERRZkM1OVNDYUU4WWtyam9kUGo2a2RXSFoxc1c3bnRXNTh4a0xwUWNzbkHSAdcBQVVfeXFMTk43T3ZDb09ITUx5N2p0ZlZUWF9NczhGb0NFY1d6UmM4OUI4QWNOY2pHRllZQUQwNmRyNng5aWVlWnEtTWYxYUowcDRIRm5BaDFROURtLXVWOTZOTHplSllVUF9RTXhuT2xpUHFMZ3pTSXZLWTNOODhNRGhFUjZRaW8tSmZOM0dfTWtQRENBa2dxUFNSd1N0YUs2blFMellCd3VfQ0V4X2xUWm5VSkFRdE9pVmU1cUxfVHV6ZDhNejFfcTRhcWRLX2NtLVZWV0F6OERwT2QwOVU?oc=5
GAIL.NS,2021-02-04 08:00:00,"GAIL bifurcation plan put on hold, firm to monetise pipelines through InvIT - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxQN3VraE85MVJoU1NEenFfaVVVSXFFakROX3BHZzBzbEUwaWR4cHZSeXd0U3F4c1RnNVVBUUdFNlJzTkhwclZoOXIxSVhvNFh6TXRCei1PMjlpMENhdXJBa3BvSmFxTUtXYXNPRzRHM3lIV2t6dDNHU1VUTGExd1ZUM0NNQ0Z3czMzVFlqeml5cUV4YlBCNVZQMWFLNDduaDAtRkFDSndoUmJlRUp3b3J1dk9hRTNyWUhJODFKYTgtbmpOZVY4cTFGX2tn0gHPAUFVX3lxTFA3MDFOX2c5VjRvMEpoMkJNTTl6Um1yTlBHcDY5cXpkTmktLTMtOUsxbWZaMnlWTVNUcVN6Zk9VSFVORW1uY2VPWlBLWU55cXVBUDlOZ1pLRmNxMGhESFhYdHc2LVhKcUdvdTg5YTY2SXE4eDRudnBLd1I0YXVmWmgtbXhfU1pvZVprbERnYm9tOW9RU0swd19YY2k3aExWWTdDck9zNkZVVWNVM1FlUE8wZDRjSS1GQkJEVC1BRjdBNjRCZzByTmlqd0xfM0JXbw?oc=5
GAIL.NS,2021-02-06 08:00:00,"GAIL puts West Bengal on India's gas-map, hurl in greener, cheaper fuel for homes, automobiles - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPQ3M5Z1dXNUN1dE1HZm1VX3JUMjNCWnk2YUVKeC1UT0d6a1BkVUpGa1lNN3AyTlNtdzZyQ3k1LTlfQV8tcjdZOUVkNUFzbERMbVJJYXpWbU56bThPVTh1OXhVdmJNNkRhejE1NmtxQmVpYWdzSkJRUnFKdW9WV2JReW1DdnhXODk1b0J3Q3JkZFQzNDdUT2g5Q0o5OGNDRUNsTkYzT3RkdE9ISXFPNnk3SUk1ekdPcHRFU2NkUjBuUFgxcHJfSkpwSjhYYVZ2MVhDb21faVdNMzZtYnprSDQxTjBOeUlRdVYzckJyRkhxQmx6VUxBUHJDemVGRdIBgAJBVV95cUxPRjhvS1dfWGJsUFpqc1RSeWVtbWVHVDlJU3FwMURIZm9VLW50T1J3T2JOMmY4MWo3QlU4YUFDVVpRUGNjNEF3TmprOFpiTEcteTVKM1VqR2J0akpXRUtlSElnazk3SVNrMjBIS0FtQW5kd2xIX24tcHp6UzVEZU95N1p6SU5pSzI4b29XSVlERERiVURoMFpOSnJZdTZvdmVJc2lRWldfQlJ1R0c0STI1Uk1oTXhfWEFDU1RNT0diTFVhT0YxOWJfLVdraF9nLVg1X2stWW85T1lySjJ4SC1tREY5RzhTeTVVTEdXNTN2M1pXelFfT0dXRjNtZFdwV3A0?oc=5
GAIL.NS,2021-02-23 08:00:00,Dabhol project: NTPC set to buy GAIL’s 25.51% share in Ratnagiri Gas & Power Pvt Ltd - PSU Watch,PSU Watch,https://news.google.com/rss/articles/CBMivgFBVV95cUxNNC1zdjVWMnVSbGs2VmV6SUJ1azJ5REMtMWJyRVExa0FkS0VVckpQSkZlXy1Idi1xQ2g0R0tCLXN2cERweWlBbjROQWNwbjY4alRiNk5SUnFDbk9vUFdoN3k4QXFnSTAxTjc4WmNuMUFzWWtHa0tXd25jWHp1Q0x4Mmc0V2Q2VVUzYm1ETmZHY3p1alNKcUl1YkRNLWhyLUVXU2RFeFRmb2FoeFdWQTJtQ1FFN3JEdXlZeHdVUmlB0gHLAUFVX3lxTFBCN2E1Tnl2V1paU3pET3MwV2w0V3BCSlhTcnFuc0tuXzdfaHA0U2ktRmVoeGpTNEJMb0J6SWdPZkxrXzlwaUhxWFczUEFxOWk2OXFRMTAzZVRhbWZTUUc3bnBGOWMzMFFjTWhpZWNVblIwR0tKS0plcVdLenBxeVdDOEJwNXdPWUpzMTM5MDNZdHprVjZTZFdyNlByN29SS0JoQW1nRVl2Z0VtRmxTNlA1UmJhQWt5T1JSY3FLZDNIbGR4RFVFWEl1alpJ?oc=5
GAIL.NS,2021-02-18 08:00:00,"Share Market Highlights: Sensex ends 379 points lower, Nifty at 15,118; Maruti, TCS, Axis Bank top losers - Business Today",Business Today,https://news.google.com/rss/articles/CBMigwJBVV95cUxNcDVfY2hTbVN2eEJkam96ZTRTekhnazl0bmZ0WDAyYjdYdjZRTHMwZTdmMDBoT1JmOE9VaVZYekxVbXFhVXI3WkpPTG1hZ2xqMWpQakZEMUlHcnktUDdRVVFtR0dUdU1FRmtocEljdnNIQ0RnYTFGaUFtckpBa0JmN2JGRUtwOElEYTFCOThtQU1aLTd5VnpwaDkxakN3MkdYWlMxR043bmd6V1JjWmd1SG9xVjBLYjNfeElMbVZFTk81clNpbVotS2ZIaDNZbmpxTE9iTURSN21fUFJwUjE1YkxEa3hZTmJGM3p6bjltSDBFOENOdWdzNXZOVVFhM1pQNU0w0gGIAkFVX3lxTE16X1BLWWlOLTdZcEtwZXZfRXU1eXA0T09Qb2VVN0MwTHJtbm15ellmRXVRQzluSWZVVnNFbVFObHFBODR1NkdxaENoMkpaM1dnOVBXQzlZYjd3eW93d2pjV01MMWpGeXdoWndkdnJ5QXEyc1FOWXlFUF9wUnRlS2RNS2ExWVFpTllmb0Myc01fdkxMRHZiQ1RrTHBZelpxcmU2TjZPMzdCRzlyT3ZwamRFeDI0a0p4ZmdMVERsZG9YR1l6dWY5TDlRTVNUc0hESUNIZHdJdGVtNXpvbl82TDl4V3hxd1I2cnZiLTRpSks2N0Q3UmhhZ3dtTjhBZ0tOTXlyYzhUTWhCQg?oc=5
