Ticker,Date,Title,Source,Link
GESHIP.NS,2020-12-30 08:00:00,Great Eastern owns India’s largest fleet - Maritime Gateway,Maritime Gateway,https://news.google.com/rss/articles/CBMifEFVX3lxTE1BUUlod1VMTDg4ZjVOQ0QyUGxRcFpRdmxQOXA2OTBOQVM4b0w3bXp6YTBTTW9PNGRTZUxmNW1KX3pTcjFPVFZlREVNYVowNkhWcWdtWldjV0dOY0paMWVJaXZUb0hHcVFVS2dKdUxhR1g2dlNJWTRWdE9peWY?oc=5
GESHIP.NS,2021-02-18 08:00:00,Great Eastern ‘joins the race’ to buy Shipping Corporation - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMiywFBVV95cUxNS2ZQbW5yX0dBSEI1TkxlLTYyUVFPSDZHSzlmOTB5N0Y5WldNLUVDLWtWZzZUaXZNZzNSZ0U4OHVBVW5KYXBiQ0U0MUhKSmd6YTNUR2F2UEhWM1dCZEZVcGo0RmpzbUxoWnJVYXV1ZnJxRGJHT0pzMHM0UHJ1OVo4a2tDNHgzRG9fLTVOUkFia0JXeGYwTUdlVUtlTnBLU2hLNmhzZzdLUnBjSEs0SDdROXA3ZUp0UDBSRTkzbENnMFFxbGVjRk5KNHhxb9IB0gFBVV95cUxOTklsMW1BRTBpMURPaFNScTB3UE82emxCWGpHaW8wTVYtb2kzQVBDUExiSWswVGlSeWxhV0ljRWJBU1E3RVh2ZTBPTzV0NmVjN3ZDWWNOVTQxa3ZEeFlOczMzaVgydEpMUEdtVF85d0dwbTJOSjNtTGFDbV9CdVhidy1nblEtd0o1MkNDeUdIXzVwMmk2MUczdzdjUEEyd0dwOW9zOU5GdXpzSTJxX1FQbDZabGhaYjZsbzJraUxNMEhZTERsWWxkWlliTm13Z0Z6b2c?oc=5
GESHIP.NS,2021-02-15 08:00:00,"Mumbai: Day after mid-sea fire, three charred bodies found on ship - Times of India",Times of India,https://news.google.com/rss/articles/CBMiygFBVV95cUxOOVd0QTdNbFBpQXRYc0RkaGNWd1VrTWo5by1EUUs4MEtzNzZPdktTV251cVAzblk0UmFQZDJrS2l2VVRFQmdrajlhNG55bUdDZmJrVWRZWGVNeEg3Rk9pWG5iaHM5U1EyNFVIRlBlU3lYdUloUms2c1luWk5QT19vRnFRLUM5WHpmTy1OSEJvZ3J6aTc1RktVcjRmOXI1OTBFeTJPdExxVl8wUHIzVkw5djhKc0NBY1hnM3V6eU9mT1ZzQkZGYUpvb0930gHPAUFVX3lxTFBLbk0wRXRwdUxPN1pNd2F1VHpIMWN3QW8zdHBaX29rMWR5c0ZLVUs5VXd3R05GczZJZkZGUGV1QjN6d3hUSGdJQUJGcFlQOVdoTmVNU2dHaWJPUUlHcjJ2Qm5CNjhEM3BzNHowWFRYZm8tOTBSV0hUckxJVGk2UTBzWDFYVll5Y3Y0WXZ3bmZZamswZzU3TVg0WUlRQzcwU2oxOXFPa1RiWHRqaHctU3FXWEVFQVRBYmR2ZnNCcXJmdUtPanhFRGJPQy1fYS1lWQ?oc=5
GESHIP.NS,2021-03-09 08:00:00,"Vedanta, Meil, Great Eastern, others vie for Shipping Corp - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxNc1J0UWI3Rzl0bFZMUWhmU2RFeUo0MEt5MDQzbUtWR0NVWjhBSU5FRW5OTEJ1MDdQS0xzdkVxM01sSDdQWHRuV2RFNFJYX3p1Tk9yQkRZQVdld29FNHRHa2dTRndsNGtDSk1xVW5kT0lYMFBvdDZUaWRBUTUyX19Vb0N3dC1sMHhzZzlvNnpuTkFIaGlkMmpqMklEZFlYRjZnU2Z1TG1kcXloY3l6YWNNWVBxMFZlUdIBuwFBVV95cUxQRWhSUkN5anJ0MTYybW1wZTVVSVJCLUJBT2FHTDFibmtmSHVRQkN6c0RVS3ZsenQ4VlFqTEZaV05oSklBOWRNeURlZFdKUFY4bW5uclJPUEFEVUE2VDcwbjViT3BWZFFLV1FGQTBhaXRIWUxlNHlxQ0I1bVpydnhDWmpPV1FJVXVBRzVjc3lQcW1lUjEzRWFoek40MGhDUjFJU19NQUUxcHQ4QkY1WXY5STZKaTNGTzd2ZXQ4?oc=5
GESHIP.NS,2021-09-06 07:00:00,Backstory: When Anand Mahindra stepped in to rescue Gesco from hostile takeover - CNBC TV18,CNBC TV18,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPTXY3NUZKS08tR0N4SWVhY1E3YnVhd2ZKampkSGltQmRReFdzODN0cFVDYTE0WjhkTDlCS2FGYUJNS0VGcmFQcklkN1dXR1V0aU9CVWMwMXZ2MTQ1MFFrUE5GRFlWcEs0eWItcjNvaXkxQnAxbmhIcmpXVjk0NHptWTctVW95bS1QYlkycS1iSE9mbHlnV3Y4d0hWcTFPZkxlWVFsNW9xd2pMYTBlYnFqYXNQYlJLMFJLNnVyYnByTExvekN6SmhHTERaT2I3LWhQ0gHWAUFVX3lxTE1XemtCVEpZUFloOFJFazAyZURETWtORi1OeFRmLS0xVFJTVmdxYk5MdkxXai1wcFBfTmZTMjVOX3pOUW54Sk9DME9mdEIwbUQtUFZ3dnRGVkpqcjBJX2d2UlhtMEdIMHlaMGFDczdtZUNMMXhpSTlPd1h2S2RpaFg4ZkZGZWVPMnFMaEhqWlh4UllxRlpQa0R6bGNmRFZJWjBTNGdEZmV2NjR5QVlsYlVsanVxd0lhTDZBX09KY2hBZHowM0JHN2tMblJTVWMxdmhhZm9IS2c?oc=5
GESHIP.NS,2022-03-08 08:00:00,GE Shipping subsidiary contracts to sell an R-class Platform Supply Vessel; Stock gains ~2% - India Infoline,India Infoline,https://news.google.com/rss/articles/CBMiywFBVV95cUxPb2hnZ0diZ09TWC1DblphTkdHdFZJbXNQVVJzMjZfaXA0SGp2Q3phbHNLOWt1eWNKS3lXQ3ZCcm5XVmZmcUhoRVhvb0J4V3RvTlpvbDZiQmg0bVEyYkQwaEhUdEtrQ2hPV1BxVUdMTkdkOWhjVE9HRnFoRG1QX3NWb3BadExtZU5PbkhDSXFTTU1fcEJtVnEtQ05TMFdEckZENlJONkhpMnNXTXdINFlkVnBfUVgwZThyY0ZUNkgtcUY3M0I4Y0hfX0dNYw?oc=5
GESHIP.NS,2022-02-26 08:00:00,ABG shipyard scam: India's biggest banking fraud - India Today,India Today,https://news.google.com/rss/articles/CBMiygFBVV95cUxPcUVyUmJaWVUzeWZ5N21SRnVQVExPNHktY1VpdFdHUWRjdllpbWpRNFQwTE55SGcwenFmNS0wYjJybVdtc2ZCTlctS1lzcmFTVDZPTlRNM01qdkc1VDlaQjFwZFh0RHZuZFJZUFpmbHd3LWNSU0J6RGtlcU9yZ1pROTdTVTYwbFlpMDV2OThwS1ZFX2loVDRMeWRfZ1ktU3hOZlU0dkdzV2Y2M0NyZUd1N2d5YzBDdEt2MUlXVXJKNVJHXzVDZHdRTjVn0gHPAUFVX3lxTE5oUEFSSVFYU2w0eTM5YThXQ09oUlcwTzNfSDZFSkNWRjVVZ0k2XzdsNzVjOTNobHRWSTdzYnJPU1NVMk1DUlE1SVNXWC1NUmw4d0VqUGdHLXhJNU9aLXJEakpnX3A3N1FtYURBY1B6U3Q1eHozRDh2MllFdmxNd0w3UGoxcFZsT3pwSGdHVUJ0eHhDMV9nNEdjRG83dDYwbUtWb2g5NXNEdU5kTWotbHlLWVB6cEFxVWpCaDJEY0pNcmRMNkJRM2VMQXFZa2VsWQ?oc=5
GESHIP.NS,2022-05-06 07:00:00,The Great Eastern Shipping Co’s Q4 net rises 286% to Rs 188.97 crore - ET Infra,ET Infra,https://news.google.com/rss/articles/CBMizgFBVV95cUxQcnhCbzRuMWFQa3oyajdCUGM4dm1KWTJzRmdCZmY3dWpENG5YVFFBSlZFWDFBdy1oREhBQjUwdUJBOTdwLTVTV1NNTzN0d2VaWXJVSTk2ZG54emFxZkloc0hZVlY1bVQxcmk4cENsRHo5c0RIdDBCMFN0eEN5cTBhaUhyNk04MUl6VS1GSHFWdUtnQmY5d3k5ZWRQT0xpOUt5dDMwOWlPVHgzLXFydTlKTEtRam83OGtNOUNWMl81bnVnWVVhX3FqOWZVWE5lZ9IB0wFBVV95cUxPQ3NnUjk2bWN1LXRIM0RTZHdBUC1ibWFhS05xM2tDQ0NTTnhzc3ZodFlrZWRTU3dXUzNSZWl3TzBwbkNFSll5M2tUZzA1SFcyTHhrUFhhYWdvVnFEaU10MzJzcHJWX2IwN0VBZkFvNW5Wc3ZXRkZLN0pzUTZwd2tGSlNMaUZ6LXdGV2N2cW1zRkhZNVlaNE1LMFprck5FT2h5MlNvblFHWDU3T1Zua3dnVVBTV0tZOVM4YUd4U09ocDI5NTVZZDNmRWpkOWxNQUM2d0o0?oc=5
GESHIP.NS,2022-05-07 07:00:00,Double Insurance–Overlapping policies: Grant of actual loss from one insurer will forfeit right to claim from other insurer; SC rejects Levi’s’ insurance claim - SCC Online,SCC Online,https://news.google.com/rss/articles/CBMiiAJBVV95cUxPcGJXWkF1eU15Mi1sUnh4U19uMnRqQXB2STc4c2U1dU1lSUVvM2xrUDdyREY2b3l2QmVuOHdkMnlTMjVUNzRIcDEzNXJUV1VWZzhDWmpJTnhkLXVPWkZGMnpqQ29UTWVzWFZkRmtyRXkzVk1MeFE0VnlhdktwMm1kWU5CLUUyWExCNHZ6amhVcjJZRURxSDNOd1NtalMxVm5feUZIZDhvRkdiVmJ4XzZVUzFOUlJvRllzSmp3QmNLR0o3WXNxSVpMdDBPTW9XbDd5czFiWXBUemhQZ3pmdDRfRkQzVW96eFhQTWpGS1VKOW1WbnlUQzVrM09FalVHbTJGUndVMmFKeU0?oc=5
GESHIP.NS,2022-05-03 07:00:00,Great Eastern Retail takes charge of 15 stores of Delhi-based retailer Sargam Electronics - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi-wFBVV95cUxNVFNQbFhPdGJiNndEVGRZQ00wOGs1cmw1NkRsRXJrbWY4QWxDU3NGS3EtcmxMeEVqM3kyWm5xR0FVTGUzT00zYUp6Q3RKN3NqYnZqZm5Bck9ZWkV5QmJYUGNoY3hvOU16Tl9tcXVnQ1RlbHZfSzR6NDVVQnRrem5ENWU1eFZhZXVnQi1vSzdHTnI3YXhjSDF6eEt2RjhhZTVFcHpWakM1UFlnTnRtOGlmdHpfdkVjdnFSNDdKdGhwNGNFOUgwTUNNem1JcGVCWjVwSXJZaVpTSlhqUWNmN0FpdG5sNFRCSGVWSUhEUU02RzJYUkkybzd6c1FuMNIBgAJBVV95cUxPZ3NFVTlIQkZxSjQzZTcwLTZZZGxBX09sdGRRaExlMzM1LWE1TU5oUkNpai16QWdzSjRYcjJBUGoxdGFmM0xpdDNpVGtXNUEwY09lSmVzUGFTUHdNdWw4eVE1dTlmQ01weXJ2U3pVOXFhazZjU2ZwZEM3Mi1ncnpacTlVSXpLWDEtVlgwV3RJTERXOVQtSHJWaEdIemRCbnhua1FiX2pMTjRsYWFVTmE0T0gxYnhBb04wTWswQVRFQUJHa0xEOTdJR3R1ZUtkUVBYMy1TUXZhZ1V3Wll1cGU1SDFWV2dEYXVfTXh1cmhFWXZRajN2dG9PbnVadDZiOGZC?oc=5
