Ticker,Date,Title,Source,Link
GICRE.NS,2021-01-28 08:00:00,Competition Commission rejects complaint against General Insurance Corporation of India - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiggJBVV95cUxQRHF5OFJHd3BpWHNZZHhRY1FlQ2d6Ung4WHZvMW1sQmZLMVI2bnhNTV9JQnhrdEtKMFFfbUpaYjYyVGpDTGlCSzAzS04xblhMdkRxTXFOMDh0WTVpT2NrMWFiMTdXQWwwNzR3dmVQajNHZmpsdVAwVDM5dmhjYTJET05FS1djNnpYZm11VmhvZGNVNjVsTzNiWmUwaW40djlCZTR3dkZzLXFHcGhaWXpHM2FLTWhjaGY2dl8tY05rd0wtVUtaZTFhR1VRQXpjWHcyYjh3N1Z5UUwyQ29wd3NTNGRWOVAyZVZIOGdfZTJfUV9MOUFva19VX3lRQ0Rlcy04NHfSAYcCQVVfeXFMT21FVGIxZXlWaTlVaVZsbE5XNFo4VU9wME1aeC1JMHI5cTg0NzQyVk1rRVZKaVRLWS1fUDh6a3doSkUxT1VTVGhaWXU2ZFJ4WlZrX21EV1N5ZDF6TThuZFpxVzdGNHRLZWItcURvbVVZUVAzT0daeDNVTFE5bkctcnBFV0F0aVdnZlFNSksxRFNJaGF4VjVVWEVvemhRa0NTaDlwSTEtNnNNaDVJOURqZ3NRN0huVVVaX1ZKaGxrRVUtRHZEMm92WkFVXzBVQm9tOC1UdWZSOU5JZE9sSWU1NnVtSFBpczhqeS1ieVZyOVJqWVFlcUs3X1MwcGFUVGp1bUlTSlZvc1U?oc=5
GICRE.NS,2021-01-21 08:00:00,"From Rs 2.7 crore to Rs 2,151 crore premium: How Digit became the first unicorn of 2021 - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNSXNLdkVaRkpXb29yVEFqcUoyQ2paMHd6LXE0U0cyT0RJNl9WSWZLNXVQbHZSRmEyMEkxeGZSR3ZVT0hsSEZDcWNyMm0ycmU1ZEpQWS11aThXMzVZT3MxaDViSnlpQ1Boa2pOakJudDJHT2UyVGtiSXZMd3F4QWlJUHJJdW1QM0djdXlvTGNHYzRSWjZiWHlxV1RhNVliUXhTSlk0NVMxLWtjNjAzNDVDQk9lbGVZVnpUQzJtM0hFc0VpSTJvWmtvMEMxWXhiaDhDU2Q0SDg0LWZDZU5vYVVmVGk3TTc4UdIB6wFBVV95cUxNa3hxN2FNQklVcl95bEt5azZfWjZkMzBuNkFDMjZEVXp2enBoZi0tWDVuTmxIZ0FvY2s1aWU2LTRCTFY5S3Nkei1maHNmX2tMMVFCaWdycm93RW9lQV94RXdicmF4aVRGU3BBQk9Bc2FRdE9XYXNPaXFsM0gxdmVUOXROZUdiYzgxajNWaktDeWVHWVU1VXBOWHFoRDhoLXo3Y2xSaFVDYURzcmYxMzRhdWVTR3l0X0xWUWdzb2FPdlZZQzJIMFpUcDV6NmIwd1dPbVp4bW92aHFZWE1zd2FxZFdvTGFiZ3QyaVlV?oc=5
GICRE.NS,2021-01-09 08:00:00,Plea seeking compensation for erectile dysfunction surgery rejected - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMiywFBVV95cUxNWllLOGJHbnRqT2JCbjNDVTJWbWphMDVTcHBLcDJJLXZ4ZFlMZnV1a0Z0c1dUblR3UEQ5WXlheFdsNV9zS3IyTmYxWmpfSndsTjVjbTVHUmdxRjY5dDFENXFJclU3ODJob1NYbHpwVEZ0Q3F5NVRyRTBGcXA3YV9FWmUxNzlrUFo1b2hhTTI0T3F5RF93aG9ac3ZGOV9nZFJiNktFNGdwWWI3WUoxWldkYUdKR19RRmVielVfUFNuMkRJN1NOZFJ4SzJTRdIB0gFBVV95cUxQQzY1c1lUQlBwYjhURzRQYk5tR3A1Nzd4WlRLd082YzU5QzZYb3Q4T1pBOEhEWkE2bU1jX2gzN0dSWWtEQkk5bkpoSzlWbVQ0bkhqQUVHTDFWcmJBSEhCSjlZN1l4WEFvVmtiXzlkOTh5NnFOZ2ZZTzhqbV90VWcyaTlwd1c0c2g4WlJhaVRjYnJFeGhiWkNkaWlhOEoyQi1DZVAzZzh5TkVRNzFDSl9CNlYyQkpXMFhxVWF2Yy1YNm5WSG5qQU9uYXZkYnNlbENtcVE?oc=5
GICRE.NS,2021-01-27 08:00:00,"Sensex falls 938 points, Nifty settles below 14,000 weighed by HDFC twins and RIL - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNUHo0bjJuSkFzVXJPZzZ6S0NxWi1yWkZlNTdGNWlfUEJodXg5SFhqRFB3b2c2NDZxQUFMRzYtQVFXRi1WSmlMOW03U1BTM1lYdVJIQklxNkxZWmxmRm1ma3c5cHpITFM3V0dQVmZmRUxtNkM3azhqczlkWXRXc0pOdk1GUVVWMFFaR3BsRmp1Q0RkeGtreTZyYTdkdFhYam1lVlUzRkl6OE1HLXFpaEJ6SFU0a3AzNmh5ZWpwalRhUGlHcDMwdGxHd0JwTmRWYURJdHBEd2RuVUk0TWh6Mm9VWNIB5wFBVV95cUxOWFAxUjVZUFgwVGxYdU1rbHc1SFdDRS04TC12cTdWb0JocDZmZkYzeHZUMEZBYmJ1ZjdRbkJERWxyLWRNdXZ0QVN3OHMzOUYyMkU3dWFETUhya0UxSzZuUXh4X2Y4M015TkdETWJFU3dFRk1sSnFreG96dkVUNXhrc1lwZDdnTTRCR2RJVkk3UDNHa2piemlRWjlwaENOd19DSVV2VWoySGxJbUc5NG9IYlo5NDdDOGlaeXQ4OUd5bmRsWmZLckRKeHZzRGVqZjBPd1FBb1NsSGh1VFdXRjB2bHdJa0dBc1k?oc=5
GICRE.NS,2021-01-20 08:00:00,Standard professional indemnity policy for insurance intermediaries soon; IRDAI committee recommends details - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQMUdsNzR5QW5zUG9SRXpfbF9pVVROMFFUS1JGRmlCNy0tRHNnVDNlTnNKNVQwZksxWHE2ZnNxWWdONUZ1bTFZTThFd3AzRG9BWkZrZ0c0YWZRQnlGSXpLY09qZUt1cThqbEhKeEZ0d2Ixb2VsRmJMWGc1OEpkVWU2QzYwRHJxTDByVTA4NG5OYWZ5NnYwU0Z2MUYwMVdmelZueTZqVXN3bXEtMkMtSHlhNGRGZ3pYdXpadXlHOUM2RnkyUTBzTncxOEVlOEdLc1M4Z1pybERhZHpQVk5VZTRsYm5TeXlBZENwSWNWN244NkY4MFYzdXBGT9IB_wFBVV95cUxOMDlZS200OG9Bdkp0UjgxQWhLTmJpT1JUaWY1dG12SnNoVTliWUNOLXphOXVQVUxwMEMzLTNPdHBiZDVab21YcUkzbHlWQ1pJbnV5MEM4NFFkODJRX0lNLXVnRmZpUV9iOVdGbkhNeHVzNGpPZE9xOE14dks5SzVpUUMtVzREWnRnRDM5NnRFZ1ZaaWhOM25QTnRlU01JakkzZmd2cDUzV1lXaWI3TWVhTDFpNFlNMlpZN2RnYk8xZGdpcnB3VlJfLVZ3Ukx5WV8xdU9sdmZQMV9yOU1DZkhqV1h6R0stWkpKZmt3RWZDdm0yYktDeFRuazZjN0s5YUk?oc=5
GICRE.NS,2021-01-07 08:00:00,IRDAI mandates Insurers to offer 3 Standard Insurance Products to Cover Risk of Fired & Allied Perils - AffairsCloud.com,AffairsCloud.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxOVGtVaFBROC1BOFlIUGxtRzZzajFfa2o1MnItMExyQk1qWW44ZnRENWhsYXpkRm13bzg0dFNXNHBUdWJvTURoczl6SzhkMlNVeXYyYUFjNDdTVF8tbzZTMWh6Y0JkbEVacVZlZnFBWjlXd0dQQWppRmVSUzNLNjE2dDNtOWNyV3o2a21SSGJDbWU1Z2xtVktjbnRQUHdaLW1Nd2IwSWk1cFhLRGVwVkMzTUxHaG1Gdw?oc=5
GICRE.NS,2020-12-31 08:00:00,Top appointments and exits of automotive industry in 2020 - ET Auto,ET Auto,https://news.google.com/rss/articles/CBMivwFBVV95cUxQWEZQTW1Uc2JKYk5VTno2YjVDRzRXMnN1ZE81RERRNVg4ZjY4X3ZuMW1jSEJZb2J5QVVrN1lGMDRCM1d6aGsyRy1SdERDa2w0bk1DWC1XeUp3RGhfMndNTzRnenhaLXpGQ1lJU0FJaGhHZW0tbW5VbzA5TDhlVkZfLUNPUjg2OVlmSjhtZ0VwTVlPbGhNbnJSNmtWQ1pMSlVkeDZfMWhPVWJIMm94QVBBcnhNLUFadHhNZlE1OTlrSdIBxAFBVV95cUxQMFEtTUdzUWZmSVhzT0N3UjFHMEtZNGpSXzBacEtlbHdUQ1JkWFhPWVpmTnliYkxNU0RnQ0JRc1ctYlVxclVHeEp3eFdVZTJrMVFpR3k2ZDNKYzR1MnBjVHhyYnFScnEzaUViZkRoNkQ3RFkybmY2bmI3ZVZVMFd4ejF5ZDIwNVI4WDJNd1BNdzdHVXlOeTBKb1o3OEduTV9rY2h4MDVQVDFVY0RFT19MMHo4OXpFUGI4QkFONUhmVlpGUWZJ?oc=5
GICRE.NS,2021-01-01 08:00:00,IRDAI imposes Rs 15 lakh penalty on Bharti AXA General Insurance Company - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNRVNINHF4NjFheVZuWTFGb2NQZzMtdERlQWstT25pSzlzdEJFUHl0aUlMN2lmTmFVX0Q5U1VlTFM4M3p3QlNyWTBNY3h2eldUclRiWEdudFpPakoxZkVBTHo1NUY0MVcxQVlTX01MXy1GOWFSNlYxczgzZlpkZExreUtpbzVIZlZSclBMOFY2TkhNNFFzTjJ2WjhobW5sZkdvdy05cnBJZkhWNXRidWJ2Ty1uSFNHU2x5aDg4YzhZXzhLLWhKMUxsTzUzb211UXR3eUJOUTNBaktuYTFxX0VYVm01R1gzSF9Ob2JiN25B0gHzAUFVX3lxTE5CeTR3dk0yajZzZ2U5VnM1aldwcUMySlZNSGJ4dlZrT1pYUk9GaDVxZGNOOHlFT3FwY0poWmZJc3BjYWdvRVRXd0tITkNJNC04NEp0Z0xxdmdrRVJWUURBMzM5WmphR04ySTlnTFltanJKeDd4TGVDaURsa2xPcmN1RWtQNFlsVVdhLXZ6N2FmejFMZ1pJaXFkNWxVd2VfZTV6UGVSb0pNSWZTREgybkJkOVJ6VTFvd04zcWIwaEZaVXFlNXNVaXVEVFVwbE8tRGFESXFleTVEZHBCbEtTRXJpd0lQUWhBdmRwTjNVV0tWYnFpQQ?oc=5
GICRE.NS,2021-01-19 08:00:00,Arthur J. Gallagher & Co. Acquires Atlas General Insurance Services - PR Newswire,PR Newswire,https://news.google.com/rss/articles/CBMivAFBVV95cUxNYi1MUjlKZmlPbmloT1lhOXRld0xacXl1OUhqemJLc0kxMG9WeVpQcWtTakFCdFhiVDRXTjBFWkZNcXd0NWhEVFJXX2ZpTGd6TE9ERFJ1TkRBZHY4WVFZSmJ3QlZLNVlmZ1o3OTJQNXczOUZEUWxZcDREMGNmYkJpalBZdzZqSjc5QkpLQmR1cGhWeFFKQkl4bF9vNWdWWUtpSDRwTWRIelN4Y1JSWEU3dXBPMEp6bGY3VlF1Tg?oc=5
GICRE.NS,2021-01-11 08:00:00,"MassMutual to set up Rs 1,000 crore global facility in Hyderabad - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxPS25hREs3TjNqV1NST2lfSW9RMVc4cl80bEpkU0pYUlJpTV92cnVKZmVBQk1ZV1dlVkY4bXRZaTZsZDVlZTBJZ3JZSHRjZjQyNTVrY2lCNURxVmdmUERNMjk2TUpuNE9vSGhWcGZfdVlxczJKNTBlYTZ1T09vN3pGQjA1YzRXdF9iMklqeXQwd0dFdENJY2JtcTBsRGVyMkZnb19GZ2RMSzhmaW5oaUhlMmxsNmRzeVAwdjhCNHRLWTRRcERXR2IwYnAwT1ViWG_SAdQBQVVfeXFMTUljUE5OeUlLd1pWcnV2OHNNQUFvZERzd1JOaUlkdHBxSWlpQmRQM2R3cVlSenlyeU9hcUgyQVVvVXBsSy04OHVaeXB4NFQ5M3RXczREYmpNelh3TjNmVzJxU29qWFFSOGpuR3laRF90VkJqSWIweXdFYTY5bmtwQnhHSk4weWI2b0ZmLXA3em9Sck8tWWJ1Qi1GM1dWcFVPZE1fRlN2cXU0LUFiRHdNR3lPb2FEVk9fb29Qd3l0M19CbTF6YzVKUk5zTmhyUDJvRndMano?oc=5
GICRE.NS,2021-01-20 08:00:00,Auto dealers can act as sub-brokers for motor insurance: Irdai panel - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQRno1cG11TW5lMG53RjEwdHhoSjVpVEd6OEZLay13MnljaEl6WGhvTW4tRnptZlczX3ZtYkllVkdNV3RDd3hiaGtWWDJUeXd0OXAxUVg3SlJiT1VUc2VmcDhlQ1hLSTJSOTYyQWNjVUZQWnBBd2g0M0VLMlNvRjd4SlRuRk5Dcy1vOTlwSGVSQmQ1a1FZQUROMVFRRHZfWkN5VVNVbk16RGhOX1I4Nlo2NXY2NmtYWnpSY1pXTk9vbFdaSGpqSnE3Nk5iZUg3SHFS0gHWAUFVX3lxTFBvano2dXN2Umk4eHhjTlMtM2VZenpvNll3MnotMG55NjFUNnFwdERfek8yTE1zU3N6WGozU3hKZk1XSWhYaHUxcnNtR3BNQlgzV21ub3k2LUZHZWdtajVDWmtsN0pTQmVuaVRLRFNyZkhhWlljQzFpZEM0YnVYZzVUWHlaaF9nanJ2VUlWeTBnTU5PaXFPa0h3b2VHM0c5cXEzc0ZFblR2QVpkbkJkVmwxdUNVUEM5MzJtdGRhZDg0cnFOazY5a2FsV1ZfRjRHV1FrMW1adXc?oc=5
GICRE.NS,2021-01-05 08:00:00,"This is the top grievance of life insurance customers, and it is not misselling - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPRzN0Z05JR3praHlKWFYxYU8yaHUwTzFfUzZpLV9VZTIyOFQ0aUZJWmNtZkJEbHdsMUZlWEtNQzhnQmFxT2pxbG5TNy1wdWdnVEkwUkFkdjBVN0R4NHo5VE5yc2ZIRFNjNGdTMXQtbHNuWEk0WjFPNEdGaFhnb3RTX1p2RFJpUGZwa1NGQVRKdkIzZmN1OXVMOGdTOW95VW9zeUlCQkgwekwweXhTMmRYX0ZpNEItbzZnNURfNElILUlaNkNMTXp1MDIxSDhZTjl6RDVRZmltaTVYQdIB3wFBVV95cUxPNEZLTU9rUFJVLXBBSlVHZGdrd2tVSU5TRUhmb0IyYjllcGRtSnZDa1B2SkxOd2NpLVdobFJoVGNOQTlkTlU4TTZaS1E4Z2pmVWE3U3prNTZLUVlvMWw1RW1ScHdFZ3VyaVVVeXVMZUlsUzVjcXZBWEp0SnRnTnlMQi1RdU5Sa3FHckx0aUc0VUdNblo1SmloTl9JUU9ISkIzS2M2eFRaY0MxMDF5NWJLR3hXQVAzaDNPX3pLRl9JMVFQLXowV0M5SFVfN1prMzlmb2x6ZWhhQVRzVEJwbDRZ?oc=5
GICRE.NS,2021-01-08 08:00:00,"PMC health cover to help insurance firms, not the poor: Dhende - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMitgFBVV95cUxPTjBHLV9zdmNTZ2hWTnM0cWJDTVZFSUVKQng2UnJ1eUJJcjZCcE51WWxDMlJ1dnAzaXhqbmVBR1ZrdXoxcTFuWWtGRWEwRmk0SzF0Q09xU01BNUw3ZHNtdmdyNHo3cVNSYks1VXJtM2tyb3ZTU0hycWF3aEE5cHN5S2d0b05aM1V6WTZYeHVIcG5vbkx1QXlLM0ZJbmI4LVFqWlhONDk0cF9GUlp4Z29aYkVVZzdmZ9IBvAFBVV95cUxOU0hEY2VPRHNmYmxHMVpfZ3o4U2drVTZzMUxNN2NGV3RTTlZNcml3RzZWcHZHdmhkRUxHNGlfemItbzBNYkJsQlJ0SThOVERsMkh4SzUzU2Nyb0Z0V1RRQ3NfejZzcXVnT2ZETmI5OW41alJ2M05IdHdMR3RhU2dGc184THNJNTU3VVNsMkx0TEhMbEZRS1Q5Q2puVndLb2dIYURoaFB2NUhKdHM2MlhJc0NBX3otenN6TUVWXw?oc=5
GICRE.NS,2021-01-19 08:00:00,7 reasons why your insurer is making you bear hefty medical bills - ​Why claims may have high deductions - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMikAJBVV95cUxQMy12MDF0dVhyVVhvbV9CUER0d1FPaEFMTXJTQVFwR2Y0eE5sa1dvNnpkdERYMWR1ajVlN0dIVEgtVUlXVDhLNkZlSEJZeHExOUYtYU9VT2JNdWt3YVdjbnRxUXZ6V1FYVldZbFZocWJFb3FhN2FESmRpLU9pUnJrYTg2SVlOTUhmRUJaa3VQbHI5MTFJMEpGbEYwMUpmMzEwVzhKSUwzWHBnWTNleFVKLXF5SlVPTnRsRjFJUEE3LVpUZnZ6V3p2d3o0bzQ0eFBhV3duVW1IZGFzZzlZOUFqZDdhcUlfeGQ1bUluY1kzWlN0dUdzaURpWjV2NzZmWVRobVZaRnhSaVZGSVpialdkag?oc=5
GICRE.NS,2021-01-08 08:00:00,"Coming in April, a new standard home insurance policy: Should you buy it? - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQeXJPdklQOFhSZkxobzlsUzNxYklUa2NkYWNxXzFWZjNTNkswXzZsWlpZZnEzanZVQ3hFTlA2Q2VyaDNOXzdnTklHQmdtSnBaS3A5YV9rV3VWV1k0VGF6OVZ3c2RydndrRU5nLTZPOFpkYnc2QmhBeWdVcWlLcGdVUEljelhKVUJVVkVyOFhrckNtMnRPTFNNdHpZbHVEbjFCenB6eHdMbkVaUzMweGZnMTFTSi1TTjVlaHk5RlhfZ08tNGwxcEZ3U1d3UVVzdW9BbzZnRnZPU2xOZXfSAeABQVVfeXFMTUwzcEJIR2RHcWFFbXJWeUtHSzV3UldVR3plY2FmaXpxbTg1T2YzSnJVWXZycmtPelY5LXEzTnNxQ01xU2xBaEhTc1hTUHNsNUJFeWR4bC1faW9rUmFaS21ybExzdUx5dDNEVkhxS2VXcTh1cWRLMXBqWU5VUTVWbjBTZXVleVJaTmxLYzhPbFQ2OHNEVmlUaVlzVlhSZWt5RlNYTEV0OC1ZeTRTYWdKN2gybDhuUDM0ZDRONmhieGdnb1J3QmNiLW85ZXh0SlN2dnlzZnNnNHZfM1Bpa2VZUDY?oc=5
