Ticker,Date,Title,Source,Link
GMDCLTD.NS,2021-09-23 17:06:21,Gujarat Mrl.Dev.Corp. | Stock Share Price Live - MarketSmith India,MarketSmith India,https://news.google.com/rss/articles/CBMicEFVX3lxTFBRc3B6U2MweUVDc1gwY3hKN0tDRmVLSktwVzVQZ2tOUGttdFV4cDYtaE01WTZ5c3NOeFV6WFpJRlBVczdkc2NqTjBPdjNSVDFLWTdnX2VnQnVWT01ScXhsZ1ptU1JBUVNJY2UxMmRrV1o?oc=5
GMDCLTD.NS,2021-09-29 07:00:00,Supreme Court dismisses Adani Gas’s plea - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMinwFBVV95cUxQVkpfRVg1bmNiUzJ3TzBSZHNWc0pHaUV5Y3VYQzVaemdzSGFPZjNHMlZManVFWU9kdXVUYXdQdUF5OXdGQ0NXX3N1VmRkSTdjVm9NSmEtMnctZlVfTXpBclVqczYwOHdRU3BzNVF2djZneGdmX182UHdDajEyckNrYnd1b1h6aDdfaTFIMnRoelZXSUhGazByaHpXNHhaR3fSAaYBQVVfeXFMT1BIYzlWOU9CWTZmMzZkb3d0ZE9VTUFuRXg2NTZFaTE5SVF6akRtdkw4c0xVNWQybDYzT1ZwS19HenJQVU1pT2pIdmtibEdDeTIyLTdWMGJnWEd6cnAwbms1SVhocndFeWFIWUFVUllPbWloMmVVZ2JQazdsOWlvTFlrNDJoSF9jVFlEUUhzdDNIY0FINkVWRVV1Yzljdjg3RW1KWUpyZw?oc=5
GMDCLTD.NS,2022-02-21 08:00:00,GMDC receives approval to mine up to depth of 135 meters at Tadkeshwar Lignite Mines in Surat - India Infoline,India Infoline,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOeV8xNkhoM3VDQXFVNDhBNE5DNWR6SFo1QzQ4SFkzNDA2dW4yTy1JSV9vLVVkNFA3U0pDWXEwWjRQN0I2TFYtb09wNExDRi03ckdWeG9XeWpzZTB3QWprcWpxRXg0N1B1eWUwVEtCX0ZNakFxNDE4SWlxQi1vcEF0RkZXeER1YlM3XzJYMFJpT0hOUEMzX3ZwbnRVTVlyNHROSldvZU5lY0pVT1pPNm5zS2Jpemk3bVdCZlVIaXlmRnE2NDdyTU8zMk13VzJJZDdLSlE?oc=5
GMDCLTD.NS,2022-02-19 08:00:00,GMDC gets nod to mine upto 135 m from lignite mine in Tadekeshwar - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQQU1lWXBTejdLYXliQ1Y5T1NQZ2w1NGJPMmtvUnB2R0YwNzFZYURCWl9VMzd4UXkwanF4ZzljMDdDN3pLTTJqVUwtV2VEdXpqOWxsZk15NzMxakdGTmJwT1VxQWEtVGJJVjR4NUxMUjhsc0UwTFlsOTV1VER2U1FrWms5azI1MExBWmxhNEd0OXBXenZXNVJGd1BMV0hodExCRWVvRm1BY3YxWExUTFRzd0U0UmcxelN4RDRTTU0tLXB2N0HSAcoBQVVfeXFMTmhabGxuMDdrdEJweVM2QTBSdnVycmRydnZkdFRxVTBvcnFXVUNsZ3BZcF9vbml2d2UwdG9xaWJ4Yk9JRU1Xc0xwME8taEdUY0h4TUxOR3JfRHVIc2hfcktJR2FnUW5xZXc3ZzRtb0xDYUpiLVZZRVVZTkk1YkE5eVI5aGdJMGRjY0w0dkgxdG5GNnY5LW8zeW0xTlhLR2Fqa081UkhBZUVVUGN5RFZGQ2xRY2JDQ1NtVnkwVWUyVnJmNFgzbFNmbzFvdw?oc=5
GMDCLTD.NS,2022-03-03 08:00:00,Stock of this state-owned mining company has zoomed 120% in two months - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNbUkxSURWVDNCYnJHZ2puNlNaUG1CWUZfM1FmcGtTWC16aE9uQmRlV1FlMllsMF9UR3pzTS1aeURRYTROaVV1RF9FUGlrMkhUZEw0a1FiYzBKY0QtS2xDcTBHRU9UNjZqNUVNOFJfYVVVcUxBQnp4eWhDU0dpUl9LYXBDTE4xVVZfM1JyNXdZQm5BRzlXaGFNWnBEZUtIQVh5WVZ5Rlc4Z1FQSHhPT3pIUEg3emppMk1McmR0M0E3YXFIWTlBU1Z3dHdLZ08tNmhER0sw0gHYAUFVX3lxTE5LTndWZTNNVWtSVHFjZy1BTWZ1VHQ4OGJ0QWE1UFhKRzlUWm15aDJhdTVHRGFKTExKb0ZMM2NVOEUtX1NNSUhiZ2xXSVdNeHhsOWhHMHBVREFvR2c4QjhyeGVGVy1FSEEwUXNlVVBLOHp5Q3pyNHJwbDhNVURodENSdXNKb1l3emFOUGstc29aVlpZY09TSXBPWE5DeE9QeVBraS1Gbng1WlAwTFAwOEVRTlo5U3Z0ZWo3cFFWOUp4Nk9IUnJ3SnlCTnhNQWYyV08wRUJxNExUTA?oc=5
GMDCLTD.NS,2022-03-04 08:00:00,"GMDC hits 52-week high; this PSU share can give about 40% return from current levels in near-term, says analyst - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOM052OTJETVAyVkxwQnBWQzhaQzdHSkRMNDVmNjVRNlhLaHFGWjFjeWxuLVEwWXpWalQ2TlZiUHVsT2gwZXB2NWlFeWVmZ0w0N1lKbXBsMC1tOEpydm84ZkdTVVZhb2dXMDk4OU53Zmc4XzczdnJsMXJ4Vmo0VVNHeVM0bE1XbXJlWFAzbXVySVpGUml5TUdBUm81VHZOclM0MlMzN0dhbVdSNkZRaEpTZHpFVWUwMFZGZGxBVjFPUVhuTmVNQmJneEE2YjJxOVJFMFQzYTd2SUcwS1lVS3JIeFgtNWhqRlBvMG9v?oc=5
GMDCLTD.NS,2022-02-23 08:00:00,Not a happy new year! These 70 stocks plunged over 25% in 2022 - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxORmR6YXRBMWNocXd0bDdzQkFLMnVDUDhCX1JDMnNLWlBxcWF2aWdpNG52dTMyVUh0SXJMSmZLeGVPb19tcVFzVFczWVhoM1l0OFJsNHVHVmkwUmJTSjFhaWFEZFM5TWhDdVNNQ3JGdU80OV82Q1Z0VDdlUG9xVGNmdHNlWHh6aHkyeUJudmFUVWpXOTNwSlRhbnlMZzdzXzJiRzcwN2Y4eEFyWGFHamhEelQ1UjVCR3RSbUFCWS1CSGZiVmo2akNRNk52WXZUQdIB0wFBVV95cUxObVp3aVd4ZF9hQkIxTmpxdUtMT29GRmZ3WUFLQmdnYnNQQ0Exa0ZxVEJPdzYzOExJUmRWbnRZTVhzQy1ONXFzLVh6ODl6bFF4czdONFppcVl1WXliZF93aUZfU1U5VjVvbWZpdVc0aTFRZmVUN2xEd0V2X3NpM3BMbzJnbTNJbjhpMUsxcDBUeWlKZ0pVemtTOUJHbXFvM1FXM0pESkNwaFp4YzMtS3IzS0pYY1NhY1hWQVZEYThxc242SjJiQjhOZ1FEMTRfVExXTkxz?oc=5
GMDCLTD.NS,2022-03-03 08:00:00,"RattanIndia Enterprises invests Rs 350 cr in wholly-owned subsidiary, Cocoblu - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3wFBVV95cUxONFllaVV4cXVnTDFGRE9mckxJZFdjUFhUM1pNUFJxdXlqaEFaQll3M0Jyc1E4MUduRUQySldwamxLNk51cXQ0TEFDX2M5NC1lcDE5UDl3U2xDbWJxTDlrMU5MZ051RWxHbnF1RHBPV3p4UHp3b0EtTGE1RFkxTHhlSVZzcmlybFVKVWFlN0JuUU4zazVPT3VhUTlqWWh6VDNydlRUNnd0ekhKQ0JJOWpUb2FadGxwRkNnMFBQdW5yUExGRWRzOWxmN2JUUmlDbTk5c3YyV1J4Tk1yMlZmVUNJ0gHkAUFVX3lxTE1EcVJjQVhhdG9OMnRhOTd2YjVaWm1UMHh5ZmlWZVk3UFJlMldGckxDQ0xwUDl1U0VqRl9QUURMNUZjZ0JBeWR2dzBJeXZIQ1FZYVFIMHFjUkkxWGw3V1Q2bkpJcHJWUmo2a2ZfcnhLN0JmYV9uQkdwd0lkbkhDb3hmNXZfY290eUxFYWd2MmdYYWx6cE9tbW1mWVBYb3hQRGctSjRUVXpDZmRJRG53SUNSS2lBV2cwQjlwWi1UNkdsa1owOThTVHVpU0xKbm9aY3FNcmVHTmR6Vm1CTVBRRXp1RTJQeQ?oc=5
GMDCLTD.NS,2022-03-30 07:00:00,"Sensex zooms 740 pts, Nifty ends near 17,500; Banks, auto shine, metals bleed - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMigwJBVV95cUxPNXJKa0h4dVFXc050dWVzV0xoek9xVkZHenRTaGRHbkdVTDltTlNlaGZNOXJUaTkzV1JhZ005Z20wRnRqWFU0QU1IYlRtR25neldyYjFrZktrWDlxTG5YTHMtSEZtc1VBYVpfNTRsVkZVTDM2QmRIZW5ndTF3SzRySE53OUxqMFVMbzRsNGdaRlduQV92QlFWaDAyMUt4RkI4VmEza2dsYnJuVFVaeEQwbEZsNW1TS3EzUzdHWFRfa2RvbExyeVZKU3N4WDhNd2pMSzMyWkwtSmRwZklLcjhVYVh3QkJfcVAyaVEwcUtKUnVrZk5fSnJTcWwxNHhWaGZ3T3c40gGIAkFVX3lxTE1odG5kSVNhOTM0R2lDbGFrZDE5eVdBVDI5VEdQdzUtbGVCNnJJd0hsSjIyRk5KOC1OSzBXT2ZORTVQWktXUnpqOFhfUFBkdDk4eV8yUUw2c08yU2h5XzlrdmRndGp4RjBTZGRxWGk4bW5SUVNxdGZLaWZMekJGal9YZXlaVE84VFlNNFFRODdydU5uRnBONWJGQ1JrNktXMVBCZWFzOW1ydjBZR01iSXVkbHo3ejlCTVRQZm03WnhRd1dNd0xObTBVLXQyS1JxcUVRQ2NFUzI5UFJpSjdaOHpZXzJ4Qktoc1pWclVjRzdtOE9JZl9zcGxiTmxUMUw3S3ZCTUE3bnVFQg?oc=5
GMDCLTD.NS,2022-04-29 07:00:00,"Back in black, GMDC plans lignite expansion, entry into rare earths - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOeFJOZDF2RlFzYTdrdGw5MVNJYkxycHZTX090SXRWYnEtd1NPYlBpSEFmZGU4YVczU3MxYy0xX2dGV2lIbnRGclFGX1B4Y2UxaWtibVV0MVVNTVhWVFluOVB0NTVrS2VDU1hYMXg3X0R3Vk5RMUVFalJGTGdwSnRQaW52c1JoejlVTGhNNXhpWllERE5ST3dMOVkwSXZfV0NiWW13SEFpRmwwS2QzWnFwaGJqUHY1a0FWMXo0ZFBrV3J3MGJ1cHV5c0R3SFBpN0Q3UXJz0gHYAUFVX3lxTE53WGpFSkVZTVZkY3N1aE9pZjZCY3kyMWJLdE8wOVA0YXpDRlJzU2g1QnhrNXNIR0dDUnRxRkZ0anlwXzRONVJZS1E2ZlpQTHN3TW0wd1FPa1IySlo1ZkoyYWRPMExPVHZlX2I1OC1SaldHb1R3Rlh0RFJrb3p6QXZTcHhZd1hHM0pQZTJtNVJlUUctV2hpWURHVC1GMlFVbFpLVW5icDBYZ1J5Tm1OTWc1NUtFc3FpSVZ1SWdKTE9XSGkwY3k5SlBfSXR5N2RQVkF0b3lqbXMweA?oc=5
