Ticker,Date,Title,Source,Link
GMRINFRASTRUCT.NS,2021-01-27 08:00:00,GMR to raise $300mn through bonds for Hyderabad airport expansion - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQanNCNzhxbWx3dU1td2k3M3g0ZjVFTDNzbndPSElVQU9DdjRJcTREZmZKRjVEWFJudTl3bVhiYlg0c2o4WnZMVFVEdjdhbzFoc0RGWjc2aVlyVGZ4TFVRdTh1R1djS2kzbHpJd0VITnY5SFpQdHAtRFdMU0UzeUFDUmN0NGVkYWlaQ1RzUURjQjVwbUJydDh2cjZ1bTNicHhIUnJQYVJlWEpRYm1zOFgwS0xmMFczcUtQMkNWSjYtMjJLSDg3UHFxOG9MM0ZOLXhpeEHSAdcBQVVfeXFMUFB1TmVyQndmcm8tMEFuN0VVTmIwRUh1aUlZYzBKYkJ6cTkwaHVPVU5WUEt5djI1OHBoemVTRHRBOGdYc3hVR1hrSTEza3poV2M3c1I0ZEZrcXRZVHlReUlaRjVNNEVpdlAtdDNobEdjSzZHWU5ScnlKdmdPTF9iRHlPd3g1ZjU2RzBVNklFaWJ5XzZlXzBaRUpFeTNBOXF5VzBqNEc3SXpzWjRjTmlTSndhVEdvTnlnNTRqN19uZEVpX0drdE1FTFVXWVdSMlNZeHFvTlVOb0E?oc=5
GMRINFRASTRUCT.NS,2020-12-31 08:00:00,"Stocks in the news | Filatex India, Sangam India, FDC, Centum Electronics, Chemcon Special, GMR... - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMijAJBVV95cUxPM1dWZnJydURNWVhYeXFTOWVYaXZoZGQ2VXJfVlV6dzA1bl8td1VFRWg4bWZ0eFBFakZtWlhBTzZselo0eFYwZ182czVDZEwwRVFMLVBVR3R4RUxlbFk4OEJUTUZ2NTVLb2F6SjRpSWZJRkZibTdSMWt0OTR3c0pjc0pxRU4xemI0NE1Tb05KSXFNc3JDMnJOelFuX3o4RVloZXRxenJQRHZuNlZfenZpM2kzaHJsOTY1VDdlcVJWdGtpQ0FKVGR5dWdIdklibEVnSWJ0N3lDMDhtaEpUMG1hZlpYY1k4dm1oeldyUW04RGRQVVlUS2E0ZExjUndWemVFNGRJVUhySnRCUFFN0gGSAkFVX3lxTE1CZkZEUDl3TWtRa1FOUTR5OGlXNTBMU0JUbUFIbWxqOWM4aVJzRGtuRjFPVEdWMkVpa242Um95a2VfYU1zcnFTZzdjYmQ5R0hiOWgzaUNSanlmQXJ5clcwQ0ZENjdJRHpWWGpXRGNva3llMlVBWk8tdjJrdER0cll0Vk1IbmU2UzFpdWluajk4MTRJa09qR05HSjl1NUJjQVZxRVhYRXpUX0JYblJodm9CcHpKX1lWT2loVXhGNW44aEozNkFZZEp0aENHaU13aGJwOHpDcnJJZVlWbjRROTZpbFV0Y1RaZ3pXMVh4N01yYnduWGxQYzBGY0lnd05YSTZCREx1RV8ydFNWb1Q4aEJLclE?oc=5
GMRINFRASTRUCT.NS,2021-01-21 08:00:00,Fitch Ratings affirms GMR Hyderabad International Airport at BB-plus - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNUW9taVh1aGlXbTJ6RkxDMldZM24tUkdiSVU5SGFnM09wdXlFRW9ER1pWeVR3N09lSHg4UW9oZjRrRmpjb0dNcEh4Wms3dURoYnYzREM0WnI0T3NkQ0hCUWdPTVlma2syMHhwME95bWt5c3BnRnAycDd5Z1haY0FnR0g3dVZRTmZJcmQxV1A3UHRPSE94SU8wUzBZd2J0XzdnOThZdm1zbzR3UnhMSDNueVJueExJWjN0ZW1YcUFLM2VvWmpVSGZWT2p5aUFFempsYzd3ZtIB2gFBVV95cUxNMHRRSmdUN01waDZkUUFyTlkzRW5pSHA0SjBfeGxuZzM5RnZnMEc4LWVoYWJDV1RSWW5tRTVJMnRjMWZIY1A5d0lkbGRpblFISGpFS3djWUNRc3UxTzBheGN2QlEzelh1aUlLV29wdUZlOW9sbGZONGFrSTdoSm9zTVdlY3dFVUlsOFo3TmV3bXlpQ2pCRUpabTNkR1BONm1IQ01UU1RNMTlzMVB2VlRkS1JzOXc0Wm9fZjZZUmtYdDFuUExZTXdNaV9sRTVfaXpnWnJOSm1uVms3dw?oc=5
GMRINFRASTRUCT.NS,2021-02-18 08:00:00,GMR Airports opens its first duty free outlet at Kannur international airport - Times of India,Times of India,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQck1jeV9TdmUzRUdDanVZbTJ0cGRzUWptQnVuRHQtSnBodFdNbVhjN2YwQk9JcEtnREp4MW1Ba2hiS0Znd2NXV005SEpfa1dXZTNrNXVVZjVvbWZOQk9lN3ZUd1hWa1FjajVzOXRVY2RNMXdZNlNhT2JZYi1iTUNIR0Z6MnM5QUJ0ZHJLXzh6ZnNDMHAwYmQycHIwX0RXOVlpdU10OGw4NnZYRVpBWkRSNkdNZDZ1ZmMtZXF3SkE4SjJ4T2tWRHdBb2xuY3JjVXJ0cnEtXy0wYkw0TUhMbmNSWGtRNzNPZUs0TDVEMVNMVk9PRy030gH6AUFVX3lxTFAtZDhCRW5VSy1JTExpMFI4Z2FxVWxGM25WbGtLejBCY2JIQlNkb1dfbnNxUktSVWtobUF4YzhOeUMxcVhJWnFyemRfY25hdGFrSFpJdFlUZ3lWZW9SYjBGYWtrYW1zSHNxZzUyTEZvWkxidjl0bU90RGVaMFlMLW1qNEdFQ2w5M1NSa3NwbmxyeFFuTElmQldfektoSXdndXhXVXh2WlI1aXJMd2loWjNoX056MEdrREtkc1A5b0xrQzJ5Qm95OEhlXzN3eWpWMElEOGFwNzhpUENLWUJJbTFWWDJWbkNoUS1GYlgwTHRnLWcwRjhDeFdGQVE?oc=5
GMRINFRASTRUCT.NS,2021-03-15 07:00:00,AAI to offload residual stake in Bangalore and Hyderabad airports - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPN2dRWTA0TGhrZmpsbEpNNjZtSkNaaTV4YkxZeEU1R0RfTnNZdDczQUFYWXNHVmhQd0VvZGowWVgxa1FYOGd0RGtkdjJ4UktXTlZfNzN2TndOdFR2QVpuWmlLWmlGdkFsTjFuR1p2M0VPbXFrQjd4RUNvT2VHWHdRUXpacDJuSlFVQm5PRWdCZjVHSXRTZUp0RlFCWlZxdnQ0V29WZVVGU2VQN0o3VWc0aTJUVGZLZk9MUUN4SzNCUHRqSVNpOUNiTVNqaXNrdjFnUmRpTGVQeEJvUdIB3wFBVV95cUxQRGdDN2pWaS1pVVg0N3lZak5BX3NrNThZa2RuUFZOakpsZE5ROVRuZ1lDY1lqajUwNU1LWGRCWTNfV1dIX1p2WWh0RWp0cG1Jb0NtdjR2bHhvaWtyU2tLblRKa1h5ZmJ2Y0poWlVkTnFlZVN6Z0RrcXlLRFV2MU5rM2FicUpNajBmYjlyXzVwYXVNYTJ6SUdWOTJOazRSYnVGTDVUSGp2c1ZaUXN1TWluaTc2akNrWHVuamZXdXBkcDl1TzdsUFhHLUR1SkJfQ1JUU2I3M1cxdFhGOGdIajZR?oc=5
GMRINFRASTRUCT.NS,2021-06-07 07:00:00,Deloitte new consultant for airport privatization - Times of India,Times of India,https://news.google.com/rss/articles/CBMivwFBVV95cUxQa1VWNjdGTVV3dHMwTWxINXI5RkMtLW10ZURkaUNFZ2d0dmxCTVRobW1JcFRxeWxENFQzY3FtRDgwSTNPTzBvV3k5aUdaalNWbUlEUUxTVTdScHpKTFNsRElsUXJMbVFlS2lucHh3S1VvaDVXbDNYaUN4OWoyX3NfakhRMjEtZ0VycS1tSHE0R25VbVFPZXhDdVZyZGtKTFJrakRuUVZrdFltTmZsYXc4SDYtQ2xMQ3FrclpIczJiZ9IBxAFBVV95cUxOY2J6eU1uNkVTeFlBc25CN1M1WTJXanpWN1Q0ZnlucDMwQWZ2ZnkwcUNiR0tNNERJcVpIYkZUWXFLVnAyU0dzRUxJV3FKemk5ZThoV0hlMlpPSXk4eFExV3gtbDhwaWp5VnJiQWV6YTN5dnlPZ1dldDNTX0Q2ZmQtWEtCcEFzdFl0SWNzWUp2NEo2Z2lfZFFZUk82Vy13bVpOdndJamdNNUdELTh4ZnZXTnluUjRPM29IenYyenk5ekJuU1Rh?oc=5
GMRINFRASTRUCT.NS,2021-07-17 07:00:00,Zurich Airport signs shareholder agreement for Jewar airport development - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxPNFlsN0tORmxValRNbzZQV1BlVEl4R2JfRjZOanpoODlXTi02eDZscWxVUTl5SF9ETVJTbVVZQkY1TXM4Yzc0SmpwZFhROVcxejcwd2dRUDh3d1NsbDhKbjBLR2VELVNDeWpJMF8xajlPSUpOTExfV0FDYTlwMnNHRDd2U3BjRW9zc2Rnc1hnVXFqd1lPdEhPR1JoU2FoSzRIQThITlJ5dTBOdmdJeGZWUTZTaTFkdnpfMnROLUo3VGozMF9Cdjkw0gHMAUFVX3lxTE8xbzFER1lCSTFJQ1BZdFVCRlF0T3EwTThuODYteTRmWXBaRF9ZMjRyVXZmM2lpV2VYVm9zQjc2QXNhd3NvODJuWXh6bkhObWxoYnJXbEVvUFVkb1o5YVBxbEtHbkJMUVlyRy1zamR0MTBTcE1ENzhBVnRhUTdYZG5TSGFMaWE0RC1HcXprUDBTcTJaVkNqWGZrNkFQLUxjbUcyRlR1Y0xzV2xVTDF5cFZBd21iODdicmZvR2MxYm8wbmotY29zeFpudExWLQ?oc=5
GMRINFRASTRUCT.NS,2021-08-20 07:00:00,"GMR Group to invest Rs 20,000 cr to expand, develop airports - Business Today",Business Today,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNYmxuMTBFaHF6QXNuTjhJNHZkRFAyOVFvdllrRzdaZDN0ZTAwbUV2YnlxeEMxVkdsQTJOamllcTA3LVlBdXRseHhLLUhjY1c1bXFuTGkxVlcwR0loMVZLNGdPbERjVUR3ZTJ4X0pCak4tcXk5WWlGaWJPTjJzYnE3VzJiTy0zZVh4YWJZR3BTOXRpR0ZVQlg1T0F3emhMTnpCQ01nRUQydi1wbEl0LXB5RVJpRTI5V09jUFZLRGZIWE50RUJ0dThOY9IBzgFBVV95cUxQVW9lNjViVWR1MjRpeWpkdXhFTjJ6NkxZeGUwU3BzUVRrM0xUVXBuOHR4d1U3bWtQNVlHTDdkZDJ6eHdZS0t4a3hIQWxzTzFEVmRLcThJdmxKUDhHZ0VVQkdrTGUtWm9EQy1SQWFJWldHU2xWazNvVnF2Z3hVRUhpWWxRVkJxX3YwVmxYRWlHVmRyNXdSTmtTNlFTSzU3NlhTMDZPNTdJTV9xZGtFX0xJcHVOOUEzSktWSkpMMDdwbWtLQVZtaXZNajNPVERNUQ?oc=5
GMRINFRASTRUCT.NS,2021-08-18 07:00:00,GMR group can operate Nagpur airport as it wins privatisation case - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOZkw0bC1uRDhla25pc0paX3ZneEdnSFVuTG5HWERPVFBXa2pDektPLVBYWlBoNWJzUDZ6MS1VYVBhYUNIZ09JNVFzZEljZFo2YTVNRndVOUxvZmFtLWhCLS1wcUx2ZUZTaW1uaHVGejVGMXBoN3hoM3ZLM1FCU0ZQeWZlR2ltSzU5bVoySGFhRXVkSGZ5cGpMcVE1ejFhWkZIbkVGaUVVT1hzWF94ZTlXOUpaTU1qTGVfTUtSMjZOWFR1Sk5MckNqa3ZpUkZ6cGIwZk5WWdIB2gFBVV95cUxNSmwya0ZmWG1jWEJyMUdxUEJLekV5RkVZVkFQekZGeFZCM1dXTUZiTkFlWHFBSDVGRjJ4Nm5lYlZ1LTVRcVBzZnQ1clNJVzRyY3JtRFNLY1ppUlZkbkZmMXdKYlJwcVpkbE1NVzVnaVlJS0RwcXNWNENCVWMza3pxRFdDb2Y4b2dVT1RXZTN5WHdodmRXUGVfQ1VvYVZEZl9lQmdZeGZLZDB1all4TWxFcnVDbGwzaDRIV1h6VlNkYkR5Mk9CVTBYRE5fM2stMlRBSFlfRHEwejJtdw?oc=5
GMRINFRASTRUCT.NS,2021-09-22 07:00:00,Technical Check: GMR Infrastructure could see 10% rally by September expiry; MACD turns positive - Zee Business,Zee Business,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPd0lZVDl6NGhDblRQUGN0WHVsclFtLWpvLVBjZ0VpOWhPdjFqcXlieFZCQUpNM21oU2lISERqZ1RQbHpza0xpWjdnTFJaLTkxYmxsVk9Sa29WOEJtOEFCMnkybXR2aV9fWk5fcDNrLTVhZU5FaXpDakJfYWxtZTl2akJ4RHlwX0dVcmdmV0U2S3kwd2U4VnpHek5pWWFPOU9uSzAwenhVOXI5N25ZLVJMZGJkaDNUanMtRlhHdGpIM0EzQ3hMOHNvbGVzUHI2dTNGX0dVMTZsOA?oc=5
