Ticker,Date,Title,Source,Link
GPIL.NS,2021-01-03 08:00:00,Godawari Power & Ispat inks MoU with Chhattisgarh government - Construction Week India,Construction Week India,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPS2pqUTNRd19qVVU5ZEN0dENDTWNUdEtKQVRZVUU4TGZNMkNBSWNGRVRvS3duNG45MFY1dGpDQ3phSFB1X1djYjhuT19FSXcxNHFNbHRuOTlaSEs4WDhCTzFKcWlyaHFUV2tiX3h6YzVnZU9aRDlZcVBVbkYteV9KNEctdzNTNnUwT3hBWnN4VFJseXVJZ0xVT3NoZmlVYUMzMmFwNTl4TGNSWko2NXlNUDVtQ0JuWHFNYTMw?oc=5
GPIL.NS,2021-03-15 07:00:00,Godawari Power surges 13% on environment clearance for capacity expansion - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNU1lRYnhBc2VOX2dGMVdRc2lGZmxVZWp2MUJsYnM2MGJmcWxrWE1JcUp1NzItUXBOR0VMcnB5T1ZmYXM2YndRbWw4czVXU1ZYUkJHWjM5UTVPaHJ0RWtFQkE4Q0pZejVsemtCdXQxdGZUWE1vbWd6OXFBMTl6Vjc1RG9pN21nckh0ejJGd2VZb0Zub25KUVFleEVKVjBjdDEwdDZhNzJPZWQ1VklQWmFScm02RVdCWDNKZWFhZzUwVVBETERSTzJrOGEwV0hsZFNab2dZTGdZdENuZ9IB3wFBVV95cUxPbUJDcmgyS3d2MFFOMFBMZ3YybnU5OWZ5NW5KQ2NUOUN0eWZvMVNxb2loSy1wcVNzdHY1ZldqM3FYWmFfNTdNRkN3X3Axdmp1TGNFVG90LVlzdXZYVUgxNjhPTXJrRUwxN28td1Q0NEYzN1cxRzNTbDFsMFdJZ3dDeDQtZFd0cHpFNW9pR2NQOXdPV3pJcVl4WFlyV05YQWpwc0VaczVYWDZuOWlkeVVsTS0xNzlFQnEyNFFyMmFiUkZZdHRyV213N1ZTWlRydG0zWE1DZm1FX3hWYXdsajlN?oc=5
GPIL.NS,2021-03-25 07:00:00,Godawari Power hits new high in a weak market; stock zooms 39% in 11 days - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTEhLQ0NTWEU3YjlxdjhDLW9vcXc0RXUxQ09rYlJrd2dUNjRDbjF6MHV3dmtDQnE4Zkhtd01XV0JEMHQ4cmU5NWhvbGNyQkQ0RmZYbDNTQkQ2dVZ0a1BkSE1icm9ORkhpNi1WU1l5NE5qRDRSdV9xYWZPdHRNZHhHX3kyVXpWSWp6SC1Jd3F6dElaSXpVX0lWNWdHSkYxa2RtWHpLdlVEUS0wcjZ4QXI0NXMxSTNQUEI1cFFvX2JZcEtGblIwREc4WkNfd1RqWDVLQUpGdEtYbm3SAd4BQVVfeXFMTlNLazlZRUZTQVM4blZzek5MejhLS2pPMWE0OTRGcjJFQkdQSk9Bel94SmlBVDZqOHJsQ3MyXzlZdlJRcEtsVndmVDJEWWdLVUlCWDhyVGdkQjFLZFVOVHBJclMyS0pMLXJ0U1FjRVR1bW9qQko3alFyNnV0LWxSZTFXMG1DeGt4eERTaXJVZUh5aGR6MnItMFRNTW9BdkpadzdKTERXOEVGeXpaZC1Pb3dTWG8yamRRNHp1S3AycUUwTXdrX3lqaXVxdFhaZ0N3QjZZQ2JLUl9fV0xfeGln?oc=5
GPIL.NS,2021-03-16 07:00:00,Godawari Power & Ispat shines on getting approval for capacity expansion - Udaipur Kiran,Udaipur Kiran,https://news.google.com/rss/articles/CBMinAFBVV95cUxOMW9XbmpnRDFkQzZrd0NKZHZPRlMwdmpiV3ZPbDBXcThkbEctclZyb1FiU0dBdjJwUzlfRzhjMEdZZVYyT2tvYzZrQXZLX2lDR00tNzBQZjlzeFlWWTNLMklUd0k0VWZKTzdpMWNDdzBod2Jud0pKSXpkdk5tOWxxZmkyVnYtUGpBbWd6SFNKQmZRUGlCV0dGS3NiTEY?oc=5
GPIL.NS,2021-04-15 07:00:00,GE Power India to buy out parent company’s stake in NTPC joint venture - T&D India,T&D India,https://news.google.com/rss/articles/CBMimwFBVV95cUxOWlVGbXA0MUR6LTZnT1Bza2hjU2d1VHVVMWNNeXpRaGRoVXBfQzBBZEl3MEFUSTJNaS03SkhRSXVVcVI2VE5GVm1YM2owdTkzOUZ2Q25jbFZsTF80Q0NmczF6NU82cnVPbW05MVZMZGcxdUN0QWdHdS10NWlkMUhoeW5VY0JMM0ZRSUlOdkE3NWMyUkRTZG5SeTE5c9IBoAFBVV95cUxOczJtdVRHQ0xxeE8wYk5tMTUxeDJSb1RSVDFqcXBmMWxkMkRzb3RjMGstS2RnU1N1V0gyTFFld1BNbFR2bE5UWlp5Tk16S3FaMFdYWXAxWGNzZU8xaF9YRDZscmJuSVROTmVsbEhZMjZVdEc5eUJidERnLTlWakZaQ1IwWmtXS2NoMm5reG03SW9jTWMwLWlyd09oLTVUcVl4?oc=5
GPIL.NS,2021-05-12 07:00:00,11 iron & steel companies share price up more than 75% in 3 months - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMizgFBVV95cUxNRG1FU200MnU0LUxaYkNRVzdud3ZOdWwxRlFVQ2tsUGt0d3NzcTg2T3NmRmpaMndvWGRNOU5pRFF6WThnSGJ2Nm0yTGZMb0ZhZUFZcUxhZGlkVUMxc3ZSd3owWjBQQ0QtTXczVUNQWkplbG5ERUwtZ1ZjV3ZjLV9feWRFNy1lQzNXOVVoYVd6eVRmb3RQUE9HRllUai03ME5vSUVILWJCakJTM2Y1VlE0Z2l0RHYzMTlJVk05RWxaNFdGTWlxM254Q2FHOHFhZ9IB0wFBVV95cUxQcU9RQjVFWlJUNzM5TERhWWFyZFc5dUxReGFJbVRNQlZsQVVXQmdDaWRlckY1LS05ZWVySHl2N3UzUDAydUItRTdsQ1pkRWpxTXlSbnF1SXpmQThyTElLVUNwek9iLWFVOE1uVV92RFZvYUt5STRkZXBaVXNfdmJUZzN3MC1ON2lpOFhkYVZwYTRsT3pJekF6cUZDdXFsTDZFT0ZoQ2ZMY2szX1JYWkIzY3NtNkd2NXpZS0o2U0FKVG9Bb2xMcG5zZkg0bjE4YWNWUEx3?oc=5
GPIL.NS,2021-05-27 07:00:00,Godawari Power & Ispat to set up a 250 MW captive solar plant in Chhattisgarh - pv magazine India,pv magazine India,https://news.google.com/rss/articles/CBMivgFBVV95cUxOV1RYaURJd0YyS3pmb2Rmc3J6M3NSMVBZNjV5b1Q0LXF0M2tKN1UxUEE2VXVFWGw1R2JXWDBJNFhnRHMzbG5JNDdMMWx2Y0ZLX3RmYnFBSjRQcnRYLVJlUVJJMldRNzhGWGk0T1k5RWVfM1NiMXpHc2tXcTJ4M1p3eHhnUWN5MVJUVnpRNnVXNjhZR2MtbERqNzJxN2JydFhlSXNYNllvQzFFbGd5NHRTWHF6TVhWWV81Tk96SmJn?oc=5
GPIL.NS,2021-05-26 07:00:00,LT Foods Q4 net profit rises 2% to Rs 60 cr; stock falls 10% - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQcG50U2FHTFktR1ZMbXdKOEFxenN6TDZ5bWlwOWlsSjRBTGU0Y25JeHdyR1pYcjdCWUVjZ0ExU0xfRXdOVUFicFRWd1RTblkyQ3gzOUxTSlE3NjRwU0lPUDJyXzNOTzRMRmRtc3oxZVFwVDlUQ05PeG5LbjFyQ2ZadW55eDhXVW5YaFA0b3VXRldZdE1jenRudHg3Wm1zc0R4ZEpuZ0NYYmpLS0dPR2dOTVljbDJ6WGRuaWVBdllNem12YmxXbkhoNzc1LTRBOEkxaUJtTdIB2gFBVV95cUxPNTFNMWFFd0JmYlFGNk9ZREpIaUxvaW9YNjloM2VWV2I5Ql9tazZSMkk3ekZRbjAwQTVXM2dobVpCSFlHN2M0X0F2aGxxdHpFUF80UmJPZFEwcHJtb2J3MWI3RTFmbndTUTdMcGRCZGNBQ09EdGc2d29VejBxNXFNV3NZOGFaYmxwVTZOUzBWaEJzMXBsWFpiMEhoNi1NbzZQVElvN0JpakY5ZVJTMzJYTnhNeEZuTmtNR3BQX3VoTG93V0l4QU1CajVOcEF0QjJJei11X2J2bTZvZw?oc=5
GPIL.NS,2021-06-14 07:00:00,Sensex ends choppy trade 77 pts higher; Adani Group cos sink up to 9% - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxNZFRJMDM0UWJzcmtKWExUejZjak1HYW5xT2JvWmRUNHB3Z3k3anJzYlE4ZUljT0E0NGZhcVo2aW9jRlowRmVsdDItcFk0TVNYUWc0ODNkSDE0RnN0NUJJTjRadmNZOG9SWXRPOGV1V2xXTGZ3WlUtdld5OXIyQy1nNlo3d1ZkN19QNno5N3cwNGZQNHlQc2g4aUctenRodVRMdWdSRmhXdHBoT2wySFpUblZBaUVUS3M2WXdHZGdQSTBFZXo2SXpQdVkyWU3SAdIBQVVfeXFMTjVVdm1tQmVSOWlpQS16Y1JDb18xZEhiVTNFV0tzaU55eFVZRjQ3Q3pROGpIMmVCZHhGblBVN1JfTTRYQWZwY24taTE0ZzEtMFd2ck84RVdsSmxjTFp4YUNFYVhDTHRNT0FlQXZpM0J5YVFQYjM0SlU0Zl94b05yMVB0cW5nM1FiS2tFd3FvUGViTUp3MWZPY1prMVJGTHpwaDc3NkpnUFNReWlZeFFTMEFYc21JR1A3eGl4d19CUXVZbUVTcURrSVVoRE1VQXB4R3Rn?oc=5
GPIL.NS,2021-07-27 07:00:00,Hira Group plans plant for flat products - News Riveting,News Riveting,https://news.google.com/rss/articles/CBMidEFVX3lxTE9UeFE3QlpEMWJnYVFLY0pvck5MOEJ1eG9FMWFnVWwxZ2twNVlfb3ZPalZxZml0cEtYakJtbnpQUW5LdkU0REhGQkppeUE0WGxoMGJyaEg5WGl4Y3JYOW1pZk9SOFJGenU1R3Z4TDFDdGZMR0lD?oc=5
GPIL.NS,2021-07-27 07:00:00,Hira Group plans plant for flat products - News Riveting,News Riveting,https://news.google.com/rss/articles/CBMidEFVX3lxTE9UeFE3QlpEMWJnYVFLY0pvck5MOEJ1eG9FMWFnVWwxZ2twNVlfb3ZPalZxZml0cEtYakJtbnpQUW5LdkU0REhGQkppeUE0WGxoMGJyaEg5WGl4Y3JYOW1pZk9SOFJGenU1R3Z4TDFDdGZMR0lD?oc=5
GPIL.NS,2021-08-17 07:00:00,Godawari Power to augment Ari Dongri mine - News Riveting,News Riveting,https://news.google.com/rss/articles/CBMidkFVX3lxTFAyazUzT09ZeVBXMm1kQVVKdEV1UFNKT1hrQnhISUZqWG15Y2RWQ0JReHpwMFh5X3llSTJ0WkRXcFFjaThFUGc2X3JxR3dNUFRoeWtYTWVRa1ctbkNBR19iNURmdVViX29rWEFuMlFCLWdEdjJ4bEE?oc=5
GPIL.NS,2021-09-14 07:00:00,Godawari Power board approves stock split in the ratio of 1:2 - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOZUhfQ3FVUElNQ0VPSDhySUhVc0JnQnFoMEVwajUxMlVhU3BNT01ZMENtZjFTdHp1enVjZTRuU3BoS25qeUJxNXVJVFZhNjhFRloxZEhyU0RlVHZzUm1aYVRSbTlSSWhyVE0yQ2dRb1dzbk5MaHNBTzl1YXRfenpHWUZRZ1d1cG9SdDZXQV9BV1pMLUtlc2pnMXlPckNuTVRTZW9xUDR0QUsxclFnOHg4d1RWbU5Ybmc0Sm9R0gHAAUFVX3lxTFBxbzNTbDFNcVFNVzJWSlVNREhDdEwtNld1T2o4OXRDSkFsbGZ4T20wRHF6VjNDQzRTNmswLVRHTHlLSnVlWnFUV0ZjZGl0eWFOTkpNZDNYS3ppZmJWZ0VsRE10R3lhMV9EWGhKLUQtdFJFMzNTM01TckdKbEFNSnl4YkJPQThRbTJfdmI0YUc0QXZlM2h4SWV4WFBRbklSUnNHYUNwdEJkOHBIbjFnay1USlRkWHJvLXNMWmdRTXhyYw?oc=5
GPIL.NS,2021-10-26 07:00:00,"Closing Bell: Nifty ends above 18,250, Sensex gains 383 pts led by metal, auto, realty stocks - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi-wJBVV95cUxOdkNablVlM1ZVdDl0WWV2SnZscFVxNlItYjRLM09yNHQ1ZTktb0IwMnpsN0V3NG1YOGVEdmVkU2dTQTZPaGlfLUF2TnF3T2JxY0UyRVlaT3QzM0hMWXdpTVB5RU1XSHFIRDN6UE5vQTAzS2hwNzZPeFIzMXVpQVZaOFFCcENHdC1tdEQ5Rzg4TUFXSjNzbGZVZXJjczc0RjhvaW1XeVpfM0QxUUhIQW1MVVVlMHpuckpqZ251MWlDOG5uRFhsaDNsTjJOR1dtME9wTVRnVUl2WWNGekpwdmJzUVJRSmQzbFpNQWRMUk1WN2pyMzZkRVBhUFBMYjRsdXlYeHRNeVAwdWJuS2ViNV92ZENOSGpLX0VUbXdlYkxHVTdrMkxWdGQwQ2NkV2lvbXdjWm1hQzM0LTMzTjlpdEdTcnFwazhKdDIzYUpsMm9FcGNfOHUxWU1fMTh2bGRZODFaN2xvcXVWd0RTQ0ZKbTlyS0RZdW9IZUZBaHk40gGAA0FVX3lxTE0tVHhYVkRZb3NDUTVhN2Nmd0o4RGhWR3ltUU9LTFQwTEhvNkxGeEkxMWJUQ3ZkSERxWExITVp5cmY5TkpKeGNlM3FSd0lMcXBkdkFRSGNadVhzMkdDVHZNUzlZY1dRV3lZZ2xybjIyb2dySlZUNXAzWHp6eWpma2VDMzFCSnVPZktidHlPYXA2cGNPQ0RvVXlXcmE3aFlQOWJ1Q0tWTnBfYnh2SHM5akE0ZkxOTjlKVGtXWGJwTDdMMFhyUk9xUWM4Y0o1S2Q3dmtBc01IZXFzZWhyZEpiVnQxTHpHU1ppc3ZRWUsyamZtYW13NFoxNnpDazJkbG1oZl9KdTI3TldockZzWW5HWGV5UGItTVlHQkJFQnpjMkMxUjZod3RJc3g5d1lGenNXMGJ5NFg5a3k0d1Q3SU9KdGxYbzhvamMzSWtTREZTMGtpMW9JencweGJZYkM2WFhWTmVRYnNoWndWS3lXeFpKVjd2OXRHV0FtM25HcE9ONHJGcw?oc=5
GPIL.NS,2021-12-24 08:00:00,GMR Infrastructure gets NCLT nod for demerger of non-airport business - ETLegalWorld.com,ETLegalWorld.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNSklnOGRzbV9TRDViblQ3dERNS1h5MnEyV2V4UG9fSkw2N1pXREN1M1JJdlBaenY5am1EOUxxSDJ4Vks4ejlSbTBHLWFyU0RiZTZxZEU1RTVZTWE4UlJnUk0wREx0VVdmekMwejduMVZpMzhGWEpGTzhkNi1vby03YWNhaW16QUJiOEFRX2NVYW1JUVQzSHFLUmF5RnluRjd6R0U1WGNxdV9kUDQ1UHNRcnZIbkhwSnJtWFIzS1NCZEl5aTRfSV9ISVJzNXZVTDNQ0gHWAUFVX3lxTE5FcURvSVZUaHREYnptdm9WRmllcUxFNU1Hd3VlcHkxQVpBVThiVnRfbndqNUhaZG1pV1V5SS1NNllNY0gxcm8wbXNuWm96cUltMlpRcWFZX1NSMGF5eXdxRndKZExqa1dzaHNtLXRnRUNUZ1Fad0tKVkt4cWNSbG9YYXFTcjFMcHMzeWtvMU14TVJHaGdoM1E0XzFSZFludTFxYlFZMlJOUXpQTlpVLTNEUTIyWklqaXBJX2VadzJEM3JQQ25sSlZ0SUt0MHpsOFQteE1aNlE?oc=5
GPIL.NS,2022-01-03 08:00:00,GMR Infrastructure fixes record date for scheme of arrangement - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxNZnhMYXA4UHBXSmh5X25JUEMzTE1zLTFVU2hqbzFHVGtKRzE5NGcyODI3elFTRS1zcG5SZkg3am1lSVV4bTVuWndyMHQybzFnWlpvbG5QSS1DaHR2RzVWekhFOF9VTlBrRjgyLTlSUkpZUV9HeFNNT19TdUVTaDR3MnZ5aGFaUmxKVHZsT2lXQ29FUVZMQ0V2Y091Mkl0dHdlcEUxOU93OXA1VVdVeGpKS1pHWHlUN1htNkluMUhaeEdKTHFXeVZkRFpQUzjSAdIBQVVfeXFMTkYzYlZnTDN2RllIdUNEM2FZelh0RGgtOEh6dDlwSDlaSlpwVXl6YlRpZENZeU51clFqVVh3eVZUVzVuS19YN2thTnNWeGdMRy1yLVh3cTdULVBLcVZEODhaVlJxSFlzQjFqNmk0TWVlVFkyMUxpNFloX0FwU2hwa0Q4bWMzaUNwbFhNWkluZzY3LTBTX0wwRGF6T1EtektIbm0xRHNaMU8zYkpsRVk1eHU0aktJODYtTldVWld2RmNQUDl0RWhPcHBrSzZJaDBzVDRB?oc=5
GPIL.NS,2022-02-01 08:00:00,Godawari Power reports 42% yoy growth in revenue; stock zooms ~4% - India Infoline,India Infoline,https://news.google.com/rss/articles/CBMipwFBVV95cUxNQmh1Z0s2SUtlODY1dlFKMVdnUVdGLUItc2tXMTZ5Y1FEbUtCaUJwTWpTcllRMzN2YzVQMUU2OUw0V2R5SXZZZXBjSzJwcWNkaXp4ejhHRDFIQVdWamp5RGdTX1JGWWxKcTh6eXQzcEp2ZW5UbE9uQ0RKa1B2cUxKMmhob1VHUHBGN25UZVBvUk1DUmw0NVNUcWE4ZmRja0hpZk56X2lsOA?oc=5
