Ticker,Date,Title,Source,Link
GPPL.NS,2021-01-28 08:00:00,Honda begins export to left hand drive countries to boost India business - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOYXoyYkQyV3Z0RkpFZmQ2a0xEN3NtRUhZTk14THVyX3VWc1NVNC1iNzluSERVYVMtbnJYd0dRRnY2YWFZbFd3YnpaMTd0dlFUMFlhcXEwcEJUM3lZdVh1VjgzQVJwSDZqdmp2VzdrWW90RllMR3BFSnFmN0p0ZU4xT1lKRXdfRzRrM0xvaUY5aVlOVEI1NERnUTMzZEh6cHBPdHhXenY4dS1hekE0Y0FBWVRNX1VsVllPd3Z6bDZDeHdvOE5SRElnajNlV1dzNE850gHWAUFVX3lxTFBZd0ZBRFNYZDZZUEN5Q0JNaHF6YllRQVU3TnJIQ29ZQjBSUUZFNFdyUjBpOWR2RFozWkxIVGlESWZUdmkyYV9IenZzSXRPV1ljVEJDTU9WU0ZVamNWalV4dkdWLUpSeHdWQ05ibzc2RWNyd3Y0Sjh1dEwwUXFxaWYwcXhCbV92LVJ0cEJSM0JPa3pubE53Z3lCNXJnNlBiSjU2anNyM280cEpuVVpPVG41SC1IV00xMXIzd2tlSnU4aVhhb2JEWDNEUndGeVgtTmp0MFctbWc?oc=5
GPPL.NS,2021-01-28 08:00:00,Honda begins export of Made-in-India City to left-hand-drive markets: Targets 3-fold rise in exports - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPdERqcndfUXpiWGs0aWxZbjdlaFlzZ2FxSjAzV0xxdjVJUVBWOU00TlU3V2MzTWhzTXV4QTZBcmlkdEo5eXdYMVJrSUZMWGZnS3REanhFaTdvNWNYV3A5ZXcwNWQ3dEtEZHE1dXc5bm1ZM2trTDRqeUYwMWhkanVvSk02bmdhR2N4OVU0NW0yenViNUg0VEZiNEtIZWZsZHVCY3NvTS1mQ1ZsUmtlT1RoeUdvdjBqYWp4aU16RHQxV3VfZEU1RVVGejFHVF9zWVFJdXIyR2ViY214WXppRnNxbWxhWTZIQdIB7AFBVV95cUxOWWh0eXZJVUdxOE04NGtyVnBIY1owdXNBVWVlT1VtNXNsT1FCbWVsSE1saWlKMGF5RUlOVFAtNUgzRkJUM3RRZEZxWVJMd1Y2SkpMZXhNWU96MWYyd0VBUTJJQ1lIYmVHNmNYb2tVMXRZVS1DTTZOQmVlYW9KbzNhbjdGWVVtQ25nS2lIbVpqUFl6WWNrbTIzU0NER0NnSzNZT3NvU3JkZFFMRDRoWkt5aXVpdlBIX0xPR2dCcndueWcxLVVXOHhSTkREVUg0YUZmYmRYdFYxN1VRQ2pFcHZmQnFGT1EzdE5JY3BZYg?oc=5
GPPL.NS,2021-05-19 07:00:00,"Cyclone damages port infrastructure in Gujarat, GPPL yet to begin operations - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPcjdWbUNCSmlxRzNUcEZUbDhud1ZCNFRMaEVkd0M3Si1DMVhkZUp1ckdvYndMTmhUcXBaWVA1RUF5OGN2ZGhXallqNnk2bzFkdWJ4NmJwZDhnZUstcGlFMjY4NnBsZDBic09RY2hIYzMtWDVIaHRMWG9OZ296eVdpbzF4T0plbTRIZlpXNVRqY2FzNTZNZmI5Wi1NTUM2YmcwSk5GRTExaVU0bzExdnNGUGtmSW1oWURENlhoYl9lQXhFTlNmZ1Jmcks4LW1tcDM40gHXAUFVX3lxTE55QnZzM1M4aDc4b3V3TklCeFdYZ29QYkM5TmZvb0gxN1VUYlFoOGh3TkJuZGFUTy1jcU50Yk8ydW4tdVlzUW5BWUZZRzZGaXhCTUYwZnNkY2RRSzlfeTBLME1fRjJtZDdzWmpCQk5qZElkRnUyVnVlUEJjOUttTkZVOXRXNTBzQzFvZ3BjaTRhWFMxcExremE3TExDMk1jV1pZQmw1cVRjVEZqRG5ES1BUeW9UUWRsN0JfcFNBTWVQMmlsdW1sOFNGdFo5RjdmejJIWlg0aVlj?oc=5
GPPL.NS,2021-05-18 07:00:00,Cyclone Tauktae Live Updates: Incessant rains lash Ahmedabad as cyclone moves northward - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQSldhc21zTTJqM253ZnBEMzFFVk1JQmFGWFNZTmtsVThUcmowNVhaTlR1SnRrbjI1NUs4RmxjNkJfU3ZhRXA4S1ZKNC1PZmJVOHM2MXE1UWxiOExmRmgwbnFCd2lDU3RkcXRvckxudlR1WlRCNUV4cXJEdXNNWXB6Q19MUWpsdVg2RjVyWUxLOUh0MmNKeDkzcmx1QnRlak5ic3VpWkxiRlhHdHZpc1c1aDdIM3pvVHZiSEh3NEZWcm5qek3SAcgBQVVfeXFMUEk0M3p2NGR5bUEzcXlnVmRNYVBCMmhtQlAydkpNQ1lOTjV2VG5ES0EyRnQ3d1pzR051WnVtNm9fTlFNLTM2bDYxOHFVbjVBUDAxMlBDb0g5MWUxNjNLejROanJYXzV3ZWY0bEE2Q2hsQXJ6Nkx1b0Q5X3l1MWNRU0l6dVlHelA3Sm4wU0F1UlFIZXBWNEtOZHdoWFdvMjJ1bzJ0eTN0VGJBclptc1ZXYTExTUFGUlZNSEx4c2xyR0o2NHFNdVg2OEY?oc=5
GPPL.NS,2021-05-21 07:00:00,"Cyclone Tauktae Highlights: 26 dead, over 50 missing after barge sinks into Arabian Sea; toll touches 46 in Gujarat - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMinwFBVV95cUxOTHpULVR3T2lOV2NCYnh4RzlLX2Q5eDE1RVZ6eEVhRkxfUGw5WE9vSFY1cHNXZnpENXJWOUFGbEZHTXpLOTRaXzdtUmFpdHYyUDF5alFkSTZjSktPTVRjQ1hWYk9aOEtReTVZczZMY2gzR0FVcWQ5VFJEQ2JZZVFlcUpDTTE5TUhzT19mem5tX28ybTRHYmhHTjdwTjdjZ1XSAaYBQVVfeXFMT3QwVXdQWTl3dkM5U1ViQXRUTVRLLTJoVklfREo5Z09DWVZXYl92ZEFpSzVTNTdEcDVDWDIzdXQ1SWN1Q1ZfY1Y5NGtTUG5RUWpDZ2xxX21vRnljcHNyODF3S3dQNVVDTVpmUlNfam42akhlV2VHSTBpVFhjbEdjdnBOQnFyZ09PTjl3VDRUTmxTNmFoTWN1cGl2OVVJYU5RbmVzeU9hQQ?oc=5
GPPL.NS,2021-07-15 07:00:00,Power supply resumes at Gujarat Pipavav Port - India Shipping News,India Shipping News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPSFFBcV8xR2toWnBrTjR6UlNNQ0xvTlV2QmlsdlVGc3UwWENxMlRfUk1uWWhQVmliR0t6eE1yb0FiczVCMUxBTFBjdnAyR0RIMGlIZWFONHhMc0ZoNzk2ZkxwaDdnWklaOGdoYjY5YXlwa003UXVuVl9leGdJLUNuQ3N4OXh0Sng2?oc=5
GPPL.NS,2021-07-30 07:00:00,Jollibee forms joint venture to open 120 stores in Malaysia - QSR Media Asia,QSR Media Asia,https://news.google.com/rss/articles/CBMimwFBVV95cUxONkdHc1lQRWFhSGxQQjdqaTRkQzhnZ05RSHRvNzNnSEFkeDc0ODRFS21pNzlLdmZ5RzFONFkzT290dTU4YThaREpsTGV2VmEycFJqMl9XYmloRDRzODgzSlVtRXhvby1OVC1WZGVIQXpVNnJkSmpod1NsVUxGY05XdjBwXzNiN3czYzJmMWRTdGZzUnpqcmc0QThiQQ?oc=5
GPPL.NS,2021-09-24 07:00:00,Indian Railways connects Gujarat's Pipavav port with a double-stacked electric train for first time - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQLUxkcTF0Q05ja2VIODhPeHRvZUFxLTFJV0wtTjJ3aS1WdjA3LVlQZjNKX1NhallDVWE3TVR2M09wLV9wejNxVVVpTVg4czFQRXV4bEx3WUd2cUJjaV9FcHBhWTlYbUlydXJJSkhvVmZ1X1d3RjAwWFR4MmdnRl94dUVxTGhlQ210U01XTnZsU0EtZTE2UWphODFaOGpfUDRCd2l6dk91ZUNGa09qbDd0T3pVT0hkeGxzaW5WdnltY2xobHNnNGVvRGVGQkljV0pLN3l6S0hCTWZuRGt5NHRJc2JYb3JRUmNlQzFv0gHwAUFVX3lxTE5hUzJjWVQ0bnFwRHVLcUNXaFR6Q21YVUxZLTZuT1U1UTk1YWlLdnhHdEllRVBDOE1zX0RHUzBpdTllNEFCTF9UTGZwNFdKcXI4ME9HNmRiVW53YjRzMTZ1dHVWNEJFQmFkSmQxMF9SSE5waGlLUjR3TGE5R1pwMFB5amhFM2lTMll0N29jWWpzdUdSMXhQcHpDZkhzTEJEVEl5R0hZaEFLekRkREVvbWRPZVJMNEtMOTBLSTRrTjFhV2psNXVZQzNMV3JWR0NUb3RfRTN6MkotY3M2MHVsWTJrN3V1TWo5NnRMc2JqYnItbA?oc=5
GPPL.NS,2021-10-20 07:00:00,Pipavav Rail Corp begins independent container train operation - ET Infra,ET Infra,https://news.google.com/rss/articles/CBMizwFBVV95cUxOUjRQME1IeUM2MWxUSWNJeWNsalRLNFJ4dGlMckZDVUZaNHVUVk5OVkJkQmwyWnBGMTl1ZE11NE51M1Eyd0hFQUZmY3FfQXRoNHA3dzRVYWJZNHJyZGsyNzZqNWM0V1lkQUNiVUFHVUVTRlhWdEFUZnUwOE1KZkNvUlBvS2otVXZkN3Q5X1BIYmZ2ZmphR2hEVkdqN0hKb0hfZ1ZfSmlReFpEUDFTVjJJclc2WFpJYW9ncnN2MkdKWEU5Y0JoRGlxWkU0SWlPRDjSAdQBQVVfeXFMT2NXLXFBT3FuV3poa2ZlRGFjMU5CYnc0U0FWOHZkWkh3UFlpTHVxXzNjTTVfZ2ZrSE8xa2l0YktHY1haaUFzWGhhaDBhcnFJbjlXNUs3OWJGclE1ckRlT3FHeXI4MzBvYTFLZXoybGFzSnJFQ3NjNW43YktUTFVCVDdhc3JvNmZFbGtVODBPNklZeGFlMEQ4ZTdxRnFwMFdxa1ZQSDZpbWFmTUI1WnF4RnM1UXBJdXM0Rnp0TU0xWExhY3A4bk45elRnN1BXNUxxZWV2eWs?oc=5
GPPL.NS,2021-12-17 08:00:00,APM Terminals Pipavav & PRCL offer double stack rail service to Jodhpur on hub & spoke model - APM Terminals,APM Terminals,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOWW5CQWFfWWZ2NmE1WUZuM1E0cHIwLXdqNlQxZFRPTFJkNFVMdlZ5MXdXaFdjXzFPR1JnSFdFTGFpRGRtM09Ub3JXaUpSMktOQ1M5dURoTEIxQklVTmtTRkI5UjdWSEdwOUFkUTVCVHF1QUpTdW1GMU5ZUU9rRGNoWFVkZTNaZFg4cjFWNFBYVHM1bkdHNzJyVzJJRHNTbGRyVElMNG05SmF2NUk2bjhiSFZEUGhCSE4yNHVvT2FDQ29maTFvYmg3Z2dGenFWN1ExZ0E?oc=5
