Ticker,Date,Title,Source,Link
HAL.NS,2021-01-14 08:00:00,HAL shares surge over 13.5% as govt approves acquisition of 83 Tejas Aircraft - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMijAJBVV95cUxQMnptNEJkWDNiTDBlaktyZDQxY0RwaWxScnpJWS1rRjUya2dxYll4Vnd5SGJhSzdQZkdBbm1rWkVDSlRTbjl4WW5CVWNaa0g0NzdhUVhwTGg3aUwxS3g1cVpvdnJTODdqYXF6U0VmRUFTMzRsTWdVY3YzenQ0Z0NuQlNteklxaUpRSV9UNzJKYmM1ZUFMNUxLX1BUNjg0NHhxQ05rMkV6WjNscUF5bG5QWjQxSE9odFozY0dKenEwYV9NWVk3NWwwVUdLeE5UNEd0UUhlbF8wT0tPVUlmMmZJV2FIZkVNOHBublZhemFsNjVOZWR2RUdUV0N0ZWQzZ21nNDJRU1BEWWpnQmp10gGTAkFVX3lxTE05dFBjamlaU1FPRlJQSlFCRnZDZ1lpX0M0NkxOejIxcVd6enlidURwMEUwcWI1aTJwRloyQUhxY0dmM0FUOWZzTWFSRlVWVzhoaVIwSFJIcUVNZG5PeVhhanlHdURGZm9nT3BOTDFLaVVLYjQ4XzVZcUlsUkxyM3N1SXZ5eUxBZG5JZ2l4T282S0Zsb0VnbUhHRjE2ZE1ueFZXalVsQTdzemFBYVBJdFlucUVQRjdCZ3B3Y0N0dkd6aG1DU2lZd1dyTzh5d3hSWUx2UGJkMEttak5EcVY2M01Bc0VpSVZHaWZSZFpaY245RXRHN3RIUWhMbUJTUk1zcC1nRmczbUpBdlRzZ3dqNnd5cmVB?oc=5
HAL.NS,2021-01-14 08:00:00,HAL shares gain 13% after cabinet approves Tejas order - CNBC TV18,CNBC TV18,https://news.google.com/rss/articles/CBMipwFBVV95cUxOWWdhM2ZMTnY4YTBKdUVpck5aRi1Tbk9FSWJJeWdLdzJKcV9CLVBtWVhUcG11blFNekNWeHY4QUZ5Um1PUkNJWW9uZ1dndl80SWUwenEtdnRXSUdPU0JJd0I4SUFyYmNfMzhEbXVpM1NsZlVkbW11N24wbjFMZXdEWmtIWHVoYmZQbVZERFdwQ0xxZXhEUmZ1QndpV1pXQ1VmTDRfOGhvTdIBrAFBVV95cUxPNFdYUHpkNlJhOGhfWTRnZ1UtQUlFNFJzbGtjQlBXRjk1Nk9NM1Vjd052ZVR6UlRsdHFoRGhIc3M0SjZ1NXdKaURrM1dyMm94WFJyWV81NW1aaEVpVTRzQTZRZEpMN0w3M1p6X3JobzlFNWhpNUJ6MFlOZ08xd0FHUlRhT2ZYaVlTRmVIcXBxNkhkUWwycExrbDFDMlNuNVc3eUx1MWdzQnJaYm1S?oc=5
HAL.NS,2021-01-14 08:00:00,"HAL rallies 14% as govt approves Tejas aircraft deal worth Rs 48,000 crore - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNa3c5azF0LThuSERUY1ppMVhqeGFjU3JsTHpmNm96MDh5S3lNV0ZLUU5nMi1hVGloYjJBT2phQzRpMXdHQWlwMy1yNjdBMTRwSWNkZHZRY2lISmhZQTBmNGRBaWFTYzQycmNKS2djd3NSVXlrU0xQSkFfNXF0S0xJbWNkeWd2c3BkMkFpTXRUZGI4b1F5WWZNRHd0M1laLUlDUmxvM0Y0RjZOVG9XWW4xUWMzb0FuNkZaVGIwS2dObi1KaGtkbVhGYlZrSkJIUjlpazhjamxDQjd5aG_SAeABQVVfeXFMT1VkYlNZLVloeFhjdi1pZVJiMGZ5ZElsV0xUbkt1dmlGNVpBWWlldUNlWkJfeXRkT2hnbTdzbGdnb0xyWlFQcTVvQWtDMnpyNHJFOENNZUdkQTZMRl9PRVFJakZPRjNhS2wwTVE3RjBtdnFQc0VfVzJLejdRZTF1bFlIMzdKbTluRnJwZkRkWlZjRTU3YmdheUJOUDdmUVluQUJGbm4wSXZnb2otNFdVMzFjcWU0b0dENnRuMFg2YVJlaVItQ0RJWVZjaVlsNlBwWXNpblc4djVsS2Z6VkNLcnk?oc=5
HAL.NS,2021-01-15 08:00:00,"Beyond fourth generation - India approves Rs 48,000 crore to procure 83 indigenously-developed LCA Tejas for the IAF - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMiiAJBVV95cUxQbUxhcTRZSnpIeTN2NHZwY2hqdnBqLU1LQlZJUFNOWEplMHd1dGRHbjE4dm9uVDI0akFvU09fcW92SzNId1FmMDA4OGJlYnhnTU5iUkwtdmRiMUw2M2tDMmxNSDFHenNkRWg3aEw3S3EzZVhmYWFBUmtLdTJfa2hTSHZTU0JIS3pfNFVPcFltVGYyZ01faTFNNXllenlqMjNJa2QxNWRtZGlpcl9Fc0VLNjZjNHpYUExndHdkMUY0dlExMlhTQ3JCbmpLZTZlb1NIRzhLRnlVVW1BLTdtYjRCTy1CZkRueEhSZFduU2g3a3Y2TGJab1lwSmZjUHZVWkhBaUFUM0RraDc?oc=5
HAL.NS,2021-01-14 08:00:00,Indian Government Orders Tejas Fighter Jets….Finally - Overt Defense -,Overt Defense -,https://news.google.com/rss/articles/CBMinwFBVV95cUxNN3pORC1tbE1SdngzR1phODlPUlJ2YUt4WDgtc3Atc0ZwMW5EMGhySnVrc29tWjF2d3ZIM0ZuOTRYVExPd0F1Qjd6RDViSnk3MHg4X3JVVDZGTFAxRWdnUHFWNkR4S0NYV1dCOC1EX0tIVTZLZ091NzNXMjUybG8zTXRxZF9CMzZGQll1Y08zZUY2OGsxZy1MX3d3WmRSV1U?oc=5
HAL.NS,2021-01-25 08:00:00,Several nations have shown interest in buying Tejas aircraft: HAL chairman - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQOXZxQkRKR1gxck5oX00zOVhWeHBuQW10QWhFRDBweXF1eHVLcUtJN3gzWkxreWJ1MzZpNmtMOTdXanpxWTl3dEdtT1RQRmR6bDRqTjdNQUtEYzcxZERZOW9ZVWlzMTl6MTVBNGM4eGJkN1dNaU53amhpVG52QUxxa05fR1RkLXhrTkJLUkxnUjc2bGhyZlNRV05RVHdLZEIwQVg1d0tLVlZVMWlUeFB6Vm4yWjNEYkx6NndiQTZ0SVBGQjI1Qzc2XzRfN0hnNjl4RGtZaldCZnpfczBoY1RLNy1MNmFsd9IB6wFBVV95cUxOMkJTWF85SEdGZVBXa21JelVocXpES1dXSjV5QUxYampGNWVkOWpPTmhUX3NqMkl1WmVpVk5DRzVzWFo2dVc5dDhvZDN5T0pteFY4NjZ6U09MQmlmRmZGSGZQV0pnLV95QWU2ckxqdk14UEZNNFpQTWR0QVo0RnI5Wkw1UkFObUU2RGNzMmNjMzJVMFJoUGUyWGs5LUtUamJpYmpocHZZQTd0MmFYUUtBcy14WXNBQ1RRQWRVaFNFdU1lbDV2M0pEOWVGMGU0RE9DSEVnOXdsYkxORVlhWnZ2VHhZa2l5M0R4UkZF?oc=5
HAL.NS,2021-01-14 08:00:00,Govt to buy Tejas fighters for ₹48k cr - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxQY2hwcVJlN2JpMUZXZXE1YV90dkU0c09wQXBoS2QzSGttanRqYW1Ub081RThaRzJ4YmxTV2diNTR6endFUE12UFpVRUlXcllET2g2dFpaZGk3YzhQc2tNTzNHQnJ4b25Qc3BLN0xYa1N3TmlKQ2VJd3NSTzdGczJGZkdtRzgxOTFwZEZmdUFwVlZSNFFwV0hwN9IBngFBVV95cUxOWkx4RWxyU3lzUnFiLUk5dHc1QXBtOTIxbG5UbUxpT3dDQi1jZllQb3hQajBRRUtzc3g2eGx6RWpTUW9pb0dZYXBLcllydWJlQUgza0FXWGlyQUxwV3dCY183TEpMdDZfUHdxWGpTQ1Jra3F3dkVSNFg1QVMxWWZSaEk2ZkxsUURxNmNiVnVJanVja0Zqb2JQcTNZTy1TUQ?oc=5
HAL.NS,2021-01-23 08:00:00,"Tarheel Hal could get new name, new honor - Eyewitness News (WEHT/WTVW)",Eyewitness News (WEHT/WTVW),https://news.google.com/rss/articles/CBMilAFBVV95cUxQMUFqS0F1MHJkZ1hiRHBDYzJ5by1zQjg5T2g0SENackFhdjNDYm5uci1JYmIzQ2RaZUFReUVoM1NFdzFWYjg0Ui1JeFJjTThWWXVrbUt4WnNNUjRLY0dEVTZIUjludzZCSS10UXVIQzFxLVZkUjF4eEZDZmJwcVpvZ0tNbmJ1cDZXaUViaERmMW9rRGd10gGaAUFVX3lxTE1BZHBWRHJZdlJRcjE2THpJY0s0bVNOczhfNFNKaWxSdThmYjIwN2xQN3h5YWJ4X2lMOUc2Ym50UUtDMjBDMWNNNlBQMzFQbmlNSlNMZHZoaDB6MUNmLXFEQVZMaVJqX0NtWnZ3WnJxYzAxUlVuRHFTdnk3aFdvb25XWWRRcHNQVTY1SkFnMno5TUNaTXF1SlY1alE?oc=5
HAL.NS,2021-01-21 08:00:00,India's Hawk-i test fires Smart Anti Airfield Weapon with a 100 km range - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPY3o1bmlRTWwtSUg1NWxMUkVJNC12ZGxpWlZOZWduUGJZb0FmbW9BN294Q2VnS3J4NHJlUjN3VWd2dTdOUEVIZzlXeHI1Q3dTMjFSYVFjRHUyU1lrT291dElpVzd5ZGhhLUpMaU5PVTBrNzhsNWlCd0l5LWhpVTZCM0pkY0dKWHVONzF1ZFdyTHBSa1VZUUx5d0ZWWUpydHdrVzdtT3dCV2I3ejNnel90NDlobTAyTl81NFBCNk5CcjIzT0lKWHZaczA0SXRyUWpYLXZR0gHYAUFVX3lxTFBIemI3WTNFeWlkMTFPeGl3TWNqdzIxWG5qclc3eDJsZm85QWkyZ3ZlUDFvcUxqOWNBblYyUzI2RW5GUGRiNlY3SktfMUVYNDZFLXFlUENiMnFjT0RRRkdXNGFKR0ttaVozU0hBaXJCdEpkZVlIbW41T2pwNGlRNzJHOEh1NlRyTTMxUFg5dkk2MXB1ZmdsdERCRWRFdFF5LW1QM3NMdzhDVVZCX3p3czJCR2JVZVVZVWFRMzI1LWxJTWxUMTlkUFFlNXVvTVZHMm1RSDJ0U1F2bQ?oc=5
HAL.NS,2021-01-14 08:00:00,Govt clears purchase of 83 indigenous Tejas light combat aircraft - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOYU42X2I2MHpncldDbFBtcmNOWGEtTzVoSDhqWnYxNzgwVG9UNllKQXMxanJzbkxjQUFHWE1vQ3p5UXNrQThKekJJVklzTDFmam45UktJc2JRb3E2c3UzQkdocmthR3gtODE0eFZjZ2lZQ21iVlJPN0xERm42NW9YZTdhZXpveEFudldKRTI3YkVTanZzMGZBZmVuMjF6eFFCdm55MTR6Tk5aY25YYTgwRkVMQVY1TE8zdU5DTmI1aHp4SjRRTnh4UWVEZmsybWxNa3htaVF3X3NfdmvSAeABQVVfeXFMUDRyQjhjSDUyRlY2dWlfV3ROQjZ2Qk9BVFpvaGhpY1NnajJ2bi1TUkxFekRGMndoc3E3VUZ1VnM1UURsTTNtR3U2NkwxZkRnUEdmS1JwS0VFMWIyTVUwc3FyRGRCMEJLQmVIczhKSnVqMDZZaEkzQTVCOXpNUzNmQV9MRWozN3NtY0R4YXl6N1N0QWxxTlBEVElnRlh1ekd3SmpPSGJLS3FZekJEVXE0U3gwbUl1UVZtR3FFOXhEWDh6UHlrXzRBejl0S3RGRFlFZW5VLWNhR3o0V0lhaHc0TDY?oc=5
