Ticker,Date,Title,Source,Link
HDFCAMC.NS,2021-01-21 08:00:00,Brokerages see up to 25% upside in these 11 stocks even as Sensex scales 50K - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPMkR0bno0elJXNWp6YWdwNjNoZTV4WFZIeEc5ZVlQR3BaYWFSbEowcEVvYXlHbHo2TkhSbkl2ZE55OEJqWEphUXlhQnFyRnNWSnYxUzdJV25iNGVoc19qRDdab3BVZkhIemdkQ1BFZ2NCZlhMOHE1MkJGLTdzVjVDNXVnd1dQSTRPYnFhaWVEYXZtNGRaQW5qZWV3WVg2VFpjaGRoME9MeVpSbFRxVVJSZWZjY3F6bkpEbzdIYVlHSnRDWUZXQkh2SkMyQXQxakpZVmIyYWNPc3VPRS1LRjVN0gHkAUFVX3lxTFBfZGNTQU94cWluZDlkVlp2a0laTllhMTZmTllIQ0o0TXBkZF9JUzVDZ0g0VnFnV2lMZHhuOW1DdW9uSUJTLWZnSHVpaEZ3X3ozcG1OMG1WSk90TVFSWFFSV0s0cmtHbnlZRE4zNnlLQ0pzLTlHdUF1bkN5WGczMFU5M0l4d1JxQWpaLWRZdGt4a1NnNVZhdXV5VjVTUTdzVjF1M2RvRTdjM25UZWxuM2p2d0QtbEVTYm9GU0tYal8wQ0VMYWhFaTEta3dBVHpwRzNWSHFtWkEzdFdQTDFDcmdYZTVsVQ?oc=5
HDFCAMC.NS,2021-02-11 08:00:00,Farewell Milind Barve: The mutual fund veteran who took HDFC AMC to the pinnacle - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOeTlpM0RUc0pkNEhpNWpzODlTWk5ZZ0NGS0lzV3NKUGFwMkRuU1Fmay0xMVE3dHFzcnJyVW5FU2N4dkdHaHg2NnJvT09GN2xHaDNxejhEV2VqY3ZsWWp4T2xES2p0NUVCN1p6UGZTS1NMLVpnQ2tWQW5NdGp4VGdfTV9GNVA5TlBjQ0NWMUp0NzJhbUlZcndBQUowam1sX3dOWFdMa0RrZXltd2V4QjE5SzRlckdfNW94YldYR1E5SFBmRmh2b04zMDBCcVl6VmE4azZ3a0dUWUYwdjJ5V3BkT29mSUl3WkxlOFHSAe8BQVVfeXFMTUtqV0dneGNXTkh0djFRZk5waWNCMHhTcjNjcVVNa2QzOGV4SF9ySWVuZFRvbEE0dXZBNTZwR3pqOU1BY1lFM3JrLTVhUzE5aDU1ajdmWWFyVlVmMjg1QVdNMzY0dS1MNThIUklqRzJ3WW93ZlRLaFZVRGZFeXFHOGc3LTBjdDByTTg4ai1TMW90NVYxSHhpOExmbGtFMGw3eUQwZllnOFlLZlQ5TkF4WGtqcmFidWt6NDZrQmwwN182NkpEOE8takEyOXlELVpjSnd5bFNPeFVsNy1ZbzdGb0VqdGxObDVaT0V0NkY5cFU?oc=5
HDFCAMC.NS,2021-02-12 08:00:00,HDFC AMC’s outgoing MD Milind Barve on leadership and how Deepak Parekh inspired him - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOMVN6QlhfdVkyU1R1MFpLeFlsdjhlNzRNa3Y0ZXpybFd0UFU5LUdBQXQwZVJ4RHc0UG1saHFqT2Q4dDIySlRjR1FCUG5Pc0hYNTcwejZYVE44T2ZqNTFpUVduU2JadEplS01KMldKcUs5TXRVY3hqLW1kMXk2MGdMLWtrelpVS2FweGh1c3A3VTh1MFVnZWcyeW9MdFYtOGFZa09feHNpWjlaMEJRMDA5TWtmdlNCakxTVzZZaXozU21Xb3M5blR0Tk5uVFNoS0hfbmQzTHdNTjlNbmg2aHdKeWxiRUNTZ2lId0RDYdIB8gFBVV95cUxNc2tUNUN3THpocWdnV25WZTNIbEpuLXMyNHZZelJqLXUtSmNrT1NZUjFab3VRVEZsUU1nc2Q5c2ZIVHQxUlpESDJNbVRuVkVETEYyczZ4U3lnWWs0aVdBN2VKWjVvLUdQd3hZbkt1X2lSeFNnMHJldWxzWmdLVm56YXJ3bWxBSkg4c1BiZVJoanNRNjRibDkzWlVsRVpybzM5aXNZLTI2TV9ObG1teV9lemI3RWNfS1FHVUw3SjBrVE5SaWdsd244dWtlSXhZajlNVTBFVVRHeF9ncGdaVjl0QXFicjR6LVFwNVc5Vk44OG1LZw?oc=5
HDFCAMC.NS,2021-03-04 08:00:00,Nifty earnings likely to see growth in FY21 against earlier expectations of de-growth: Amit Ganatra of... - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOeVVGNGlscHlWTVZJS1lMdlBGSzAyMFZ0TldXZXJZejlRb0k3RnBrQTJ3cDlfdmFPZnhGMURIcHZPSm1wRjBmY0pKRElEdVFNaDdlQzRKLVE3SHAzZWE2RDNJOENEXzBianEtY3FFbWNkQS1nOG1CMnhhXzU4TXhYMUNBaXBRUHBsV21wZWxhQWQ0VjB3LVQ1X0FIZ0ZSVExENGU0OVl1bE5vMVlxUG1pN1JWR2hLR004eWRsMGJnMVRhLUJ1bkxtSEhqVTVYOTJLQWVMMkhwa1dsZFhrZUZUWHVxdXNJY0ZFYnZQY2NTYTRZSG9mUHQ00gH8AUFVX3lxTFBGckhBNHlhR2R4XzRfaEU2bjFRa3pfdUNkMG01cWZaRzhISW1VVWI1WmRlNER4MXlFbHNVTUNRQ2w0djJ4X1NLX09MNnBoRTFqTkRSWjlhX1VDSWJEdmw3SmFIaUtVU2xfTXo0bGlvanBpQXFDT0cyZEhyRG5ka2N1ZFlvYm1ZVDV1NnlCcEp6Zld2eHJtSm12T21Fa0l2YlZkMWlIaUpaTDF4ZDJqbktBZWs0NDE1azhUMDBrTXZndVFacmU4eU5DUXdLYl9TRVJJWEk2clNQa2IycldoTVNvV0lmc2pFSTFvb3lGTUFQamZuV1EzTnlKRk5KVA?oc=5
HDFCAMC.NS,2021-03-03 08:00:00,"HDFC Bank, Reliance Industries, Sun Pharma top MF bets in a decade - Cafemutual",Cafemutual,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPNEh5cy1JRlFualZhOHpKSHdkY1drdnF1dlJMUHFreEhDQWxlNnZKaHBDei1KRWNDeXRmRVgtcmVPcTVaWWpqZTBoYWdSYnRCaEd6c0Fpakt1YnhKSW5qUS1vSlhIdXNaUTg1WkRYVzNuekxsQTBWOXdteS0zdVlOTEhtRC14eDNtM2wtdjhaMlRpdFBHME13cWEtZEFTdjBNZmVCUnpLUEpMNUE?oc=5
HDFCAMC.NS,2021-03-08 08:00:00,"Birla Sun Life plans1 raise ₹5,000 crore from share sale - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVG1ic0drN3lpX1Z3d2V3bTVpU24xZVltcHNOUWwyVzBXM1NyMjNaYldTdjNrYUhrRG05QThnNWFybHZCb0xIaFB5WkxSX3lzbEhmcTRYZG5rdklLRUFUOExQM1lldWZySDlsWWJ3RlpWSnBNbmM2Rk5vYUNXYmM5bDBraFFqV0JsZGU3akQ4WVh6NFhjVXRSX0wtOVJ6b1cxSl9jVFVWTHZBbVNuMi1BUDVsaUFYVFdL0gG-AUFVX3lxTE5acGszY2JfZERIWm12aUFpV2FuYW5qRHpsTzJ1V3JZaHh0WFFvSFIzSVNIVkxTVHhUQW5Nc2xobGJ5U1lzc0l5VjdPLVpOampSSnBJLVYyZEN4Z3ZZcXo3aUY1dU9tUnI3aGE0YnFDUGFGeTdFVGJBV3hDb0NmNWhPaDFmVWlOX2NVam9lNWhlQkVPMmVwRWQ5NnotQ2R5TTdOVDdKY3czNERuX0FNQXZ2VkR2a29fOHVmeV9XZlE?oc=5
HDFCAMC.NS,2021-03-18 07:00:00,The Top Rung - Business Today,Business Today,https://news.google.com/rss/articles/CBMijwFBVV95cUxOY2RwczhEYnd1OFBLQ3BEb3gxUEhId0cxVXY2YkR5dlF5cFF2U3VXand2X0x6MkFYb3NaSU1Va3JBTGN1aTRjQ0dURjZpcUlVZm5JWmlRZVUzZ0JzVzZBMUtpSHBEdERFQ2NFUlJjR0RLMnJ2RlVMMkM5Y1FWdW5PYjZKSWRhUWdQUFBBekwySdIBlAFBVV95cUxNcnJ2SFZmZTltODI1blNjMFkxZzhQOWZCdWFFMDlFR0d0ZmhOZFo3Qnl5Mkg5d1FabS03enVNQ3ZUYlh6Z1pldFRvRkRaeXNlTDB6cXJ2QUVLTktqQi1IcS15SnBySHRFSTdjVWFkSGFDdXpIbjB4MXF5VlFaeUIyZHVwd0RuWHZPd09keGM3Mk4zLVNy?oc=5
HDFCAMC.NS,2021-03-26 07:00:00,Rajan Raheja - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiowFBVV95cUxPRWx2ajhkWms0VWh6Q3lTUkRBOWFGUjhZbUJDWTJpRnRUUk9yZ1VKc01fOEE4eWpMclJZVXBkSmVrZG91MV9WLUI5S1dvNXdibkl3QmJhWTNUTWpMQ215bHdBRHZ6alYxMUczazA1UTZLVDBqNFNySFZQX0NEckgyMm1DSGR1TmJvSjJ4eFhEZHBUM1RvbGdPZ3BpZFdXcHlWUDBn?oc=5
HDFCAMC.NS,2021-03-20 07:00:00,"Indiabulls looking to exit ARC business, in talks for loan portfolio sale - financialexpress.com",financialexpress.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQV25SZmNQMjlnYWtkamxTem9FVmJlenZQWVU0VDUycTh2TEJ2YTJPSldxWVNhY2NjU21WcjZlM21sOC1fZXk4RTZtWTYzQXNqRzNvN29DZ2txbU5LQjNKU1Y3dGRxVlUxRU5wS3FkOUd1QzdqSWlkMjhCdnZzTEYwUXZnXzZGdzQyQ2xpd19HdzN5WVNVSG9EWTA3UlIxeENGQThQcjhoaTlZUlltWmtXaEgwWUtEMGREdGtYMGFjY1ZNa0Zoa0Iwc3BlMlFQVWM3ZWk2VjhR0gHcAUFVX3lxTE96Z2k1X1lUcWlIZGpZbXkwVkN2ZjZ3bE9YUzFzbFdfMW8wTzRyS0lvVnhJNzY4dHdhaWJpYXB6S2pNYklzLTFkYUVubDZUd05ORjhvR2pfeDVmeFUyWktHOUFQODFDMVM2VlBORDlvZUcxeWsxSndRdWFqcS15QUpNWFdzbzkxSUJIRk9NZXduOTVsQzMxRmo0NGZIWG5WRzJhZFpDMWNHbVhIbXhzd0NBOER6TW9pUnA4LU9FM0g4elhWZUZGYi0xX0xNVlBwMXpUVTB2Z0tNcmNwbEQ?oc=5
HDFCAMC.NS,2021-04-28 07:00:00,"Markets rally for third day; Sensex ends 790 pts higher led by banks, financials - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMi_wFBVV95cUxPazUxa2lBc0hkY0xibWNEcG03OC1qMTFXbXZtNTJDSWtsQ3RJa3BaX19tQnk5LTd5ZVZFMnJxNXZaYndiemlMbXZfWWVEa0JGb0JDM2NBeHhkQkNTeXNtU0duLWxOeWRNZVNrZnpNN2lhR0luT0UxRDM4TGVmU3ZCaXVaNG5BYlFSa2EyOEJiY1dRcVVEdE55VFE2NVhsUTZkOEJ3VTNpOXpEUV9VeXliQ0R4Qk8yODFYQVZrV2JUSzh3WTJ2eG1OVm1NQm11YjRacFdPNzJEaGpQRExwNFNVQk5RcDF5R3FOTHhUUERkUzBQNUZjS2RGUkw0NnllS2_SAYQCQVVfeXFMTkV6dEc5UnphUTF0M0VWalhqM09UUnFWazkxWm1SaWVTWGpJQm9jdnY0SGtWcEhuMVZWM29jYWlNb3B5NzJDa01lMkI1QWJCVElJcG9kUWxqY2FkQ0ZWb3VRVllha2gyQThUZXJsRGtaWHlaMExPekxxay1fbkRuYjU0X0U0dVpFbGNJWEZTemhUUHM4VDBlY1AwNHdsNUdFb3BHOUg4WkFacWpqUUFFS3JWUklqQU1sQ0hNa0ZEb185NnlrTFBtM25jaHRfSDhLVTJ5TjFZS0NJdzd5UllkR2d4ZHZmZnFzV3FPaVhBNW9EZEZCTkNhbWxKRDRudVFfX1JEbnE?oc=5
