Ticker,Date,Title,Source,Link
HDFCBANK.NS,2021-01-18 08:00:00,HDFC Bank shares surge to all-time high on back of strong Q3 earnings - The News Minute,The News Minute,https://news.google.com/rss/articles/CBMipgFBVV95cUxPeVk5eVhGZHc3emhlalhhTThRT1ExTUJJbHhodjN6MDhRN1JqYnBuTmFhNl9Xa3RtcmoyQk9EeUlyYW1hTm5icy1jRTRFSmI5UjU5LVNYelVHMEpld0tVSjVXblNsUTJTUXBIX2FZMUFnYlIteWxYTFNiU2IyUERFa29pZnNDSm13MTExOG9rbGlsWVRiX3l2bnloUWFuRTAzNkNPWENR0gGzAUFVX3lxTE1qdEgwUm5veDdTbkRhTGx0R2UxUkR0ZzVlS0k0OFR6TkxOU25HRHdpZWE0MzVYbzY0cHdFYk5fX0JHRGVjQ2JjYUhBc3M1SEUyRVhRMFk3NklYYWEtWlk1bFB0MlVrTjNMREFzSENwc0o5ODRZY21IMGE4YXItamNuTlZidkRYZ2NPcTN0ZFZfcVVMa2d4Ri14QnBsSVJHbHN3N1NJT1B3ZDhEY1lHT3Ria1lz?oc=5
HDFCBANK.NS,2021-01-19 08:00:00,HDFC Bank signals IT issues may not be fixed by March - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPazB6ZmdhTVk2TWdENW9FT0h2aXdDN05rT0pfU3A4Rnp5cFdvYllCd2lsamdzUFJKblhPNHNSZkRhb3VKRTIxRDRZZkptZlVCUzJXeURqVG41eDBsSzQ2YXdLRVlnemlUX1Z1akZqX28xNXVESkFGYzhRdWh4ODJ4ekVfdW1TTkZzQU0tY3d3MmJBc1dDMUdEOXdCYmswQUxVWXBWMW5XbExMWHZxTlpyUWVzVkFWdGxJR1QzazIydG9wUVhSeFlET05tcl9GQ3BfQ2k0TdIB2gFBVV95cUxOQTQxTWdfcjJyb25XT3k5VFgxZzZVYW5JdEdJSHoyYVVfTm02OUxvQkJPX3k2QldjQ1h2T1YwUFNrMGtTMGJ3QTJLR011Zy1halZKVTVXc01XLUxNbXdRb29SVTY0aGY5R01pWTFoeXhrbXJ0Q2tHQndOWjlWWEpsVHBNS1RudUpNcmVmWGJYUUxVLTItMGxjRkxLSjM0d1IwbEZfU01zd0s5TXhOZk03OU85MElRM05lSktDTnd6SjFuckdmRHFCWmxDa1A0dzdiT0UxTGNaV181dw?oc=5
HDFCBANK.NS,2021-01-08 08:00:00,In case you missed it | HDFC-HDFC Bank merger: A financial giant in the making? - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNZHo2SG9PTUh3SmVSRWcwV2hfLUlJa2hlMk1LU2NrSThIMkVEbGMxNzJaZTB6Um9adWxDamh6eDhVY3VCb2E3ZFRoNzFWQzg0akp2bWlJRlM1cVNtYnVuOEJ4aHZDVXlBbTlxOEpWcklmYWNqWWQyQXhMc0s3eEFDMXRBSjZvNmhnRmxraW1JR3Npek9WUllPTlVMSFNJd3JYbGI0VTBtbm9XNUdaR1ZkYzVMT1Nwd0l5U0xjTzlRRHBPNWVDSnNqTWs3Y1djazMtczZ5bnV5VFJNWHdHeTU4NmQ4alM3N3VT0gHuAUFVX3lxTE9iY3BlME9fQ3RpZDBjSFNIOHczdVNkQzBORjBoY3pTbGpYSGQtd29oVWRfSDF2cE1CVVk1WkpXSUpDcXFLYzRhMGVFYjlNS3R6NFRHQTVCcWI2c0swNmM5R2FISTM0UjBscXVJTmxGTm9BN21NVXhsWVdYMURQWGxDZ214ODRld1hkUUhzendQaVVHUjRlWGtiMTFLSk1qVERXdURvNHFVUHpHeTBGa3U1VFlib09KMURiUmpEakFRcFRUTXVEZF95bXczdXo3VTJLNUNKeDZnc3RjRkdlRFpzb0hnOHpLQ2U4WUpoWGc?oc=5
HDFCBANK.NS,2021-01-18 08:00:00,"Sensex sheds 470 pts on global cues; Nifty ends below 14,300; RIL, HDFC Bank up - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxNTWRVN3RsV2s3TzJ0XzhFMzQxdFBSN0t3bFNnMTZjZVpGa2R5bTJ5TnZZSGZMbVNrUDJnTFdBdU5aRXdOaXZtTVVldTZYLTlEZlJxUjgtOS1aVVQxbmlvcDBESkV4bTVfWGZ6QVdldUtOYmtvQTJzSU5KNDZUVXV3ZzVnNzRQRTVMVVZfbmItNUpyeGtjSnMxTkNmbS1qejg3U1JrYVZPaTRGdnEwaGo3VExvdlp3MWxwSDVGSdIBwgFBVV95cUxPUkNqaWFzV1dsTUpIZXBRY1dDa3htNWV0NUhHNzV4dk9QdzlJa2ItZ1B0REhva2I5eW5mcjFoNlF4VHNTdGE4Y2dvZENoblprMlE2LWo0TmVrbGtoVGkyWlpLWW9maTJqT3NZd0R4a1NfWmFlMU9yNmg4ajdDeVF4ckpsY3gzSEZOZHB4bFB0VDUwZGlOUkhIV2ljbkNqczFBZFotTXBnV1VOVVlZbUxwdGtSOGJkejd3RUYyZUdIVjJ0dw?oc=5
HDFCBANK.NS,2021-01-23 08:00:00,HDFC Bank penalised for violations - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMiowFBVV95cUxPN1JBQzV4NHNPcWd0TXJIcjdYOGJPMFY2Z0VjdjBaQnV0V0VSd2dYQnRPOTFMNU1mbU9ESGNQQlBDVW50VDF4V2RnZkxrQy12Y29YNk9Ga05nY0k5bUV4bTlTeVQyUUxDYlBKMGZhR2tDSVZPdDZCODU5MmFBMXI4b0MxcUlWRHZTODNGQTZBZ21Db0xBVVJSQ2ZIVklWcXJWNW5R0gGwAUFVX3lxTE84c29LTl9NTVFCNUdLWnhCTktSSDJ3NmxqUFJLWHA1SVp5RlExLWw3cGEyQUNWNFFncXcybTQwM3ZLMndnUS1RZlBBQXQ2dnZJVmFTY2l0VkJBX0g2TjNBeV9KcnNhM2RrUTlraDMxNUltQXFtWkxSNk5SaGpGNTNCd2VhXzJMRUdlYVU4MzlMajNRMVpNQXZDYU1ZdEdwbXV5N3BOWll3MmQ5QmE0V2xa?oc=5
HDFCBANK.NS,2021-01-08 08:00:00,Former HDFC Bank Managing Director Aditya Puri joins Strides Group - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPbTc4VlVtblRWUHNna1o5WF9fcjVaYXo5eTlVZl9oNF9DSVlQUmt1LVVXZGZfWEdvZGlLbmV6SlRMNDMyQjg1MGdTdGhDVktacVRxc1NXeXV0dUVNNEVQY0xEOFFXMFlDa19faF9aTHZHT0V2NTY3eUVyUGI2U3Fyald5aDg5YjJJX2VyM0RQRXpnVzNXQ0Nobk9xbXlETzdLdHJ1U3U5M0FrX29kbE43Mmljb1hSNVpVajVjV0t6OTA4OC1YMHZfOEJqNDBoSlp3RjFHadIB2gFBVV95cUxQN3RmWjdOQzBrR1Bvb1o4dWRnYWYtSjFNZjhnaDk4MHQxdUR4Y2NRN01TQmY3ampIY05Kd25FV1RUcHJvbUE1RlFDbGdheWs0dXRkaW1EcVBvRWdZcDlILTdPT0ljb1ZPMWEyVTQ3SGswRUtBNjRZMVdYV1JfMHdxREpiNlM3VzBsbXp5NS04T05sd25Dd2lleFgtejR4cWJSUTB3Y1hud1NDbm9MX29qOGdlVzZTcklaUDN5Uld5WFBTa3Vpb3ZkaUFiVGJvd0QzMUJZYjZORnowQQ?oc=5
HDFCBANK.NS,2021-01-22 08:00:00,"HDFC Bank submits plan of action to RBI, hopes to fix outage issue in 3 months - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNMXN3OXZXNFVoS3ROMXVFLXctZTJ0V2Q0M2RPeFZMOWZfRjRFUV9aY3RLX0otZG1CMmNydVZFNVNzS0Z4R0Q4SDB5aXNlZi1HNnhBcHlZLVZoTU1GNnVMdjBiZ0RvSHZZME1nOGhQUEk4cVgySjRzVGpGMDB4aENwTXBoUWs2czI2WjhPelNDbHJrMEJKSG91Vm1PSUt6X0QtR2pSeVNBRll6QklsU285RUVKNkhPbTZVVTlsZkczTWlDbW5YNndEU21OSkRfaXcydUlhYTNpYm4yMm5TbHFJM1VkRWpfd1BkejNSYWJTbTJBRmw30gH6AUFVX3lxTE81WElTWGs3SVRsYURPM2lOOTFaNHlyOHd3MFhfSmttWURETVBNb0JIamg1am9MdWw5TVdjM3VzVl9BbnRhREZwdG0xYWlUVGt5Q2ZZN1pjQ3NlTkVWSUhNc1E0RkVpZzQ3bGVrNUNhRFZaX0N2dzhhbWoxcUV4Wk9PQWE0Vm5wbkF4ZmlXQ3cyZTlmaTRBYXhuV0pCZW50RGJlNFZJZm4zaXR1MktMdmJzUjlzd2FYVlhVOWhwTEM0QnBUZWUxQUdXNWZuQWNJZmFHLVBwMHNVYXRLbjBfR2E5dG9YRzNOSXJHa2o3aHNGZFNzXzB0WnptNVE?oc=5
HDFCBANK.NS,2021-01-20 08:00:00,"‘Too big to fail’ list: SBI, ICICI Bank, HDFC Bank remain - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNamhrQXhwb0hsa2F4aWtnSjFaX3JHczB5NTdqOEljUzV0MjhkUnItQm9HZDhadTJNWEJmS2ZPemdMQ1RWQnBoRHRVTVZIa21uSEJRN1BRYnFhM3UwRkIzdlBLQUZIa0I5dl9Tdlo1clpkeHRZZFdvRzk5UExpdjBOUHBkQVRmdmItVHJlTlItRzBpTzFOU1ZwOTdXOGRJdS1lRldEUWZDTUxEY2FXTUVNU2F6V1BxU1VyRDZuVTJfazRzd9IByAFBVV95cUxNZ2xRWkdvbWUySWhxVmtONllKWXQtZUdYYXZRUWd5RFJMUGdfRF9Gbzg5MkNLNDJfMG9ZemhlcTRlR21ETmVvUFNPUkxlckljaFdKVk5WU3hKbVRWeXBuSHN6b1RkcU1DeGlZaExUVTY5c3lyd1REa2dwZUtnUW1FZ1NhY25oS2JucWlXTi1FMzQ5OG5VaUc5Sy1CNk9jZzM1cjd6eFd2R1ZLblpvTC1sYXZ4Vk9qQlc2OTRzbWRFZDVtM2lvOEpLLQ?oc=5
HDFCBANK.NS,2021-01-04 08:00:00,Why are millennials scared to invest? - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxNT3RfdHlobV94LXowTHFlRDIwZUVPbWJ3UFlxaW92TEdXQmJUMUpfeGg2OHV1djBSbm42a0NNZV9Fb3otWmVZa2dQbWRBZnVGbG81V2x6eW5tNGR6M0poZXdlbWJ4S185LW1MMEVPSC13UFN1NzVZWFE4WXFhQ1U5Y0xvNzhSX2lmOHlsV9IBkwFBVV95cUxPZVo5eTF5a1JBR2V4dGRoZ2V1dS1fSmtfVTFtc211bHo5OG9PQWhXcERNT0htLU94U20wWWNvLVRjUUs5VWw5NGw3ekNzbXc5SVNuNDBlcHM3dkplcFVZaVA3TjlUNkl5SlNibHFUdE9NV0hkUjZDaVVPUlAxLXNFODVWa2xsbGJYV24xcy1ZNUN6eTA?oc=5
HDFCBANK.NS,2021-01-22 08:00:00,SEBI imposes Rs 1 cr penalty on HDFC Bank for wrongly invoking pledge of securities - The News Minute,The News Minute,https://news.google.com/rss/articles/CBMitwFBVV95cUxOLTVVUS1URGhqeTRteWpid1hwWnd4YzNNbF9PamNHckFDd0tEWUN5TVVqX2h2VzhnTmxFel9tWlBfb193cEF5T1pLWFczeGlBZWFKdk15eFU0STExb2JlamtkVFo5ZmtDNEE2VklFMVhiaGlmX1FwZEY2V3YxNERBQUxPX2tkSWNwNDBmalVEMXc0dVpHbXlJQ2x2ZWhCVHM2NEZHVWtlWVZtS2NuUFpLWjFSUWUybHfSAcQBQVVfeXFMTnZjeXVfSmViWVZOOXNQcW1Pa3hPYnY5X2lBVE96a3VjYVpvX05GTjIyZW5uWEU4OHhCSER4WWx1QUtxN3lpVzdjWHhWbmhJWThpMGFUYTZGbjZNWGJWWUZXVEp5MDVvV3RENDdKZm9ZSkJvbjZ1S3NaWTBWNW16NVpBTGJJcWRCRHQ1WXpYR0Z0TXpyUTNTRWMyVUwydzhrbXRBZTNVRFRpWndIaWR5ZWd1aEV1cFQ1OVV0UTJHM0xpZ28zeQ?oc=5
