Ticker,Date,Title,Source,Link
HEG.NS,2021-01-27 08:00:00,A New High Entropy Glycerate for High Performance Oxygen Evolution Reaction - Wiley,Wiley,https://news.google.com/rss/articles/CBMidkFVX3lxTFBudU1SUUYtMk12bWEtYnB5QlBoS1VzUDBHd3MxTmgzUkNESTg0N2xYUGtwdUpkb2dEMWpfTEl5U0tuYzBVZnlpN2YycFNBYUxOeVZBeUR1NnQtS3dlaVkwM2JSV2dVeHhONW00ZXFNdWlfakRYaWc?oc=5
HEG.NS,2021-01-27 08:00:00,Madison Man Whose Arrest Sparked Outrage Gets Probation - WPR,WPR,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNMGZPdk5Vd293NFhnRV9Pb245ekZzei1LUlFVNEVpT3B0ZTFQRHBSZ3BNTURMdDkwM2E4cFBCWWNYdlljbHlLRjRndkl2c3M3eE5Na1ZlS0x2Znhndnd4eG02akZxTU1BdG9LN21STUhIT1lLM3VPdGtyaFlRaTZFeC1Pd2VXSE0xVzB3?oc=5
HEG.NS,2021-01-25 08:00:00,Work Begins on Phase One of Hammerjacks Project - SouthBMore.com,SouthBMore.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxOaGlNNWg5LVV0TmVhSVoxelhUckxDSkIzX2hrLWtTS0JkVklMbThKb3JCb3M1a3BHQThvdW5Qd3ptNGtTOFo3cDdEekh6aWN3MjJzM2FQZjBnMk01QmhxMlZ2TGdrLVR1ZjRCR2QyZGptZGUxQVc3WmJ4Y2RJU3l3VlBDc2JXS2R4dTRWZW1ESQ?oc=5
HEG.NS,2021-01-11 08:00:00,"From Pampanga to Poblacion: Le Petit Café Fleur is part restaurant, part ‘bekeri’ - Lifestyle.INQ",Lifestyle.INQ,https://news.google.com/rss/articles/CBMimgFBVV95cUxPTHBTczREUnJhN01JdFN3elNFYXRiN3Vsc3NDUXFSZ0RYVHJBd09QQ3QtcnNWMjFGVHNmdDZ0Wll5TUNBbXFKWWd0ZDA2N1ZRSG9WbjVBZU5UdWFfMmNjQzNaVFl3am8td3NDMGJoOG0xeFRHTk54T0xxMDBHS3pWNmZfbWFBeWsxbk9XUlNXM1hVSG9DTzR5Q0dn0gGfAUFVX3lxTFBtMTBxWGRQTjlxLTVrZEt5Y0hWU2VoREhyTzNLbU1obnJIcEt4TmdXT0xXTjVNYktYUGg5LXhpVVh0eEszTDJDLUt4Xy1yWW5kZ005aUMxRHE2bHMzNnhEQU9kUXd5RVo1U2JJUFZvMWpiY19Yb3JHQm5YM3Bvalo2V09zYy1fT01CZ2dHQTd1ZVgxMEJ4VFNNZW9GMTJ6QQ?oc=5
HEG.NS,2021-02-18 08:00:00,"Paytm Money opens F&O trading, receives over 100,000 early access requests - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNdjc3TGRpbi1TdE9rTlRWX2M2ME82SmkxSHNzY3BlZ1pYT3hyUHVXTzVjbGVQMW1icFlDM0l1VzF3eG9sRHkwaTZuZEZPeE1HTEZvaXJxZ2hsS1ZjaEd1OG93cDRmMHhmUUYwQ04zRjBzZXZIckR5a3p0WEJ5VnFQdkthd2xydTZraGJQOWZQRkl2bFpOcUdUZy00ZVBlWWxMRmFJZ0FxYXRHWHNobHVXenhaczkxQ2laTGRELVFsMnBMWVYtckl5ODR1MFZ0Nl9pckpDS05EaG5UTTBQWFMtazFyUjhISzJFZmYyaTU2UlnSAfYBQVVfeXFMT0ZaMEZNZWh1OGxzY1JROU1ZQnowUDNocDk2Q3FJS0ZoWnE0UjRYSlpabG1yUjNmZmxIMW5mOUQ3bkFRR3I2TGpxMHB3M2MtNjRXT25HX0xfTkROdUtJT2dESDVocXN3QVlWYzV0emVibGFWcEdlYURNUDU3VUJkWXY1RjJXT1JHSTNkUVlLb0UyTHlzektXUHMzdkhwN0UxdTZ4R0dPSkFfNW5na2h0b2xjdmhNVWZyOVppU0dyMW4ybTV0ZzktQV9LY3VJU21NaFpQbTFnM1B5dXRoWXlobnloYjRTSFJXenFfMmZmMTF4OEhxM2F3?oc=5
HEG.NS,2021-03-13 08:00:00,Day 54: HEG & Associates - KelownaNow,KelownaNow,https://news.google.com/rss/articles/CBMijwFBVV95cUxPR3FUM1kwMTJ0aDBNLUxKa21YY19LUVBOeWtZU1FYcFU0MG5walJFZkp0akk3LUFxUERUa0FiNUVZYXFxeUxOS3Y2WDUxczBGdWp3dURRUDlIVUlMb2tWdGhGSF9MbkpfOC13OHVCLW1NRk50MGhVWXBUODdzOWgwdm1kRU1WR1BYc1l4Z3FmWQ?oc=5
HEG.NS,2021-04-07 07:00:00,Graphite electrode makers extend rally; HEG surges 32% in two days - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxPYVhRNnZocXZGTzRxaXlEV1gyNWMwODNsOXFOQnVXTmdzUXI4c2xBRUNVOTRYUTFOR0VGWkVCREJQSkpwbm0zdDQxbEFfUWg3ekd1MThwNUZUSk1NS011OFJZUzlQSWRvbU1GOWNCekdfcVc4YW9HYmNGWnhFbG5TQnBWU2dSd3Fqb2tRZWI4M1Q1eS1PRXFJZmJJeVhZWnpEOTMzLUNUaXpKTDBhSHp5NzI5TW83NUgzVkV4WEFGSThrUndILXY5Z2pzd2VZNmPSAdQBQVVfeXFMTTNVbnJiN0h6a0dPUzBLRHA2a05Md0pZalRVVU5fR3pueElQWk8xSFlSUUJrY1ZlVk1wSHREb2dmc0NiU1FCWjdlRl9aZVZwZDQ3a0VvQmtkTWxmTjlkUDFvOU1BQk13X0luUldUbjduRFplendDcmkwRktmVkJMM0JQOGxjcmtjVzh3ZzNEVWNWajNfd293SnRxcjJ4RE5nMkI0VTFXOFZUeWxzMDNBUzYzeUxoUkZYeHp5SEFoUUNrVjN3VzJyMWJKLUFuYmVfSmpBbFM?oc=5
HEG.NS,2021-04-23 07:00:00,"Over 100 small and midcap stocks down 20-50% from recent highs. What you should do, per analysts - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi7gFBVV95cUxObnZqRnFPMGdseE5QZFJ1NjJYenVCWVNkeDFqMjBxRkJ1WDRLbTdlaXpjajhPcmFTRl9FcG5GU3ZFS1RMR1ZoZDRkWDh1MkstY0pudF9qMTNWZ2hFNWZUc3ZVWnhRRGY2bklCaUFKUjhNOGswS3RETVl5UExMYzlBbXVmOE9TZzBKNS1OMjhkTi1xRk5HUmxyZTdyX1EtRmtpc19XcWozaFVCRmVZREZ1Q2dfamw2LU5SUGN6WWdpQmJnSjItRzdJMGRMd3dxWjUwZy1zenZqelRDVFVyN3dGZUtmWTVCRGM4dkdGbjhR0gHzAUFVX3lxTE4zMGl6Q2tRMFF4alF4dDNqQWJodHJkVTVwTEF3dkI2VlZMXzB6cE9rUk9nUVlCMkZMWHBRallLRTdvZ2MwU19YQ1VaRGF2RjBpcExOcDVvTERaY0dwZm5fWDFxd1dVQnFHUGpwUjdmT2c2eGxRRFBqMWUwMUtGVFUtV0tBU0ZJLVlwNVJrYV81YnZVRURVc3hFUWNLV296c0RYVDg4Z3lpWl9iM3RVejdvLXQ4RTVJZmpfck5IWGdOb3MyNFFBVHNFak40amtDbFZiajNnQ0NiOHFXSFNuZFFOLUtodnZtcGlzTzVjTS16bmVUaw?oc=5
HEG.NS,2021-04-08 07:00:00,Morning Update for 8 April 2021 - Upstox,Upstox,https://news.google.com/rss/articles/CBMicEFVX3lxTE9CeUFOZGk5MzhGaVlGZVI0blVGZEVYcXlSeDJObVpvaGZyczh2WkZNMmlNU0VfQXRNcXVjYi10dFN1SGQwYk1ZcXlDR3UwMXJ4RFNjbW8tS3NZaHN0cGNKc3ZsQno0NDExWkRVRlpNcjI?oc=5
HEG.NS,2021-05-01 07:00:00,Smaller stocks outshine Sensex & Nifty: Over 80 stocks in smallcap index rise 10-30% in a week - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNZUdiNXpxVVk0dl90UEQxdEVubUdkNzZNMUdmMGFSOW1lNmJrWnd4RHFjWXQ3N0lwWUZhSFFQaHFTdklpYkEzTDB0UnRVeVVRV0Faek1sY2dKYk5FYUJyV3NiTkZDaVpVZUpoZXdSR1dmazh0S1k4cGRWakpGU19jRU9GWXRtbmJRM0xPdzVFR0FIQlFiTHJfWkFzZGxqc29weHVpT1lHLXdfZklXVDVhaFRQaUNmX2d2VnhoMks5Ty1PcVM2YW9hYUpGWHRUclh6VE1jcHV1aDBrRW9DdnBwekVGRlBoamQzbWfSAe8BQVVfeXFMTnJ4ZnowZkR4X2N2Q0xWakNQWERlMUVFbXNWejZUZjNNLW5ObE9rOHVYTXQzaFptZElobzR3Yk82bGxGajdhcVlLV2Q3QjF5ZFM4eXA3SUZvWXNZMFdnaWZ5azl3LWw3aFZiOWlTNlRncVBiMm5NSDlCcVRRZzU0LThtZjgtUmgwMzNISjh3WjBENmdMNllYbUFoTy1GRTZ5enlHYjlSYUhxYnVPQUxoSmJZNnJ0cHpHOURMUUN2ell5d2docnZmQndiQm5tT1J2bERxaVNGQUU5U0NFbWd4Xzg2YmozUFRDb3lFVXVTOEU?oc=5
HEG.NS,2021-05-24 07:00:00,Market milestone: M-cap of BSE-listed companies at record $3 trillion - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOXzlPYnZrSlNsOHAtb0s1bWpJR1VhbnZ0QU1ESjJteWNsVk56WjN6V040cGpJRUpSY1Y1OV9ieDFDNGo4RHN0c1E0NkR2SHhSTWZncDBXMWExdXhNS0ZiS0FKWExoek1TTkNjSlFTdktYaExqRU41VHhFQ2taRzM4QUZkUEVhV3l2YVF6dW50RzN0NkZOSTBSbmItNXJ1XzQ3WnM4S2JqWW1Lb0U4dDhoVFh4ZFZ2cGtlRFVnSHhxODVHRVFqdENTbWJxVlp6ZUJyb1U1amhITHDSAd4BQVVfeXFMTVJjbWVMdVlWc0FuOUVma3Zsa3dJYlp2VmZUTHoxUWNyc1FoSllnZUdScHc1NXpPY3RSUnVtLW1QSEE5aXJaMDNUUVBoQUpWUVVEeEdLeVg3cG9DdGhJUjBKZjlmYl85ajJ6OUV6cW9QM3ZtVXYyVXRGVlNoQmE4bzIzVFFyUVNTTnRTYUdubk03eVpVcDJObDE3T1ZrUGFxbEdmRTFldllHZHhYRGRmY2VHdkJWWkltdFh3VXpzV2tpM1VNSUZ0bjZrY2pKU1E4aHFkSk9vWEJla25YXzln?oc=5
HEG.NS,2021-06-07 07:00:00,"BSE revises circuit limit for 544 stocks, 153 stocks see the filter increased to 20% from 10% - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPMWVybncya09KU1VsMXdBWm5oZGdaZ2xNS0RMWUFSaFZuVnRHUm1sUTdLWG14ajdmWFlaeFo4RnlCMkFxQnBHU3BHZGxFWXVSOWVBSVdhemZMZTZGZ2MzZV9ZaG05ejJjRXo1TFZCLVdWcU4yMXJKMzRuUTVCakpjaDVmZmNMWjlseEY3VWptSGowWWRTSmlkaDBzckUwWW9OTzVPRk1WWE1Id1JRM3l5ZUI3bG8zbXZ4dzRIT0IzTkY0aHJYak0zXzMwYnJ0cVVGSnpqaE5Kei1sczB5a1lzeEhORng4bFZON1HSAe8BQVVfeXFMTzE0c19Qck1DZk1LQXBrOXhrV3gzVUpLYVpDOHRKQXNlQklnMnVXa0paTUM0Z0ZiM0NmbjRfTUphc2V3VnlOeURaLU8yaVRRS2cwdFYtSzN5QzdCOGZ1SG1UMng5cDhmNVRNak16RmtPQ2QtUzdHRjl5SzZCM2FHN1N2QVdfNlB1TTBVTWV6ZDNwaU5aMDRRZWRBb2d0NlN2Y3FPS0Q1VXRUeGdtVFBfYmZCdVdoa2tRWDFIRmNGQ2tuT0pURDhtNUFkckhIM0xIUEx3UUVJcFM3QzR5ZElpajdORDk2ZE1HTEsyaDF2dDA?oc=5
HEG.NS,2021-06-11 07:00:00,These 10 stocks turned multibaggers from Sensex's previous best to current high - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOTmJMaU5KdEVobk5iNThFWTI1bi1YWFFaSWNTcW1CNU80Y0JoVjJsRTFYZ3UxbGFpRDNleEl0dTZNNXNlQ1lUdG5Ybk5HWDRzTjBVcXBUTWRhN19LV0F5UjNnWjdOa1B2aFh1YU00clFsUHFLOXJPalhPNnBiTHNVTlFWdkdBanFjUzVTSkhmakNaSG84anZyc1JBQ2FnMHRiNnV5clFEdnh3RFRmMnVTVHBCMlJ2aEh3NFdXUHZ2U1dNZmwxZHRIdlhBcDh6TENFaHBZc0JHYjFMZ9IB3wFBVV95cUxOQlhBZ2t2VXotbUlUQy12ZHBvVFNVWHhCNmJRQm9yNEw4SUEwZkNidm44aTIySmp4Y3ZZaDZhWnZqbGN1Zy15d2x1X2R4NnNoNkxRZTM2ZndEb093cGdWdWxyODNZVkp3RVRNdlVkTENPYTRkWVdkTnNYTVJVelRnNjhYVi1DTFExQUx0WVdIdENBdHV3QW92NGFXZUcyaWNlS215QkRYYmE4dlJtU3FRcThkSjVlQW1rd0hlcXY1VEpUU0pMbUpDSVlyLThaOUNQNm4tSndPaS12MU1yNDdF?oc=5
HEG.NS,2021-07-26 07:00:00,Clinical outcomes of hospitalized COVID-19 patients with renal injury: a multi-hospital observational study from Wuhan - Nature,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBaVW5qWEwyTnRUWkJrTHZPdGRlc2doMHNtNjlLbTJFLURlRDExYzZqbVhkZ1JVNUFyZVh4d1BoclNUUTJTMldUT3JlTmtocDhCU3g5MHhXaGczcjBHYU1Z?oc=5
