Ticker,Date,Title,Source,Link
HFCL.NS,2021-01-14 08:00:00,HFCL Q3 results: Net profit jumps 87% to Rs 85 cr; firm says biz outlook optimistic - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNNEJCTkIydERuMlpncDZPQmlyUzMzeVBBaDdnY1MyVDJ1TWQ2ejZvLW9jRzYwVkt3V2M0bko1MWo5QWFqeU9nZEhUdGhDdjlEMzRSb1lRdU90M29OVVk2ZTFRQzRuYWExY0E2bXotZEh6WUFFRGpRYUZ0UHlrYV9oc204UjJmYnNaODRvSXBUSzNTcGgzblpianR1T0NYZC1LTUR6TVZMTkFZclltUENTR1hLNnF0SEY3X2VKWTM4VkUwQjc4d3o0YnZVa2lXT2k4d3VLWnJ6Z3pjNDBvZFZXaFJLM0RPaUs4MmZYVlFn0gHzAUFVX3lxTE5sQ3FIMU1LRlN1OG1Jdnl4U196SFIyZ3IwUGxObExEbXJ4UERvTlRLRXE2U2Rsb2Z3MVVObmM5T1B4VmQyNFBhMzg4SkJ1VHFPUThETWl2dnN2NnhIRkVtVTRMby1Jc0pQU0EwdHRGWW1WOWZNb3c5QWVRUlIxYWd3NklkYUZoQXNpZ1k1MlhYa1ZQODgza2Zjc29RYmdHYUcxMkkwellSX092cEFHd0p2ZkJlb0VZazNtTUVCOU1fd2dYZjRER1lsREdjMVY5cnlfdFhIc1dYSWdIeUdLQi1SdXp2Uk9jVWktSmFkNXZKLWpQVQ?oc=5
HFCL.NS,2021-01-12 08:00:00,HFCL to up Hyderabad unit cable production by a third - ET Telecom,ET Telecom,https://news.google.com/rss/articles/CBMisgFBVV95cUxPYkpaNzJnVWRReXpNLVk3a3BnMGMxVjZHMGh5WUk4aDdDUGNfb3E0NWMyVGswNVpqdi0tSEU4M2NiZUJvX2dKall2X1VIaHFXUmd1bUVwM09OY0UtSGZXMDJKdVlPcERyZ25MY1NEbEtnZ29kNHE4Wll3RE5WZFBvVzZCUUpNbm1neU11VVY1OXhPUmVCUmM4UjctT3otOUxSdENKQkhvUDN6Z283NGdXVTlR0gG3AUFVX3lxTE5HRVlETGRGVTNQa3dYVDZ3RjU4U1czaDVjVHB2RkZhREg1NFpUNU9hRm5jZy1QUTI1N3ZlYXo3aXMtVlcyX1pxMzZaeldiWndrSGtNRlVRTDh5OXRocUlWa1VwOUtjQTUxRWF1STlvTjRGeDZmb1pJWm5fMVVqZnAwU3NMcUtvSTZjMFRLa0pGUTRDdDZ0OTJtSFZKRnJRUmpBWGlKNnF3a3diQlNGNGdlUUhxT29Lbw?oc=5
HFCL.NS,2021-01-18 08:00:00,HFCL to put ₹125 cr into R&D to bag civilian and defence market share - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOeXJpRU1DZjN4OW5yS19uV0dkSXUxU0kyTHVJRnJJVEJHZFBtQk5INVVoa1BfVnNHanFzZXB6V19ncDBNVDNHMkQwOUd3R1l3U1JGc2pQTFluOTB4Wmd0NVdjajhiemdSRHVOOXFHU2VlVmt0d01SSk1TejZVLXpnak5mdG9TNTFBbkk1eXYyaDlnSjBRcnFMcmRvalM5a3I2YkJGSTZOOUZ1Nm1UOFRXSjZJUEdrWndLa2Rxem96REdES3QwUUNGR3B0cG5rZzZZeFlwT3ZEZHNCaGd1X01uTXljT3LSAeoBQVVfeXFMT1JtQVlDYnhKMjZINXBieENHY3YwRUE3SjNHUUZqOHgxQndtR2RrUS1GSE8xRlhLUndsQmtHR2pFdUNjaWROR1o1dGpNQUswd2wtRW1qcWJFN2N1TXM2NDk0R1JrVEd0MUlLdEZ3OTU2YXE0XzlrX3pHSGxSSlN4YmxUQVpmc19mbWV1NGFTdlc2VWJmdDFJeFRsU1pMTm1fNll3clpFeUdBOFBEYlJzZEd3OFdyeXdzcEZPZkpBdDBJbkZBNFdoUThtenpkYkFaRk5vXzdrYXROYk01ay1aQlc4WVlZd2tEb253?oc=5
HFCL.NS,2021-01-29 08:00:00,"Traders' Guide: Nifty may face hurdle near 14,000 and 14,200 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMimAFBVV95cUxPbnFOOUxGR0RDbmVqR3JoVURrZlNjNTZDdUVLOU1ISXVLbi10TEhaSEIwRlNCZ0JpSUtYSFZ4QlFHd0lvZnhxRnVlTE83emdyOHdnU2VvWm4xR2tLSUo5V0xTa0I5by0yQjllYml5UGhlMmFMUDhZNVU0U05TVG9iUU1BT2tRVGs0U3RTQTJMNEg4Q2ZER2ZEUNIBkgFBVV95cUxQTW02dmx1SW13VkhOQkZMbExCWFNZdzZMOWJsV3JSb1lmdFYzRS1Rc0pmLVp1RG9Wa3VlY2lwQXlQcDVOM2diWF9DLW5BcjBGZFNTQmQ4NlJqcXlEczdlTkZxS2d3WDZOUWczQ1ZUV0EtVDZKeGVyZVhleFBFWWc0b2ZWLVMzdVVfcWVqNl9Tcm13UQ?oc=5
HFCL.NS,2021-03-18 07:00:00,HFCL wins Rs 221 crore order from UP Metro Rail Corporation - ET Telecom,ET Telecom,https://news.google.com/rss/articles/CBMiugFBVV95cUxPMHJjMWhmU0poT2p2NVJVRFdSSjN4QVRtek05M19YdV9tbXdUdlpvYXZLajZSMjVoeTdmWjBzSDNZSjRTajlMcmZkSFF5enE2NUhRR29XTlEtck9UdzRQbmU2Qko0ZFN6RU1kal9sY2RmbmstdkRlVDhxSU0yT2pSMDQ3Y3N2TXp6dG4wWG4xajZlLWkxVEg4aV90N1ljcU5NcDZRM1N1cGFGblFWZXY3dXl4bFVNb0pBQlHSAb8BQVVfeXFMTTVLVWpaOVRZdXNEbFI1NjEtNlZidmRCdXlLa3AxMTg4MUh5YVlyV19hWGtYcXp6b29mREFWZS1SRjFySDJmY25OWEVObkZnNUlzOG1uLXRPWjlqeE4xYThqY2l3dlU4cW9xeVJWQnppZU90OG03UnVHcUwyRlRTNVN5ZEZ1eFhXWjJlSWlEem1MZnlUQ05yU3VSZUdtVUZmdGtFdVE4eXFGa2o5Smt2NnRqaGhxM2VtcXhSRFVuMU0?oc=5
HFCL.NS,2021-03-16 07:00:00,HFCL to Acquire 50 Percent Stake of Nimpaa Telecommunications - Wire & Cable India,Wire & Cable India,https://news.google.com/rss/articles/CBMikAFBVV95cUxNbTkxVEMydDdFdU50Y3BITnZlZHJwRWp1a3NJMU1jNzJZaHZaS1JWWWg5SW52dkp3N0RfYk5OZzB5aVNEZ3QyU3E2SXluODhVc0R3S1VLREF6RzlZNUl6bVd2Z2thMWxiUFgtNFJfYjhiOG85YWNBdHRyckpfMjU0MGFJa0dfRllaTTVnaklMMkw?oc=5
HFCL.NS,2021-03-09 08:00:00,HFCL Ltd. Gets Contract Of Kanpur And Agra Metro Rail Projects - Metro Rail News,Metro Rail News,https://news.google.com/rss/articles/CBMikAFBVV95cUxQNDlFMkJoMkFBYWIySGJCcF9SNTNGRzlIMkRMM29Kb1hYbE9wc2llc0VTMVdHcUpiemxtdF82V0VJM0VfVUd4QXZwekYzVFlzMG1xaS1Ta3VYY29wRXJWM20wNm1VcEthWFBBVGwzT2hhMDc2R1NXZkFmLWUyUzV0cm9iRXhGUjAxYUd3YTRsUGc?oc=5
HFCL.NS,2021-03-24 07:00:00,Sunil Pandey joined HFCL as their new CIO - Indiatimes,Indiatimes,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUVNndlRnU1VqRFZSNWpKTGpUN3pfWDlpZHhSTEk1QlAyaG1lZVNqUUFZT0Vmc0g1N0lsZkpxLWJnZG9aRm5LSTVFei12SG1MYVZvd3hmVjhSYXJUcHZmRHZjZXNYRVo2Q1lVTU5BNXV0aHBVckxvR2Nwa0YwaVVJaTR4d2dMdFYzQlJzRU1jUk5MZTF3TUFYOFBMUkExY24xU0RlbzlNcG16d9IBrwFBVV95cUxPOGNlYkJ0ZWdXRlhweTNVQ0d1YmFCMER4bm12NElINlYwSkNoRHdES0hCMHc4MTRYX2JWVENEMmZURThOaVU1UjF2cmZpaVFkcmVmYmxzWmNwdUIwQm5sdExHQXFYM0w2c0lrSklaU3FpSlJnLTkwZ1JGNWQ2eF82aXVDeW1mUWwwNHBmV1lPZWJuaHZZOUMwaDFGazFhakdfSmtHdk5RVFJOcXBDM2JR?oc=5
HFCL.NS,2021-03-09 08:00:00,"HFCL partners VVDN, i2e1 for providing PM Wani WiFi services in Haryana village - ET Telecom",ET Telecom,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUDI5ZGNLQWdjTzJQWGRHZGQ3alFBWTA0ZFVmZVp0c2RNaHVPRVBlTEZFRno4bE42WmRubG4xeFJUbU5pcGNWREJLWmNnTUJSeGY0YWFWckszODQ1MEZKUEdmLTNuSjdYMmNqMDJ0VXVRS2FHbDE3aGFKX3JzUkNVeTdCbWU3ZGVVcVBNZmxTU2JRRF9lSVNYZHZKbHQwTTFRSWdQTUQtMHZ2bFBmSGc0OGhhcE80eHlxSXRwdkZjVGVBZUpCWXRsa1BPRUpHNHZjY3FB0gHYAUFVX3lxTE9xTjVjM3NRd19RSFVrUWt1OGd0aGljd0R2M1hMNTZ0NjNBeEdMMGdNSklKX1Z0MU9zcGtubWZLVG5zZGE2Z044Y3I2azlEZmpxWHMzek81VWptWGR4Sm5fLUU2OXZHYlpOY3JhRXkzNXlvUGwxQ1BqMWFHSDYyOV94MGtDXzNiWXoxN2Z0cnZ2ZTRyNVVLS2hJRFlxQ0FpcTJjakVLR2VqNzNvY2FyMmR1a29Id1lpVUQ0UHFpTWdydC1uS01pejJMQzZiZ2V3NEtsN2Qxd2VIeA?oc=5
HFCL.NS,2021-03-10 08:00:00,ESR to invest Rs 330 cr to develop 38-acre logistics park at Chakan near Pune - Manufacturing Today India,Manufacturing Today India,https://news.google.com/rss/articles/CBMivwFBVV95cUxQM1pVeE83aHh5OXNhdThXVExqWU5yam1YaHY1YmEtVTRDVFFucVFxQW9QSEd3VjRVeGFYMXdIbzRPNFFyMFotMWptVjBlaHlFcm84R3o3Umx5QnJRVEp3LVBaSTRSRzBhd2s2b20zLTdxSWl4RXpfUFFsd0wzaTg3YUgtQXdJYzZPZFBQUVctWXBKYjUxVTl5bmRORDdQWUJFNFpodUxEXzg4LWltSFhHQ3dPdnBOa1d2LUVVclBaZw?oc=5
