Ticker,Date,Title,Source,Link
HINDPETRO.NS,2021-01-01 08:00:00,Three stocks that Nilesh Jain of Anand Rathi Shares is bullish on - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOS0ZiMi1WcVFZeEt4bEhvdHFjU2M3OHVTdWt2dzk5bXk3YV9ZcnpwVVBrMUtWS000bXhwbGVPcVkzU3hvOUJyeEFxYk1mXy1zMjVCcHNyMjVSUDBtN2tFektFN2I0OFB6RmozeFFpY0JuXzdicHdOMVpYMjRJcGdGMHUzc01kQk9IRmRfWWxnQXBqRzZwcTlaeUxBZmh0R3VQZG8xREU4NnFBdlROeVhXODFWYVpNaGdsbnVTSU43dlF4cnYxRnMxb29uNGZuVXEx0gHWAUFVX3lxTE5wVXpvOHBNNTBYdTA3ZDc0V29ZZlZFVUlDcG8ya3d3QWplMFpZRENSZWl0VThjSG9kbmk0QmVOQmsxWjJyMVNDcVhlVWU4YnhGaFVtalFPYXQwb1F1Q3p3YWpwc3VQUk96TFJrejVXWEU2VkJQV1pSeVdETTdhZk5ibkw4OWd6bmVId2pMcE9WVmdKR2w5WEI2R1NTdGk0ZVYxV2s2T2psTXNFV1c5U2xqSDlzbzh2QTdGMGZaMzhQbndKUkJFZm1WenREN0RVTFdiYjI4c1E?oc=5
HINDPETRO.NS,2021-01-28 08:00:00,L&T builds three heavy LC-Max reactors for Hindustan Petroleum's Visakh Refinery - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMiigJBVV95cUxPTHJZQkZNa0xQTmJDcEtQY2lONGV4c19DalVQYmZoWGQyQlFfTkRTU3RaN1I0a0RjeTdORFo3bDJYVmRFWFJuOUhUOWc1VXNmRkFBMFo4ME5jb3ZkY3hyZzRZLVZLa0lISTBQVWNBSTNSNFEzczZvVVZhemdEWGM0eUlILUhtaTBlSU5VWlBVdFN0ZTVNSUllVF9zd096NUJmRW1NV0IwUU94YXpnbmN5bDliTDB6cXpLUkxQdmNXV1dxZEp6RjFENG9GQy1IVHBHZmxtaGNlRTJySnR2VlZBa1p0c2ZrbEljZ212RGhEYVVfcElRWHFSblJCUWpaNzVxVktKWlQ3VThfUdIBjwJBVV95cUxPNHZ4Q2dVbWdOYTlRdkZfejM5bnpMZFdIUTJvcG1Ud0hINHNRaDc1blI2WjdXN1Vyb1ROXzU3Q0pSZFA5cGVEWG1ja291ajVqMnk2WWlIdGdpaHF0NmlXeTBpeDVYbVNWdFhnbmZXYTVzMHNXNlB1RlZ0ZkdHRkdhWnE5RVNveVNZazdmUzl4YU1KZFRBeEZHWk5Sc09KOEQ2cjVJSjNyRnNyV2IxWGwycGgtYTlkRWw5UHpqUWQzZkhIcUpaSnNpUDBib3N5emgzWmlucTVMdmxxSHRNZDdrc1BtWTdHYVFCbkNYa0hCNWtzUzAyS2NXbXZLSmU2ZzNHZTFiVWtLc2J4alR3S2pB?oc=5
HINDPETRO.NS,2021-01-04 08:00:00,"L&T Hydrocarbon Wins 2 EPCC Contracts worth over Rs 7,000 Cr from HPCL Rajasthan Refinery - Energetica India Magazine",Energetica India Magazine,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOc3hhQVljTkZVN2FYQnREX1dYSFMtMk9TTnk4M3lPc3lGa016SWdUUDJtNUJBZHVtaGl2TTJQR21ydG82aldzLVUzVlVoR2ZUOXJ4eENDeXVXS3lreEVSaHh3SURld1RJZHFsTVM4MFJzajhBSUdkd3VDWVhGMEkyT0FPUFIzY21SLXJ3N0dXbmdVQzIzXy1ZODNvWk5DeGwzNGZUR3VPeGVGcXNRRWxtTGFUMm5pZlJmZHdfbkplMFpla0E?oc=5
HINDPETRO.NS,2021-01-05 08:00:00,L&T Hydrocarbon Engineering awarded EPCC contract by HRRL - Hydrocarbon Engineering,Hydrocarbon Engineering,https://news.google.com/rss/articles/CBMivAFBVV95cUxQUElEMGtHVG9DNGpSY0dyUWJ0aTY0aFpzVVZ3UU5CZzR1NkstN1oxdUdGcGZEZG9LZ1JWaDItRGZaVE5fS0dVb3JzbEQ3aUNpVlFYZ2hUdGtWWVhFNnhENkFoemVMSnBmVHBrTnhyZUctNnZNZWxKcGtELTFOQ1Zma3lKVEFsN1BuWDBsWkRPdnRNTG51bG5mU0poMWk4VmZHTDI1ajBZbDJraDJSNUN3eEtYUEVaS2gtaGdIVdIBwgFBVV95cUxPQU9LOGtWcW9pT3hFTjc5Nm1LSVBDWFRuVHlNTG5DeTNDbmJCcl84dmREWFh0Y1BfdlRFMkJONFJ3bWk1VjIzVkhyT3NscklhcUN4OWlpVFpYRENscFVreWdwMjlyTTRWYldJOGhRclBtLVBaV1k1T3pxSjBuOWtiSVpZLUh5OThMTjFVVGU5NzJjRkF6eHJfOGZwYkJGTktjY1lxTTJEOWZWZ0ZENE5Ub2RWT21xLVlCbGE4Wk55VDVNdw?oc=5
HINDPETRO.NS,2021-01-06 08:00:00,HPCL unveils sales promotion campaign - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMipwFBVV95cUxOZnQ4QXR6andhWGFvdXE3M0lkUFpwU05xajdENW02SDZBNkdhanYwaEx0UVpaTlo2c3hJUGlqcTk0QmtENW5memRSNFF3cFgzSlMzVVFqeXgwY3RzNkZMSkk2eURtQWxXbjhfNEpPbUU3LVNhR19DdTRBRnpPYmtRQlo4bS0tNWlQQVhvcmNEV2VCSEw3ekE4SkE5eTQ3enFGUS1pdFdBQdIBrgFBVV95cUxQSEloMHJldUM1WkxRemVjSERNVndOX0pJOHhvbHFQeU9iMWpITml0U29NZXYzYlRwZUpEOTZfc3FGT1MtcFQ1WnFkeFB5RHo1QXhOTkhMaE42cFRXVkRxdTR0TkV2bml4blF4WnRKM3RDaF9hZUhiQldJM1BuQUt0bUUtY19BdFFTZVBjU0FLdmhrSGgzRTJtX2kyVl9Ta1VPZW5OeWhreVNCSnNWR1E?oc=5
HINDPETRO.NS,2021-01-17 08:00:00,ONGC's plan to merge MRPL with HPCL may have to wait till FY24 - ET EnergyWorld,ET EnergyWorld,https://news.google.com/rss/articles/CBMiywFBVV95cUxNOGFjQzZCQ2tWRm5fNzlNRGkxazVHMnpxWlA1TkJ3NVRBeEhsSERrZkZvNFh3cVoxalJpWURSZ2NmRU5yR1pNOFMzVHd4dW1DYXA3Y1JGZUhhM2lyOGpVbTFxLXBhbTFrWU15ZDFTMFVNNlRZTWV2ZTZ5SlAxVU9ZSkVQNzBuTG45b0ZlUW43MmdaaTljcjhtMVZWM1VOd0ozMjcwLV9FcmhxMS1nRG5kZm5HSG9LZHdPc0hRcDlXajVYSF9Rb2QtUUNTc9IB0AFBVV95cUxPZ3hzS1psam9QODRURlFrXzRzNjc4dDZPQjJjOW5OdV83V2xoa1lBc0ZmX245dGQtaDJGb0pxc1ppUEFQWkRJNUtjNzBFTG5NV2ZXaHhvSHZlVHpYYzdJaU1aMnAtbzVpY1ZnaUFTMWhPQXRqTG9mODlhNFgxVUJiTHRpaDRhZkZRNlpMOHczLS11QWFHYk5VbC1uZlJEVmRkc1F3WUZjTHFnY29nbEp4MC1KVkZteGVKcEpJSjBSNjNPbkVBWmNFdUgyeWpPb201?oc=5
HINDPETRO.NS,2021-01-04 08:00:00,"Sensex soars past 48k, Nifty ends at 14,133; metal, IT stocks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxOYUFVLWdNbWRZbnlZaHVnZjZJenZPN0ZZbzZ2QXdUX3JIVmxBc0lQTWN1NWYxd05KWDBIQlR3RmxWT1ZFS282MkxmNWd2Vlk5MVRIRUxJVmdMV1NmNE9RSlFCenJwbXBUTTdTalAyLVdXcjlITGlMOE1lRm1FX2pDZjQwcU1MTUthRlhuNDVIQ0ZlX2xIRzNKY1BBYWVnN2NqcHR1ekdsMTlWYk1DTDRJRGpvbE1QTVIzd0pNNjBPSFBGR1NOX0txTHdOdzhQZ9IB0wFBVV95cUxNZE1ZWmRrT1RiV0dfUGxwczRyb1BzX2xTeTBiR2s2d3FNLTA3M1B2aDJON3VNS2VCb3VPZmpqRUkyTGlhYjc4a1lnWnhHWWJxenRsVVZKN193WnpoZUFVOU1Hb3JVbkw2dUxwb0J5Sk4yMTBpeHltQUZVRGpaeWlZSURhVkNodWg2T2U1S2o0c2ZCRFdQdGJTdks3U3MzbU9vNTVveUtYbGI3SXI1S25SUVlsSllpVnQxSXVEY3VVeXExeFpSWV94bVVMaTlKUkp4Y1Vz?oc=5
HINDPETRO.NS,2021-01-08 08:00:00,HMEL to temporarily shut Bathinda refinery - Hydrocarbon Processing,Hydrocarbon Processing,https://news.google.com/rss/articles/CBMimAFBVV95cUxOYzRRVFMyRGVWYW10NE1MelcwLVBUbFJSRU1BdTZLQW5vMl91a1pxc1Y4SllhTXgyV1hrc1FualV5SENTNmdQUEk5LVV5Y3JHOUN3dWRlNldXbFpCcm9iYmZiVURxS1VnMVFURHpQbU83Vk44LXh0ZEhDRkJhNUJuSmt6RjRwOFpUbm1nTkpfbUU5aWJ1ZVRITA?oc=5
HINDPETRO.NS,2021-01-25 08:00:00,Govt to reconsider valuation of Bharat Petroleum | Business News - Hindustan Times,Hindustan Times,https://news.google.com/rss/articles/CBMirgFBVV95cUxQYWhzODZoenhIV1F0MC1yUHpnaTVYcktFVXZ3QTN6SThyckpsM09aOU9kSklSdllkMnBuakFtczNkTHV1RFUtV2tDV09GNW16MDFmSkNaTmljRmdYMVBueEMwQUhZV0hqNnhYc25ab05RUFhTbW9weHpsZU1DQ3ZkamJnMzZYWVFtWkdvYkxRVV9qSG1XVVdTVldxcEZ1a3hfc1ozYk5ncVR2SXM2WFHSAbMBQVVfeXFMTldjdTlNWVBnQUZZVlBxUVlhcXo0aEZpRHV4QnZZdGM0Z3pWczJaNFN0X011dmhuSWF4VVR0a1FSek9rMENtUlpuampSTDV5QkZickVnOUs2VzFYMlk1cUw1cmU0MGRITjd6OXM5aTRhU2ZIdGRjd3VnbG45ajJIdkVNZzVFc0JiY0d3Tmg1aXlaelZNZ2JPTDVvOG82d0JIeEJKSm4xajYxWm9rbHMzQnBNLW8?oc=5
HINDPETRO.NS,2021-01-23 08:00:00,"Petrol, diesel prices touch all-time highs - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNbVJyVElRXzFvY2xobXpkUWF0ZkNNY0VJNjcyeW1sUnA1VmR2cDNhbnpkUFNYT2VyeFlRaHFDXzRyTks2M3JRVHgwSHVwV3JLTnppOXB2N1NhbVlaZzN4aDhoMmxHeXczcm9jOGdJZUlMRWhfZk1oVVlVZmpxTVloYWlaYUVIZWlMbVJHRGp4M3dTUm02V1B1aHlGeGRfNGtlMDJ5eTNsSkvSAa8BQVVfeXFMUEF5YndpbUlfRE1JRmc3djMwT29manZ5Wmd3OXFCWVRCNXZoR0s0UVdYcHlsSTVlTy1kM0ktTVZkYmZFVmt4NEJMSnN4dG1CWWxwaTNjcUtRWTN3akdodlh5aElDdG5DamxldnFpZUtaRGlkM2xQUlhoQ0FlT2doeEgxM2VsajNUOTFGMHlMTkFXWlRBSlpibnNOZmFESGNtT1ROU2lDNWF1SGpZcFI2RQ?oc=5
