Ticker,Date,Title,Source,Link
HONASA.NS,2021-02-24 08:00:00,Skincare Brand The Derma Co. Targets Rs 100 cr Revenue by FY2022 - Indian Retailer,Indian Retailer,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQbkktZnYyZ3hmanhFNVR2QzlPREI4bVpMdlUwRFJ6Mlc0V3Z4Y2hfTEdROEQxSmMtOW9COFM2OERjNVNnb2h5eS1VN1ZHVlY3V0ZKcldLSmZxZ3BVejYzcTJ0M3diY19XWkZoSkFlZWZKR280NVJHYm9iUC10aTA1QXB3R3UyUzdZN0xjYTdDdm5CRjFfQ3JDcFZaTVFQTXQ0R0NWSUdHQkJiQQ?oc=5
HONASA.NS,2021-03-26 07:00:00,The Derma Co. appoints Parineeti Chopra as brand ambassador - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOS3lxcmRrd0hfQ2tfODhOT2hTeVN6blVqUGZ3TENpM3JsalNqYVV2amVMMW9LNXFHVEJocEQ4OUdubmJUaWEtQVI3NXVWYXZHamR1dUNwamdCNVh2U1pOWVc2OHlzQS1sd1JxTFJqZFBtd2hkdmJxc01TMU1xQ2pmRXh4V3kxMUhLX3pDSFY3MzdjUE5nRTkwSm9QcjFqZjFhLVlrNGFnS0U4aGlSS09MS1VWSkRFM0I0aDZlSDZ6WjExQdIByAFBVV95cUxNM2RNWWRhQTY3RnQ5Y1F1SkxpZUhxVmw0YUVHMURnVEhvSWFUS3l3Qk9UZEstXzhoQW12dzRJalFFRjVfRVNCdjdRdnFzYmlENEk2cEZCRmlTNHRXTE9jcUswSVR1eTZIYmRyelNWak1YUUJMR3dIVVh3RVlycWlKSXh0anUyVlpQTlExcW1UOEdSWFFaZUlpYzNnVkJPYUlGazlwaGExbTR4QVMtZUZJZHVsc29qM25GdWoxN1FHUUFNdV9oSkdXQw?oc=5
HONASA.NS,2021-04-09 07:00:00,"Interview: Varun Alagh, co-founder and CEO, Honasa Consumer - financialexpress.com",financialexpress.com,https://news.google.com/rss/articles/CBMiugFBVV95cUxQemJZdFRhTEVPZHh6d3hjWXprWThkMk5aVlhZcG82eF9xWG1oRUpkUy01WlFHQ1VpSHEyV0ItT2paRDdMSTlaY0lUOXlhU3JUa0toYWVzVmdMR0didnM5aVRPYmNfcWZvdjVOWlpWZnRWUkZ0UGtUMjlCVjI4RHNXZlZESGlhTmFqUTRzVXZCaWZxVHhlYmVOVDYzalZPXzE2ZGs0aFFHT0ttNlNscWZ4YUlhZVl3cHVLd3fSAcABQVVfeXFMUEFjSk54aDRkSF9GS20wR1ZtQ3Q0bm14V0FkRjlxb3BtTGlrU1p6OWhQYm4xRXZqbGwyRnd3N3dyaUM1bXR5WHd4QTdTZHpRYkpkUUxhT09Dd0NXMldoUEVVU244SjJzcXQxMXZLd0EtNUdfYW1JY3JMT0dIbmtYMHdtRnh0cnNQdXl6YW5NNjlNTWpfRnFNQ0JYU1h4S2tUSHBHNlpXV0lIOWR2ZW9XcFJ0VU5yM2xfT2oyRy1WcUlL?oc=5
HONASA.NS,2021-05-20 07:00:00,Karan Bajwa joins Mamaearth as VP - HR for Honasa Consumer - ETHRWorld.com,ETHRWorld.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPeUtScHBZWEJ4V2lFTGFLZFpXSVA4V0R0VEZfVWVZaEhOQVRjbWZSRnFzSWp1ZzZsbXdlTW5jSlNPSGR2amRvb1B4VGo3Y1VfN3VhUkg5Zkc4Q0pVOTZhRDlXQXZmU0VTQ2lfMXo2M2RsVjRuT1hBSHJRU3pBSDVvTTV1WWlRd1NGZ1JidlFLNWVkSWNSNTBXY2lVWWxjaUcwWGVSdGdwS0J2NWhGaDZNTjJzR0QyMFVBNnA40gHAAUFVX3lxTE93Vm1zYlB0by1uZ1RjOFFTOURBV1A5QXNkMGpRck1XUkV4bDNIMzNRMmlleTdsVE9WbDhBTk1pQXBXZU1HZFloWjVEYng0TUk3eGItaXdNUFpnNjN0eVlUUERxTnMtODhFdXVDY0R3N0pCeUVVeVA4U3ZYeDdyOExrRmdUTUlzZW1CWjg1V0loQ19YZWwxX3p1cnRmMjN6V1cwTkFKN0g3a3JQYjFZRUpjekoyT3daUkVRUG1XQkJodA?oc=5
HONASA.NS,2021-07-26 07:00:00,Honasa secures $50 million in funding led by Sofina Ventures SA - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQUl9tbU5MeDR3Y0dBMXJaQlhIY3B2V1duZmNLZ2tpeUtlU0pjLXhaYUVmZEVhMjlKQlVhZWRlU3hjM0t4R1FKOEh5MlpUX2RQdXNLVm90R3J2UFk5SGtjNmtUZGNpdXdiZno1TjVyaDB1TzA4TkhxcGxTVUhlazUxcWFzbFducjgtdXNMX2V0NU94Zk1rX3cyTkNrdGtjVHgyN1ZQNXAwUlJQYktodXZKWmg0SHNxaDBZY0lDWkMzOUc5LWxxZnU3VVN4TUF2dldzZlc0TEhTLThpbjTSAeABQVVfeXFMTlB3VnJRUDNWWWM5cmNkRnBfYWdGckdMTG9QZmt4dWd0T0ZfTjNiQUZUQ1lTdXFsV2VYUmJramxrdWN0dndSaVZmSGZJa05uVFRsU1loV0w0VFV2YnZjYVN6d19PNlZzbEk0YndxVUpyV2NmU3lranFPLWdHX1lQdnp5TUxtbWJBaXVTRmdZWFMxRmphUmdfblhJZGxsaThqNjNYbF9sdERCd1JmOVlfYXVNNmVGSGRJY0FWV2UxcEdVc1djQ2VOZmVjYXJTMExQUngwazBSbnZMRHZhZkJSTUg?oc=5
HONASA.NS,2021-08-25 07:00:00,Mamaearth Appoints Zairus Master as Chief Business Officer - MediaNews4U,MediaNews4U,https://news.google.com/rss/articles/CBMikAFBVV95cUxPX01GUWNjbzVBd0Q0RjEtR2xnSzZlMmY2dTBvTnVYdEFmT040RGJjaDdBQ05fU1h1Vi1uQkl4SnhRdGRPWV9YazRyOXpYSEREQlRQZE9aTmFITi0wN1NJRFFJLUxfWVB4MWQ4aXdUZVJSQ3Bmc2laSXVzdllUV3NvYUZUQkJNa0pEaUxNN2JtTDk?oc=5
HONASA.NS,2021-08-11 07:00:00,What BSE’s new surveillance rule means for mid and small cap investors - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNLUMwMGNtRm5rRzV4Y21hbW9DLVA5SVZET3FmRVBiWWRfQ0lNRHdpNXBhUzh3WXpYa2U5aldyUlFtZjRFdVBsZEQ5SGdPcVRmRE9QbGlod2N6MEZCcVc4VDVxUVNjWU5rWDhUQVhON2s2bU10eEJobGJ6QVdfbzdwZEZrSUptZzNaRnJDRlUxSDh0NFprdkVMN3RfVjdPaEdIczZXU0dISmRmdWZlQkpmdmVDYS1sSmZzbzI2WkMtcjI2MkRLUXVaR3YzR29QUW56WFIxX0c2TdIB3AFBVV95cUxPQWlHVHROYXdzNzMyV2hCeVpubzdDZ3hKV0N0eHVLSWpyNUtzYzVFR3d3OTZTeFRIaFNmMFg5b0FFWEFDTkVkWUtqVnh3bnV4UV9lMVRUSllvOU5nNDZ2X005OTRSN0xWNFJrMzlyNDEyd21aV1FNbElIM3hhOFJHVVNuMjhReUxRZW9oa3ZESlM4a2hPR1Y0bVBFUVNEUHlpQmdtMVlmdGowa2ZZOEU5bElxOEZtUFBmNzV4YndsVmwtNjJJX2FTWnl2M1BudW5BeElDbXVMQmd2aEpJ?oc=5
HONASA.NS,2021-10-17 07:00:00,MaxVIL plans to expand realty biz; looks to add at least 2 projects in FY22 - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQQXhDS1dGa0FqM3c5VnQzZThmWEU5a0JlUnVhd0JLUnZfRElQWmVwaWttYUZISXA4Q1lnOG1uSzVxWDd5RnBIWjBZNFpuX0wxZVV1RGswUDFjOVZsNjNHREM1LW1SbWMyY2hvNlJCblJxaGdNVDJ6Um5XSG1FcU9JZldxTjhZVUhtVGxMcnRkbVh6bEhVQXlvTER1T2YzWHlESWpLNWM2eGx6NmFwbGpmUjRNOU5nUzVtUm45Q19YY09PN3NLSGhMeXlSMDRndmM2U0FtOV9fS2R3aUxZckRfQWpR0gHnAUFVX3lxTFBYdk5COFRFYzB1dG5peVIzMWUwTWZUdElUTDRCX29oVUVhaTBKTy1LYS00TklFUVc2a1M0WnktdUUtUUtxeUV6WnZnT0NkWjZpNHFVejJOOERjc2pRd1ZGeG1nVld2dFlLTWdNRkpOM2NfZE1FLTBKSm9tRXJ3X2o4aXllbUpzR3d6OF9MRDNxa2hyX2N1S29vbDlnd3YyaWE0bXp5Tmg5TUw3enRMemI3cy1kdjdFQW8yM1kzcEtjRkdpWXV4QnhYb3VkclJoX3p4M0VRTndWaDlmMlZRNy1PdjFYamZKcw?oc=5
HONASA.NS,2021-12-24 08:00:00,Mamaearth parent company Honasa Consumer acquires content platform Momspresso - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOTjJ2V3BDbTM0WDdQOUZuLTdlbG05OGo0YXZ5T0lublJBSmxKZ2JCOWZvalVNWS0xaVhUOHhoQUQyWHpOdHVOb0lxbVVreGZyVE5LSjlRbGlya2NWaFV6S1A2WTdMVS12OVZIdnB0bUZIN0gzeEw2N2hVTDI2YkVfTEdMZVhsbjliM1k3Yjh2QWFTV0NPZ1hCd3F1b1NSRGp1dTF0c3NkTTBJZkpmOExqRVdZdDZsWmxZaEthdGo2anRJRFVhT0MtVVdwbW1jSmJRNUxjSzk0QnY5b03SAeABQVVfeXFMUG1VblRXZjQ0NFFTVjdLdW84YnJlanJIcnZLYWhXcGxEZnhwTExFakREQmF3ZHdyODdyYnV4SWd0N1RtamQzWktaTkxnUHc3S19NU0ZmdVFLRkxPYThYekRJbjg2Y3NaYkRKdG9NdkNEckJtZS1YZkJrWlJ2VkxaMUxSVlNPdTRsZm5xbG1zZ3djV3Fuc1hmUktRNF9QUlFzanF6QTdjcjlNeG9MQzE3Z3dXRTB1cHVEZUVneWZHT2lqMnF3UEE0NHdnb0dkMWwtazNHM3FqUEdzaVlmYXd5VUM?oc=5
HONASA.NS,2021-12-14 08:00:00,Natco board approves proposal to acquire US-based pharma company - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQSjlPZTNseE1zT2QxLXdFNkpOcWtrMHFQVkFTUERtZ21RN183Y2t1UThLMWs1NGZ1a2hHSkY0NllQaGVMcmR5Mm5BRDBNMmdmWm41ZFYtQ1NPc19sVnFYSkVxMGw5ckp3SUZJQm44TmdzdV9zYXRVdjRxTlNsSW1OS1N3WnZmaEItRE1MNHZ2Z1lmdWszTWJ1eTZNajQ5STVDRGNvZUdVZDRyVm01dXZjaTd6UE80Y0ZyOUg2TDNLX050cmMtXzNEUDVjYVdCcGZOOUHSAdcBQVVfeXFMUGhNODI0ZkEySUVGZmVneVNaM2xYdkVqM00yYTJNV3VLTDZIdUpmUlY4RHZnbFdEUDJVRTZDTHFMY1ZwYlZHLV9HMHI5WnVWRnhkUXFiU1pyNWNvbElHRTNhNUhQby1RMWdVaUZFYWZ0SF9BcHQ5Vk15ZlliWU9SOEEzeVZxVkotWVZPNF9lRXZmWUUzaG1XeGVNVE9IU2VnQUdtNjh6MmF4dzFWWHl2VllmRzVwcnJVSkM5cURYWTFfazBPdUV3TVRUUDQ2ajVTQ2N5VmVqbWc?oc=5
