Ticker,Date,Title,Source,Link
HUDCO.NS,2021-01-23 08:00:00,Housing board to build 570 flats at Nerkundram for government officers - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNeVA3SC1NZkZkeG9DeUhUSFVBRzRMRE9KWExHbk1WMHktemlTelZuR2xaWm4wRkwwRnE3YTZ5WXVqUmVJY0xLdlJLMXBvdUh5V2pucDRfcmdwOUoyQVpHMnFDeWhzSzBoMTNYR2trQVRHLUY4TnZ2YzF0dDI5R0pEWmVLUVZEeDhaX3NYc2tQN3JobDdVdGpDRzVDWWg0cWxzVjl5eDZoM0xkTTAwYkJFWmVBdEdSN3EyNzBaOFZOcklJTGNhX01FeVBWZGpJVzdwS2twYWxYMnlLR1Jm0gHiAUFVX3lxTFBra3BwdlVpUlItLVRWV1dOZGgyYzFmNV9OM2pLTmNBQV9jMTNTZUZhbTVCenRhWVQ3dmZpZXhLRTlLLUhIUm03YlhSc2cyajEtOEROY1o3TUdydHVrWC1sUWh5dk1oTVB0NmNnTG9GY2xLeDZLX19qVEFNRHJnV0dfeU1BS0tQcnM2eVRjQ2xuTDd4NHp6eVI3bU5FNFZpakdmSHF0TDBmUzlfcTV5UjhPNDFYMm1zMXlHSXdBXzgtLThCRFJKZDJfcmlib3hZdzlvdm54YzVkMTEwMjQzcjNtZWc?oc=5
HUDCO.NS,2021-01-20 08:00:00,Pune’s Mhalunge-Maan town planning scheme gathers dust two years after groundbreaking | Hindustan Times - Hindustan Times,Hindustan Times,https://news.google.com/rss/articles/CBMi6AFBVV95cUxORXlEYWJxMnpJOGl1akN5N2pFbVQ1OXhjcUN1MGw3Sm4zODZ6WGJVMEdpTVRQRTNmWHZ4VVZ6aWN5bkVpVDVrN281czA1VnZlMzdmXzVwSERVdU5tQndQUF9mRW50ZlpJZ3hnVXhaTjRrSWFlRGNSM3hxWjNfYjZzWm5SbGtEbWRRQ3J6VHgtRFJCUjFDOU9zZXBaSTE3QVZEWXdQV2V4ZFFPUkM5bjlBSndhbHNFdFJjTWV1cGtYRHVnclduUFF4dW5RMldxUWt4WTRmcDI1b2xoc3JYUEZtZnZScFFncV8z0gHuAUFVX3lxTE1MR0FqSUY0bFdMaWFlaVozY3FLa1I4NlNiMTdqRV9NZFcwM2VRcXRPdzdMZHFJMnlKM1lxMmhwV3ZteXJIRFZLVENpeHAxTGI0dkZqRFdsczRDSEJmc3lfb3piem1oaFN5Vm1oLU9uTExvdzRyZTRqWl9WVVV3dzZkdGZqS3drZHNocmR0ekQ5UFRBUWttQWRzek51SFRnanJsNDBHU1NGMmI0bmxoN3ZZNi1MeGVpa2FIWHEwVHAtRkMybkxKaDdZT2UwdGhLSkU2VHFuSWlfdlFtOW1xSzVtQmdCblNTTkU2VlRQUFE?oc=5
HUDCO.NS,2021-01-21 08:00:00,NYC Acquisition Fund | City of New York - NYC.gov,NYC.gov,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNakVnWFNoRm5EN3hObUhsdC1Md3IwOVpfZW40THBidjMwaWJyMmY3OWZSWF9NcHFobUpwWXdSeXNUQlNUbV9tUnRKYjIwYlJxaWhmclc0cXNsLXBNVll5Z0VaRXUwSDgzTVFtS01rbHcxbzNveFg2eElRaXFYSjlmNVBHdUpKVHNRWDY4bEYyZXpnd1JYRWxuVUFJaEhwNnZoZVpvd0VtNGhTVkltR3RXdWt3MmRmWWw2ZkxlaHlBQ0plZEk?oc=5
HUDCO.NS,2020-12-30 08:00:00,Inside Iran’s Army of Terror and Oppression: Revolutionary Guards (IRGC) – Part 2 - National Council of Resistance of Iran - NCRI,National Council of Resistance of Iran - NCRI,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTURJVTdNcVNSU1N2dnFWaWxXcHFLV3d6UnkwSmVkNHNPcERJb29EWkZocTlzdmVHR1dwRHhHY1I4a3A4dUpVSzVrQ2ZjVVdoRW9ZbkRpb1VEdXB1MDJrckFsNHhKZVdBd2ZSdUJybEJaWkl4OXRkUEJIQktHb2E1eFhqOVhBenAxUnF6bFUyd2NnQml1eDlKUXNZdVp1VEUwWWZMUkFtSmZlbFFMaVJkQ0NHOUQ1TnNIWlo0X2FoT1ZnQWE0TThRaWpCZHFMLW1UdkE?oc=5
HUDCO.NS,2020-12-30 08:00:00,Demolition of Cavile Place Public Housing Community Underway in Fort Worth - NBC 5 Dallas-Fort Worth,NBC 5 Dallas-Fort Worth,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNkVYNVgyYVpGMll5VWNNZk1PU1pGcUkzclNubDE2cUpLckxNXzZpTElvYjAzTFpyN0RaRkRBRmtaVk5kRzdyTk1PdC1pQ0dDVUFKaHFxeEluV1pYVmlkZTZmM1hiLVhDNTI1U0pVTnhLYnh0Yk1IQ0tURVc3NW5UTldoOXoxTXEwVEZjUHRaRUNYcUZBM0ZndTc0ekZaM01LUVJyWl8wVm5fSUY3TGJGV2hoZlNaYjNm0gHAAUFVX3lxTE5FTXN2RVJINWVHSUFucURDeHdwS2VCazdEYVdPcklraVVOTW83ZGp3STdyeTN3ZHExYmdSaS14T0VuQTlGMXU4ZUtEUzVYbXlfWmIzYmZlTGpGbjRYTTJVM0Vlalc2QXcxUHZhYnY5X01wUzdqUG1UbjY0WXJmSTRYdUNXQUNDUjQ4Z0NUem9JaHBUc1ZWZVpZaFpsVTh2ZmFIY05yY0Nka2RfSW8wMWFEZDFFN2s4R2xkYm9kTWNBRg?oc=5
HUDCO.NS,2021-01-05 08:00:00,DDA drafts norms for planned development in unauthorised colonies | Latest News Delhi - Hindustan Times,Hindustan Times,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNZndyeEM4OWxpYzhwM3hhRE8yVmQ3VlAwQU9BVktyc2gyUXloTVZhMm50Ql9SWEkzM2RBUDd0VUlLR25zbUdzN1BwQUhiOXA3SnZZU2hIUy1qYnlXd2tDNnExUDFfMHM1S2NLeXBIczFKYjZBeFU0U3RkMlRtTUZkQTFSUEdKRHNsN1R2YmxwRHR3RkY3dlpGcFlheEZ5LXZCODlfblpEdFIxWjBOLUlDTU8xREtZOUlvdVFmM1FJWWgxV1BIN09MenJBTktfdlVYaVc4MnEwNmLSAd4BQVVfeXFMUDB0ajNzS3BGRUEzSEh2UUNtODJYakZTRU9MS3lRR2JrMU5pR3JIdEJ6NlVFQk1DSGYzdWVoTWZ1RExkbTVYSmpEV3l2V3plUWNnRDVSTDdCdHZDYVRNdTZJOGhVWW93WldCaENmX3BRWXBhTFZqOWoteGRnbWFDaUNoU2JJempvSEJQNEtUMEx0X05FMlJVczlSY0gtcEdFdTVMM2djcXFVV3FzcFg0QVpsNXEwRjVWNWpRNDExMUhrT0hhQkNMODBuZm1rZjNJVnBSTFRVWU5FNkQ4Vzhn?oc=5
HUDCO.NS,2021-01-08 08:00:00,Brooklyn mortgage scam inflicts million-dollar damages to the FHA - Mortgage Professional America,Mortgage Professional America,https://news.google.com/rss/articles/CBMisAFBVV95cUxOdmpJeGNtWnpwaHZtOXZHWWJJRzFFMVhmc2NjajZ0WkZudEJPcnpwMjZNd0o0UFI5RTU5cXVPTGNUQnlVNEltYm1EaG5tb25aeENLRl9HWjlmZ3FrY2JPTmRVMkdQaXRWUDlWUGhVUG41U25zN1VrZWYzelJhUjF5TXU4bk1uRU5odnN2MWQtalp0eEpoNUR6ZGtRVFlsYVpzbS1ibGRTSlhnQnV1TUhnUg?oc=5
HUDCO.NS,2021-01-19 08:00:00,The Ben Carson Years at HUD: Did He Make a Difference? - Realtor.com,Realtor.com,https://news.google.com/rss/articles/CBMiakFVX3lxTE9oYmRvcFBUYnJCOXNWZUNuUUlDd2pNMURUYjhta2t2MDBKeWE5QTZScl8tNGlZSmhuMVZvUFBJdUlDNXZnMVZFbkpXMmswTGRGMllBTTBLNU1yeU4zRHNMNkJuTW80dVhmTHc?oc=5
HUDCO.NS,2021-01-23 08:00:00,How the home reno boom could help fill in the 'missing middle' in Toronto's housing stock - CBC,CBC,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQUEZfOWFua2ZMMzdnb2h2cUhad0NoMjZVRWQzRU1BajZxZ04wbTJrT09acDl5YmQwLVdUTVBPOElSNnprWUZzYThKSnlIOGZ1WUtWcGZjaFF4QmlCX1hsZjE0OFRVeFEwUVdhS3o1VW5WbTd0VWo4eHIyLWhuYnhvenlwakIwazdtUlZ4dWhuTDhyYk5McC1FcklETG9EUFR1XzEyS0haM0NNMXVISU5fVTJaTHd1dURG?oc=5
HUDCO.NS,2021-01-22 08:00:00,The Dover Forest debate: Can nature and development co-exist in urbanised Singapore? - CNA,CNA,https://news.google.com/rss/articles/CBMiowFBVV95cUxPWmFsX0gyZUpXWmQyalpBdW1pLTBCVUFlUklNRFd6MlVzQldKYkhzeVlmdThSUEp6T09EVUEwejBnNW5CYlRBMFJWM3N2eGs4dEt2ZDRRU01rRlBfbmNFb1J5d3VCZXIxczBzXzZNVEhfUkZjYVhUREk4X2ZSRzJhX2lpbmhoMC13UzdjNUVhYnJBeEtmMnIyQ3RIOFVsWFFaR2I0?oc=5
HUDCO.NS,2020-12-30 08:00:00,"Hemisphere Properties' real estate to be monetised for Rs 19,000 crore - ET Realty",ET Realty,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPLXBuZDhMNGhrazc4UXp5OEdNZ2tWajlmc1RUS3Jya3NZdnRpZGhqNDV4c3R3M1VubHhtTXZiOUx1bGs2VG1nb0hYVVh1V2J0cUxFZmlKQzlCSFFoX1lUQkVpcjFZMmdjS2J1V1R5bkNPTEx3Mjdjd2hWWGdOckZLbTZHUjJlLVZLZTNzeEFNalVqVV8zR1hUMFhpakRVRXhlVG9HS0Z0S29LemZhRUluWkFwMmgtZjRITnRiUXJrWEVTUTlJWU9oUThqdWNiSjlE0gHWAUFVX3lxTE9VVGJLTDFDb0RQWUpiQlJYZ2JTY0NhMTc4OWJWc2xoSDBzOGFyWWo0a2FVVXo5aTVXOGs5Zk9pN1NrWHhlMmJTRldBY1lVQ2RwX1JvSmNtRC1PNjNQdkg1VGJYSWN4US11NkVRb2IxZXJ4aE1wMm42TEFZeHV2SUlVZ2x4SmRvTTVrTUVBZl81bXpYeEx2ZzlYVE9NMTF6ZkF1MlI0ZUNXUFVGUVlZNFhwN2txTHotNmpYaGtKMDNYdkFnZDJEc2c2RlRpa2hSa0c1OTNPRWc?oc=5
HUDCO.NS,2021-01-20 08:00:00,Homebuyers queue up for Delhi Development Authority housing scheme - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMitAFBVV95cUxOWDQ0V3hGWUh4eXQ0bHNMVGNjUTI3OXhEZTh5dlF2OEt6a0NpUUprQ2hseFc2Rl83bFhNbV9PcTVRS3FWOGtVemZCOHRYMjZJNHdhUmdLV2tKQ3ZzaVdXY0d3ekJYYlgxYzRra1VmNnJwYkdnNXVuWTk1Mm5IUjlDbTRNWm5JcTQzQW5DNzNrdkdaUW9TdzFzNFJJUFJXWDFseVNmWGg4ODJtemVnYnFRZDJBNTLSAboBQVVfeXFMT1lja09EUFhJcDVheVp5a2xLU2VDOEpRNWgzR2QwRTF6SFQwdk02R0V2ZktCMFhXbVBYRzlTT1cyRTBCMHQ4Vzd3T1JsWks1eFBPU3pDbjFTQTJIMnREZ3k2QjdjeTFpWVVncUw0LW9LOXhJQi1UYXdaQTV6dEhWLU80dzcyTWs2NVJTX3ZsV0xHeG5BcUNmNDYxMThzbS1rVGVSX2JhSktDd3A1cXFIX1FXRndjQmY1YXV3?oc=5
