Ticker,Date,Title,Source,Link
INDIGO.NS,2021-01-15 08:00:00,Indigo Paints IPO opens next week: Key things to know before subscribing - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMihwJBVV95cUxNbHBCelJOOHliVy1SUEtTSEdDQnU2MjhnQUJYTDBUN21xc3FQUzBvTERnYVFsbVlucGY4YXltNm9YcDhDVEROU0VyXy01VWpDNXZneUVXTmxDOHhZcjdsa2hRbTNxV0t5MDdTOW9YRVpMV1p5OVdkUk1FT0NzUWs2am5OMTBUWmtzczk1OUZMejFRaHJGS0pXZmlQeG5uUEtlWHhJMXhhaHZsS0Y4RV96UTY3T3BZUVVrSGozRGRJeU1fTXNRZmh4aDZkT1RtU00wb3IwdklTTkRVY2F1NF9PYmNZVXYwYlBpSXdUTWU4c3hfSXRlX2Z3X3hVS2NveHFlSzJWNGxqcw?oc=5
INDIGO.NS,2021-01-20 08:00:00,"Indices end at record closing; Sensex up 394 pts at 49,792, Nifty at 14,645 - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPbWgzd1NsTkNSSG1YY2FIZThna19td3BrN2NrSlppRGNMQW9GSFdmQUc0TWg4ZUlUcWFHb1pmZTFXQ0NCdGY4aV9KSWN3ZVo0RnR0RlN1UVQtRkwwejVRdDZUbGlNNjFvZUlESHF4MmNORUNjVjNxZ25KX0I5WFVmUTA5T1dmdlpQMnFpNU5Lb2JmRl9YWmd2NmFLa0hSUXJhVmp4cU1LR2RELXA1M2JjNlJqRDhWTUgxNjRaUlZ3anZyem42eHMzemRrTXg1TTJRV2tuWWNzeElxcjNiUGfSAeMBQVVfeXFMTTdxc3lzUWh3LUI5NmpIT3I4bUNtbE56SEJlcDI0NFlUM3V0X3E5cGRHeUNtMlIwellzenBpclh1MHl4V2ZQMHRpNXJjaFBYNU5nZUtBQXpYYldObTVrX2UyVXZOZ0pMUGl5c2E1VFRsLThVWHhrRzR5UkZpQk1WUTBSbDVxMXpjTHNfcDB6WEt4eVZvd0RiUVNLMXpWa2w2WmkxVlo1UGVVZG9OUHN6cWg0Zi1feFNZbEJXeHRfNUJDS2hqaTNVNTZ3eURnWGphR0o2T1liWTZZUUJXSVotR2FTWm8?oc=5
INDIGO.NS,2021-01-19 08:00:00,Indigo Paints raises Rs 348 crore from 25 anchor investors ahead of IPO - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMiywFBVV95cUxOR2xZcjhzU1FJZi0xYl82RENnV21zeXlXWHFyX0NMdUdOYmM1aVV0ZGxLaWpvV2lDTEFpNVJkdmMyc0NWTE1YcVNXRnkyQlNBSTFYN1BUTThpWldKRUJNMDhIaFNlTVprczV2dEhOTUFrd2Z4UTA2S3BWVkpwbjFrRFhHSWo4MXhWOXRtLW1EcEhTVC0tb1VnYjExZGxpYmFqbkd0UThxcHBGWXVZVnB0blZwZDVuaWVjdWp0VW9SeWdvUm1EckJWcDhLd9IB0AFBVV95cUxNUlA5QzNZWXhVekhUSTI4RE9IZGI5ZmNUdmZxR19YWUl3NzV0cVRJdFMtRXBJUDUwcTRSbmdZcEVwV1JOZXQzbWpQUUJya2NKeDJUNldWR1NDTlFaTFlqcU5pVDNsT1BQQ2RZOV9PcThpbnNNR01rOUV2b0FyRDN6NDBKdkpZSmFXbThSQTluUENtbjlMSWItUl9FVmhfeXVpeGVVcG15M0hmOFNaRHNVb194QW1OMnpYRFJUWHlYR1Z3QkZ3cXk0aFBUUUZHRDRO?oc=5
INDIGO.NS,2021-01-20 08:00:00,Indigo Paints IPO oversubscribed within hours on first day: All you need to know - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMizAFBVV95cUxQT2xKTTVMdF9EcGNpU2Ywc1dmR2xNdkpJb3BwVS1LTkR2UFFVRkF2UXhyS3VvTmVRT1ZLaEVVaXhlWm10WmN5SzF1eFhEUE8xTWxxQ21MT0VrWEJtWkF4ZFhuVV92d1R2dkQza051NzkwMlV1Uzg0QWpYaWgzUVFYWmlPa3JiM1pFYzVzbk1CWEhURHFyRkE2LUw1SkFYenYwOUR2dUhzMjE3ZW04dlFRU0xCMmYtUm9rWWgxR1V1RTBoOWJxLXpVa2pHdHjSAdMBQVVfeXFMTzg0QXpaWFZraFhyR3paS0I4N05DVHFSMmM3dElvQXRTZ2lBbEpaZVdKX2lIVlZuYnNNQUlXdk1lZFg0SU1tUHk0bjNDejZKSWxpSHVoY095M0tTWXcyQzI0SmFVUkJuT2JWYk9Ic1VfTXRnVjdHUE9vQlBNYk5SVU5TUG1qUjB4QjlIR2pSZjdHVS1randhcmRXVFloUVJ6NW5SYU1mVkNzR0VETGhBekdHSVVPZ2hFQ2hTVnhZSmZMcGxZQm1lWFFVOFhoNm1LTnFhRQ?oc=5
INDIGO.NS,2021-01-01 08:00:00,Markets kick-start 2021 at record high; Nifty ends above 14000 for first time ever - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOMUlnUXFHUlIwZ2JPUnJsdzJGRXd6T3RkVV9FcTlQTjZNNjFKajdOYnQybldmOV8tNmZvQjQ5bFZYejJmNy1jSkZhY3hTck4yUHp3dWxBekdNcG9OU1Rkal94Z2RtMXNMNHROSUp6UVFJVTNnN3dxeGVNNV8wQnNTdWo4dEVTd1FZb2d5eGdULWJ6YlJxeTI4NnR3NERwblZtRldDQ29yNVRWdDA0Nk5ObHlmU3hvQ243MkdJU0pXeUJxOThYWERWdmZBMDlXVXVGVFVqVjllNkY3emZmcUIwZGhEYUtyd9IB6wFBVV95cUxPQ2pmdXItNGlSNFBrWkpEcm9HRUdCaTQ4R1E1cXp2MjNtNTlCM1N2THhYNlZJclVlMjFlRFRvY0Yxckg5bHgwZF95TDNMM041Q0c3RmtsQkNTMWhaZHU2SFN1V3QxMDladFZmOE5GbWlaR1c5MnJtbk1CVEZJY0d1OXhmMEJaOW5fZ3lFWVVWS1J5SzQ1bUVCeW5hMENuSGQtd3A2T1pXd2ZmLWhzdHc1TGZtcmllSG92c3l6bW5UU2NsUlJBSGlfbEtSaFJHZG9fejc2d1JEb19sTmgyR09vMG4zbW9YQzNnZWhv?oc=5
INDIGO.NS,2021-01-20 08:00:00,Indigo Paints IPO: Does The Investment Live Up To Its Hype? - The Indian Wire,The Indian Wire,https://news.google.com/rss/articles/CBMipwFBVV95cUxOcTV6QVNqaGE5ei1YMV9hUVZ3eWUtWTVfUU9kRTJkVG5DT3puN3daN09ab3kzNWhoUVNsbmc4M0ZpS3dvcFRiejhlNE9sMmdtTFBhRmpueWVUTTJLWVVvQmtNaXMyY0VTWkFFSUw3NV9GZHZrZDRLNVRsVWtMNk5PVmEwV0psTl9Ua0tMYk9fb2pENWNXNW5xY09RVEc3Y3Qya013SjBYNNIBpwFBVV95cUxOcTV6QVNqaGE5ei1YMV9hUVZ3eWUtWTVfUU9kRTJkVG5DT3puN3daN09ab3kzNWhoUVNsbmc4M0ZpS3dvcFRiejhlNE9sMmdtTFBhRmpueWVUTTJLWVVvQmtNaXMyY0VTWkFFSUw3NV9GZHZrZDRLNVRsVWtMNk5PVmEwV0psTl9Ua0tMYk9fb2pENWNXNW5xY09RVEc3Y3Qya013SjBYNA?oc=5
INDIGO.NS,2021-01-21 08:00:00,IndiGo 8th biggest airline in terms of flights this month; UAE-India second busiest route - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMigwJBVV95cUxQcGdWaHd4NEF6a0J2M3hnNmE0cmpOSDI3QWJ3TW45N0xzV004c2hjeWZQNXhkdl9Ma0pnWmFEclVLdGh0cUNvZGFLc1E2QV9DQk9WZVQtOHdUZVNWcmtGTTlMY1Y5dHpaZHlpcnlzNXM2eEpkcmNyWE94djBXRkpQMTQ1SUYxLXNFU2tJNVR5UmxPdk5QSnBGZGpfNEVZMGx6ZUUta25Jb3RQcjVHSTN2M3g5VWRnVXVqckdVUENIZHhvNGlRVno1YUZKTHlhaU9yUU1TMVltdkhJMUFNcE9QRk5MNWR3RENUaFhLQ1FyVGlSMXVpTDBVYklFTFEtMEp2WjR30gGIAkFVX3lxTE9XcjkwdzhRUllJWURSS0JZbEFOejNabUhpNUpkUkFtbVdmQ214OG05LWRzSDNGZGRPSm9XbGpmbFJBRThvVGpVdW9KdjNzLUNzUHRQWmhrN2w4WmV1dWtuUVRjX1FKWjNaRV9NaWFWSnlzbDZlQm1kMnlHNlhFZ3NDMXVWeGp4czJVSEYxMDhXWjhUOUdOeW1HUDdfUkZCLVdaUUh2c2o4R0NiNDFmOHlUbmtWUS14R3hrTkNhcjEzVVU5cEFvb0NrelhkeHZ5OC1EczM5Tmc2d1BNRU9CZWF0cGtzSGRiTHY5cGpTdWFYcGJRRkhMbldpV3llMWcwVkNBRzNjVEtISA?oc=5
INDIGO.NS,2020-12-31 08:00:00,"Hackers swipe IndiGo's internal documents, airline assures minimal impact - Business Today",Business Today,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOWmpQd29SM2p4TTdGS0VQa2V0SVFfd29qQ2VHalI1c3BLZDMxc0pNSU9xTXBQei1OYnNNdWNrbHo2bU1lYlh2amZySXB4OVZJSFR0aS1VSlhuRWJ4UWVOWHlhS2xXdWVUTjNZTkFQTjJLYlk0bFJRRm5IMVM3aWlIZWJoWXEwcmFpa0JHZ1l1TDBGWEZpTVVzNTFLbUxjYjlvNFd3SzlrVk5NQl9IbEpZRlJ6VjVGemM2eGxFOXFMN3M2WTBKNUwzZGRXa19hcUdaN0gxbF91VdIB3AFBVV95cUxPRW9RWG5tTHhDSmU4WUVVUEwzX0I1S1VaV0o1VmhZQ2ZzMTZDWXpZbkUxZE9TMENFY2NiY2NCOXdoNGtQa0xzdzVNbjMwWmZ6Z1M4QWd2VDlzNE13MUd5b3dmWTR4MXJ3c3FtREdsZ2FvMGsybFFiWUg0ZVZmZVYzRF85QmJCVVV3MXFXVFNYZnl0Ni14OUNINlg3dENKY3pjbTVXZGtWT2dTOS1iUEdtS3BROXJmNnRvUC1GLUoyME1YZjNWYzZTOGtRS213UXpzbmV5SHo1N1lGNDlN?oc=5
INDIGO.NS,2021-01-18 08:00:00,Indigo Paints IPO opens tomorrow: 10 key things you should know - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMivwFBVV95cUxQTHpBRHV1YXR6aHNiVmFVVG8zWU8tWUcybnEwU1lWY0Z2VGw2SndPZ2ZzaGFrVHloa0k5UVNFN0s1dXpYTVFTTVFjMEZUb0FSTEUyM1ZJbE91VUFPOEd0RkduUFRNR05pUFhVMDkyekJ1MmRnRVVyeGg1S2lJR3ZNWFNzV0FDNEtWS0EtMFBQTG5CTWhXbi1Yb0R6WkJLY1ppY1MwV0tXN0hkcDUwOUUzY3pPV0xZME14RW1HWUswTdIBxAFBVV95cUxOMXdlUjR4ODZxT0ljZ3d3Q2xGUFJCWWd3RXV2RnBEVWs0aVVrV3Jnc3VYdm91V0pfWGFVaVdvOURRczdoYVRtOEVlMnktMW1ueVpUUW1jekpMMHkzbnFLN3BNa3NuQlpEcFZkYXJvS1hwanVnT1U2Qi1sSHktSmxxRlNEMHcxVHdrMUhhb3Q1SnJrUGNGRktGWXBIbVFnZWJ3RUZGajhaRFI2bzYzOXFVaGlzWm9rWVprVm52UUJIemJpbXQ5?oc=5
INDIGO.NS,2021-01-23 08:00:00,IndiGo to start Agra-Bengaluru flight to bolster regional connectivity - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOOTNWOFpQalI1UjIyREJIczk0TUJEaGd4NzFkUU5hVjV2VndvREtVTlhsazFtWTY3YkU3RTBNUmJWNl9NaHBEUnBIeEhQWXQyRnhicjFSbjc5TmZ4QzVaMjFrMXNtWEk2cVprcG9WcEtzWlNWSFNjWDZFUDg1bHZEaXVFYTdxZWltdmtWMmpxX0tCMVBXMnVYVHpjdEhnb3pXemp3R3lNRWZBaTVlVkx2Zk00WjlYX0ZocFFJRmhXQ0I3dGROSDA1bUdEaWNTSFdnck9nZ3ZRZGhZb3Z1SHBrZmVB0gHnAUFVX3lxTE9RaXRJazJqdEl6aWlKOS1nQ0Vxc3p6ZFRieS0zczRHQ1ZUc3FyN2E5LWNxRmpvU3hQSDAxWDFKYTdSM1prOTBhd09vSlBOMFFVTUZRVkRPOTZrWFJFek5xNWV5ZjdxVXVTdjlDSTRWQVRTVzZTb1VOTGZYSEE1SUNKUExXNzQ1RktFSTllOUh1RkpmOXgydHJtMWFwUHd6UXA1UHcyYndQaW9TXzJMTHF2anpWeGJ2bWxiNkE3S2lFcUktUnU5SkNpc000al9HeWJubmljTlA5TGtHRHRXaUxkcXNWX05Ybw?oc=5
