Ticker,Date,Title,Source,Link
INDIGOPNTS.NS,2021-01-15 08:00:00,Indigo Paints IPO opens next week: Key things to know before subscribing - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMihwJBVV95cUxNbHBCelJOOHliVy1SUEtTSEdDQnU2MjhnQUJYTDBUN21xc3FQUzBvTERnYVFsbVlucGY4YXltNm9YcDhDVEROU0VyXy01VWpDNXZneUVXTmxDOHhZcjdsa2hRbTNxV0t5MDdTOW9YRVpMV1p5OVdkUk1FT0NzUWs2am5OMTBUWmtzczk1OUZMejFRaHJGS0pXZmlQeG5uUEtlWHhJMXhhaHZsS0Y4RV96UTY3T3BZUVVrSGozRGRJeU1fTXNRZmh4aDZkT1RtU00wb3IwdklTTkRVY2F1NF9PYmNZVXYwYlBpSXdUTWU4c3hfSXRlX2Z3X3hVS2NveHFlSzJWNGxqcw?oc=5
INDIGOPNTS.NS,2021-01-20 08:00:00,Indigo Paints IPO oversubscribed within hours on first day: All you need to know - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMizAFBVV95cUxQT2xKTTVMdF9EcGNpU2Ywc1dmR2xNdkpJb3BwVS1LTkR2UFFVRkF2UXhyS3VvTmVRT1ZLaEVVaXhlWm10WmN5SzF1eFhEUE8xTWxxQ21MT0VrWEJtWkF4ZFhuVV92d1R2dkQza051NzkwMlV1Uzg0QWpYaWgzUVFYWmlPa3JiM1pFYzVzbk1CWEhURHFyRkE2LUw1SkFYenYwOUR2dUhzMjE3ZW04dlFRU0xCMmYtUm9rWWgxR1V1RTBoOWJxLXpVa2pHdHjSAdMBQVVfeXFMTzg0QXpaWFZraFhyR3paS0I4N05DVHFSMmM3dElvQXRTZ2lBbEpaZVdKX2lIVlZuYnNNQUlXdk1lZFg0SU1tUHk0bjNDejZKSWxpSHVoY095M0tTWXcyQzI0SmFVUkJuT2JWYk9Ic1VfTXRnVjdHUE9vQlBNYk5SVU5TUG1qUjB4QjlIR2pSZjdHVS1randhcmRXVFloUVJ6NW5SYU1mVkNzR0VETGhBekdHSVVPZ2hFQ2hTVnhZSmZMcGxZQm1lWFFVOFhoNm1LTnFhRQ?oc=5
INDIGOPNTS.NS,2021-01-18 08:00:00,Indigo Paints IPO opens tomorrow: 10 key things you should know - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMivwFBVV95cUxQTHpBRHV1YXR6aHNiVmFVVG8zWU8tWUcybnEwU1lWY0Z2VGw2SndPZ2ZzaGFrVHloa0k5UVNFN0s1dXpYTVFTTVFjMEZUb0FSTEUyM1ZJbE91VUFPOEd0RkduUFRNR05pUFhVMDkyekJ1MmRnRVVyeGg1S2lJR3ZNWFNzV0FDNEtWS0EtMFBQTG5CTWhXbi1Yb0R6WkJLY1ppY1MwV0tXN0hkcDUwOUUzY3pPV0xZME14RW1HWUswTdIBxAFBVV95cUxOMXdlUjR4ODZxT0ljZ3d3Q2xGUFJCWWd3RXV2RnBEVWs0aVVrV3Jnc3VYdm91V0pfWGFVaVdvOURRczdoYVRtOEVlMnktMW1ueVpUUW1jekpMMHkzbnFLN3BNa3NuQlpEcFZkYXJvS1hwanVnT1U2Qi1sSHktSmxxRlNEMHcxVHdrMUhhb3Q1SnJrUGNGRktGWXBIbVFnZWJ3RUZGajhaRFI2bzYzOXFVaGlzWm9rWVprVm52UUJIemJpbXQ5?oc=5
INDIGOPNTS.NS,2021-01-19 08:00:00,Indigo Paints IPO: Information Analysis - Value Research,Value Research,https://news.google.com/rss/articles/CBMikwFBVV95cUxQVUtyeE5wUkZSQWtzdVcxMWozcmM5VDhrdHdSR2RaanpuNnczdllMbEVCSGtzeEhHem44M3Q0b1hGSW1UeUUzLWxkN0R5c0Q3X2tiVUVBY3djWURHYnZfSHk0bUp4dEc2T2Z6ZmdmZnNQdHl3VmhHdHFLTmVQZllHVlpoUEZtd1N6RVVlNU1XbkJPTnc?oc=5
INDIGOPNTS.NS,2021-01-14 08:00:00,"Indigo Paints IPO 2021 – IPO Offer Price, Details & Review! - Trade Brains",Trade Brains,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBBOHB4SDF3ZER4NFAtWDFHUXdhLTg3czNoOGU4NFl3SkVrdl9WRVBhaFpseU1hYld2YXdZbHcyWFZ5TTZ2TXFjbHI4Q2sxOFVTUjZONzhZeXI5QQ?oc=5
INDIGOPNTS.NS,2021-01-14 08:00:00,Indigo Paints Limited For IPO to Paint India - The Financial World,The Financial World,https://news.google.com/rss/articles/CBMihgFBVV95cUxQTUlwRWZZUUR2VUM3UERKaHVHZC1HVTA0dkdGQWtVc2ZOUUIyb3BKcXhsUU1BVmpuUEZVRFFxcEw2bTc2cEFST01EMHIzWDdRcmhEbTg2VmxtXzZlcXM4dkNiRlJDY3JSdDdVYmxac3FpdzJIRkNIWThKQzRWb0Z6bzlYUkJYQQ?oc=5
INDIGOPNTS.NS,2021-01-20 08:00:00,"Indices end at record closing; Sensex up 394 pts at 49,792, Nifty at 14,645 - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPbWgzd1NsTkNSSG1YY2FIZThna19td3BrN2NrSlppRGNMQW9GSFdmQUc0TWg4ZUlUcWFHb1pmZTFXQ0NCdGY4aV9KSWN3ZVo0RnR0RlN1UVQtRkwwejVRdDZUbGlNNjFvZUlESHF4MmNORUNjVjNxZ25KX0I5WFVmUTA5T1dmdlpQMnFpNU5Lb2JmRl9YWmd2NmFLa0hSUXJhVmp4cU1LR2RELXA1M2JjNlJqRDhWTUgxNjRaUlZ3anZyem42eHMzemRrTXg1TTJRV2tuWWNzeElxcjNiUGfSAeMBQVVfeXFMTTdxc3lzUWh3LUI5NmpIT3I4bUNtbE56SEJlcDI0NFlUM3V0X3E5cGRHeUNtMlIwellzenBpclh1MHl4V2ZQMHRpNXJjaFBYNU5nZUtBQXpYYldObTVrX2UyVXZOZ0pMUGl5c2E1VFRsLThVWHhrRzR5UkZpQk1WUTBSbDVxMXpjTHNfcDB6WEt4eVZvd0RiUVNLMXpWa2w2WmkxVlo1UGVVZG9OUHN6cWg0Zi1feFNZbEJXeHRfNUJDS2hqaTNVNTZ3eURnWGphR0o2T1liWTZZUUJXSVotR2FTWm8?oc=5
INDIGOPNTS.NS,2021-01-14 08:00:00,"Sensex ends 92 points higher; Nifty just shy of 14,600; Indusind Bank, TCS gain - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQLUZzYTdBeUlvZ1pubDFteENLSTNpR0h6VWJQdVBSZkplN0RwbHdTMzNRZ3hwWlZraEZPRzRENk14R1UzeWg5OWJWVFk0R0NqT1liQTZiME5Fb00yNy10ZzVYUGNxelFqcTJ4MDFYU01WcEdoMlJWNktpQTV0dnlVakMzdWlnb1dRdWxTUlFLbnhLdEpfbmdMVGRuNGNYSENUeFN6QmN6YV83bUdTVDYxbmN6Qlh4M2VoS0JsY9IBwgFBVV95cUxOS2ZtX2dqaGlad0xYNU1zektaaWpyVWVReFp5bUZraWl5bGQzSm16TEVtNFNlQ2NsNmYweXY1ZUtYQTlZNWdydGk4Slg4cGtsOFVRZGY4emR1SnQ4c1hVemc4dEVGVWROX3pVdVhIVnZDYng5ZzJEcjlWLVFxRWE1NnpySzlVWXFzVURsd0w3c0h4cVJNOHRnY092LVdyMGw3LVIwNDlpUVNLWkFVNmlpLUI1ZjgtVERCVlRVMmtVRHNJQQ?oc=5
INDIGOPNTS.NS,2021-01-15 08:00:00,"Traders' Guide: Nifty has major support at 14,300 and 14,200 levels - The Economic Times",The Economic Times,https://news.google.com/rss/articles/CBMimAFBVV95cUxPb3BKSXltQ0Z5QU9aZEdlazBodG03WVdKZ1hmaldFQlcxRFRZaGgtT0xJencyeF9yTmhPUnUxQ2xoclhiVHg1RlZQMDQ4LUdjZV9FLWZPTU9tbGdWbVZDWEtKaldPVXZtRDhORnIyZ3JwdEx6NVFsZ29RS25IX0k1NzM2M19pbG5sLVhrUGRlM0wza0FGT1lTNdIBkgFBVV95cUxPb2JxRWNla201TEZFZE02VHE0S3VSTzhtTUx5ZU82Z3V4QkhDZG1hb0IwcmJDSlZUMjdHMkcyLUVaTDlZbWtsR3gzSHRWU05abXBLNjhmVHpEWjNBQ3FnXzh1TG9FY1FIZF91VVUyMEZmdXNHX25DZzRoakFpTWhsMTFBTDFnSHhycUlhX1RvY2J6UQ?oc=5
INDIGOPNTS.NS,2021-01-21 08:00:00,"Home First Finance Company IPO opens: Check price band, important dates - Should you subscribe? - India TV News",India TV News,https://news.google.com/rss/articles/CBMixwFBVV95cUxPcV9nbjQ3OHRhWDNWOHlSMGZ4Z3ZaaFVpSnJuMHhLT01WajdXSFFNaEd0N3ZLVGdyQnJBMW4xZXZ2UUZtYXhpaUozS3NlMVlmdDBhU1VjdFN4QkxPWVo0WGo3TWNYY2xOcGhuYVl3OG9xaUs0ZGxqbkJxdloyN19CbnBheVpoQU5YRlg5bWo2b3hsckJLeUtyXzhmZmpmNzlOenl2Y1F6UzVNM0NSc3hhTDV6N08yR1FRWjNGXy04MW5LcEx4dU9R0gHMAUFVX3lxTE9Cb1NMX0JCcUo5aUNqTWdwWUVzUkx5VnFhTExGdUROaE9NemUtOE55R1pVRlBZbUtPaFpWRXlrVjM3eWtPdkU1NHphTVl1dUJiTVdrcUUtZ1hpSmd4Z3hNeHhZdHRNU0ItT0hzcWxjSEVhTVV3VEcwTV9Mb0o5QnRWTWFBUHlsbndVbWlyQks3OGN2OFowT2pzZlgxZ3V1UXZSRENRUVotNmU3RGJGaTllVnVzS0c5dkxEcUU2dExkcGtwTTYyT0pkNmRfNg?oc=5
