Ticker,Date,Title,Source,Link
ITC.NS,2021-01-06 08:00:00,"Closing Bell: Nifty below 14,150, Sensex falls 263 pts drag by IT, FMCG stocks - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi6wJBVV95cUxOWnAySFpTQjVVdWl0UUlFdGd1cUtaczBpQlAteS1vZGZ1TVI0UjZNckxDZnRVeE1pbDBCaTJPaVVSR2NpY01UTk0wNVJtTWZKWktLUldnMUg2VTI3a2NDb2hYcXhhR2hJQjRHRC01RkZpT1I3d2tROG9SRlJpVHBQT0xNTG9Wb1ZZVFh3UFFJd0ZtTUh1S24waU1VZm5wd2NXVVUyNVM1MEJWM1NYN0d1N2M2RGxla3lFYXgyaTFrelhZRmZZYTNRX0NkdHBhb0dNOVljMEIxTkJvc1NjaEpkSzJnMWJoZGVnYTJEcnMxSS1DZ1ZoUC15MHlQQm0wX3pxOGNKYklwRHZOalg1cTdPUVFvSWpRT2JoTkZLeXBwRlotTE1VcDZwbTZMUGpoeERqZmtNclRKVUo0LTBOTnBKQzRqemR5MmN5Z2VCbTUwRjVWaXVlRWxrNVBlbFJWY1V6MmxBaWNMSHhwcWfSAfACQVVfeXFMTWgybHg0U1FSSFU5anA2cTBQTW5CeF94RTlxdVdDUWZBWncwRmNwZ3lXMUo0THdvbFR0dzktamExdFJCSzhCaDhyNEdzNzk3YVZ6Z2JGOFExa1NzUUtPMGo0VG9DRmFMOW0xaG1Tb2RIZXdhTzVUSlBjU2pWUWMwR1dCQThsNUh2TzBoWEhXd004cGZ6cGlmQ2txV25LbVhuTzQzVkRVaGE0RjRyd0JSV3ZOWG1mQUxKNDdJWFFjYktkcFo2T1haRmUwNXR5RzI5aXhSQ1FMVzA1cFJxOTJmZGpJcktsZEFDTTdPaGk5Tm1PU05aQVM5c0JEeWg1clhhMmV1MG9xSC1mSHNfams3TVZrRWQxWjA4dVpabW9PYTdkSHRXS09jVThGbmctbElYX2lGTmM4OGhGWXFYM3o5ZnYxZWlLcTdZYmsyVzBfZEd0dFdxQ1gtNDIzMUpFZFh1WUVQWnRZWldYSzg1QkRyOG0?oc=5
ITC.NS,2021-01-02 08:00:00,Corpn directs ITC Grand Chola to cancel public gatherings till Jan 10 - BusinessLine,BusinessLine,https://news.google.com/rss/articles/CBMiywFBVV95cUxPekw4X04tczd1OHJ0MktRQ1diZXZ2NXNnWEM1WEhOSHNsTmZfbkZhSHVEM2JQLUoyMXpYR01zTGZOZlptZ00zcXNnQXRHZWhfNWxCUUMtM2h5UXM2Z2VYWGYxU3BWbzdINzVXU1dCeEZKV1pqUU9aYXBtOUl2aXhhbjJ1QlU0X0xpWEZlMTBKSkNRcUo2MUh2RnJwMFB0WFVSMlJkS3hnNVdQSnJBZTVDNGdxSURyWXg3MW1TendmcENidHVadDVsalZvb9IB0gFBVV95cUxPUWxvbGRwOWtOOURpZ0F1X25yMnFhU0NrZzhjck9EeVg5WlV5VnR0NUZabF9iYXByazdwajNQMjQ0eDJnMUEzSm1ZSzdYZU5WdFhqR2tDNEtyYl83a1FiZE9mNndvNnRtbVBia1lPYmtDcVpDTWFSd1FlRnRiWjdjRlloZWFQbW5lRjBBZlZnOWR6SWl6bHZ6WU5FMzh3c3pHX3ZDSE9EVGhGbHlBZ1B6Zml3MHZMQWs1SHJhdWNERzI0al80S2wtZm13MDFiLTJ0cXc?oc=5
ITC.NS,2021-01-07 08:00:00,"Sensex ends 81 points lower, Nifty at 14,137; metal stocks shine - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZjV4UUxxb21yeV9xcFJaREJXeXZDd1dTMmdiWkdlWGJJOHRzakVfRVg4N1hOTFRDSzc4UUZhcmd5NzFqQWdyVlppOEN3ZE1qTFgxVUdEM3NwOHBRenl2cE1rWnZJWGFMMzY5OElkUE1LQmNYM2RqUkVfNFBSYlNQQWphbW5oT1Z1RDB1Ri1ZNHZrU2VySU80VVM4dFZteVZJXzFLbUhKc1dFYllwbDUyYmFGLUF4NkNzdUs4bXBQaDU0Qk5Wd3hlcjlCY9IB0AFBVV95cUxPY2ZQb2dSZ29oQWY3YmY1Y0p3R090S0U4ZmZFcGl4VVZ3WThHbTFPQ0tPbjRTYW9DR3NibDNWM285WVN0U3FxN1NDOU45MHRjMXNlZWZvWE11cVcyMVBOVVJnODZhQk9weF92YTVuZG1IeXZ3Mjh1TFMzUm1rUFAzUE9DTXlubXB4bEkyN1hpQnRwS0NSV1MyYVhVVjZKTDBzbXBQQjl1dWE2amI5V25mVE42bW9PRGRDUjR1RGRZUjQwa09YWG1lTGxPcXpVc2FI?oc=5
ITC.NS,2021-01-18 08:00:00,"Sensex ends at day's low, sinks 470 pts; Nifty below 14,300; metals crack - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPcXZIZ21KMlJDZmxVV1NjOVZlemREWURQaEFYQ2x2RVFkVkY4ZVpubUgyeGVWbl9GR2dhSW1IOW8yUGJXNkJKN05ndEszQjRGNmFKcnQtZXFVT1h6M0MzcU5vZ0d6czZGMk9jRkM1UkhuRU05TXN5RlFZemRpd0xEeGJXamlpcnFJQmN2dmNFQ1d4X1ZvbnU1S3d3SnJXSmtPZEZ1bFZwdldkS3NvMG15c0E0VTdVZFBHY1ItaVB6RTFTUVJrbkxRNVY5SXNSVnRnQXRzWWNwVmxHVUHSAeABQVVfeXFMUFdrQ0N6Q1dIM294S2Zwa241NnRNMmNacW1nN1hvMG12NGJqaC0ycUt6UGhBeFpLWHpUTUk0cHBpcjgtWEotWFctbk9uVWc0SDR5WVVIcVlKVUJNazB5Slh6UGRKV0UtejVSRVNfZmpnYmk5ZkdGSnJMMFZkV2NxdFN4LTVTcllXSFpkdm44LUlNZ3NPZUR4U0U0SHhRWG90MTlDM09jTkZVWVhJTWlKeUFndzNEQXZWZFY0ZnMzX0lPVmp5QjhId3RDNjVfaFFJcjNCSE9SSVJZVkpqX3czY3E?oc=5
ITC.NS,2021-01-09 08:00:00,"Tax dept says Swiggy, Instakart evaded GST - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMixAFBVV95cUxNUXc5RlVERTR0X1RrZFNLRzI4TDBqb1ZKTkpvNDdCc21rOWFKUnM3eDJLdWN1bVhOUDlzOWpxRWY2OEpzNEZ2dHI4UVVFNGFRRTdUdUFmZUZ2ak12SEQzNm1tYzRkOUhXUDJLRWpKSnIyNmltMXB0OFoyUlZ1QkxoRnVrRkk0QUcycWR6SHpjMHctUTgtOGpUSHhDNG1OSElwV3FGMUZHbnlBZTNtQlkxYXBEcG1VNkU4NzVjaVlLV2xTeTRV0gHKAUFVX3lxTFB3YzNQLW5QSTNObl9haEtLRzBiZ21UTWhrWmNMaW1XNkE2UFpaNmstWFpobXduZ3J0NUpPcEREdzFBZllxZDJ1VU5MSk5lS21KUDdSNWhlV0RkaUI2Szd1MWFFVVR3TlU5MlpNZ0k4c0VobWxKelp2R0ZWRXRGQllZZ2dFTGlVWVZHcFNfMzE4czhic3dteHlFYU5tWU4yaWlvNUNROGNMc2pYMFFmbG5YdXQtcndpZU56NGtzenJKMldrRFJtZ0RZcnc?oc=5
ITC.NS,2021-01-09 08:00:00,Tobacco industry to object to several proposals as India steps up anti-smoking efforts - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMimwJBVV95cUxPZE00MFI3cEVLZkllS3BCZkQ4Mkd2RFRweWJockllMUs0ZEN3TzZBSDFwXzMwNDlleWs5elV1dUYtXzlsRUlXalo2ZElFNVVhb1VzZEcyRnpzTG9ZcW9WX1JuY283SkhPYjY2SC1yd3pzdVl3ajJybzVIUl9ib3JfQWlZdll5ZFNaWWFtVUxjSXFsNzFWN2dIa2ZWNldHeUdRZWpWMXJ3dE0zcVVMV3lBSVJqVGVrWGpyaDl4T0xOd1Q4bm9rSWhEWFRhRnVMenpuTklzVm5aeWo4RFZRNXZKNnhiUTVoRnV1ZGhDOERnR3NMTE14eFg1UEoxMHNmR2xBaF9fTHhDZElZOHdEdXdna2dSUFVXNVU4eVc4?oc=5
ITC.NS,2021-01-02 08:00:00,Chennai: 85 people test covid positive at ITC Grand Chola - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMitgFBVV95cUxPb3hYQUJFVGxLc25EX1VWbUJSUERNYmJyUHFqUkJNQWJLa0NfaWpkN25VU1I4eldOQW5TT2tqMF85WVU0VF9iS0hKczlQcUVHckptQWJPV3ltNUE0TmNUTUtnTzJkaW55anUzVXY5SzJ1V2ZmclBrSUxyajctV0VTVUhXWU85QlRyODZFSzh4eU5vbFBGZWc1dkFEOFJhZFJYdWYzcEZ0TmQybUhycW1NYXdiV0pnd9IBvAFBVV95cUxPVzBOV08zMnUxeWVYTDIycEtKdUFVWlBESXc3azc0LTZES3FRT3JzRTJYbUVsWjhyejVxUXlSQmRtekVWMmc3Y29lVFUwX3gtdm10aVY2ckd4SkFPeVJrVG1VU3NEOERrNzVlQm82ekRWVGZxN2pHTXREa0JXcWFQSy1idDc0a01YZFZNSlBodC1UYlpFS0x3aTZVTFJSOWdLNy0zZlo5dTBVQ2MxazR5dy1hcnpQbXdORFAxRQ?oc=5
ITC.NS,2021-01-06 08:00:00,Clearlake Capital And Aurora Capital-Backed Zywave Acquires Insurance Technologies Corporation (ITC) - PR Newswire,PR Newswire,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOdEtPanFSSzZHcS1MQVlLVlVYLWpidHNiNm1TYkpYS1o5MUtIRnpTVmRUaXJiTkFlejNxOUplSmVKUTM1VjlOOGNBZjJWSzdXY3ZGZ2o3X3FjeWpLS04zMGtGMm9yRnEyVVRzYVMtZVFtOTlvVlA1ZE91eHhmYXFpbWpxZ0F2bUc3U2x4UWRsUlN4NHRfanlOcWpJRnV1enRNYjctQXNlOThPcjNRUlZpV2tQaldKRTNMcF9IQzhweU9yUVlwUDlGUHByZUdFUzdEZWo0b2RhaEtTamhvcHU3Y2VZd3hCanI2dEE?oc=5
ITC.NS,2021-01-19 08:00:00,"Heavyweights lift Sensex by 834 pts; Nifty reclaims 14,500; banks, NBFCs surge - livemint.com",livemint.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxObmc3em9LM2s2RS1KdVRSVUJ6Q2RlUEFIbVFGYkJsVVdrNFp6MHFxWWpKQ3NmNXdzTlpWRDVURkM1ZjB3RHhuVFphS0dPVkFJMmZyTjdtS3FXRGl1WDAteXJQaWhfSEp5M0VqTEdpZWw1UTA2Z044UEladjEwWDFZX1ZrVm52bmp6WUl0N21fREdhTFhlb29ZSDJJamFrRFpKa0F5d1dfWjMtcV9kbW90aEZHWW54S1VUWjJqRNIBwgFBVV95cUxPWHdBLXFrLW95ZnZYWUVodTVnWm44blhTSmdrWW5JN3J0b0g3MUVQc3I0YndrVFYxS3Myem1Gd0g3NFdkMEtPSDJmQlYtV3d3SnhOUnR4bTNQYXQ1UEhMNzBPR05qZnJab2tVdzMwYXJYNGlhMlBKNzVjWUtKTWJPc2JhTGprYlJpQ2ctOFFMbC1MaGY5dC1GX0RsdVM3aTJkdlN2a0hjRDNqOEJoZ2Vnamw2c09ja3lrYmRpTVVkc0dhQQ?oc=5
ITC.NS,2021-01-13 08:00:00,"Sensex ends choppy day 25 pts lower; midcaps skid; M&M up 6%, HDFC down 2% - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOaV9hbEluamZ0b1VJenZ1LTZlejJuU3MzOG5LRW8yYXpjQ25VU2ZrWVRualpmOGE0bmRxaW5YeUR5SngxVTZTTTM4dk14aEZkdi1TVmtKV09rREpBWkJhRWI0Qm1UTlpKM1ZBUG9UX1ZtemtGeEZHS01UMnVoS0Fic0F6aEs4RUxlR0NzT3k2eFA4b3BxU1BvS0tkdFRrMXFVYUdIRThacFZ2VDViQW1kRGRKYktCUXNreVhETjBxX0NsRW1lT2x1UDRGcjBaTko5ZVMwcWlyNi1LamdB0gHiAUFVX3lxTE1VR01lWk1ZMG9pZHM2eHZ0NDJJOUdXd1V4a1NjOHpIVHBJRHB4Sm5qZ2ZWLXNzODF0RU5jVC1mNGE4blV0VklTenhaRXI5aXJ4azJzWW50SnZmMU56dm5EZWs0Q2E1dUt6MjhiRHRPZk8tZ3FmRUVhTVV3QnA3aU43bUV1eHNpdDB5ekpQRnotRUwySm9GbGYxam8zSHAzN2s4WDZyNkVDUnM4Zi1YUFRPbXNORm9aUUE3WloyOWhqYzZoNmhRaUJoejVKZlNjVzRrOHF5MFZ5R3VSUFBkT0ZRNnc?oc=5
