Ticker,Date,Title,Source,Link
JKLAKSHMI.NS,2021-01-14 08:00:00,JK Lakshmi Cement improves operational visibility using IoT and AI - Indiatimes,Indiatimes,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPMGxITE1sSjVGcHVvLTN1X0pTaTZPSnlRckYzNV9NMXgtSWhqWW9Hc2pBbnJMU05XRll2TEtwLXV1X3FNWTN6MmZvSElLRnkzb3RNQkV5WlViUVA5N3pvRVFkNzhEX0t2ZGdXemZ5dkxXZDc5ZGpRZndWQWE2dElRMVBJNHAwMVdNZXdRcTZJRW0yMUJIc182WURMS01FYUlfem1MVTlCTXNsaUxRdHJDa05uVzFTSnJ4ZHRTQ3Z1N0RwRWNwM0g5WHdPZkJWb21UdzVzMmpRQmRXZlZsdFHSAeMBQVVfeXFMUEQ2cHpkZl9xMlVGZFlMcUN3VXBFcVE5RHNXdUdPa2VmRkFpSHJuRTM0ejBsTkM3ZUt4amZWal9XcUhFSnJlM1BULXB6TlpQNDBzOVVsMVJ1X055MVlNRUthMUJ2QUNYMndaSzh6ekw0TjNSU05Ub2xvaTNGN2JXdzVHWF9SWjJlbUhhMVUyRnpQODg2eGdpcVg5Z2M3b0dJM3BRcnR2Ukx2QUNkdmJ2enRXSnBuQVVCQkJIOTRXZDNtWXl5TEpEVGxLb1I0Qm9KMThXcEdsanRlZ3JWU0t4QUFRcWM?oc=5
JKLAKSHMI.NS,2021-02-06 08:00:00,JK Cement Q3 net profit rises 74.8% to Rs 217.28 crore - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMiugFBVV95cUxORU9UWU1nbE5DTzRkczYtYXROZTRUY3BLT1RsWnphT2JDNS0wbktLbVZMWEk5RXU3cF9lZjN6MXdYQ0xHSTdZRWN1NGtjX09qcFpjSTZ5bDZXdEpvMEJ1QW9ZaGRpR1NrTmpyOEZqWlFYdkdjVDVacHNXR1AxeVllMjJ2MHhpVWFoSktPZXNBUjVFbFZ5RFdVRm9pZnhudnR5TURvOXgyN0RmY0cyQ1ZTMTdLSzVWZzlPMEHSAb8BQVVfeXFMTlpaOVdMWERoWXVWREtON1RzX29aQmNSTlFacmNlM1Q0RXBRS3FrV1lvYXhaU1NwaFFOS1VramlqSmFkZTkySmdjQklZZXhHMml1cnExNUdOVEw1MExMbEVwZEh5VUpPbWNJUTNVNE11ald6LTgxOTFnTDBZUGY5UjJjMXgwYUNSaDhqbWlLcF96VXRzOGJlMDg3VmdJMXB0NjNfdmo0alprUUN2WXo3MzdqUnMwY3o5REY0dWVzM0U?oc=5
JKLAKSHMI.NS,2021-03-23 07:00:00,Sunrisers Hyderabad unveil big-ticket sponsors for IPL 2021 - MediaNews4U,MediaNews4U,https://news.google.com/rss/articles/CBMikgFBVV95cUxQazl0Zzl1X0dKOWJfdnZyeVg5LXlSamhVNEstUVBRUTViTTI4blFGeW11OU44U2ZHQ0hfZ05hN0VkRzNnQWhaXzFsNklFOVR5dXBsWjBqcTFnR2FSMlVTNXM4OW1ZTi1mTlJoUmFhOFBTRXczZ0taQXE1UVBUU05vRDZzRGVZNHRuemhGLTNwaUNWQQ?oc=5
JKLAKSHMI.NS,2021-04-09 07:00:00,"ACC, Ambuja Cements, JK Lakshmi Cement – invest at these levels to MAXIMISE gains, expert says - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMi0gFBVV95cUxObHB5amQ4emJpOHZCeWhQMUViN1NtekhFQzFYMGMwNmZJVnAycGRzbFV2Mzd0Q043Vl80eUlxb290cmdTeDJOYXFiRkx6QlA2RXpzYk9nY29GMzlEc05QUV9mc0RXM0FYOUYzNjZtX3duQUlQZDh1Y1laa2hNaks2V2JhUmhHRnlmeWQwcFVqLWY2OERENU0zeVNZYlA5SWF0NG9xX3ZGZkZtNmhQbmJLQ2pJWGt5WlZaZnpveTE5bUxGOVk2LTg1aGZpQU9BVkFmVnc?oc=5
JKLAKSHMI.NS,2021-05-21 07:00:00,A Close Look at the Stock of JK Lakshmi Cement - Equitymaster,Equitymaster,https://news.google.com/rss/articles/CBMitwFBVV95cUxQTGtsaXJhWkQzSzJ3UUlmUTZQWVZkR2NfdU05aVlXYnhpSUNlWDJnVWZDSUJzMnBxTXczZldGQnFaZWZwdXExVDYtZzFQSlV2WkdFVjVGS1JFbFZadWpCdlNMMXYtdk5iNExGME13UDVSZzFYeTdra1g2OXJhSkFDRU00bDRBOTNqNl9XSlhmZlc0VWNrMHI3M3dSVHZqWjk3V3pSWVdpTC0tVndpR3FjbzF4Y0xfNTQ?oc=5
JKLAKSHMI.NS,2021-05-21 07:00:00,JK Lakshmi Cement shares rally over 9 pc after Q4 earnings - financialexpress.com,financialexpress.com,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPNU40YnJfZ2tnOElPZUFLMlkxMldyZUhwMmwyRjNJMXkzb2NNRmREUFJ5MFBpdXdvT0ZBTEtwN1lCUzJfaXhCeHAzMl95cG9MUTFpRWg0TXc1M3ZGTmhkSTVaSXc5bXNFVlNiZTY2bnBwU1NZekl0bE5rSU1ic2FYMmZ6by10TGgybVFPQXVGZ05jYWtGTkU1VG1kMGRBSDNTdzMteWZlaXBMcW_SAbIBQVVfeXFMTlUycm1jejBwbFMtb2N0enRfZVl6ZXduR2hkaDRHcEQxQ0ZUUFY1eUJGeEhsUGJfUlhIWV9mVDNPbTZpVE5uUU9lRzhNc1hUU1FLbDc2dm8xbS1BaWg2ZTVlSVpXMmhRWHNwRHNGbEtfZGZKRWxfM3h1YXVzU3FmaW1FendzNFlJRGF1UmtMY3NBM1I2SjB0S3JvSkFqV0tJTHV5azEyU3E5ZXlJTEd6MUJCdw?oc=5
JKLAKSHMI.NS,2021-07-23 07:00:00,"Ambuja Cement profit soars over 2-folds to Rs 1,161 cr in Apr-Jun - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQR3U3c2lycnMwbC1Qa2FyRTVoS09yQ0NXVjdnSnUxZkxrLXJiQ3pZS3c2TzR1VDl0clNwQ1h2dnAzMWNNU1pBX1kyb014Wk8wOEVNY2xOWVh2S0h2Nms4aVVQOTJ4akJSRWxlaXBmNjVHTkRGQ0hJaV8wTDhHQ2hocHJOWG5MUTNncnVVYUZ4LVhIZEVpbkUwU1R5ZktVZTZsb2lPQi03N21oQktSMGVYSk1aNXY3TXZWVUJlT3JZRHBTZ25KaFBHcWFqOW9NNVVrVzUw0gHYAUFVX3lxTE1hU2ZaU2J3Y0tiVWVxemt1bGVQTWQxcXpUeDgtYzJNNFplREFBbHJ5VDVROEVEYkx3YzlrTnptRXQwRlV5d05XSXFXUHAxcmRHeXRlYlllQk4yLWs5M01aU3B0TjQ3Z1B2Vzh0c19iTGZ4YVBhS0xuZU1ha3ZLOUJxZjl5UGZtamdKbjdhcFJtQ1RSODl6Z1JkaGNUMmNyRUg5aEs3ZU1Bd3RyS1hpRTZZRWRlcjJqMzlyMEtMcndLdS1XV21CYXBBTms4TVMzcDBKeDBNbmx3MQ?oc=5
JKLAKSHMI.NS,2021-08-06 07:00:00,"Vinita Singhania, Vice Chairperson and MD, JK Lakshmi Cement - Construction World",Construction World,https://news.google.com/rss/articles/CBMitwFBVV95cUxOVU9KOXI0X0ZYNGxhbmhtSlVvQWZ3c1Z4Q0p4TW9SZFc5WUEzZUVwMV9zbjYzTmRaUlBqSjVIZzE4NGFKRUVCRkk5aW9LU3N1QVVyOWl3U1NvdlVaOEZEdGJQUFAxdFZHT3JIUnFQdXhVQWc3aUFYNEJZZml3aEJwZUh6aDNNdEhzMXZzSlJLNzVTLUI2N3plX0R4SjdBMlducjRpNjBtYVpTeWFZYXBKTVpIOEhnQUk?oc=5
JKLAKSHMI.NS,2021-08-02 07:00:00,Ambuja Cements to invest Rs 310 crore to expand Ropar unit in Punjab - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOc1J6eFVRdGJYT0ZlemFkX19ROFVtU1dUdWFZc0Nza3BUNThxeVVPSXRpTFRzOGYyV3pXSUFsQWh1ZlJsSy0tNnVienFodkdreTdmTlgyTXFFWmUydUUwWmxCalY2UXJpdWZzeURSdUU1TVAxLWszb2JzNV9sUHlwTHJIY2RjZDNMVTVsZkFPdGo4bjdiZnJfbDVWbjB5LXhoeUVUTWMxM0poNF9vLXJCek5NTWhoVmJmdmJJMWtfLURlN2p3aWtpUWljZnVhMTlGUVJPUUJ5Z9IB3AFBVV95cUxOY2ZWMl9ia0Z0RTJ4TzdsX3J3UnI1Z19CV25DcXBsOXJiLU5FMEdlV01Ua3pmN0h4UF9PUWVERVhwTE1EWTZDRWZVYWpLdXNJM1FCNGFnZjE4VHFhVTVyMGdlb1dnMmpUUkIydUFPcC1nY1dSVHBfVkUwMlZDTnFnSXVZYUxuTVlqbkZGa0NZZWVscmI5QVQ5c2Q1MElpVURMcnlBNEEwZVpGRy0wRmQ4cFFtSWRINExET2hPYXprMkwyVUlXS0VySm9FN1VHaEltWVUzdTYzLTVHamtr?oc=5
JKLAKSHMI.NS,2021-12-23 08:00:00,This Cement Stock Spurts After Radhakishan Damani Buys More Stake - Equitymaster,Equitymaster,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQeE5QLUZteEhqTFZabkdldGtqXzh1WXQwbWk1V2F2NzhscHRUSDNRR3VPYjRCRUpVN1VOR3Zzd29nS3lidzRTOGFNV2lMUGctbGNPVjFJRTRGOGtnMU1aQ0ZVRElhTnFOSWNIR0hONkxtTG9TaDJkMlpMRFgwSVo5Vm93NU9iUGxzU3RLWU9IVmt0clBpeXJON0lPdFdlMGlLZk9TUkRlWUlweklyUEFDTFl5aXNPOXhrZmxKMjdTVU1yM0hYMTd2Sk9iaEZNYzN2?oc=5
