Ticker,Date,Title,Source,Link
JKPAPER.NS,2021-01-28 08:00:00,JK Paper share price falls 3% after Q3 PAT dips 51% - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMisgFBVV95cUxPNk5XWHpPV0hLb0UySFNDa3c4eTFhWktseWJqN0xTOUhDSlJlQ3RTU2tweVJpenMtWU50SDd1cWlGWXlTZUpYd0pGc2FJNzV1bXNyYld4RjVXZDFCYXNVbVlyTEI5OFdxTE1OMHp0VjJUWEs1c0p5WHIxMW0zWXZQWlZmUmtPMm1lQ2I5SFFtQnZxdUNjbnFLal9qSXZhN2theUxmajc0T19kc1k1eW1mQ25B0gG3AUFVX3lxTFBIQkpIejNsakZQSUNPZmczQm16UF9fcHoyWGYxdXNRZmZsZmd6dkVOcmQ2SmxaSnlOeHpOR09jVm9YYnJNVHlmQ3EzVHlVMXdVak9EV2d1ZERGbEFPaW1mMWdodkZJNlFVVXRPNzVfZkhmd0RHOGdkZU10SkQ4RTdDSnMyb3hqWGZYYWYwLVZXRjBGQl81NnpJbEcwQjBBMnBNcldabDBSMTBFdkxYY0htSzZZTWpSbw?oc=5
JKPAPER.NS,2021-01-28 08:00:00,JK Paper share price falls 3% after Q3 PAT dips 51% - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMisgFBVV95cUxPNk5XWHpPV0hLb0UySFNDa3c4eTFhWktseWJqN0xTOUhDSlJlQ3RTU2tweVJpenMtWU50SDd1cWlGWXlTZUpYd0pGc2FJNzV1bXNyYld4RjVXZDFCYXNVbVlyTEI5OFdxTE1OMHp0VjJUWEs1c0p5WHIxMW0zWXZQWlZmUmtPMm1lQ2I5SFFtQnZxdUNjbnFLal9qSXZhN2theUxmajc0T19kc1k1eW1mQ25B0gG3AUFVX3lxTFBIQkpIejNsakZQSUNPZmczQm16UF9fcHoyWGYxdXNRZmZsZmd6dkVOcmQ2SmxaSnlOeHpOR09jVm9YYnJNVHlmQ3EzVHlVMXdVak9EV2d1ZERGbEFPaW1mMWdodkZJNlFVVXRPNzVfZkhmd0RHOGdkZU10SkQ4RTdDSnMyb3hqWGZYYWYwLVZXRjBGQl81NnpJbEcwQjBBMnBNcldabDBSMTBFdkxYY0htSzZZTWpSbw?oc=5
JKPAPER.NS,2021-02-19 08:00:00,"In chat with Anil Singhvi, Mansi Dave says JK Paper, West Coast Paper, TN Newsprint and Star Paper to benefit in major way - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMi-gFBVV95cUxNTTRkS1IwNEFhb2c4cEtvUlJNd0xhMlQ1bHJtWTJIR2ZnR18xRzc0aWpBTDhNczlpS0NTVzdTcWlLWnJDbWZuelNzb2xYaWVhZTUydEJwMXBRLW1ZT2FFeGE4M0h6b0JpOW9ZSXc0V3hkWFBsX0l3dHF6NUxJeTB6Zm9MMXp5Q2NqMzFGWTVyWWtFenJ4aVVaSzFUVXdaWjduNUxOSHFQY0M1SlNOWVlnY1VLRFo2QnVZSnluOGhYemQtV0o1T3hFbUVxMTg1WkhjVVRuUjBIajdNbXhoQUt3cGlUT0luWkRNSElZQWVxLWp1Z3EycnlWY2JB?oc=5
JKPAPER.NS,2021-04-16 07:00:00,Tension in JK Paper Mill as locals protest fencing - KalingaTV,KalingaTV,https://news.google.com/rss/articles/CBMihwFBVV95cUxPanM5aFR1TVZNcHZLZ1pUb1REZk5iNGszbjVCTlhQRUJ6R2ctQVhnR3JORllxZzBWNUhWWmVocWxtR0VycE0xRk5NQjJfZ1hDMGJwS19Rd21LcjdJakNSOUE2NTFtLU9rV2l4NnFMZmNSTFNRUTJhTGxyajVPUnRBVlVKeDN6Q2M?oc=5
JKPAPER.NS,2021-06-28 07:00:00,"Power Mech bags Rs 9,294 crore contract from Central Coalfields - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQdjQwdEs3QktwNFlWenJLaVVERkdMdXlwU1BQSDVTdzBIWkFJZDBRbm1uUUVFUGI1bmtHTGFhVVBxNnpTdzBWeGJET0RqUEhzWVE2MmtGMmJfY1VHbEp1ZnRGVWtGX2lMeTlmUVBST1V6UkNYMTl5RUJKQWZIX2xQMHkzaHhGNnRCVXZnM0dKU25TS3FMRi1kejVfMmtnX1Z3TElnX0RvMzY3dWh0YWZLNnZmcEdMRDFLSi1nLUVoUFk3WVY1d1h6MlF4OVAxdUdx0gHWAUFVX3lxTFBJYkdwX1VhZjkzZXRCZXcyYmJXdVpTMkE4RVVYTU0wbDJxSDNfSzlSVU5jVC1RMmR6UTNVUkFpZ2FBcnZQWmpSRGQ4dFIwbkM2VERvaFBiZTVCWFRHeHg2Wi1GcEU0NWlmbE9feFA4RDFFUDhMSUFiVUlQXzRQNGtjSmd0X3lxTTVhNjI4NlRlcEgwc3ljTjFtaHZlSTdLcHNPN2paWEoxbUFDWFdvNlY3anhpd19TS2FkU1M4eVlSUWZTdjlOTjI3VWZkamdtUjZIYzNVc0E?oc=5
JKPAPER.NS,2021-08-25 07:00:00,Sebi slaps Rs 6 lakh fine on Capital First for disclosure lapses - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxQWjg1VFV3b1hrbFBHOURJLThDdmlmUFRybi1RR3oySm9jeGVWMDJmc1BiVzg4YTJaZ0ZiLVM3d1B5UEpQcUdJS1RDREItNXpjMnhGOTRwcGhpYVlyN1VXaW9DbTBRTm5GTk9jZHZ3U21aN21kNlRlZUViczFXblpTc292WmxoYmcwcVp2ZUJDUVhlVnhRZVFpNkE3ZWNPWHNHRV9sa3BqMW5oWmVHN3Nia0FXQWUyUUdTeDZRY2NiMDQ1bC05dkJpZFhNbk0xckHSAdQBQVVfeXFMTmJEa25sQzlNdU1ZTXItazZjVHBzdnZBNTFGcGNMRjB0X1pOcWhyWmlna3JUaFpzRmdFMDBRQzV6Yi1KZ1cySEF1X3Q0ZkZxUEU3SG1FLXpWT0FKOWdpNHhyY0oyZkFkVGxoWmlPWDBWZEZFZDROX2Jwa2RHc21PS1lkeUtFZ014bWd1di0xREVhd2JGbllJakl4QkNacVBWWmpaSzRJdWlrZi15UFQ5RzNSR3VUQnhlY2wyblNoNG5tMzFLWG0wRTI4MXpHZFRUQ2tNeXM?oc=5
JKPAPER.NS,2021-09-10 07:00:00,"JK Paper adds 1,70,000 TPA in Gujarat factory - PrintWeekIndia",PrintWeekIndia,https://news.google.com/rss/articles/CBMihgFBVV95cUxPMmIxbW5TeFVFYVJBY2p1OXhWeS1rdnpveXlCR2Z0UGszbWdpTEJocVlpNk05MnktZjg1UTRqVjZUMERMd3VMeUhKUVgtVmVtZm5ZakVtUUpzajVvanJtaVNndkYzQlFLeUVWNXNmSUpMSlVPQVNSa3pGUmZ3dDlrdW5sbDg3Z9IBjgFBVV95cUxQOEhHNFhPMVB1ZFE3d1JXUVRrR1lPMktGbzR2bm1HUnNqbVYxQ20xTEhlSG5BMDlhUzNWeDRxbHJPUFppRC1FN3UzNXZCN2xZQmNWbmpaOU1PYUdwWG1fbzZYMzhiYkFHdXk1ZHZKZFVVSlpRMFlUQmhadWc1S1paSEl1NDBIdmdFR0d0WDNn?oc=5
JKPAPER.NS,2021-09-03 07:00:00,JKPM’s VINAY DWIVEDI RECEIVES NATIONAL AWARD FOR EXCELLENCE | - odishabarta.com,odishabarta.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPWXJIbGNjVkI4enRCVVdWNW02X001aVQ0azhNcmNFOWlpSFBkV0s2VTNvb2JNUUliaDdDZ0ZQWklEdWgyTEtySWpUWjduRXpPajV1RDFIMkZmTUdIdEF1cTlkVHh0djdkVHU3TVV2d1hMcjJhZmN2THBuZDV6X25pc3ZteXRwdW93YzNR?oc=5
JKPAPER.NS,2021-09-27 07:00:00,CavinKare CMD CK Ranganathan appointed new AIMA president - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQQldRUWRncjhMWlN2aFpGY3FETFE5dm1CY3cwQUZFUUltcDlDcS1heDdNUFJGcVNSaXZwVlJFdXQ4U3pkSDFUTVlCY2p4UnB1cFI5NE5oVnZxa05fd0ZsZTVUTWFNTXRxX2w5Tlo4ZGp4TVdTekh1dGt4SnAyZG9iZGJfblVaVmJJU1FRSXh3Rm9VSkN4UHBzalBIcFpZNkVKUGQwZFNuYVhHaF95ZjdiS19fcEZ1Ump50gG-AUFVX3lxTE9fMmo4bnFXZzdtdnYySHVWbDItUVRsY1BEV3puWDcwNV8yQ2dZYksxNV9vQkJNUy15cTI1NDdZSy1PMFYxdXRqRjhWT3JEaWhIeFNSQk5KTEpfX2dxbGI1bzFPbkJuclAwNVdONnBJSHVLbjBMc2xkZmJHblBMamxKUmtDVEV5dVB6a3h1LVRPd1ZmalU4dUpJZ2dDUlFIZUNLQ2NjMHl0RGd0OWNMZy1IQ1VlUVpfNE5zb2piT1E?oc=5
JKPAPER.NS,2021-12-01 08:00:00,Raymond's board approves JK Files & Engineering's Rs 800-crore IPO - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxQc05TRHROVng5T3VFOEE5T21HRTYtVVhnd1Y0Z2RoWjFpTC1hU0hWZE1VZTdiX3h0SXJpNnNrTlZ1b25vTm5vXzI2WkVtXzEzZXBqN0NOR1BIVFg5X1hkQV96OEJpTFRIWG1ra1hUMG1YRUIzZ2FNUy1ROE16NU91cG85enVVeGcyd1dUNE95VFdadUp3TDRhTTVxN2VGc2EwVkFrNmZhdDBaTVUzaHBSdWtDSVNBTG54NWF4YjBINF8xXzlBTE03VkxyMVVBd9IB0wFBVV95cUxPT2FEX3pGOWxhUUg2TjNjYzR4dlp6aXBXNVBzSWhQdWdRYXZmWEFKY2lCS0tXdnp2MWlSSktobzZJbWFwVUs2SFI0MDVXR3FBSUZtc0pZcDV6QmVTd0s2N1BVTWNzUzdkN25TTzZ3S3Z3cjhaRTR5V0JCaUlQTEdSLU5OTTJmUDdid042dXhldWl0aDFKbXE0dzc2WHhZYXVSclBaZnZjRjdYUDhtRkRtNndydE44d2UtWmY5S1NfamxjS3BPM2JUZFl5SElwbHZWN2p3?oc=5
