Ticker,Date,Title,Source,Link
JSWENERGY.NS,2021-02-02 08:00:00,JSW Energy pulls out of Ind-Bharat acquisition - livemint.com,livemint.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOZEhpUW0yTFVpRnkwMEg4RGdMd3lsaDZ0cC00cFRLa0xJMXczNi13bkp5NjZMWl9ZLTdTTERydVQwWFFxbDNDUC1fRDUtQUc0amRGNmQxRUI3blVVTXZGRlIyZ2JHcU5GaHVKeE9jNzcxdmhyVHdtVWVMTjNGRy05VEJQZWxORlRFOEdmaWI1ZHFQeExHTzZpdGJPM0EzYlVRSUtDQ1hlWkNGd9IBrwFBVV95cUxPVVluWmRpa0FGUEhrLXNvYm1WaXFIa29oRUxLTjlObFlpQ1hoZlhtWEhLREpyNklvSDN2d3NyTU1qNGRvekl2Wmx0VUYyd1ozUnRyc0w5bjhYNVI2WFUwLTJ2MThWYU5xNEhKUDI0UmJRUDdiQzR4OXg1VkdKOTBmNTBsbUdnZE96RU12S1lGNGhaOUhneFhFS1JPU3lxNnRTOU9lZUQ4aHl0aWtpbDVN?oc=5
JSWENERGY.NS,2021-02-12 08:00:00,"Top buy and sell ideas by Mitessh Thakkar, Rahul Mohindar for short term - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNRy1hR0FVMFV2ajVqWXYwU01ZMUxDZGtOLS1oZjVLZ1FSUnVxeWJTSXpJUFVVNFprSnNpdHFrbG8xYTd3QWFONHRpMGxCaEdKb3NGdmUyRnljYTVRb2JFdHJjMlBvQVVqaG9hd2ltenpGZlh5M2lRT3lWbDk0T0Q5UDZDdDVkSUNjRkxZbml0WHB5RmxKTlA3YkpkWEltajNKTTFaLS1teU55TjkxN3EzcTZzTTYzNGFDS2hQZWxualVPOVlCZkpkS0k5ZjlpcnFXX2fSAdcBQVVfeXFMT0RvOUFXQnRlMkxpTm9rRDlGQVo4Z2lPYU1TWldBLTFQRTBCRWI5VFF2SXM1RHFpSVBXeFNwcGFNTFVVOHZPNzNvdHM3eXNwVHB0MEZ1VmNaZERpQ3oxMURBMlBXU3VwbXZBZWdiTUJabmtiTnFqMGZadjBuRWFwWEpBb2otbjFGMVdsYTNfRVBWY0F0Njc5THdIVFd4Q2oxVE1yY0Y2TmRYTmwxT3ZoaVRwcWZzVy1acDlUUkdiM3kycXB2Rmd6TjdveEtvME1PVzVSSkgwTHM?oc=5
JSWENERGY.NS,2021-02-09 08:00:00,State-owned GAIL acquires IEX's 5% stake in Indian Gas Exchange - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizwFBVV95cUxQdUJmZlRwTks2cElIZmp1S1VtZGxXRWFkNWxuclJvQVdKQmU1eURlMURJcFNORWFQZmM1c1VGdXg5T1VYSDRLWldSUlNVN0thREdncGtzTTQ4T3BnT1ZmUXRWZnlJRkF0V0VwdEx1TWo2M0kzQzBkUWZxTWpJa0JEU0hqdmlVdjh1bUFXdmQ0dmw0TWxiLXd1eF9rMHBOTXhQS0FBRWMtSFJQc1dsT2JPTE1KclFualBkSmtHVUhSYVpmcFVTZlg4QVltV1JXdm_SAdQBQVVfeXFMTWJrcXJRNUZGTkpacDg4dGhUd3ZGVDV6dTNZLThSM28yM3lFMkVVbVlvZERZYVZQTUtvWTJaY2hKNlRodkptRFAzLW5GOHd2c0cxX3VvZWkyT2tMczQ5bUwwR1JhN1VIM01lYnp2a2owMmRKR2IxNEZ3Nk90ZW53ZGZyODEwbW5RNXJFazhVbElVYU43b1FzMl94VnNYMFY2NHpxQU5pMWFBajFqYUVCSmRBVlNROGNmNGxnSy1QNVhEY2hNeHh0MzRvQ1k3RWlIb0k2ZV8?oc=5
JSWENERGY.NS,2021-03-22 07:00:00,JSW Energy share price rises 2% on order from Solar Energy Corp - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOYkxEVjhKRFZrUXhYSWFIcVJnNGw5cUVYYUEwSWctUzBtYklWMGxldXlMYUQ3bjkyR3pwcHBRYkdvTC1BM29Nd1VldmpNekFFWmdQaGUybVlYTWp5UDlVMU9hTE5aNnRGM1JMdWdPU2REeVdEVHNIUWZvQkZMRGxUS0ZsSlZsaHltenY5OWVoTUVBeWtIelVPaVZqWjV4aERkM0FwR0pGWWJVMTN6VkJFX21yblNILWdMRVY1SGRYSmxaQzjSAcgBQVVfeXFMTl9jVXRodE5aTTdWRjFKeVBTbnQyaXY2NlVBTGY5bkFPcmpSMGRFZzVrdHVuOS1qbFhRdjU0YU4zZjRGS3BfeGJ1SzRSUVh6Y3UxZERINzZvbUpYMnV3bEFyU084TzR4VWVXLUU5VHBaaTNKdmliSEFNcXJTU3FoYlJtRm9uRG1WclRPZTVPbDFqMVBhWXRBQVNpc0FjZC02QlN6a1BRMFRvLTBhMWJ5TGpvWUFxNTd6bGdtS05TZW15YWp2bVlpQ2s?oc=5
JSWENERGY.NS,2021-03-09 08:00:00,JSW Energy inks pact for sale of 18 MW thermal plant to JSW Cement - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPckJwZ01PbjJ4NDJlUDRmeHBPSEdMQ1JPSHJ4dnRxVzA1bFgtYTA3OEhGR3ZGRUh0Q1o1dFVkcExzYlptOHQyQUpWQ1RvNTctUnpvQTI5REQ5ck1CeWx4WlJ4NzMyRkUtRGx2cWRINEJZZHVSdE4xQjlFZ1dROTFfc1pmLVJyWlYyMzRtSDN5R3M3V2JxVS0tSzh6Z2hnUTZEZElQTVRiRjZYbEVmVHhxZmFwTk5YeEFzTUFYZTgtbF9EMkF0RzE2V19rblF6X3dBQ0tEV9IB2gFBVV95cUxObWhoX2xoYkpoOTVmaGR0ZllRUmdiLTk3UXhUSFFuQmg4cFIzZXpkeHVVMkpfdkNZaVdIMEpyM1dONC1MY291WnFrQmgwRlNrQ2tMMUIyam5LYUpHbXhhVmhNUjhUdHpyZ0RBWHAxZFFKQ3BqVzdIaFYwZ1NoZDZ0dHdLQ0NQLU05NGlaYm9JT3NFeEtESHNLX0dLWTJoYjJZdk5nbEZ2VU5tQlNSWWVRNmFtU2dRSERMUzgxcnlrT0FNa0VfdFVjb2lZN25Ybmw3ckUzRWhPa2dIdw?oc=5
JSWENERGY.NS,2021-03-30 07:00:00,"Bulls ride on IT, metal stocks to drive Sensex 1,128 pts higher at 50,136 - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOYjZ6QkxHSEoxUy1xTHZ1QnNhUDVyLXR1Z0xTTWcwMGJMR0xVdUlodnkyejIzeXBsUDhJN242ai1sbDNTdFI5RER1WnF4TnJlb1V5QXUxVndXNEJDRk5BRVhEdG1EQVdPTFdRVDQ4bFFSREphQTJFdllEUENyRW1wUGxwVTYwYkU0STJ4Ry1IeHczaGJSekNPOFRlWWR4WTlHN2lIeFdyWk9BNTlmOThzQ1BtVG5tWEw4VGZySEJUakE2VWZWZ2xQWjRpQTdCRGdPVG5JSWpWRdIB3AFBVV95cUxPdnFlZnp2QjZ1dEM5VzlxVDRZRjFMbGFvUllrbDRzOUNBSWRVSHlvd1dIMmxxZHpBRmdmdi15Q2tzQUdqZU12M3hYZ2Z6LUFBdnc0UDJQZ1ZwZGpPc2h5VHZsRnVyODY3Y2Nza1NJeWxORWt2TFdMNEZmN2lxT3VzUlc5ZlRjR2lFeFh6cFEzb1pSVTJydFloa3UxeVdJU0kwYXJSaVp1WFh6UzdjMm9IcFFYcXRZYTdKMENJdS1GbWV6ek5oa29iWmRBY2RLVHlvSU5NU1p2bktsb0dF?oc=5
JSWENERGY.NS,2021-04-30 07:00:00,JSW Energy uprates its Karcham Wangtoo hydro power plant to 1091 MW - The Economic Times,The Economic Times,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQQ1VtMUtVV2JQVXB2aDRRX09DY2pLZHFKVmw3dGE3Ukp2WE1KMnFYd3pEWkNyVWMzb1RHRDcwb3oxRVlFNVRETkhhLTNOMjlfa3JxNXY5NXdNYzg4NDlHTjRld2ZWeTk2X19ZZzg2QW50TXZuU0pfLVJOamZqV05qM1pkSk5LYy1OTmtpWGt1Y3JWc1NiZkJ1SmNyZUNRa1VyY09SZzdULUIxVXh4MXoyQVRqYU9GWXFpZ3VTM0dhcWVOelVXVVFHVlc2RDFEMWgyTlNBaGMzOU5JQdIB3wFBVV95cUxPRzd1TDg3OEw3R0x5SGRSZGJNZTNDZl9ObG1Zd25ENkJ4MXVtRDJueV9SYW9IWDRaMlVBQW1ncmRBNVpXS2tRUkZEQmhESDBlQXRtN2RVOFZubUtISG5aOEEyUUlJVy1xYWRGOWN2MzR4TmhicE5iclEyUXhmVUNaZHZDelptekxHcGFxU3JfZEZoZHhENExFNlU1T1dEWkY1Y0NKTmJaVTE5WjJOREd6dVRHYjJkR3o2MnZmNmFBaFgzdG9VR3ZPT0ZmX0pYNFBkbGI1VjhMMGtfSFRxdUVF?oc=5
JSWENERGY.NS,2021-04-30 07:00:00,"CEA allows uprating of JSW Energy’s Karcham Wangtoo hydro power plant to 1,091 MW - PSU Watch",PSU Watch,https://news.google.com/rss/articles/CBMitAFBVV95cUxPcjBXTVdudHBwZHRkVEktcVotTGxnUEs0Y1pPb28yM0gxSHRLd0JvSzRoZzRtclUzUloxYUZOZTRpNmZmblFzem1GeUFuREJCalpiUkI0UGF1Y2p5aW5URTZQUGJic2w1RjdVMTV3YjZDQWpIXy0weV9RaUY1bERpMG4zblNVYzBZZ3FDRkFrMGR6ZVctQVZCazZYdFNEZFNLbGFweXBvNFpvd1oydUVqak9rOTTSAcIBQVVfeXFMT29na0hSMnQ3dmZzckU2OExpcURmampZMjJUX2s4MTJZeThIcFlLM3duVUp4SXJaUG5iY0NFUENTVlZaa3lLMzdhU2ZqbjF6MFZKVGpCLUJUTk9sd01CWVdHRUNrUkxwbGMwNzNuOTJnT1JXMEZMbXRnalJfQ0hrc01QOTBnUjhZanVJUU5lSFJjMWxDUDJwZWt6VDhWenF0UERTWXhJYzBFMUxUUTIwYzZGSS1tQ1RsSzQwb0N6TDdaWmc?oc=5
JSWENERGY.NS,2021-06-24 07:00:00,"These 6 midcap stocks gain over 50 percent in less than 3 months, do you own any? - Moneycontrol",Moneycontrol,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNdUZIUGhicS1VZHdhWl83eGgwRERFR19DLUcwaFRqajVZWjROODhaS3FrRkJRTFRUUkk0Y25HNG9oLWRyWGJId29ZSHMtVC12X0VINjlsd1VzUXFkQnFNazNaSng4WlJhUWpvc1VhWXQwNUpFT3JsNVMxVzEtV1hvNVNLQnZNYWdWYXRXanpyV1hKYmhkenJuQTBzM2VKdjN3LXExM1NTNklDZGRoU3lwVjBkY0Rxd2lnRlY2WmdRbDFUd3Q0M0JIRndpYTZyUmZBMFI2c1ljcWw2WXh4THAtS1lzY9IB6AFBVV95cUxQWmJVN0o2eVNibk1hTjROUkUzNXpkQ1A0bm1oaE0ya0laOE9mdXBHcUgtQlZQT1dLYWFyMGljQWJ4NjlPdDRjU3BQRFFnN3pyam9RWXZlNXFfWkRyOUtNWmg1dUVDU09SeC14QS10N01NbTFyYmJZcWUxWERNZHN4ekkwRDlhLURMc0Jvb08zSF9xQTVBdnl6RnZOdnNod0w5NUNoYzMzTDlHNmp0RUFrNDlaNkNyX29LVzBRS0hEU0tGZ2dIckFsbWJFVE5VSmVoNGtJVjV4MllKWXM1ZV9qUGcwQy1XNm5u?oc=5
JSWENERGY.NS,2021-06-15 07:00:00,GE Power India bags 3 orders worth Rs 125 Cr - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQeDFmRXY1VXk4R1lfdy12VVFYSXBqeDhpdE54c1hrTmtFVlB3d19wMU0wNE8tU0tqb2F5VmF4bkkwX1pMR0NaTC1fUmIxaHV3Z3A1YldOZDN4aGIxMWlLSFF6ZkZQaU53TkZmbzdmVmpicGEtWkFtdVhMWEZZaDdpblllWGQ2aWJnbzdvYTdkSUZwaktuZUp1MkxjQVRwUDdYLXpOVlJfTG3SAa4BQVVfeXFMTVZ2b3prbTRTVnNza2R6NkMtTm5XbFJZWkNsMDNodEJUZUZaQ3NaT1JSUmtZdHNsc3NfY1BUVGhFWVhaSkhjT1VCSFBLLTFzUGM4c0Jpb1VuRTFCdndZNENzc2VCbG54UnRmbHg1T2RsMEJBVmt3YWxiZk9iNGloYmxKMFpuS0dzV1plU3RDY1BPLS1RblozUGtCQ0NYS2pQZUpJLWV1cTROTFhXbzdB?oc=5
