Ticker,Date,Title,Source,Link
NYKAA.NS,2021-01-12 08:00:00,Nykaa hopes for US$3 billion valuation as it prepares for IPO - Global Cosmetics News,Global Cosmetics News,https://news.google.com/rss/articles/CBMingFBVV95cUxNQmpja0pkMUJXS2xrenJocU1XRHViWDlrZHF5aFpWOUc1S2VNTG1JWUZDZTAwNk8xUUlpWnpxLVd4US1Zd3ZFaWtGam5vdGpNRDF3dmp3V0s2eElMNldtRHJFcVlxZkJuSXhzVzRIMGVHellabi10YUpVRFRIYmNfMGRqOGtjSG1zNlEzak9iOGROcGlMUmZ0SUhsMm1wZw?oc=5
NYKAA.NS,2021-01-07 08:00:00,Nykaa plans to go public at $3 billion valuation | Business News - Hindustan Times,Hindustan Times,https://news.google.com/rss/articles/CBMixAFBVV95cUxNVlBFN1dvdV83MEFiV250bkJHRXZrZ29KR1JwRmVoMkVuYjJDd2hvamVFd0pSZnA5S3dlVWZ4V19hQXZnQ19mYllabE9WeEVaMmFPcUVjSl9BbDNocDFVS2p5czBKdXJvWVJvUHcxMmRxZTNGclNSRXlMdDlGVWc3aUhrMW44eG9fc2JGNTh4TE5MbUFUS1YzdHlhZTAxd3pPM0w1M0lTaHFINHhLbDI5eElUTVIzSWtPYmFEMUsxSVpib0h40gHKAUFVX3lxTE5SMzlQMFNhTUx5OGpWOHhvU002cFU3NF93WF8yTjhGd2FkaF9UbG9LNjllX2FQcEotekE0SllqdkdEa1lZN3g1SnVadEVWeGJRUmNHc19va3BkUWZlNkJMUlFEdzdhT3k1Q09rYWpJY3Y1WE1xTU9mT1ZtNjlkLWVYcHdjVU1ET3NBRThFWTNFOUNfNEo3dE5QSi1GZzMzRlhiS1JOOWpXTnVhZ3FFdWNpbWxXVFlFQXJtRHlhRGdkSkd3a1lTOE8wc2c?oc=5
NYKAA.NS,2021-01-05 08:00:00,Beauty startup Nykaa plans IPO at $3 billion value in 2021: Report - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMivAFBVV95cUxQSlV2LWtCZDMySFZJNGtzMWlwWEFqMy1iYW5kVW5YcHIwUHhNcjd6XzUzbkFoVUw2aXhUdGxKc3lzTktrMEktTndIVUc1MnIycEdISTBGN1I1NE9oRVpSaUVwTHBMRklxYlh4dHNDekFHX3BWSWh5cDRHeDJHRjdpZngyeE9aNmFFMHhNWDNHckd6R0phSW82TWl1Yms3UWQ4YUd1eTJTTXRTajVUYTNwejRGQ3dHSFJRb0hReNIBwgFBVV95cUxOdjJ6OC11TWJFV0RNVHVYWDVZNjhQcml4aGQxVzdLaFNScFNXU01Qd1ZyVUYtdFpDM3BfaHdTaHJMcGttamhqandua1Bwbm9lcWVPc0xHUTU3UkhNelVINGtHMG4xZWpjN3QwWEJQNTlyQTM3dGNJbHBZbjVvOGJvU1pmajY4YnJCWTJhQ3d4NHZDR2VfLW1qbDZUZkNQbWpicnNMbldlZDJaeENjbWJGcGxZN1ZpOFAtMkpJaW5idy13UQ?oc=5
NYKAA.NS,2021-01-22 08:00:00,"With talk of an IPO in the air, Falguni Nayar shares her Nykaa journey - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPeFdwSG80UUE1VTB5RjBkU3ZyV3d3ekpwR200MDgxdktLemltWGRZZkJQT2dqakgyMjdwVW5zNDBhY2x6ZC13R2I1eU1IeVhKcmxGY3NNR0h5VndkQWtUeHNJd3BibmY5T0JjMFc3TXFlVk1fR0hyTGNrdTRtcnlZdWNEd216MVFtajU0bG9TVFFkWUNVYXJRY1VORHptczhpT2oyY3hTdHg3bkxEMVVhTVltUXZ0aDFTalYwaGlhODdEaFZUMWhpQ3IwdXJFLTBmN0ZNMXZTU2HSAd4BQVVfeXFMT3JtUFR3VmhSaURiLVVwM1VTVW5wamNKU0I2Y3BhdGdpSy1IcUJPdUl2aXpqSnkwbWxUWW5vYzlLZi04OTVva3RVcDVyMVFIUUsxa2RZUlV3WWtJNC1SNjB5TWREVzAwVTNzTkRSN0ZoNm9DcHJzNmZUQTFMdTlmek1icFNsS1NkVTZlTTJMemNaNDhfVmlGSlZCcFM3QUR3N0lnSlJia1Q3aVhCcTBnWDlxa3Rfb0Q3NExmU3Fpd0xMbml3LWVEQ2lxTklwS3B3cklFSi04TWZLZ2s1UUJ3?oc=5
NYKAA.NS,2021-01-06 08:00:00,"Nykaa IPO: Now, Online Beauty Venture Aims To Enter IPO Fray At $3 billion Valuation - ABP Live English",ABP Live English,https://news.google.com/rss/articles/CBMivwFBVV95cUxNOWZEWm1WV2N3eVdfVU5LcmdFZVBNMF90RlBOaldTTU11amxtU3BUWXpwUktKMXMyUVhKNUoyekpYRy1ZUXl3UFRLRERYRXQ3YkhBMzF0S3ktX0tiLXpnZjNmY2VydzY5QWN5YnV1aGp4V09ERUgyLTkyYWNSWFhJeC1LdXdkMXZiQUFhWVk5R1had19YN0xYRHgxel8yU2FIRU8wWG9vd0RIcDZCdUVCUlJVQUJJeGVzUlJwOW1GSdIBxAFBVV95cUxPR1dla29Ybkx6dkFXam9BcTRhc29Wd01BQ2FSRk1ORG81ZV9vUnEzMXpvMjV2dTFESU4tcjlLamlDeXlLMlNoV3FiclRROTNHMzQzWTREOExMYjYtMzB3bk04RFFOc1RUNF95QXV6MTFtdVY2VVBOUjdjMUtad3duUmJYOGJUTHJGQmFSSEhYeXVBYnRoa192LTV4QmM0eUlDeGlFYzJnV09RemlsbFdTVXZ1dGc2M0ZxQ1otamE0eWJ5M2NN?oc=5
NYKAA.NS,2021-01-12 08:00:00,Nykaa Launches Beauty Brand e.l.f. Cosmetics in India - Indian Retailer,Indian Retailer,https://news.google.com/rss/articles/CBMimwFBVV95cUxQaHZWMUlwYkFmcWJJWmNyTGViYXNsZWpRR3o1VFo2c2tEWEVEckpyOUx6UGlwMGV5bGljYjNQVndQaFNtQ2YwWm0zdjF0Q2xOdkpDRFFVWUIzeWRxMTloa1BoblgwX1Znb204bENKdDduNFMzamRvNGRGTHhDM1VBa0lPWURpR0JvMzcxUW1jVkU5b29EUS1WOVZBSQ?oc=5
NYKAA.NS,2020-12-29 08:00:00,Nykaa Strengthens Footprint in Kerala; Opens New On-Trend Store - Indian Retailer,Indian Retailer,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRE1CcUxualNTWUFwU0FKZzVIWmZoRFEwV1FRdEFJck1WWWhyYnVudUpYUmkteUdvSjFrTkl4ZlBlVGlXYV80OGt3QnRzN3ZjWHY2YzgzMkpEUDFYaklpZmVDb3VCV1BpaDRGa2hVOE1tZjVqU2dDMUdUS3BISVNtWVY2R1lwQm9Lcm5IaEFJcmdaN0NaQlJINTUtSlgxR3JpNzdiNWEtT0Y?oc=5
NYKAA.NS,2021-01-06 08:00:00,"Cosmetics startup Nykaa plans IPO, eyes $3 billion in valuation: Report - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPems0MEZjWno0SWJLdGhlRWpweGw1UHR2WThWVFJ2by1ROVNxOHpOV04zYm5nTmtqU2JWVDZ6NVRpVklNZEFXVXQ3S3ZKZUowWndwcmZBQnM1cFBxRWY3R2twTl9lcXBwS0V3bmFTSjFYZkRsX09Qa2ZDODQ4aTB3UExkXzdOdWdLbHBVTWVaZkNMNENGM25YTHkxYUNRZHJiMnlxUkY4bTBKbGl4TzM1MHIxc3EtOVpkWnAxeG5rNms4a1JQSDJyZXBPeElEZ21pcnVTanBBQdIB3AFBVV95cUxOcGsxWFVWa2NVUmM1U3VGQUZnLXVMR2JZOGVPMWM1S0d5N2JnVUhlVzN4R3RNYXl1Zl8yZzVHT3JsMWMydW5Hci1kUHl2a1JoMkNYcG9zYWJLMVZrUUhSZ0xyZUlwZUhDRkhNQU1EUHJta3FGekVnZXNUVEFSNEMzSzNLbXJ3MmYyem1FcVpSV0xBNTdVR2F1aGQ0QVA1cC1TNlZybThXU1BGNmVyeVFONjV4TzRvTmEwZXJSS2pmYzducUJ0R3R0Q2IzNHVFU2hpMjZyTDV0TU9GZTM5?oc=5
NYKAA.NS,2021-02-19 08:00:00,Zomato files for IPO: Here is why it is a landmark moment for the startup ecosystem - Moneycontrol,Moneycontrol,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOa0VLa0hSRlFtajlhN1ppNzAzeExBX1FQcW0yTWpTZnJza1A0M3FNcXBNdWV3MVlZRGdDYjJWYzV4TnJIN0taRGFXZnNhaWs2aTdGS3I5WUxwSExnWkYtTGdpVU5TSDRvSER3b3ljLU5wdHc5NHVyXzNIZEo5UV92VE1UYTZUZml3eUM3ZUExRUZoUVp5NkJ5c2N5aVF5NnozSUtYaTBaRUU0d9IBrwFBVV95cUxNZGN6WkVBWFRKZHYtc2wyMzNIckdCTFp3T1Z3SFk4ZklJa1BiZmprZ1h5VzVpeUJadkJaZ1gzM01YQXBxcXludl8ybDRxT1FrMkJOOW5UZlBvNG5sbXVGTWhLWXNHUkFraGkzY05ETEhGWlc5a2pOel9UMEp6ZzdVSUVneHhnaXQycVZMQ2lLTG54dW82OHl1SFVpU0JwaEJWNUpiVXdIa2VyTnZwWFJJ?oc=5
NYKAA.NS,2021-02-01 08:00:00,Nykaa Deepens Network in Maharashtra; Unveils Luxe Store in South Bombay - Indian Retailer,Indian Retailer,https://news.google.com/rss/articles/CBMitAFBVV95cUxNb1VRd2tTNldISEZQSloxSkloM3o0OXctVXEwaG9kamJSQ19raE1keTAxSmpneVpJSF9YVG9CZm9CelFSYS1jUXRJY0dkLW9ET1E4RWk4YWVpV1UzM3NmYVd4TW9xQ3NDRlJ4bU1sWWZZQ3NBbmpwMVJySURlemhNR3E2cmlHQjhkblQyck9mNXlON2d0Q0VnUFRrM0MyQVV4b3dVWWd3T2V2Smx5eXJqbmlXZWk?oc=5
