Date,Close,Signal,Position,Market_Return,Strategy_Return,Probability,Cum_Market,Cum_Strategy,Market_Value,Strategy_Value,Year,Month,Regime
2026-01-08,359.45001220703125,0,0,-0.0107914544703571,0,0.1,0.9892085455296429,1,98920.85455296429,100000,2026,1,Oct 2024
2026-01-09,354.1499938964844,0,0,-0.0148545844248193,0,0.14,0.97451426367632,1,97451.426367632,100000,2026,1,Oct 2024
2026-01-12,350.54998779296875,0,0,-0.0102172201348996,0,0.09,0.9645574369197395,1,96455.74369197396,100000,2026,1,Oct 2024
2026-01-13,349.75,0,0,-0.0022847012848744,0,0.15,0.9623537113042738,1,96235.37113042739,100000,2026,1,Oct 2024
2026-01-14,349.79998779296875,0,0,0.000142914141737,0,0.23,0.9624912452589723,1,96249.12452589723,100000,2026,1,Oct 2024
2026-01-16,353.6000061035156,0,0,0.010804820337234,0,0.2,0.9728907902401561,1,97289.0790240156,100000,2026,1,Oct 2024
2026-01-19,344.0,0,0,-0.0275246906511634,0,0.15,0.9461122722014299,1,94611.22722014299,100000,2026,1,Oct 2024
2026-01-20,337.8500061035156,0,0,-0.0180396293094589,0,0.22,0.9290447575257862,1,92904.47575257863,100000,2026,1,Oct 2024
2026-01-21,339.25,0,0,0.0041352706510391,0,0.34,0.9328866090450844,1,93288.66090450843,100000,2026,1,Oct 2024
2026-01-22,347.29998779296875,0,0,0.0234516258866723,0,0.42,0.9547643167950961,1,95476.43167950961,100000,2026,1,Oct 2024
2026-01-23,344.45001220703125,0,0,-0.0082399471232501,0,0.27,0.9468971093095385,1,94689.71093095385,100000,2026,1,Oct 2024
2026-01-27,340.54998779296875,0,0,-0.0113870556361225,0,0.24,0.9361147392441472,1,93611.47392441472,100000,2026,1,Oct 2024
2026-01-28,340.45001220703125,0,0,-0.0002936140577261,0,0.34,0.9358398827970605,1,93583.98827970606,100000,2026,1,Oct 2024
2026-01-29,351.79998779296875,0,0,0.0327944898201237,0,0.36,0.9665302743067146,1,96653.02743067146,100000,2026,1,Oct 2024
2026-01-30,350.04998779296875,0,0,-0.0049868310537203,0,0.39,0.961710351120441,1,96171.0351120441,100000,2026,1,Oct 2024
2026-02-02,362.8999938964844,0,0,0.0360513308493431,0,0.39,0.996381289169922,1,99638.1289169922,100000,2026,2,Oct 2024
2026-02-03,372.0499877929688,0,0,0.0249009236327809,0,0.25,1.021192103560674,1,102119.21035606739,100000,2026,2,Oct 2024
2026-02-04,375.4500122070313,0,0,0.0090971180258803,0,0.25,1.0304820086538624,1,103048.20086538624,100000,2026,2,Oct 2024
2026-02-05,374.1499938964844,0,0,-0.0034685688456106,0,0.22,1.0269077108626834,1,102690.77108626835,100000,2026,2,Oct 2024
2026-02-06,369.5,0,0,-0.012506029825093,0,0.19,1.0140651724030167,1,101406.51724030168,100000,2026,2,Oct 2024
2026-02-09,377.3999938964844,0,0,0.0211548763736557,0,0.18,1.0355175957600324,1,103551.75957600324,100000,2026,2,Oct 2024
2026-02-10,379.3500061035156,0,0,0.0051536611115759,0,0.13,1.0408543025236534,1,104085.43025236535,100000,2026,2,Oct 2024
2026-02-11,384.7000122070313,0,0,0.0140045636160612,0,0.21,1.055431012818397,1,105543.1012818397,100000,2026,2,Oct 2024
2026-02-12,383.4500122070313,0,0,-0.003254575443941,0,0.16,1.0519960329613045,1,105199.60329613044,100000,2026,2,Oct 2024
2026-02-13,380.25,0,0,-0.0083803349062061,0,0.08,1.0431799538850886,1,104317.99538850886,100000,2026,2,Oct 2024
2026-02-16,377.25,0,0,-0.0079208334914439,0,0.2,1.0349170991687526,1,103491.70991687526,100000,2026,2,Oct 2024
2026-02-17,382.8500061035156,0,0,0.0147351858534898,0,0.12,1.0501667949679587,1,105016.67949679587,100000,2026,2,Oct 2024
