Date,Close,High,Low,Open,Volume,Regime,Returns
2020-01-01,509.7279052734375,511.0578186994165,503.0309696166863,506.21324175077433,2611808,Pre-COVID,
2020-01-02,512.8150634765625,513.9074963182181,506.7830855559508,510.1078105783422,2776519,Pre-COVID,0.006056482627665671
2020-01-03,506.0707702636719,512.0077807078726,503.8384775280994,511.96029622004255,1930883,Pre-COVID,-0.013151511516000691
2020-01-06,498.2339477539063,503.45851727277466,494.4342608310928,503.3635482911528,2059404,Pre-COVID,-0.015485625667893133
2020-01-07,500.2762756347656,505.35833342797946,496.8565228018415,502.4135994133614,2111349,Pre-COVID,0.004099134332508525
2020-01-08,498.37640380859375,500.0862511380797,493.0093234352421,494.81419771440846,1612378,Pre-COVID,-0.0037976452586349074
2020-01-09,514.14501953125,515.2849369439461,499.3737515820091,503.3158910785481,2897598,Pre-COVID,0.031639972523081816
2020-01-10,519.2271728515625,520.1770945420913,512.2452716176238,516.8523686252406,2355888,Pre-COVID,0.00988466896936191
2020-01-13,527.1590576171875,529.1063855013159,519.2271766559836,521.4120429431035,3442869,Pre-COVID,0.015276328320922739
2020-01-14,534.3309326171875,535.5183346896702,527.1590356951157,527.1590356951157,2793249,Pre-COVID,0.013604764816937065
2020-01-15,541.2178955078125,542.4052976480227,528.8214287597419,533.8560022385093,2564513,Pre-COVID,0.012888946662496625
2020-01-16,539.0330200195312,541.2653125736072,535.8032634090343,540.7428672927184,2243200,Pre-COVID,-0.004036960910598131
2020-01-17,540.7903442382812,545.2549872628107,536.84820446597,538.4155402867882,2646260,Pre-COVID,0.003260142057134763
2020-01-20,538.7955322265625,545.2549873802931,536.0882209341098,540.5053794762836,1847978,Pre-COVID,-0.003688697538652419
2020-01-21,525.11669921875,536.6107864676709,522.5518990571813,535.755833754275,3101684,Pre-COVID,-0.02538779961905957
2020-01-22,525.8765869140625,528.6313828101796,521.5069706429265,525.7816179432783,1862669,Pre-COVID,0.001447083470099253
2020-01-23,538.130615234375,538.9855679116308,522.0294316559109,525.7816337726858,2113303,Pre-COVID,0.023302099057539882
2020-01-24,539.3180541992188,543.3552214917712,535.850816744755,537.7506601765443,2284717,Pre-COVID,0.0022065999057248042
2020-01-27,549.3396606445312,553.3293430398548,534.8058714702803,536.7057147081854,3654906,Pre-COVID,0.018581996963169756
2020-01-28,543.8301391601562,560.216287457995,540.0304525983386,552.1419535141324,3689004,Pre-COVID,-0.01002935320182552
2020-01-29,548.8171997070312,551.6194799987915,543.4976619839642,548.5797193090619,1934080,Pre-COVID,0.0091702540697296
2020-01-30,539.4129638671875,558.1264312083625,535.6132774214103,549.0546914147925,2901951,Pre-COVID,-0.017135461215253334
2020-01-31,538.748046875,548.1047512393747,536.9906571661814,542.215225852172,2352196,Pre-COVID,-0.001232667801345677
2020-02-03,530.7212524414062,537.4181886673438,508.3980930358693,517.707313873093,3818209,Pre-COVID,-0.014898976395651076
2020-02-04,548.0098266601562,549.8146430197891,530.8162098955488,533.8559707911506,2793702,Pre-COVID,0.0325756207033725
2020-02-05,555.0866088867188,560.3111771701617,548.4847008023451,551.1919539032316,3320830,Pre-COVID,0.012913604614887886
2020-02-06,551.0969848632812,559.6462784167528,547.2022719017574,555.7040809756535,2207104,Pre-COVID,-0.007187390146988215
2020-02-07,540.6004028320312,552.379454810495,533.1910253520509,550.0046506195642,4083215,Pre-COVID,-0.019046705606371672
2020-02-10,501.9386291503906,538.6055820944761,499.706278458596,538.4155861664442,9648880,Pre-COVID,-0.07151636121450156
2020-02-11,497.8064575195313,510.7729119740709,496.5240864102338,506.49826430491976,5404802,Pre-COVID,-0.00823242402732316
2020-02-12,504.4083862304688,507.5431160180989,497.6639658395488,500.2762503256765,3426829,Pre-COVID,0.013262039114224411
2020-02-13,506.878173828125,511.0578523173343,501.8436006333616,503.88595539076056,3392352,Pre-COVID,0.004896404709115343
2020-02-14,496.80902099609375,510.0604395572004,494.5767283188197,508.44556116282826,3507540,Pre-COVID,-0.019865035331834147
2020-02-17,496.571533203125,499.0888487197519,490.159562186155,497.8539042150729,2652464,Pre-COVID,-0.0004780263299015708
2020-02-18,496.9990539550781,498.61393246978326,488.35473154277184,494.4342537233253,2868873,Pre-COVID,0.0008609449462304575
2020-02-19,500.0387268066406,503.1259718422588,495.6690528921381,501.7010895181273,1952880,Pre-COVID,0.006116053596828763
2020-02-20,498.5663757324219,506.3082606962415,496.8090437976254,499.5638398896716,2077458,Pre-COVID,-0.0029444740882801357
2020-02-24,487.4998168945313,495.8591160677661,485.5049755722589,495.8591160677661,1911411,Pre-COVID,-0.022196761307124224
2020-02-25,483.4626159667969,493.4842773765065,480.7553335750509,489.7320754138208,2105613,Pre-COVID,-0.008281440910998028
2020-02-26,477.8105773925781,486.78734834488137,474.9608125174733,482.27522062596535,3058370,Pre-COVID,-0.01169074585615304
2020-02-27,468.7863159179688,478.7604928523936,463.1342707260719,478.7604928523936,6039260,Pre-COVID,-0.018886692554725082
2020-02-28,434.1616516113281,460.7119716779774,430.8844395156562,460.7119716779774,8613275,Pre-COVID,-0.07386022827658545
2020-03-02,435.3490905761719,448.7905054231553,422.0977006485747,430.8369626352674,9225488,COVID Crash,0.0027350157722054735
2020-03-03,442.9009704589844,447.4130983081644,432.451832281936,438.8638034360339,4582866,COVID Crash,0.01734672254125491
2020-03-04,450.88031005859375,453.1126317571458,434.5891593897153,442.71097798586527,5912943,COVID Crash,0.01801608064064597
2020-03-05,455.2974243164063,458.337185119137,445.5132431520731,449.0279647683988,4081050,COVID Crash,0.00979664482851006
2020-03-06,447.4130859375,450.0253704095343,433.6392223576832,435.8715439771012,4502562,COVID Crash,-0.01731689651164625
2020-03-09,440.003662109375,442.3784659225964,418.9153926522476,430.8368961988971,4540694,COVID Crash,-0.016560588103048945
2020-03-11,428.984619140625,446.1306931756301,427.1797738194626,439.6712376085304,5104905,COVID Crash,-0.02504307104155623
2020-03-12,402.1493225097656,414.1183406864389,379.6361685824681,406.47145427305816,9408350,COVID Crash,-0.06255538178645637
2020-03-13,407.3739013671875,427.2272578577693,328.3404092739293,380.4436170584471,6230411,COVID Crash,0.0129916390877296
2020-03-16,372.1792907714844,407.1364248754144,369.3295258222714,399.9170145395468,3156508,COVID Crash,-0.08639387667591492
2020-03-17,354.70068359375,387.567973411294,351.4234718003985,372.36922935594913,4526913,COVID Crash,-0.04696286873324751
2020-03-18,329.0528564453125,364.484951672819,322.1184399394909,360.02030828569,6595508,COVID Crash,-0.07230836684209152
2020-03-19,298.46539306640625,315.1839908612234,286.87633737793215,315.13650637459926,10486153,COVID Crash,-0.09295607918234194
2020-03-20,306.4447326660156,311.7642997486314,292.81335107597164,300.1752439254081,8819518,COVID Crash,0.026734555445877106
2020-03-23,278.70703125,288.68120946745927,266.548044637774,284.0265987638404,6001358,COVID Crash,-0.09051453152645983
2020-03-24,255.5289306640625,294.3807213872422,251.1592851596777,284.97650259932624,6690908,COVID Crash,-0.08316295603302082
2020-03-25,263.93572998046875,273.9099070685284,233.11076157450424,250.2093508683208,9393732,COVID Crash,0.0328995988616978
2020-03-26,271.20263671875,279.2769709117776,259.4236138114892,263.93574174288693,7557558,COVID Crash,0.027532864681939717
2020-03-27,279.7519226074219,289.7260998141381,266.7379845610309,282.12672670425906,9505126,COVID Crash,0.03152360903311524
2020-03-30,260.658447265625,270.5851382874155,256.4787985682985,267.59289143531254,8942833,COVID Crash,-0.06825145351580264
2020-03-31,270.68017578125,272.81749941493115,263.8882130427732,269.63525620692224,6236559,COVID Crash,0.038447741175302586
2020-04-01,259.1861267089844,268.82782561058366,252.2041968184097,266.92798232004947,5980392,COVID Crash,-0.04246357916345722
2020-04-03,266.6430358886719,275.4772962057531,257.761262092452,260.2785488288839,6961905,COVID Crash,0.0287704796331949
2020-04-07,304.9248352050781,307.58460410335607,278.0895498638212,280.7018342775719,10795407,COVID Crash,0.1435694699050365
2020-04-08,310.0544128417969,332.85253185941883,297.13547293394964,299.225312106288,8451195,COVID Crash,0.016822433086727262
2020-04-09,362.3001403808594,372.0368380691968,315.75397582197803,318.9362194009065,11027315,COVID Crash,0.1685050280697682
2020-04-13,344.67901611328125,360.9701637587429,337.2221266693519,360.9701637587429,7717484,COVID Crash,-0.04863681324841429
2020-04-15,335.4648132324219,360.87521648616695,331.8076092092551,354.3682476121129,11300538,COVID Crash,-0.026732706228426384
2020-04-16,338.8370361328125,342.3992420257592,325.8230990081916,325.918096963198,6155773,COVID Crash,0.010052389303954357
2020-04-17,345.0115661621094,352.1834632585008,337.7446421104395,352.1834632585008,6178483,COVID Crash,0.018222712899887084
2020-04-20,338.0296325683594,349.04872975455265,336.272271678393,348.6212534066956,4834154,COVID Crash,-0.02023681023629631
2020-04-21,315.42144775390625,331.5701145478941,307.2996298738288,331.5701145478941,8003757,COVID Crash,-0.06688225716389251
2020-04-22,323.1633605957031,328.43541421735154,304.5448902464023,310.6243830775819,9071476,COVID Crash,0.02454466206063821
2020-04-23,330.0978088378906,332.14013480693905,314.9465452969449,321.0735521934015,6738333,COVID Crash,0.02145802738715452
2020-04-24,317.55877685546875,327.48546909526834,315.3739687879016,324.8731847152481,5754928,COVID Crash,-0.037985807983898834
2020-04-27,313.7591552734375,326.15565201199183,311.7168292251943,320.6460882428635,5770537,COVID Crash,-0.011965097043312278
2020-04-28,319.1261901855469,321.07351797398536,312.0492622912845,317.701307709331,4244512,COVID Crash,0.017105588225567736
2020-04-29,330.5727233886719,334.1824139448942,319.4111443662095,320.12358558040927,7748491,COVID Crash,0.03586836040147556
2020-04-30,348.28875732421875,349.5711573133111,337.22217621256914,337.8396194697448,7422465,COVID Crash,0.05359194114366539
2020-05-04,339.1695251464844,344.2516119458049,324.01829170394547,332.52007336887493,7125034,COVID Crash,-0.02618296452574087
2020-05-05,349.713623046875,362.68004678515575,343.34916586960503,345.5339739026831,13401536,COVID Crash,0.031087987329748268
2020-05-06,367.7621765136719,373.3192241984573,340.3094454684411,352.8959078619005,7015473,COVID Crash,0.051609523556872317
2020-05-07,380.5860900878906,383.2458880093174,365.8148205379166,368.0946266210631,12971483,COVID Crash,0.03487012638381537
2020-05-08,367.334716796875,387.473038555771,361.6351868480596,384.7182715450386,9444781,COVID Crash,-0.034818333186994344
2020-05-11,370.564453125,381.8685153178917,365.1024034656023,369.0445726393058,7658595,COVID Crash,0.008792352534189973
2020-05-12,373.3666687011719,375.4090233075471,361.1601994824525,369.4244999074237,4686856,COVID Crash,0.007562019380273899
2020-05-13,392.3651428222656,397.9221905117756,384.0058435382453,394.2175017152055,7361621,COVID Crash,0.05088422645541346
2020-05-14,380.3961181640625,387.0930538808802,376.16895542780014,381.39352425318623,4765875,COVID Crash,-0.030504811340045235
2020-05-15,362.205078125,383.7208245846697,354.5107367039663,382.5809071204323,14226503,COVID Crash,-0.04782130829005149
2020-05-18,358.3104553222656,364.2949500772244,348.8587233790369,362.9650655749344,7717665,COVID Crash,-0.010752535063548452
2020-05-19,363.7250061035156,371.4193775226916,352.6109398218697,364.7699257511856,5950003,COVID Crash,0.015111339065950968
2020-05-20,384.7657470703125,392.9825924132492,360.6852567888936,363.7249886305424,10608175,COVID Crash,0.05784793625327134
2020-05-21,387.85296630859375,391.55768363138014,377.8787898011352,380.1111112935228,6249309,COVID Crash,0.008023633241233119
2020-05-22,404.99908447265625,408.7987709150139,378.7337577377205,383.7683306781216,10016203,COVID Crash,0.04420777885818783
2020-05-26,407.6588745117188,413.40591794718415,400.5344620631067,405.6165487409783,5895376,COVID Crash,0.006567397658505447
2020-05-27,410.8411560058594,413.1684758841604,394.2175254160269,405.1416255179168,7591278,COVID Crash,0.007806236275249123
2020-05-28,418.3455505371094,421.76527477912697,402.6243565076214,407.9914088235023,7449375,COVID Crash,0.018265926919802
2020-05-29,414.498291015625,427.4647149031596,409.5112026750881,412.26596948438055,9539035,COVID Crash,-0.009196367731280852
2020-06-01,438.0088806152344,446.9381383681932,419.39041039225776,419.7228887691393,9668047,COVID Crash,0.05672059477495672
2020-06-02,439.6712341308594,454.8699802761072,437.7713908627034,441.8085578075349,8520940,COVID Crash,0.0037952507111043143
2020-06-03,460.8070068359375,467.9314193442565,443.1384580174445,446.4631838546601,9873294,COVID Crash,0.04807176604778163
2020-06-04,454.4900512695313,461.899428971447,445.8932424472737,460.9969917561387,5829493,COVID Crash,-0.013708462485804263
2020-06-05,459.9520568847656,464.9391453559913,451.5927292917936,455.0124528984955,6265829,COVID Crash,0.012017877178999381
2020-06-08,447.2706298828125,469.403793483392,444.8008277111143,461.1869767298365,5955200,COVID Crash,-0.02757119315400791
2020-06-09,454.7749938964844,458.62216501675215,440.0986926804985,450.0728700923274,7656301,COVID Crash,0.01677812830151182
2020-06-10,448.4104919433594,459.47710207735446,445.3707601338402,452.3051764076974,4849036,COVID Crash,-0.013994837092062506
2020-06-11,450.7853088378906,455.9623934424922,445.9882160859377,448.3630202184507,4331683,COVID Crash,0.005296077895588613
2020-06-12,482.9876708984375,487.2148338048049,433.2592670978281,434.11419077852383,18368009,COVID Crash,0.07143613917579406
2020-06-15,482.7026672363281,494.8616814120391,473.7259252868581,479.8529023655172,17605860,COVID Crash,-0.0005900847563649059
2020-06-16,481.372802734375,493.0093431063456,476.1957180752034,491.20446875516456,6712936,COVID Crash,-0.0027550386443214725
2020-06-17,472.6809997558594,479.6154159251956,467.8363937385732,479.6154159251956,9273745,COVID Crash,-0.018056281803091045
2020-06-18,481.2302856445313,483.41509371648993,467.361424564867,472.0160345807615,7114752,COVID Crash,0.01808679827005455
2020-06-19,475.0083312988281,481.2303357856232,471.541122914978,481.2303357856232,9811021,COVID Crash,-0.012929265948775193
2020-06-22,473.7734069824219,477.0981326454564,469.3562772565374,476.6231718364515,5149581,COVID Crash,-0.002599795066813959
2020-06-23,490.5395202636719,493.8642457473141,472.6809774150965,474.9607833774471,9132472,COVID Crash,0.03538846426192954
